category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 10:57:49,Software Growth Stocks: How 2023 Guidance Plays Out Will Be Key,116234234,,ADBE,Yahoo,Software growth stocks are still looking for a catalyst as the sector lags the S&P 500. Guidance for 2023 will be key for software stocks.,https://finnhub.io/api/news?id=632e4ded8593a03e3ddf79fb9b875815ddfed271e4433623313f3f899cb524f3
company,2022-09-24 10:23:00,Adobe Stock: Bear vs. Bull,116232693,,ADBE,Yahoo,"Adobe's (NASDAQ: ADBE) stock sank 17% to its lowest levels in nearly three years on Sept. 15 following its report for the third quarter of fiscal 2022, which ended on Sept. 2. Revenue at the digital media software company rose 13% year over year to $4.",https://finnhub.io/api/news?id=97aae4666d390acbd0d351a3243c4cf9f4e5cb385e196c0dd8c9d1aa2097e3cb
company,2022-09-24 09:41:00,Why Adobe Is Paying $20 Billion for Figma,116232694,,ADBE,Yahoo,"Adobe (NASDAQ: ADBE) recently announced solid quarterly earnings results that met management's forecast.  The software giant also affirmed a bullish full-year outlook that calls for strong sales and earnings gains through late 2022.  Let's examine why Adobe has decided to shell out $20 billion for Figma, a web-based collaborative design platform, and whether the market's harsh response to this news was warranted.",https://finnhub.io/api/news?id=0988147aea924018e709adbcf230a38614e4ddfe52c346f2d83639022815b5b1
company,2022-09-24 00:11:03,Adobe's Acquisition Of Figma: A Contrarian View,116228835,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/52645921/image_52645921.jpg?io=getty-c-w750,ADBE,SeekingAlpha,"Adobe has announced plans to acquire Figma, the leading design collaboration offering on the web. See why I rate ADBE stock as a speculative buy.",https://finnhub.io/api/news?id=eae758082dec8178c23b9f611916d36239d78efa54142dd2da248df6da2d59cd
company,2022-09-23 12:34:00,"Adobe Inc. stock falls Friday, still outperforms market",116241640,https://images.mktw.net/im-220105/social,ADBE,MarketWatch,"Shares of Adobe Inc. slipped 0.87% to $284.56 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=f60d26809de440437f9d58febdf4d7ccb1b63d3e4d52b484dde57a04fb38d190
company,2022-09-23 11:57:00,"Adobe Stock Will Rise After Figma Deal Closes, Says Analyst. Here’s Why.",116218286,https://s.yimg.com/ny/api/res/1.2/Issq3PId4dei_1SazpLuIQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/Barrons.com/8db6803a32705d94e92be0bbe739f470,ADBE,Yahoo,"Bernstein analyst Mark Moerdler wrote that the Adobe stock selloff is overdone, and that positive investor sentiment will return.",https://finnhub.io/api/news?id=a0fd112f01c2a96be9c33d641c85c4f252ff4a7066b6897f573186d684e8ce7f
company,2022-09-23 08:42:00,"Video: Friday 9/23 Insider Buying Report: ADBE, KNTK",116236706,,ADBE,Market News Video,"As the saying goes, there are many possible reasons for an insider to sell a stock, but only one reason to buy -- they expect to make money - So let's look at two noteworthy recent insider buys - ADBE,KNTK.",https://finnhub.io/api/news?id=6f0b5fec41d4d47ec9060ced465bc10a5d18b228dfb3da7057262acc5a7c8e3b
company,2022-09-23 08:00:23,Adobe Inc. (NASDAQ:ADBE) Stock Has Shown Weakness Lately But Financials Look Strong: Should Prospective Shareholders Make The Leap?,116218287,https://s.yimg.com/uu/api/res/1.2/lV3yH6zs2qmOApgxx08isw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/eabce446f4e197393380bd29475c8d6a,ADBE,Yahoo,"Adobe (NASDAQ:ADBE) has had a rough month with its share price down 30%. However, a closer look at its sound financials...",https://finnhub.io/api/news?id=87197aa54f82b3a8b00bb96221e20d94e1a32e940791b3e6a846de651f6b87ac
company,2022-09-23 06:10:42,Analysis-Some U.S. firms wait to issue bonds in a bet rates will come down,116218288,https://s.yimg.com/uu/api/res/1.2/64atBbK58vpO1y_h0bjdAg--~B/aD01NTI7dz04MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/reuters-finance.com/86b6693b6eaa1e8eb3ff2b65615515e2,ADBE,Yahoo,"Some U.S. companies with the best credit ratings are looking at shorter-term debt solutions as a bridge to a better funding environment in a year or two, slowing new bond issuance despite demand from investors.  The shorter-term debt solutions include getting bank term loans, drawing down on bridge loans and issuing bonds with maturities of five years or less, debt capital market bankers and credit investors said.  While loans can be cheaper than issuing bonds, shorter-term debt is currently more expensive than longer tenors.",https://finnhub.io/api/news?id=125bdd80c9e71673ebccae12f6d3f6a35a63376c36f94df990d14638abb0e75a
company,2022-09-23 05:02:00,Adobe's Figma Acquisition: Genius Move or $20 Billion Mistake?,116209521,,ADBE,Yahoo,"Adobe is paying a massive premium for a company that says it's not even a competitor. Savvy move into a new market, or overpayment on an overreaction?",https://finnhub.io/api/news?id=ffb1247acca72749d6eb36a29b1d2b22360995df5752c4615c841300e48bd93b
company,2022-09-23 05:00:00,Boeing - You Are Now Free To Roam About The Cabin,116212326,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,ADBE,SeekingAlpha,"Daniel Snyder, Austin Hankwitz, and Mike Saul dive into a beaten-up stock that has been a staple of the American economy for over a century. Peloton, TikTok and YouTube Shorts.",https://finnhub.io/api/news?id=4ce5d06fb3e672f2c040e097f0bc08fd72b1faa727ed5446f592b6f0e00202ea
company,2022-09-23 04:59:08,"The Zacks Analyst Blog Highlights BHP Group, United Parcel Service, Adobe, EOG Resources and America Movil",116211360,https://s.yimg.com/uu/api/res/1.2/jYCQlJClIjBMK.TSGVTLKQ--~B/aD00MTM7dz02MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/68e5bbe733d030ce1ef35427dabc5b29,ADBE,Yahoo,"BHP Group, United Parcel Service, Adobe, EOG Resources and America Movil are included in this Analyst Blog.",https://finnhub.io/api/news?id=8f74eaed0a6e96b0164bb776b20edcc07888daaa364096c8a8d360ba4f7e9901
company,2022-09-23 04:21:48,Adobe : Statement of Changes in Beneficial Ownership - Form 4,116211322,,ADBE,Finnhub,"Ownership Submission FORM 4 Check this box if no longer... | September 23, 2022",https://finnhub.io/api/news?id=d2070cd260bb2790f83a709b9a0fbc4c7456cf6791d72e1f17f342841a9ff58c
company,2022-09-23 02:00:00,Some U.S. firms wait to issue bonds in a bet rates will come down,116209498,,ADBE,Finnhub,"Some U.S. companies with the bestcredit ratings are looking at shorter-term debt solutions as abridge to a better funding environment in a year or two, slowingnew bond issuance despite demand from... | September 23, 2022",https://finnhub.io/api/news?id=94d7d0f197cb14af98d897fab53ba35099e546f68c2cb664fb271cf2182970ca
company,2022-09-22 23:44:00,The Top 5 Stocks Cathie Wood Is Buying This Week,116223442,https://investorplace.com/wp-content/uploads/2022/03/cathie-wood-stocks-1600.png,ADBE,InvestorPlace,Cathie Wood announced that she would step down as portfolio manager for PRNT and IZRL. That hasn't stopped her from making her usual buys.,https://finnhub.io/api/news?id=87eedfb10ba6e9d19f7ed661425a8c2df4100df88f60d5a1fc7d0137c63ee839
company,2022-09-22 22:53:00,Recession Fears And The Earnings Outlook ,116223718,https://talkmarkets.com/contributor/mirjana-mishevska/user_content/ckimages/orig_ern_637481587041938147.jpg,ADBE,TalkMarkets,"It’s too early to tell how the Q3 earnings season will unfold, but we are undoubtedly off to a rough start.",https://finnhub.io/api/news?id=9fe2a53f4cc416869d1256f04a84a6d473179c49873663c1b035e1704c9c51a3
company,2022-09-28 19:56:00,Stocks And Sectors With The Biggest Declines,116317921,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/465483617/image_465483617.jpg?io=getty-c-w750,ADBE,SeekingAlpha,"The average stock in the Russell 3000 was down 41.7% from its 52-week high as of the close on Monday. Across the entire Russell 3000, weâve seen more than $13 trillion in market cap erased.",https://finnhub.io/api/news?id=641d8f12d27821e3b0d2997f22440e252586142631474da8aebc1b2d4db92c73
company,2022-09-28 12:06:11,ADOBE INC. MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTSOF OPERATIONS (form 10-Q),116310037,,ADBE,Finnhub,"The following discussion should be read in conjunction with the condensedconsolidated financial statements and notes thereto.In addition to historical information, this Quarterly Report on Form... | September 28, 2022",https://finnhub.io/api/news?id=8a7b60c95177e70c1dcda44b04e5f5989fbbaa490490eaec3cf3f148f819d9fd
company,2022-09-28 10:00:00,A Tech Giant and an Obscure Tech Name Have Something in Common: Insider Buying,116304994,https://s.yimg.com/uu/api/res/1.2/DsfeEmrLpEibycOZdi4rPQ--~B/aD04MDA7dz0xMjAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/thestreet.com/c517ed2c3bf26456ed2a91fabe5fb6d1,ADBE,Yahoo,"Significant blocks of stock were bought in both companies, which each have seen their shares decline by more than half so far this year.",https://finnhub.io/api/news?id=f92b374d60b3dff422b7421eac83f9c9a0bef86eb6b4d5cdabe29eaf491274f6
company,2022-09-28 09:00:00,"Adobe Outlines Figma Feature Ideas, Commits to Keeping Free Tier",116304995,https://s.yimg.com/ny/api/res/1.2/y.BQbNgiTz.naWHJRWiSpg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03MDQ-/https://media.zenfs.com/en/bloomberg_technology_68/68ec5fa13e2b01aba22e5362250fd339,ADBE,Yahoo,"(Bloomberg) -- Adobe Inc. plans to add technology from its creative software portfolio to Figma without tweaking pricing or simplicity after its acquisition, seeking to ease concerns among loyal users that the deal may significantly change the design app. Most Read from BloombergApple Ditches iPhone Production Increase After Demand FaltersGermany Suspects Sabotage Hit Russia’s Nord Stream PipelinesAlzheimer’s Progression Slowed by Drug in Major TrialPutin’s Mobilization Hits Russia’s Economy in",https://finnhub.io/api/news?id=f2d93794e58025eae31a78e0de4c49393756e5f918e554cef22a3c117cb66b8d
company,2022-09-28 05:51:59,DocuSign: The Case For Upside Revaluation,116303617,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1162476186/image_1162476186.jpg?io=getty-c-w750,ADBE,SeekingAlpha,"DocuSign is profitable on a free cash flow basis, is growing high-value accounts, and has attractive growth prospects. Click here to see why DOCU stock is a buy.",https://finnhub.io/api/news?id=4bd8053d0bc70965e9d3153c72e62e3e74153b26fa81e228ce1d6b506b607bf3
