category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 08:00:47,"Is It Time To Consider Buying Automatic Data Processing, Inc. (NASDAQ:ADP)?",116232309,https://s.yimg.com/uu/api/res/1.2/KBUCiHZfz4dSjI0OMNVwSA--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/deae7123c305ae121db80b585a5fb9dd,ADP,Yahoo,"Today we're going to take a look at the well-established Automatic Data Processing, Inc. ( NASDAQ:ADP ). The company's...",https://finnhub.io/api/news?id=0d515f3bb60ae069e9d2d0b837995aab79f40a4748337f54da12497a299dffb6
company,2022-09-23 20:18:00,How Long Can S&P 500 Earnings Hold Up?,116226535,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1369905974/image_1369905974.jpg?io=getty-c-w750,ADP,SeekingAlpha,The S&P 500 has fallen 8.5%â9% the last two weeks. So far this year â in 2022 â rising interest rates have caused nothing more than P/E compression for the S&P 500.,https://finnhub.io/api/news?id=23a5666cd4fa1bf380ccd27f715c72546a05ad26d1958bb74696abcb87b72584
company,2022-09-23 12:34:00,Automatic Data Processing Inc. stock outperforms market despite losses on the day,116242599,https://images.mktw.net/im-220105/social,ADP,MarketWatch,"Shares of Automatic Data Processing Inc. sank 0.08% to $230.28 Friday, on what proved to be an all-around poor trading session for the stock market, with the...",https://finnhub.io/api/news?id=6fb9badedc6d1ce76a4c2ee8d237b4d976aac03ef37442b84650933876e5297f
company,2022-09-23 07:43:13,Automatic Data Processing : 2022 Letter to Shareholders,116215087,,ADP,Finnhub,"2022 Letters to Shareholders ADP and the ADP logo are registered trademarks of ADP, Inc. All other... | September 23, 2022",https://finnhub.io/api/news?id=0df4442c292f7948b4188167ffde0e68e2aa869d6e26ccc690e12bf89b4351ba
company,2022-09-28 12:34:00,"Automatic Data Processing Inc. stock rises Wednesday, still underperforms market",116347817,https://images.mktw.net/im-220105/social,ADP,MarketWatch,"Shares of Automatic Data Processing Inc. rose 1.90% to $231.95 Wednesday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=267e823d3696a060f4488205bc04c3658a6b8be115a987fb45d12b7ebd220bf1
company,2022-09-28 10:01:04,"Calculating The Fair Value Of Automatic Data Processing, Inc. (NASDAQ:ADP)",116309917,https://s.yimg.com/uu/api/res/1.2/KBUCiHZfz4dSjI0OMNVwSA--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/deae7123c305ae121db80b585a5fb9dd,ADP,Yahoo,"Today we will run through one way of estimating the intrinsic value of Automatic Data Processing, Inc. ( NASDAQ:ADP...",https://finnhub.io/api/news?id=5953512898286a7824a63f353341c30a50fd772c16bcac47d6e32fbac8bc653a
company,2022-09-28 06:51:10,"Zacks.com featured highlights include W.W. Grainger, Carlisle, CDW and Automatic Data Processing",116306637,https://s.yimg.com/uu/api/res/1.2/llEIJtlHISQ_iDpj2RC5GA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/debc48c0a0afd8d3a2d2dcb320e026fe,ADP,Yahoo,"W.W. Grainger, Carlisle, CDW and Automatic Data Processing are part of Zacks Screen of the Week article.",https://finnhub.io/api/news?id=abc05ef5ab3781fdfa9dfd5a51375165d6aa2abcf2173c33b27ad3227e7a6779
company,2022-09-28 05:36:02,Automatic Data Processing : ADP Adds Tax Credit Planning to Help Small Businesses Start Employee Retirement Plans,116301826,,ADP,Finnhub,"ADP Adds Tax Credit Planning to Help Small Businesses Start Employee Retirement Plans Download PDF September 28, 2022 New... | September 28, 2022",https://finnhub.io/api/news?id=eacc5a83b4ba5f65ccb4313602f5e51514aa0f9d8dd106725f2512eabb315827
company,2022-09-27 12:34:00,"Automatic Data Processing Inc. stock falls Tuesday, underperforms market",116347818,https://images.mktw.net/im-220105/social,ADP,MarketWatch,"Shares of Automatic Data Processing Inc. slumped 0.45% to $227.62 Tuesday, on what proved to be an all-around dismal trading session for the stock market,...",https://finnhub.io/api/news?id=cc809e540cfa42f82b6895d4ed548b0d3556305f66767f2be38af5f3306f0889
company,2022-09-26 12:34:00,Automatic Data Processing Inc. stock outperforms competitors despite losses on the day,116347819,https://images.mktw.net/im-220105/social,ADP,MarketWatch,"Shares of Automatic Data Processing Inc. dropped 0.71% to $228.64 Monday, on what proved to be an all-around dismal trading session for the stock market,...",https://finnhub.io/api/news?id=7fc7b43fa0d15d6b48e17c871fe9e0af2d69f691bd6d0186d93ad4ef4d99dfd9
