category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 05:35:00,Trimming The Hedges In My Happy-Bear Garden,116233729,,ADSK,TalkMarkets,I am delighted to announce that I am at a new portfolio high for the year. This has been a brutal struggle.,https://finnhub.io/api/news?id=219023a68c0e4ae7e0f797dd663154f84d57b402ce06b797656d4ab7de7b25a1
company,2022-09-23 12:34:00,Autodesk Inc. stock outperforms market despite losses on the day,116242641,https://images.mktw.net/im-220105/social,ADSK,MarketWatch,"Shares of Autodesk Inc. slipped 1.38% to $184.56 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=a2807fcf57449b74ba49d3ff5013be9f647ee48285296941e6415afd528d99d3
company,2022-09-23 11:30:03,Autodesk (ADSK) Down 15% Since Last Earnings Report: Can It Rebound?,116222693,https://s.yimg.com/ny/api/res/1.2/gZA5XMnsr1RRZw6lGNAcdA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD05NDA-/https://media.zenfs.com/en/zacks.com/c65fb4556b91b6c9dc83e4eff25fede0,ADSK,Yahoo,Autodesk (ADSK) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,https://finnhub.io/api/news?id=996d1fcacaabfac84514973cc6eadf89b916c90f2f894bf349a3a8b32eec223a
company,2022-09-28 17:50:09,Autodesk (ADSK) Gains But Lags Market: What You Should Know,116319899,https://s.yimg.com/uu/api/res/1.2/Fj4TPQveJWuth16WIsEVAw--~B/aD01OTQ7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/46ebfcbff417ac1bbde85ad33fa0d4be,ADSK,Yahoo,"Autodesk (ADSK) closed the most recent trading day at $190.98, moving +1.61% from the previous trading session.",https://finnhub.io/api/news?id=8bfcae77390569fb52a1ff7b4d2a36cf8238c3242c00541ab050bd4bfe185d9b
company,2022-09-28 12:34:00,"Autodesk Inc. stock rises Wednesday, still underperforms market",116347707,https://images.mktw.net/im-220105/social,ADSK,MarketWatch,"Shares of Autodesk Inc. rose 1.61% to $190.98 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=f68f5acd1fd8a106e04b256c7bbb62c1678e12f5559d01b6208fbb1396f45db3
company,2022-09-27 12:34:00,Autodesk Inc. stock outperforms competitors on strong trading day,116347708,https://images.mktw.net/im-220105/social,ADSK,MarketWatch,"Shares of Autodesk Inc. rose 2.16% to $187.96 Tuesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=3f17ef5c8e65906719f1815e9f4eb0b5d6eebc69b0a357875286cf6eb9103042
company,2022-09-27 10:23:00,2 Software Stocks I'm Buying on Repeat During This Bear Market,116283154,,ADSK,Yahoo,These two companies have durable earnings streams that should hold up even if the economy takes a tumble.,https://finnhub.io/api/news?id=ab978506feeec26fae4f9a5dceace8ba77699efa8660404cc59a5edd5fb03a5c
company,2022-09-27 08:37:00,"New Model-Based Workflows, Reality Capture and Extended File Support in Autodesk Construction Cloud Make BIM More Valuable to Construction Teams",116292809,https://s.yimg.com/uu/api/res/1.2/SMX6d2LrZDY9ii2uBElcpg--~B/aD0yMjU7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/d4e5da9ceb96f38a379167696df86f94,ADSK,Yahoo,"Autodesk University – Autodesk, Inc. (NASDAQ: ADSK) today announced a suite of new capabilities across Autodesk Construction Cloud, making it easier for construction project teams to use and maximize the value of BIM from the office to the field. The enhancements provide all stakeholders with immediate access to model data and information that's relevant, empowering team members to simplify workflows and make critical decisions faster. Also announced today are significant advancements to Schedul",https://finnhub.io/api/news?id=59bca90c1614133815d69e95a985951eff347efacdb78fd98690ba8602179d3e
company,2022-09-27 07:00:00,"Autodesk and Epic Games to Deliver Real-Time, Immersive Design Capabilities to Customers",116292812,https://s.yimg.com/uu/api/res/1.2/k00VwpyBzntBrIuJhM_LyQ--~B/aD0xOTA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/26393cc844ccb4e078a50203d7874156,ADSK,Yahoo,"Today, at Autodesk University, Autodesk, Inc. (NASDAQ: ADSK) announced a strategic collaboration with Epic Games to accelerate immersive real-time (RT) experiences across industries, with an initial focus on Architecture, Engineering and Construction (AEC).",https://finnhub.io/api/news?id=b0e4e08a38520a2ae15f0583a578c684c2a153a91a798b49724ad19b995e41b6
company,2022-09-27 07:00:00,Autodesk Paves Path to Digital Transformation in the Cloud,116292810,https://s.yimg.com/uu/api/res/1.2/n2wj9bET3v65Xsax..ilZg--~B/aD0xNTg7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/7bacc0a35787be5dfda6a5172f03b974,ADSK,Yahoo,"Today, Autodesk, Inc. (NASDAQ: ADSK) kicks off Autodesk University (AU) 2022, the company's annual design and make conference and premier learning experience. After two years as a digital experience, the event returns in person this year in New Orleans and runs September 27-29.",https://finnhub.io/api/news?id=bcbecdc68e1ae33ae236f7c83939a41d3b132c72b47eda98f47a917f68d3879a
company,2022-09-27 03:11:14,"Autodesk : Fusion 360 extensions, partnerships, broader online availability announced at AU 2022",116275693,,ADSK,Finnhub,"Autodesk customer DSI Spaceframes, with its factory in Chicago, is at the forefront of space frame design, engineering, fabrication, and installation. ... | September 27, 2022",https://finnhub.io/api/news?id=03b337a04acec97267bdf0045802d977b4682c86b53d40f6f0872d03225a43d7
company,2022-09-27 03:11:14,"Autodesk : announces cloud-based solutions that extend the digital thread, drive sustainability",116275686,,ADSK,Finnhub,"Digital transformation is knocking down silos one by one-and with better collaboration comes bigger questions. Questions like: Can owners and operators optimize... | September 27, 2022",https://finnhub.io/api/news?id=73ec6db3489d6c1b890c9d0885e1f7a11d3d0e919943758e45d6c2d82b014723
company,2022-09-27 02:18:00,Autodesk announces strategic collaboration with Epic Games,116314194,https://thefly.com/images/meta/hotstocks.jpg,ADSK,Thefly.com,"At Autodesk University, A... ADSK",https://finnhub.io/api/news?id=e78c9925a545570cff65e0ae670ca1da8cd8f844a009024e9674cf7b6574e16b
company,2022-09-27 02:16:00,Autodesk begins its annual design and make conference,116314195,https://thefly.com/images/meta/hotstocks.jpg,ADSK,Thefly.com,Autodesk kicks off Autode... ADSK,https://finnhub.io/api/news?id=8a93c98009aeff8f241bf8bf7e2c807a89577ba3a1ad1661b60680b89a96a618
company,2022-09-26 17:09:34,Peloton stock dips amid news of its marketing head leaving to work at Autodesk,116268231,https://s.yimg.com/ny/api/res/1.2/1DF53gYUtgi2uxA2Og.28w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzQ-/https://s.yimg.com/os/creatr-uploaded-images/2022-09/7ff5a600-3ddf-11ed-9f57-0809ca73b55d,ADSK,Yahoo,Yahoo Finance Live anchor Rachelle Akuffo reports on Peloton's latest executive departures.,https://finnhub.io/api/news?id=42d6b942e6fdd957828bdfc4a4419d1fb0823d64a94394f2a95611c580a5e53b
company,2022-09-26 12:34:00,Autodesk Inc. stock underperforms Monday when compared to competitors,116347709,https://images.mktw.net/im-220105/social,ADSK,MarketWatch,"Shares of Autodesk Inc. slipped 0.31% to $183.99 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=c5d3b229b4cb19f7d129135dfd31fad9862aadb4ea45a7b043014bd244f4a3d5
company,2022-09-26 11:27:00,Peloton’s Top Marketer Is Heading to Autodesk,116258385,,ADSK,Yahoo,The departure of Dara Treseder marks the latest in a series of shifts in the executive ranks since Barry McCarthy took over as CEO in February.,https://finnhub.io/api/news?id=84752c589734da0f08000ad5b2a8bc4548a74228328fe316055d417bf41c1475
company,2022-09-26 10:01:00,Peloton Seeks CMO as Marketing Head Exits ,116304281,https://images.wsj.net/im-630875/social,ADSK,DowJones,"Dara Treseder, now bound for Autodesk, is the latest executive to leave the struggling fitness company.",https://finnhub.io/api/news?id=7ea7071c31f02c754443285ad4f46e3228b8f2f89b025279185c170d2395e417
