category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 12:34:00,"American Electric Power Co. Inc. stock falls Friday, still outperforms market",116224711,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. shed 1.15% to $97.74 Friday, on what proved to be an all-around grim trading session for the stock market, with...",https://finnhub.io/api/news?id=8036a26f4ae2829b9f7b6e7e2720a9a396bc6ed1379f9c62b9a3a6470b664a72
company,2022-09-23 06:04:33,"AEP ANNOUNCES ORGANIZATIONAL, EXECUTIVE LEADERSHIP CHANGES",116213129,,AEP,Finnhub,"COLUMBUS, Ohio - American Electric Power has made organizational and executive leadership changes to support the company's strategic priorities and executive succession plans, according to Nicholas... | September 23, 2022",https://finnhub.io/api/news?id=a9797742d313e4d1d58bae3da46260ce6378cf741bd64d9685850953439c43de
company,2022-09-28 11:30:34,Duke Energy: Bright Ahead To 2026 With Its Improving Yield,116309548,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1355121016/image_1355121016.jpg?io=getty-c-w750,AEP,SeekingAlpha,Duke Energy Corporation maintains an improving topline and enjoys a growing EPS outlook. Click here to read our analysis of the DUK stock.,https://finnhub.io/api/news?id=49bb9832c8ac24dd7b17bb711c38ebb62f63366287ff4bf83416368475eaf6c2
company,2022-09-28 05:55:59,"Siemens grid protection software, expertise enable unified digital model of AEP network",116302631,,AEP,Finnhub,"Siemens will replace American Electric Power's existing protection simulation operation software with PSSCAPE. Ohio-based AEP, the largest transmission grid operator in the U.S., serves 5.5 million... | September 28, 2022",https://finnhub.io/api/news?id=eba6b221f98234bdfb2dfb4eb12b755e5119d630c0411ad69ced55909675333f
company,2022-09-26 23:00:00,American Electric Power Stock Getting Very Oversold,116309731,,AEP,Energy Stock Channel,"energy stock channel,AEP,",https://finnhub.io/api/news?id=59ea0d8a385bae79fa1fd03d744f998734e26ed1606710b674c0d45535e19460
company,2022-09-25 08:20:00,Algonquin: ,116244702,https://images.pexels.com/photos/187041/pexels-photo-187041.jpeg?auto=compress&cs=tinysrgb&h=750&w=1260,AEP,TalkMarkets,"Stocks of acquisition-minded companies trade at what I call a “show me” discount: Whatever promises management makes, operating numbers will have to show it before the price will rise. That’s the experience for owners of Algonquin Power & Utilities.",https://finnhub.io/api/news?id=7d2cb281d5d20438d177698fd7247d6c237caba71a563667d37b06041a063a64
company,2022-10-02 11:00:00,"Jobs Report, Constellation Brands Stock, Illumina, and More to Watch This Week",116577046,https://images.barrons.com/im-635263/social,AEP,MarketWatch,"September jobs numbers will be released on Friday, plus earnings from Lamb Weston, Conagra, McCormick, and Constellation. Also, September PMIs and August JOLTS.",https://finnhub.io/api/news?id=5123fa5d4ad6e21b16ec72a01ff8f81f5ed3be4ace9590b8d3e0caff473edf08
company,2022-09-30 08:30:00,AEP AND LIBERTY REACH AMENDED AGREEMENT ON SALE OF KENTUCKY OPERATIONS,116365573,https://s.yimg.com/uu/api/res/1.2/tmHoj2_5JGgw9Xh0Iqmgyg--~B/aD0yMjE7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/7ad1586e58b5ed6d490485f7c00ccb5a,AEP,Yahoo,"American Electric Power (Nasdaq: AEP) has signed an amended agreement on the sale of its Kentucky operations to Liberty and expects to close on the sale in January 2023 following approval of the transaction from the Federal Energy Regulatory Commission (FERC), which is due by Dec. 16. The amendment has no impact on AEP's planned equity needs or operating earnings guidance.",https://finnhub.io/api/news?id=3f159f3cb0f8b694cc68cc623ee2da5fc949bb6211c6b0b89b0b2f4622bfcf68
company,2022-09-30 04:39:05,"AMERICAN ELECTRIC POWER CO INC : Entry into a Material Definitive Agreement, Regulation FD Disclosure, Financial Statements and Exhibits (form 8-K)",116355100,,AEP,Finnhub,"Item 1.01. Entry into a Material Definitive Agreement.As previously disclosed, on October 26, 2021, American Electric Power Company,Inc. , AEP Transmission Company, LLC and Liberty Utilities Co.,... | September 30, 2022",https://finnhub.io/api/news?id=a88d79ce0e0f275f7bf6907aa7a05062de6ac09da94794a94acb9a5182a79fbc
company,2022-09-30 04:30:00,Algonquin Agrees to Path Forward on Kentucky Power Acquisition,116361699,,AEP,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=6438ed1ea91c5ba384c64ba01528b6005649355204e96f71b05d4a5a9bf90e10
