category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 12:35:00,Align Technology Inc. stock outperforms market on strong trading day,116242702,https://images.mktw.net/im-220105/social,ALGN,MarketWatch,"Shares of Align Technology Inc. rallied 2.06% to $222.43 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=1b85734f46d729891e417370c14829da2aeaa3744b1b2420773477385663f3f2
company,2022-09-28 16:10:00,Align Technology’s Next Generation Invisalign Virtual Care AI-assisted Remote Monitoring Solution Automates and Streamlines Practice Workflows,116310720,https://s.yimg.com/uu/api/res/1.2/bDWkd47Wou7DCwHLLoey_w--~B/aD00MjE7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/322241c3d1e38915cc9d78b41ce6d87a,ALGN,Yahoo,"TEMPE, Ariz., September 28, 2022--Align Technology, Inc. (""Align"") (Nasdaq: ALGN), a leading global medical device company that designs, manufactures, and sells the Invisalign system of clear aligners, iTero intraoral scanners, and exocad CAD/CAM software for digital orthodontics and restorative dentistry, today introduced Invisalign Virtual Care AI, its next generation remote monitoring solution with new artificial intelligence-assisted capabilities that streamline workflows for doctors and the",https://finnhub.io/api/news?id=8025410286c5b7d19fd6810a4409e7996c2c178ad61df15f91b613cc2a129cee
company,2022-09-28 12:35:00,Align Technology Inc. stock underperforms Wednesday when compared to competitors,116348545,https://images.mktw.net/im-220105/social,ALGN,MarketWatch,"Shares of Align Technology Inc. slumped 0.99% to $212.10 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=537d8b629b1ee4b3b33ca31166ebf34946cdb7d959dd26311c386eb5b68294ec
company,2022-09-28 12:11:01,Align Technology's Next Generation Invisalign Virtual Care AI-assisted Remote Monitoring Solution Automates and Streamlines Practice Workflows,116310369,,ALGN,Finnhub,"Automation – AI-assisted Automatic Assessment and Automated Notifications enable doctors to prioritize treatment tracking exceptions to address treatment progress including patient compliance,... | September 28, 2022",https://finnhub.io/api/news?id=d1675384c3cc047476d0d7fa670381978fa2c13d5d13a0ff34e1a9b9ffe49841
company,2022-09-27 12:35:00,"Align Technology Inc. stock falls Tuesday, underperforms market",116348546,https://images.mktw.net/im-220105/social,ALGN,MarketWatch,"Shares of Align Technology Inc. shed 2.47% to $214.22 Tuesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=aa392b8da0be4b79d6371b8b972454f28a686a04663d9c7b8dd7f7d9179d4960
company,2022-09-26 12:35:00,"Align Technology Inc. stock falls Monday, underperforms market",116348547,https://images.mktw.net/im-220105/social,ALGN,MarketWatch,"Shares of Align Technology Inc. shed 1.25% to $219.64 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=4c7d615a5c2b47e982559f09da0adb6ea0e5c9d486afbe94249887648a7dadb6
company,2022-09-26 10:23:00,"Got $2,000? Invest In These 2 Perpetually Growing Stocks",116258557,,ALGN,Yahoo,"It's great to own evergreen stocks that keep growing even when the economy is a mess and when consumer preferences are shifting rapidly.  In that vein, let's dive into a pair of very different healthcare companies that have the right mixture of resilience and dynamism to be profitable investments in the economic environment of today, as well as the one we might have tomorrow.  It's a pretty safe bet that people will always want to feel more confident about their appearance, and that's why Align Technology (NASDAQ: ALGN) with its Invisalign tooth straighteners is set up to grow for years and years.",https://finnhub.io/api/news?id=1dbe22f0f7f6b49c6ab9bca7249302ab0df275cd283f9f429e8e16c7b4f3b816
company,2022-09-26 07:45:00,Align Technology call volume above normal and directionally bullish,116309825,https://thefly.com/images/meta/options.jpg,ALGN,Thefly.com,Bullish option flow detec... ALGN,https://finnhub.io/api/news?id=ee04aac19b65fb660372a23c7e48d31a6fdcc70902dde620cc3d6cea72ba1d70
company,2022-09-29 12:35:00,"Align Technology Inc. stock falls Thursday, still outperforms market",116348544,https://images.mktw.net/im-220105/social,ALGN,MarketWatch,"Shares of Align Technology Inc. shed 0.51% to $211.01 Thursday, on what proved to be an all-around dismal trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=9c32e7df83d92099629755711ef73fc0cc9af140a9d3ab38f93b4247661b6063
company,2022-09-29 11:11:03,Implied Volatility Surging for Align Technology (ALGN) Stock Options,116339518,https://s.yimg.com/uu/api/res/1.2/x7AJ0AkRL_CYuqXFyPb2BQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/c8704ffaba0234da981fa842a48f77b5,ALGN,Yahoo,Investors need to pay close attention to Align Technology (ALGN) stock based on the movements in the options market lately.,https://finnhub.io/api/news?id=f00325fbfffec87d39d839aeb7ebf7b0cdfc3bedc8299b8211877ccc201daa46
