category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 07:00:25,"Applied Materials (NASDAQ:AMAT) sheds 5.2% this week, as yearly returns fall more in line with earnings growth",116231841,https://s.yimg.com/uu/api/res/1.2/hoFYS1bWPfkcr_Lk8hmHQw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/6082f0de8f524e9e1bc3e6a1a00ecc31,AMAT,Yahoo,"It might be of some concern to shareholders to see the Applied Materials, Inc. ( NASDAQ:AMAT ) share price down 17% in...",https://finnhub.io/api/news?id=cf12a78aaa63d010951867fb97f4a3f6c8dbdb01a306c6506583395342e05347
company,2022-09-23 17:45:09,Applied Materials (AMAT) Stock Moves -0.88%: What You Should Know,116228822,https://s.yimg.com/uu/api/res/1.2/Tw87WEC1wh0JNb8.IBuFMA--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/03fca48475577988aa4e0db94f484b4e,AMAT,Yahoo,"Applied Materials (AMAT) closed at $84.29 in the latest trading session, marking a -0.88% move from the prior day.",https://finnhub.io/api/news?id=ca938cb64a03548966da76349673bd7f1339bf6703c2d78fe3372aa92a409162
company,2022-09-23 12:36:00,Applied Materials Inc. stock outperforms market despite losses on the day,116241644,https://images.mktw.net/im-220105/social,AMAT,MarketWatch,"Shares of Applied Materials Inc. slid 0.88% to $84.29 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=dfc60f0bce675d6ce66bb2f5e0582386e4549f92cde6796440286a4de2ea7532
company,2022-09-23 01:49:00,Susquehanna Reaffirms Their Hold Rating on Applied Materials (AMAT),116219810,,AMAT,TipRanks,Susquehanna analyst Mehdi Hosseini reiterated a Hold rating on Applied Materials (AMAT &#8211; Research Report) today and set a price target of $115.00. The company...,https://finnhub.io/api/news?id=879a3f318ea6554c39adb9e72d03aad291c770e06547e991134125e30870fede
company,2022-09-28 13:03:44,Back To The Future: Review Of Our Semis Work,116312002,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363604124/image_1363604124.jpg?io=getty-c-w750,AMAT,SeekingAlpha,"We end the July quarter having written about 20 of our favorite semiconductor names, and this article studies how our ratings played out. Click to read more.",https://finnhub.io/api/news?id=480d41a1abe2bccb8c51a9082bfc12a2e6e04961d18ed028106c0d8c15b49ac3
company,2022-09-28 10:00:30,"Declining Stock and Solid Fundamentals: Is The Market Wrong About Applied Materials, Inc. (NASDAQ:AMAT)?",116314663,https://s.yimg.com/uu/api/res/1.2/hoFYS1bWPfkcr_Lk8hmHQw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/6082f0de8f524e9e1bc3e6a1a00ecc31,AMAT,Yahoo,"With its stock down 15% over the past month, it is easy to disregard Applied Materials (NASDAQ:AMAT). But if you pay...",https://finnhub.io/api/news?id=7067066b4c43da7d91b336f5ee9a0db6c530ec78079d2abb13a9b251bebaa135
company,2022-09-28 01:09:00,Applied Materials price target lowered to $85 from $95 at Barclays,116315071,https://thefly.com/images/meta/streetresearch_recommendations.jpg,AMAT,Thefly.com,Barclays analyst Blayne C... AMAT,https://finnhub.io/api/news?id=56823a34b28550595e595564757c5a8ddeb249dd313d1d6031b6d2c38c081660
company,2022-09-27 09:15:50,10 Stocks to Sell Now According to Javier Velazquez’s Albar Capital,116280956,https://s.yimg.com/uu/api/res/1.2/3ptjRuF9zFogdBLg9qy2FA--~B/aD02MDA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/8b8e863ce8af6e05c43253e2178f03a9,AMAT,Yahoo,"In this piece, we will take a look at the ten stocks to sell now according to Javier Velazquez’s Albar Capital. If you want to skip our introduction of the hedge fund and jump ahead to the top five stocks in this list, then take a look at 5 Stocks to Sell Now According to […]",https://finnhub.io/api/news?id=f436ff51604f3d6fc24a2c8e27fcee5e39cad2c2f3225705d7dbb07cf3be0dee
company,2022-10-02 08:01:08,"Why Applied Materials, Inc. (NASDAQ:AMAT) Could Be Worth Watching",116383346,https://s.yimg.com/uu/api/res/1.2/hoFYS1bWPfkcr_Lk8hmHQw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/6082f0de8f524e9e1bc3e6a1a00ecc31,AMAT,Yahoo,"Today we're going to take a look at the well-established Applied Materials, Inc. ( NASDAQ:AMAT ). The company's stock...",https://finnhub.io/api/news?id=00e5264c9e78c73df2d787224d0c703d991d4f3df58c36440fd3af8976c864bb
company,2022-09-30 08:31:51,Micron: Not A Stock For Long-Term Investors,116360222,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1150565928/image_1150565928.jpg?io=getty-c-w750,AMAT,SeekingAlpha,"Micron has reported a negative set of results, and its outlook for the next quarter was even worse. Read why I think MU stock is a sell after earnings.",https://finnhub.io/api/news?id=059e29095e4c79e6acc1022b5dfbb77c98454f88021f177a32d95496791c5c3e
