category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 05:00:00,The Near-Perfect Portfolio: Sleep Well During Turbulent Times,116231823,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1364371014/image_1364371014.jpg?io=getty-c-w750,AMGN,SeekingAlpha,"The principles of NPP revolve around sustainable income, lower drawdowns, capital preservation, and reasonable growth over the long. Read more here.",https://finnhub.io/api/news?id=4522cd2cc75715b5451ec2c8878364322631d7968a1c8739c1915dca5865d4b4
company,2022-09-23 13:58:56,Don't Fight The Fed: 2 Blue Chip Dividend Buys And 1 Strong Sell,116223039,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1411280113/image_1411280113.jpg?io=getty-c-w750,AMGN,SeekingAlpha,"Fed took the most hawkish stance yet, as Powell takes a page out of Volcker's book. Find out couple of high-quality dividend names to pick up ahead of any turbulence.",https://finnhub.io/api/news?id=4391a3f55bb2c63380a37b71f225e47689a8c6b65fd62e5c6e1f0779a571d47d
company,2022-09-23 12:36:00,Amgen Inc. stock underperforms Friday when compared to competitors,116224737,https://images.mktw.net/im-220105/social,AMGN,MarketWatch,"Shares of Amgen Inc. shed 0.34% to $226.97 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=33f0231fda748dc4f0274c43d2041440226b637410b965a5941c96f6065ba7e6
company,2022-09-23 08:01:09,Amgen (NASDAQ:AMGN) shareholders have earned a 7.3% CAGR over the last five years,116214738,https://s.yimg.com/uu/api/res/1.2/CFs_WULfFYYyM1iyv.feAw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/7137ef364be97d9882cfa4ec57169a99,AMGN,Yahoo,"If you buy and hold a stock for many years, you'd hope to be making a profit. But more than that, you probably want to...",https://finnhub.io/api/news?id=c2326a38c71d45f75fb06bee961b79c19dc37b4a0860b7895a78907a72d2447a
company,2022-09-23 04:16:00,Solicitor general recommends Supreme Court shouldn't review Amgen patent case,116224783,https://thefly.com/images/meta/hotstocks.jpg,AMGN,Thefly.com,The U.S. solicitor genera... AMGN,https://finnhub.io/api/news?id=c13a4ac18702183c9c411fcb28cd43d9a2db54f086e789b3f8b965840f9ca81f
company,2022-09-28 08:00:00,3 Biotech Stocks to Buy and Hold for the Next 10 Years,116299144,,AMGN,Yahoo,"Several biotech stocks have outperformed the struggling market this year.  This list includes Vertex Pharmaceuticals (NASDAQ: VRTX), Exelixis (NASDAQ: EXEL), and Amgen (NASDAQ: AMGN).  Let's consider why these three biotechs are solid buys for the next decade.",https://finnhub.io/api/news?id=437c36148542a4bc937677843877f3eceef8f3a643035e2840ad188c2839451b
company,2022-09-28 07:15:00,Cantor Fitzgerald healthcare analysts to hold KOL luncheon panel,116308315,https://thefly.com/images/meta/converenceevents.jpg,AMGN,Thefly.com,"In conjunction with Canto... AZN, AMGN, MRTX, GILD, IMAB, NVS, SURF, PFE, ALXO, RHHBY, MRK",https://finnhub.io/api/news?id=1926d0e59864f56ab4cb7342c8c43478564671697ad81ed28a5aeef8646795e6
company,2022-09-27 17:50:09,Amgen (AMGN) Dips More Than Broader Markets: What You Should Know,116291537,https://s.yimg.com/uu/api/res/1.2/e0VWXB5.wUFiKGuJPPpLzg--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/a7cdcede0bb5a646be035f4a7e678781,AMGN,Yahoo,"In the latest trading session, Amgen (AMGN) closed at $225.99, marking a -0.39% move from the previous day.",https://finnhub.io/api/news?id=3b6ddbc1bd1447efe2829a7d9702ecbf73fb9422f5d33d1285c83f54564f17f2
company,2022-09-27 08:00:33,Amgen Inc. (NASDAQ:AMGN) insiders sold US$4.9m worth of stock suggesting impending weakness.,116281992,https://s.yimg.com/uu/api/res/1.2/CFs_WULfFYYyM1iyv.feAw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/7137ef364be97d9882cfa4ec57169a99,AMGN,Yahoo,"Many Amgen Inc. ( NASDAQ:AMGN ) insiders ditched their stock over the past year, which may be of interest to the...",https://finnhub.io/api/news?id=7d860b85f111dc4faeba7d02c055137bafbbf66d694416504fde43ea7dfde12e
company,2022-09-27 07:25:00,Warning! A Housing Market Crash Will Tank These 3 Stocks.,116309000,https://investorplace.com/wp-content/uploads/2022/02/reit_housing_down_1600.png,AMGN,InvestorPlace,Don't be complacent about a potential black-swan event. A housing market crash would send these three stocks plunging.,https://finnhub.io/api/news?id=6212a4ee6f88dc2d818843b13418cabb4b219710b6cd264958c7d7890d9b3702
