category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 12:36:00,Ansys Inc. stock outperforms market despite losses on the day,116242618,https://images.mktw.net/im-220105/social,ANSS,MarketWatch,"Shares of Ansys Inc. slid 1.08% to $229.54 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=43ec7e18e889a2917e3efa77b3023895b088421c376e98c1cbdb55d5a275dbd2
company,2022-10-06 12:37:00,Ansys Inc. stock outperforms market despite losses on the day,116577315,https://images.mktw.net/im-220105/social,ANSS,MarketWatch,"Shares of Ansys Inc. slid 0.69% to $232.23 Thursday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=2411b7d7018c6eb292393aed28e6da99b9a907457e67e5cb8bcb233400d05040
company,2022-10-06 05:30:00,Ansys Named to Newsweek's List of the Top 100 Most Loved Workplaces for 2022,116505315,,ANSS,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b16e83cd184c88a69129e38226acde7ea1757137362421e32b90866ac7c3acb3
company,2022-10-05 12:37:00,Ansys Inc. stock outperforms market on strong trading day,116577316,https://images.mktw.net/im-220105/social,ANSS,MarketWatch,"Shares of Ansys Inc. inched 0.27% higher to $233.84 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=e8b96a270243aa0ddb8cff6b5790a5ac05ace9476fb3018a83347fdc41087561
company,2022-10-04 12:37:00,"Ansys Inc. stock rises Tuesday, still underperforms market",116577317,https://images.mktw.net/im-220105/social,ANSS,MarketWatch,"Shares of Ansys Inc. advanced 2.30% to $233.21 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=15d39115f59ebf96d59439958966fd6a2ce78e2ce3d52d6a7ef6d7eac5099783
company,2022-10-04 01:01:00,Top 5 3rd Quarter Trades of Sp - GuruFocus.com,116472980,https://static.gurufocus.com/images/logo_global.png,ANSS,GuruFocus,GuruFocus Article or News written by insider and the topic is about: ,https://finnhub.io/api/news?id=e54c278646948b5eac932610229c74bc485016ae71603581fd5030125edbaf11
company,2022-10-03 12:37:00,Ansys Inc. stock underperforms Monday when compared to competitors despite daily gains,116577318,https://images.mktw.net/im-220105/social,ANSS,MarketWatch,"Shares of Ansys Inc. rose 2.83% to $227.97 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=b0903d57f22a9b5ff697740eab267dffe90c29779826178d78aa88a82e6efa5f
company,2022-10-02 20:53:50,Tracking Ron Baron's BAMCO Portfolio - Q2 2022 Update,116387354,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1056792912/image_1056792912.jpg?io=getty-c-w750,ANSS,SeekingAlpha,Ron Baron's 13F portfolio value decreased from $40.75B to $31.14B this quarter. Click here to read more about BAMCO's holdings and trades for Q2 2022.,https://finnhub.io/api/news?id=d83acfffcda6fa374209e342d1bb7e8ac006603067846102e39d22bd5774aabc
company,2022-10-10 18:15:10,ANSYS: Stimulating Simulation,116580124,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363871331/image_1363871331.jpg?io=getty-c-w750,ANSS,SeekingAlpha,"ANSYS has been doing alright, albeit that margins are lagging for a while now. Read why I am not yet comfortable to commit yet to ANSS stock here.",https://finnhub.io/api/news?id=9b31f58d7d0a7d753a322432b3eeb2fd3c8984d31d32e3cb3abbdfd5b3e16023
company,2022-10-09 22:21:00,"Fly Insider: MillerKnoll, Lattice Semi among week's notable insider transaction",116587241,https://image.thefly.com/catalog/201904/img_471.jpg,ANSS,Thefly.com,"CEO of MillerKnoll  Andrea Owen purchased  $1.02M in company shares, while Lattice Director Mark Jensen sold $450K in shares MLKN, RVPH, FARM, KNTK, AKAM, ANSS, LSCC, AAON",https://finnhub.io/api/news?id=29f11fde454db7f0af987d56fd3f725a9a0ec8a6c815c2d24a78279fda0aefaa
