category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 17:50:09,ASML (ASML) Stock Moves -1.11%: What You Should Know,116225327,https://s.yimg.com/uu/api/res/1.2/T44Iwg7RbRrkaTIYz_liyQ--~B/aD00Njk7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/737ffb82e07dc8bffb77e72d153c91f2,ASML,Yahoo,"ASML (ASML) closed at $436.14 in the latest trading session, marking a -1.11% move from the prior day.",https://finnhub.io/api/news?id=304906909524e5e0cf49008c6d6932549f3d4523afae16c4d6e7e20717d20f57
company,2022-09-23 06:45:38,"VGK: Deutsche Bank Sees Brutal EU Economic Contraction In 2023, Yet It May Still Be Overly Optimistic",116214591,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1367897388/image_1367897388.jpg?io=getty-c-w750,ASML,SeekingAlpha,Deutsche Bank expects EU economy to contract 2.2%. Read more to see why EU as a whole will underperform and VGK ETF's significant headwinds.,https://finnhub.io/api/news?id=1d3dcd0bc3aa41b1409bd329957105d8f67b22d5ef6ed9e3ab776bdb9dc2ab8a
company,2022-09-27 22:43:27,Apple Ditches iPhone Production Increase After Demand Falters,116289677,https://s.yimg.com/ny/api/res/1.2/1rmm9mIKA8BNJtSUq_dGzQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/bloomberg_technology_68/740b72dc1c339afb4f570722ae9611cc,ASML,Yahoo,"(Bloomberg) -- Apple Inc. is backing off plans to increase production of its new iPhones this year after an anticipated surge in demand failed to materialize, according to people familiar with the matter.Most Read from BloombergGermany Suspects Sabotage Hit Russia’s Nord Stream PipelinesPutin’s Mobilization Hits Russia’s Economy in Its Weak SpotsAlzheimer’s Progression Slowed by Drug in Major TrialUS Housing Prices Fall for First Time Since 2012Everything-Selloff on Wall Street Deepens on 98% Re",https://finnhub.io/api/news?id=e55a7f53c8ff7575991de6d0846731194f9337f1f280a70975edb85b49aae0d8
company,2022-09-26 08:03:00,ASML reports transactions under its current share buyback program,116263745,https://s.yimg.com/uu/api/res/1.2/lJNmLfR0LQFkSn6_KnWOAQ--~B/aD02MDt3PTIxNTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/globenewswire.com/48879941279132ff69d566a42ae86fb2,ASML,Yahoo,"ASML reports transactions under its current share buyback program VELDHOVEN, the Netherlands – ASML Holding N.V. (ASML) reports the following transactions, conducted under ASML's current share buyback program. DateTotal repurchased sharesWeighted average priceTotal repurchased value19-Sep-2235,000 €462.7263 €16,195,420.50 20-Sep-2235,000 €461.9375 €16,167,812.50 21-Sep-2235,000 €465.2854 €16,284,989.00 22-Sep-2235,000 €457.3429 €16,007,001.50 23-Sep-2235,000 €442.5250 €15,488,375.00 ASML’s curre",https://finnhub.io/api/news?id=03ae15e60710b859734de4480b0947b34e95f07fa6f4269a2c28434475b82086
company,2022-09-26 06:00:00,3 Bargain Stocks You Can Buy Today and Hold Forever,116251989,https://s.yimg.com/ny/api/res/1.2/q9uZRO95uoHQQQzeabB6GQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/2fc02b731e872c970d67d89f1f7ca099,ASML,Yahoo,"Meanwhile, Microsoft just raised its dividend by 9.7% this week, and the stock now yields over 1.1%, along with even more shareholder returns via share repurchases.  Meanwhile, Microsoft's Azure cloud infrastructure platform grew 40% last quarter, and appears to have many years of strong growth ahead of it; in fact, a recession might even accelerate cloud adoption among enterprises as they seek efficiencies.  Microsoft actually has a higher bond rating than that of the U.S. government, with a Standard & Poor's AAA rating.",https://finnhub.io/api/news?id=46f656c6c1657060f6d14e184dd7fa88008f2ab5d1247ac9022f1d96ab75f806
company,2022-09-26 05:20:00,"Got $5,000? 3 Tech Stocks to Buy and Hold for the Long Term",116251990,https://s.yimg.com/ny/api/res/1.2/FoeFvCzA1LuUFEa_8PrZIA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/16c9b1aac8eace3d59c2013cc918f326,ASML,Yahoo,"If you'd invested $5,000 in an S&P 500 index fund 10 years ago, your investment would be worth around $12,500 today.  For example, a $5,000 investment in Amazon (NASDAQ: AMZN) would have grown over the past decade to around $44,000, while the same investment in Google (whose parent company is now called Alphabet) would be worth nearly $27,000 today.  Not every stock will be the next Amazon or Alphabet, but some lucrative long-term buying opportunities have emerged in the growing cloud, semiconductor, and ad-tech markets as the grueling bear market drags on.",https://finnhub.io/api/news?id=6c815eabc861313dd191f21c3b54462d169fa2f663a78f58e3c6817b5fd31b27
company,2022-09-25 23:51:00,ASML upgraded to Neutral from Underperform at Grupo Santander,116266890,https://thefly.com/images/meta/streetresearch_upgrade.jpg,ASML,Thefly.com,Grupo Santander analyst C... ASML,https://finnhub.io/api/news?id=b008364ff0ad28c8488a6d3c8d4ccbbc26c63d345cf405984e4912f490a31a43
company,2022-09-30 11:14:30,7 Long-Term Stocks to Buy to Tap Into a Hidden Bull Market,116407249,https://s.yimg.com/uu/api/res/1.2/K4imarpHtBid54jBkqdApw--~B/aD00MDA7dz03Mjg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/investorplace_417/abc7f008e6b4726600a49cf362e8f7b6,ASML,Yahoo,"With the earnings season looming, investors are scrambling to identify the best long-term stocks to buy. Hopes for a soft landing for the economy have largely faded away after the third consecutive 75-basis-point interest rate hike by the Federal Reserve. Meanwhile, other than the energy sector, recession fears have restrained forward-looking guidance for most companies. Many Wall Street names will likely find it difficult to outpace previous earnings reports. As a result of the gray clouds over",https://finnhub.io/api/news?id=76ad2e891c6fa69d6ae6402f151c1518f28fc13ff8d9e44027e7b5ee85f00ab4
company,2022-09-30 08:00:31,10 Best Cheap Growth Stocks To Buy Now,116412724,https://s.yimg.com/uu/api/res/1.2/4SUCDSMAHi4e2T9fgkXOog--~B/aD01MTI7dz02MjY7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/b3925c78922c77b9d0c0ee51b0ec5c2e,ASML,Yahoo,"In this article, we discuss the 10 best cheap growth stocks to buy now. If you want to read about some more value stocks, go directly to 5 Best Cheap Growth Stocks To Buy Now. Two fundamental investment techniques are growth investing and value investing. Growth stocks are shares of companies that are expected to grow […]",https://finnhub.io/api/news?id=853ffd515629a3e3b8aebf019b7f5d2dfe36e4732434faf78fadf60793cf67d0
company,2022-09-30 07:00:00,How the Next Semiconductor Crisis Could Be Different From 2009,116367957,https://s.yimg.com/ny/api/res/1.2/ARJXYXUStN0j.dFxpr6N3Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/motleyfool.com/d62d22b513a15a06aa291b54a1d5321e,ASML,Yahoo,ASML stock is down over 45% on the fear that there might be a decrease in semiconductor equipment spending.,https://finnhub.io/api/news?id=9971554598c43e27e940ee71bf48983e2ac386398a1d4f2cb8829f883ff7086f
