category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 00:00:00,It’s Hard to Find a Good Tech Stock These Days. These 12 Have Held Up Best.,116240392,https://images.barrons.com/im-629851/social,ATVI,MarketWatch,"In a turbulent market for tech, a few stocks, including Activision Blizzard and T-Mobile, have managed to limit their losses to less than 15%.",https://finnhub.io/api/news?id=00aef5d8d16e2da357c85b0ecd79b96e25c773ca7ff76b9387671772d14a6f68
company,2022-09-23 07:00:00,Microsoft’s Real Game With Activision,116211998,https://s.yimg.com/ny/api/res/1.2/AMmzdBgxNmwS0Q6l5BoPHA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/wsj.com/d1e8e73af83e1883ee84fe49423f01dc,ATVI,Yahoo,"If Microsoft wants to make investors some real money, here’s an idea: It should openly promise to keep “Call of Duty” on the PlayStation forever.",https://finnhub.io/api/news?id=2c7e436c893ba986db6ef01044dc24cf6b258428ad781a4c864d13b723c9d69c
company,2022-09-23 12:37:00,"Activision Blizzard Inc. stock falls Friday, underperforms market",116242522,https://images.mktw.net/im-220105/social,ATVI,MarketWatch,"Shares of Activision Blizzard Inc. slid 2.70% to $74.95 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=34c011058bcf5e7e942f84bf4cd9c7853e21a0f8c887fe7d6a7c0681002ccd91
company,2022-09-23 09:11:39,The Sex Scandal That Gave Activision To Microsoft,116217146,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/975124258/image_975124258.jpg?io=getty-c-w750,ATVI,SeekingAlpha,"ATVIâs CEO kept alleged rapes from board. With regulators circling, he had to go. Read more here.",https://finnhub.io/api/news?id=99e323aeb158187aea23e370a383d165b072ff6662e62e31ba751a1ceabf9ec7
company,2022-09-22 22:30:00,The Biden Administration Is Playing Hardball With M&A Deals,116220259,https://images.barrons.com/im-628484/social,ATVI,MarketWatch,The Justice Department has signaled that it's more willing to bring antitrust challenges in court. What it could mean for Microsoft and Activision Blizzard.,https://finnhub.io/api/news?id=52b3491af68afa32bfca547e5ec14901adabb987c1aa0d31fd9fa6ab62c11214
company,2022-09-28 10:15:00,Warren Buffett Loves Activision Blizzard. Should You?,116307742,https://s.yimg.com/ny/api/res/1.2/rtN7vlyUOcKr_WSn534Low--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/c80ef659e9084602d5f6f4ada9bc4e0f,ATVI,Yahoo,"There's no denying Warren Buffett is the greatest living investor.  Berkshire Hathaway has generated better than 20% compounded annual returns since 1965.  Although Buffett's performance in recent years has been well below that (about 8% a year over the past five years), it's his consistency over time that has attracted legions of investors to follow him.",https://finnhub.io/api/news?id=d61bd15a54def791e05c3580e326d4ce2d40ab3f4bff5a14d949cb1a5ecff3ce
company,2022-09-27 16:56:08,Activision Blizzard (ATVI) Launches WoWs Second Expansion,116288115,https://s.yimg.com/uu/api/res/1.2/rZnXLiYc69wKmt2LaSrpbw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/364df354347662fec17f74cb3952412c,ATVI,Yahoo,Activision Blizzard (ATVI) releases World of Warcraft: Wrath of the Lich King at no additional cost to all players with an active World of Warcraft subscription.,https://finnhub.io/api/news?id=7bf53515d07435ebf2e0bdf36869eba37407dfbf2e1f5a43440d7d5281606961
company,2022-09-27 16:55:08,Electronic Arts (EA) to Feature Musqueam Artwork in FIFA 23,116288116,https://s.yimg.com/uu/api/res/1.2/rmV2GFt7fvtQl5u2PVbeeg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/a1e23acf83fd7cc7593b81c5ee3aedbb,ATVI,Yahoo,"Electronic Arts (EA) recognizes the history, heritage and culture of the Musqueam Indian Band by including artwork and assets from Musqueam artists in FIFA 23",https://finnhub.io/api/news?id=74ff9089e8a6f7294fcb2523e06fb2ecc4a5909796983b84ad8a9e5cd69d4814
company,2022-09-27 10:07:00,Why Warren Buffett Loves Activision Blizzard Stock,116288117,https://s.yimg.com/ny/api/res/1.2/52a4rEY5bKQS.M.T3Fqvnw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/445882e8846c6d1a9dd673257aff038f,ATVI,Yahoo,"The video game company is an acquisition target, but there are a few hurdles its would-be buyer will need to clear.",https://finnhub.io/api/news?id=2024aac95d55b397c19c7ae27815d64494e082623217f969f8080203756c2310
company,2022-09-27 07:27:00,What You Missed This Week in Video Games,116306190,https://image.thefly.com/catalog/201810/img_76.jpeg,ATVI,Thefly.com,"New 'FIFA' out this week NTDOY, SONY, MSFT, GOOG, GOOGL, NFLX, TTWO, LOGI, NVDA, ATVI, EA, UBSFY, OTGLY, WMT, RBLX",https://finnhub.io/api/news?id=e115e2ebd18b6ad33649b8cc53b099035aa4b7ab484ebf6e6a112ae3264b49fc
company,2022-09-27 05:12:00,"Analystsâ Top Technology Picks: Activision Blizzard (ATVI), Adobe (ADBE)",116306340,,ATVI,TipRanks,There&#8217;s a lot to be optimistic about in the Technology sector as 3 analysts just weighed in on Activision Blizzard (<span class='tr-stock-ticker' style='color...,https://finnhub.io/api/news?id=6c38a01e15417b5955aafaef336242b3d26e0f2dcd4605ca5be1c6769c5ce6d8
company,2022-09-26 18:00:10,"Activision Blizzard, Inc (ATVI) Stock Moves -0.83%: What You Should Know",116267971,https://s.yimg.com/uu/api/res/1.2/w.ILboV799eZj6zbyZJ3SQ--~B/aD02MDE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/5ecaf2a9bf082a5f3a554e6526b34be0,ATVI,Yahoo,"Activision Blizzard, Inc (ATVI) closed the most recent trading day at $74.33, moving -0.83% from the previous trading session.",https://finnhub.io/api/news?id=8f47595c29cfd7e4ab8a6e6d9dc38f2639e5ae366b0ee863291ce5935538da9d
company,2022-09-26 18:00:00,Brave the Frozen North in World of Warcraft®: Wrath of the Lich King Classic™—Live Now,116266303,https://s.yimg.com/uu/api/res/1.2/nFd.ih.VhG_QKyJ5MkZSjg--~B/aD0zNzM7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/49b7ee8fdc122ca676a517c407b1a169,ATVI,Yahoo,"IRVINE, Calif., September 26, 2022--The icy winds of Northrend are wailing once more, heralding news that Blizzard Entertainment’s Wrath of the Lich King Classic™ is now live. All players with an active subscription automatically receive access to the re-creation of WoW®’s acclaimed second expansion at no additional cost and can log in to begin their adventures into the frozen wilds of Azeroth’s northern continent today. The legendary story can be experienced on all realms previously dedicated t",https://finnhub.io/api/news?id=01a541aa10ce3e00c5b885aabb91451437ccebebd3f17aa0151fd8cc3a92bd80
