category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 06:49:00,3 Medical Stocks Displaying Remarkable Relative Strength In 2022,116234351,https://images.pexels.com/photos/2383010/pexels-photo-2383010.jpeg?auto=compress&cs=tinysrgb&h=750&w=1260,AZN,TalkMarkets,3 medical stocks that displayed a substantial amount of relative strength year-to-date.,https://finnhub.io/api/news?id=5a5b8f9effec2f3b65eb2f13e494edb5f2be4dae9f85203a1eb64f10fe750aa1
company,2022-09-23 09:41:29,Ionis Pharmaceuticals Nosedives After AstraZeneca Drops High Cholesterol Drug Test,116215057,https://s.yimg.com/uu/api/res/1.2/JphEJ9EpEfrLXIR_ADszLg--~B/aD01NjM7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/616695ca8d8e75585248b67d063c72a1,AZN,Yahoo,Ionis stock tumbled Friday after partner AstraZeneca decided against sending their high cholesterol treatment into Phase 3 testing.,https://finnhub.io/api/news?id=fd82395bae129903210a057db12ff5ae7f671f19374c4f9b38a088cb49daf17b
company,2022-09-23 14:26:06,Ionis' (IONS) Hypercholesterolemia Drug Not to Enter Phase III,116225386,https://s.yimg.com/uu/api/res/1.2/c23rHSrGLTeyi6ecjtGakg--~B/aD0zNDY7dz02MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/88c5b382e5e9e4ea852e01bfc1435a7b,AZN,Yahoo,"Ionis (IONS) posts data from the phase IIb SOLANO study on ION449 for treating hypercholesterolemia. Though the study met the primary endpoint, ION449 will not advance into phase III development.",https://finnhub.io/api/news?id=907698df6d97076aa4aa7d30bdf59e31f64f2093621398dfe20e4c24e42f5900
company,2022-09-23 14:12:00,"ADRs End Lower, Alibaba and AstraZeneca Trade Actively",116242570,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,AZN,MarketWatch,By Denny Jacob International stocks trading in New York closed lower on Friday. The S&P/BNY Mellon index of American depositary receipts dropped 3.4% to...,https://finnhub.io/api/news?id=3080191b492c739b7d27004e78c41f6fe1aa35313da83375c0141882205c1d85
company,2022-09-23 12:39:00,AstraZeneca PLC ADR underperforms Friday when compared to competitors,116223171,https://images.mktw.net/im-220105/social,AZN,MarketWatch,"The AstraZeneca PLC ADR shed 3.07% to $54.58 Friday, on what proved to be an all-around rough trading session for the stock market, with the NASDAQ Composite...",https://finnhub.io/api/news?id=838cb2d18669a677975a030087c766cc407cc5b4e51f5be1d018c3f275697946
company,2022-09-23 10:02:02,"Pharma Stock Roundup: EU Nod to AZN & RHHBY Drugs, FDA Updates for LLY & MRK",116219642,https://s.yimg.com/uu/api/res/1.2/VTpWEp9iphTX3xsYcMogbg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/ca9d72216d7bb42fc496430c3df29b41,AZN,Yahoo,"Roche's (RHHBY) eye drug, Vabysmo and AstraZeneca's (AZN) asthma drug Tezspire get approval in Europe. The FDA approves expanded use of Lilly's (LLY) cancer drug, Retevmo.",https://finnhub.io/api/news?id=ca5fbb3c03fadd2922292c4596a0757ef4d592fae798d048060193872da445e3
company,2022-09-23 09:12:01,AstraZeneca Pulls Plug On Ionis Pharma-Partnered Cholesterol Med,116225387,https://s.yimg.com/uu/api/res/1.2/Dv6AP_ySmVgN23LYluXzzA--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/b2797ff8e382c0c7cc66b62c8d437dcb,AZN,Yahoo,"Ionis Pharmaceuticals Inc (NASDAQ: IONS) announced topline data from the Phase 2b SOLANO study of ION449 (AZD8233) for hypercholesterolemia (high cholesterol levels). Ionis said that although the candidate met the primary endpoint, its partners at AstraZeneca Plc (NASDAQ: AZN) have decided not to move it into Phase III studies because the ""results did not achieve pre-specified efficacy criteria."" The trial showed that 60mg of ION449 (AZD8233) administered monthly achieved a statistically signifi",https://finnhub.io/api/news?id=482f7b2a5e9ff8702824551806a12508e90c3e2c6be9a481bb71be0f5d5e957c
company,2022-09-23 06:45:38,"VGK: Deutsche Bank Sees Brutal EU Economic Contraction In 2023, Yet It May Still Be Overly Optimistic",116214591,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1367897388/image_1367897388.jpg?io=getty-c-w750,AZN,SeekingAlpha,Deutsche Bank expects EU economy to contract 2.2%. Read more to see why EU as a whole will underperform and VGK ETF's significant headwinds.,https://finnhub.io/api/news?id=1d3dcd0bc3aa41b1409bd329957105d8f67b22d5ef6ed9e3ab776bdb9dc2ab8a
company,2022-09-23 01:23:00,AstraZeneca's Ultomiris approved in Europe in gMG treatment,116219339,https://thefly.com/images/meta/hotstocks.jpg,AZN,Thefly.com,"The company states: ""... AZN",https://finnhub.io/api/news?id=0df59aa44062322313a3663a6eb244b546f1deb6acdcae83062b35fdabdbb524
company,2022-09-23 00:12:00,Ionis Pharmaceuticals announces AstraZeneca decision to not advance ION449 trial,116219340,https://thefly.com/images/meta/hotstocks.jpg,AZN,Thefly.com,"Ionis Pharmaceuticals (IO... IONS, AZN",https://finnhub.io/api/news?id=0d1b16a4235e78b9efdb9ba05f34a406923f291acec1ea9e24d4c8a78a4e5463
