category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 09:29:00,Biotech Valuations Remain In a Slump,116233215,,BIIB,Yahoo,"Biotech stocks continue to slump and have taken a beating for over 12 months, but some promising data could lead to a rebound.  The cheap valuations of the sector right now could be good entry points for investors, experts said.  One catalyst coming up in the fall is the pending decision from the FDA for the clinical trial of an Alzheimer drug, Eisai's  lecanemab that is being jointly developed with Biogen .",https://finnhub.io/api/news?id=85edd3906f12782025d0435b7cf53b60ab79d3bc70fea9662e80df88214878d2
company,2022-09-23 16:41:53,IBD Stock Of The Day: Could 'The Biggest Drug Ever' Drive Eli Lilly Stock Even Higher?,116222877,https://s.yimg.com/uu/api/res/1.2/24s6Kd.Y6aRuhzGjmvKs7g--~B/aD00MzA7dz04MTY7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/ibd.com/46cf1b249c8e0e05c03323b0349611ee,BIIB,Yahoo,"Eli Lilly is the IBD Stock Of The Day as investors watch the company's obesity and Alzheimer's drugs, which could help shares skyrocket.",https://finnhub.io/api/news?id=11c085151ad3417b193b57c362293f5b856cf6b0575d21d19c966d90299bd27f
company,2022-09-23 12:40:00,"Biogen Inc. stock falls Friday, still outperforms market",116223227,https://images.mktw.net/im-220105/social,BIIB,MarketWatch,"Shares of Biogen Inc. shed 1.42% to $197.78 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=15cf594343b8c47aa1575c72c36ad1b6b11723b21e673baeb7fc578565872900
company,2022-09-23 00:00:16,Alzheimer’s drug trial brings pivotal test of maligned brain plaque theory,116206199,,BIIB,Yahoo,"A late-stage trial of an Alzheimer’s drug set to generate results within weeks is shaping up as a pivotal moment in a three-decade quest to prove that removing sticky amyloid plaques from the brain can slow down the disease.  The phase 3 trial is being led by Eisai, a Tokyo-based pharmaceutical company that has partnered US biotech Biogen to develop lecanemab.  Earlier studies suggested the monoclonal antibody treatment can clear plaques known as beta amyloid that are at the centre of an increasingly acrimonious scientific debate over what causes Alzheimer’s.",https://finnhub.io/api/news?id=3fc5a4b3d5517d008acf1b4d877b8151936bcaf53b474c586db57e63a33b0aba
company,2022-09-22 23:30:00,Mizuho Securities Reaffirms Their Hold Rating on Biogen (BIIB),116219386,,BIIB,TipRanks,"In a report released today, Salim Syed from Mizuho Securities maintained a Hold rating on Biogen (BIIB &#8211; Research Report), with a price target of $207.00. The...",https://finnhub.io/api/news?id=c23678ce3a69b131467a311e0f12c789f7b62f8dfd9e19c97b85b07f2a2a1040
company,2022-09-22 21:22:00,Analyst Favorites With Strong Buyback Activity: Biogen Ranks As a Top Pick,116235002,,BIIB,The Online Investor,"the online investor,BIIB,",https://finnhub.io/api/news?id=caf0e355c531af6581cd20a3b23c3bbd81b2eceacb784b7e288b6c069c13f896
company,2022-09-28 17:28:24,"Dow Jones Jumps 549 Points As Treasury Yields Tumble, But Now What? Eli Lilly Leads 7 Bullish Stocks",116312650,https://s.yimg.com/uu/api/res/1.2/PpHQWLIKatr9D7NT7X6nnw--~B/aD02MDA7dz0xMDY1O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/89039c0e4d3b6c6a5f27c761dcb0809f,BIIB,Yahoo,The major indexes rebounded as Treasury yields tumbled from 4% as the Bank of England resumed bond buying. Eli Lilly led stocks showing bullish action. Here's what to do now.,https://finnhub.io/api/news?id=dd7b5102c636ca527fdd64221477eb93a54efae85b46cff250765ae2843d0404
company,2022-09-28 16:31:02,Biogen Alzheimer's drug may be 'first effort of a clear win': Analyst,116313069,https://s.yimg.com/ny/api/res/1.2/1k_dxdr9fwELzNDNq9f7bg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2022-09/4cc01cf0-3f6c-11ed-bfed-2b0b4b04beed,BIIB,Yahoo,"Baird Senior Research Analyst Brian Skorney joins Yahoo Finance Live to discuss the breakthrough of Biogen's Alzheimer's drug, which is pushing the stock higher.",https://finnhub.io/api/news?id=1e87a97ed1728d73c0dac41bd12eafcd1317a8c625f2c5e19e4f829a7c72455b
company,2022-09-28 16:23:27,Biogen Rally Adds $11 Billion in Value on Alzheimer’s Win,116313070,https://s.yimg.com/ny/api/res/1.2/YtYHRhZByIANXWAIwghgEA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/bloomberg_markets_842/66c61daa3e85c954c7c92930b366228f,BIIB,Yahoo,(Bloomberg) -- Biogen Inc. rose the most since November 2020 after a key clinical trial with its partner Eisai Co. showed the therapy lecanemab slowed the progression of Alzheimer’s disease.Most Read from BloombergApple Ditches iPhone Production Increase After Demand FaltersGermany Suspects Sabotage Hit Russia’s Nord Stream PipelinesS&P 500 Roars Back From Six-Day Slide; Bonds Surge: Markets WrapPutin’s Mobilization Hits Russia’s Economy in Its Weak SpotsRussia Declares Victory in Sham Ukraine ‘,https://finnhub.io/api/news?id=96729285471e428bd9bb045c4def9b933d2efdbf6b51d8d7b88ad33887658b58
company,2022-09-28 16:12:02,Biogen Explodes Higher After Potential Mega Blockbuster Alzheimer's Drug Succeeds,116310721,https://s.yimg.com/uu/api/res/1.2/gGtWauwwpKBZXOY5aJgvTw--~B/aD01NjM7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/62ea04b193c69f632062452b474d8cea,BIIB,Yahoo,Biogen stock catapulted Wednesday — bringing shares of other Alzheimer's plays with it — after its experimental treatment succeeded in a test.,https://finnhub.io/api/news?id=f9801885bd0fd6c874763e8c82af7b41ad2f7325bb5990deae35b66d1c971e1f
