category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 12:40:00,"Booking Holdings Inc. stock falls Friday, underperforms market",116241710,https://images.mktw.net/im-220105/social,BKNG,MarketWatch,"Shares of Booking Holdings Inc. slipped 2.95% to $1,669.88 Friday, on what proved to be an all-around dismal trading session for the stock market, with the...",https://finnhub.io/api/news?id=2f4c283a39f4a720b543e3167699a94d0e02520c0c855e9f6670d68694a50694
company,2022-09-23 07:00:32,Earnings Tell The Story For Booking Holdings Inc. (NASDAQ:BKNG),116219091,https://s.yimg.com/uu/api/res/1.2/00OqBzbQM9NM6aQKBzc4vA--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/992331fc596d921e34ccfa3b8813259a,BKNG,Yahoo,"When close to half the companies in the United States have price-to-earnings ratios (or ""P/E's"") below 14x, you may...",https://finnhub.io/api/news?id=78688469c7bb664216eeb7eb5d4fa4dd8ec1fbe3adc93c0732304549fff1a179
company,2022-09-28 07:03:00,Priceline Expands into the Activities Sector with the Introduction of Priceline Experiences,116299795,https://s.yimg.com/uu/api/res/1.2/ZXDpaODcFw1ovyGLX5Y0Tw--~B/aD0zNDY7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/a47cbc03c75d8fcf22d023a5eabb0398,BKNG,Yahoo,"Today, leading online travel agency Priceline is introducing Priceline Experiences, further expanding its booking capabilities into ticketed activities and excursions. From museum visits and theme park tickets to off-the-beaten-path local tours and guided excursions, Priceline Experiences enables consumers to quickly discover and book more than 80,000 activities in more than 100 countries around the world, making vacation planning even easier.",https://finnhub.io/api/news?id=aae0fea9e74a7c9f3792a96c3fde88ebc15980ccbaccbd2f13687eef2a8ee446
company,2022-09-28 07:00:00,Priceline Adds Experiences From TUI Musement,116309956,https://s.yimg.com/uu/api/res/1.2/itr3sDswtcV1MS_WpozHnw--~B/aD02ODI7dz0xMDI0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/skift_501/f3d3d6e3013135686fa987e824f7efb8,BKNG,Yahoo,"Priceline added aquarium tickets and guided tours to its longtime roster of hotels, cars, flights, vacation packages and cruises through an experiences partnership with TUI Musement. The tie-up means Priceline, a Connecticut-based Booking Holdings brand, can offer some 80,000 activities in 100 countries or more, the company said. “We strive to provide a seamless booking […]",https://finnhub.io/api/news?id=2ed0cbc190d375063b584068c91a8b41e7219af55717f976c7151542af684a6f
company,2022-09-27 08:00:40,Can Booking Holdings Inc. (NASDAQ:BKNG) Maintain Its Strong Returns?,116289056,https://s.yimg.com/uu/api/res/1.2/00OqBzbQM9NM6aQKBzc4vA--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/992331fc596d921e34ccfa3b8813259a,BKNG,Yahoo,Many investors are still learning about the various metrics that can be useful when analysing a stock. This article is...,https://finnhub.io/api/news?id=f6d80c4c2b13841385c950e9025abb1a492791afd3f0a619f055fba37130c115
company,2022-09-27 04:51:16,Tracking David Rolfe's Wedgewood Partners Portfolio - Q2 2022 Update,116278551,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1248262649/image_1248262649.jpg?io=getty-c-w750,BKNG,SeekingAlpha,Wedgewood Partnersâ 13F portfolio value decreased from $709M to $579M. Click here to read more about Wedgewood Partners Portfolio's holdings and trades for Q2 2022.,https://finnhub.io/api/news?id=771ee052ab62edfba3968697598d6335c0e2d0c1066ae0e165f6179aeff826bc
company,2022-09-27 00:58:22,Outbound Asian tourists to hit pre-pandemic levels by 2024-Agoda CEO,116273684,,BKNG,Finnhub,"By Chayut Setboonsarng | September 27, 2022",https://finnhub.io/api/news?id=5de341922e22bc1899facb511aa06b69ea7db9fa78601317d2b95c38d6dd0355
company,2022-09-25 22:15:00,"Even in a Recession, Divergent Stocks Will Prosper",116264364,https://investorplace.com/wp-content/uploads/2022/04/stock-graph-arrow-rebound.png,BKNG,InvestorPlace,"Divergent stocks have been the perfect recessionary medicine. During crashes, they tend to soar -- while the rest of the market collapses.",https://finnhub.io/api/news?id=177324e395ddb0c1aa9aa9a3b84ec576e3ddbb393d2e54b42a4ef23ff5aca17e
company,2022-09-25 06:32:25,The 10 Best Places in the U.S. to Travel on a Budget,116246783,,BKNG,Yahoo,"Image source: Getty Images Americans are spending big on travel these days. With pent-up demand from the pandemic, some of the big personal spending increases this year have been for travel and recreation.",https://finnhub.io/api/news?id=5d3b4b6e88ac28e418dcefad9a31329da252d3ef0f881caab7c265f391eff714
company,2022-10-01 09:00:25,A Booking Holdings Inc. (NASDAQ:BKNG) insider increased their holdings by 32% last year,116371407,https://s.yimg.com/uu/api/res/1.2/00OqBzbQM9NM6aQKBzc4vA--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/992331fc596d921e34ccfa3b8813259a,BKNG,Yahoo,"From what we can see, insiders were net buyers in Booking Holdings Inc.'s ( NASDAQ:BKNG ) during the past 12 months...",https://finnhub.io/api/news?id=a5098da10a864416ee2f867d8839c5fd7e24e234f7ed7a5483480f6c8b2f8670
