category,datetime,headline,id,image,related,source,summary,url
company,2022-09-28 10:00:00,Constellation Joins State and Federal Officials to Celebrate Progress on Nation’s First Nuclear-Powered Clean Hydrogen Facility,116310442,https://s.yimg.com/uu/api/res/1.2/nOvm3FPz9LWXQWzF7wg.Yg--~B/aD0zMzI7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/0b5ab30c39534fb54f641fe9c6931b8e,CEG,Yahoo,"OSWEGO, N.Y., September 28, 2022--U.S. DOE, NYSERDA and the New York State PSC joined Constellation to celebrate the nation’s first nuclear-powered clean hydrogen production facility.",https://finnhub.io/api/news?id=06558230e908f11e2d0f41a1acea07ac972adff24848346eb4439162919862d9
company,2022-09-28 06:03:02,Constellation Joins State and Federal Officials to Celebrate Progress on Nation's First Nuclear-Powered Clean Hydrogen Facility,116303681,,CEG,Finnhub,"The Nine Mile Point hydrogen production project will demonstrate the value of combining the most abundant element in the universe with nuclear energy to address the climate crisis... | September 28, 2022",https://finnhub.io/api/news?id=c9b91dae96f670c7adfc9c6b12ee052e20799eb4138611fe4fd9e1113cb9c7b0
company,2022-09-30 12:06:00,How fast utilities recover from hurricanes like Ian can tell you which of their stocks is best,116573013,https://images.mktw.net/im-634832/social,CEG,MarketWatch,"For a fund manager focused on utility stocks, how these highly-regulated companies prep for and react to storms like the powerful Ian can be a valuable test.",https://finnhub.io/api/news?id=83113977bf83ea966bb35e52ab32c2b47322387d57a6319d151193b0101c0ea1
company,2022-09-30 08:52:00,The 5 Best—and 5 Worst—Stocks in the Nasdaq This Quarter,116593618,https://images.barrons.com/im-634689/social,CEG,MarketWatch,Constellation Energy was the best performer in the Nasdaq 100 for the third quarter. Okta was the worst.,https://finnhub.io/api/news?id=ed92949ba8fc2e6906d8b59da34b1c351546ee3848dd10768ee42415b51e86f4
company,2022-10-06 01:00:00,Top 5 3rd Quarter Trades of Ve - GuruFocus.com,116526146,https://static.gurufocus.com/images/logo_global.png,CEG,GuruFocus,GuruFocus Article or News written by insider and the topic is about: ,https://finnhub.io/api/news?id=6febaed8174a63d6ad6140d669cd0d230caf628934f1539f5197f220ae1b0e4b
company,2022-10-04 07:38:00,Goldman Sachs Sticks to Their Buy Rating for Constellation Energy Corporation (CEG),116479666,,CEG,TipRanks,"In a report released today, Michael Lapides from Goldman Sachs maintained a Buy rating on Constellation Energy Corporation (CEG &#8211; Research Report), with a pri...",https://finnhub.io/api/news?id=4ce3f320464bd4537ec6468c27af676c93813c9101b8581e9b75d9ee9f2b4ada
company,2022-10-03 02:06:00,Constellation Energy initiated with an Outperform at Credit Suisse,116430121,https://thefly.com/images/meta/streetresearch_initiate.jpg,CEG,Thefly.com,Credit Suisse analyst Nic... CEG,https://finnhub.io/api/news?id=b099aec39dd034f9b7ce1d4f0b69e97b93fd78587669537698e63ddbd5582125
company,2022-10-11 14:37:58,Jim Cramer goes over the best and worst Q3 performers in the S&P 500,116597911,https://image.cnbcfm.com/api/v1/image/105841883-1554839951795img_1153r.jpg?v=1665527878&w=1920&h=1080,CEG,CNBC,Cramer said he wouldn't touch this stock with a 10-foot pole.,https://finnhub.io/api/news?id=d7ad0edc9ad43d1af11161a707c96f80f1b62afc2a62a72c1d6989a9c4b9edfd
company,2022-10-16 21:08:00,Funds Added To CEG Positions,116723609,,CEG,Preferred Stock Channel,"Staff article entitled Funds Added To CEG Positions, about stock options, from Holdings Channel.",https://finnhub.io/api/news?id=eab701d35f81a4505a0d3bf943909d22aa5c93b61e36ce250637ad11ba3fa237
company,2022-10-21 07:42:00,Analysts Offer Insights on Utilities Companies: Sempra Energy (SRE) and Constellation Energy Corporation (CEG),117821592,,CEG,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=278ed621b7f8eb3186ea9fc8362f20eb3bd5b61ed0dacf5e17ac7d903ee9daf9
company,2022-10-20 23:55:53,Constellation Energy Is A Buy As Its Cleared Volumes Will Increase,116764546,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1351744817/image_1351744817.jpg?io=getty-c-w750,CEG,SeekingAlpha,Constellation Energyâs cleared volumes will increase in the following quarters. Click here to see CEG's growth catalysts and why I consider the stock a buy now.,https://finnhub.io/api/news?id=188386ee58acbe2515022806f112e4e168f2c3cf8f5ec8b33769b64bf297b9e9
company,2022-10-20 14:20:44,Constellation Energy adds another former McCormick executive to board of directors,116748486,,CEG,Yahoo,Nneka Rimmer most recently was president of global flavors and extracts for Hunt Valley-based McCormick.,https://finnhub.io/api/news?id=3d96d2df0adeaa8484d6ab20f7352909386196cfea3c2c4b703e24556bdaa534
company,2022-10-20 11:52:13,"Constellation Energy: Doing All The Right Things, Earnings Ahead",116749411,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1351744817/image_1351744817.jpg?io=getty-c-w750,CEG,SeekingAlpha,Constellation Energy sports one of the best gains within the S&P 500 since late July. Click here to read my analysis why I think the CEG stock is a buy.,https://finnhub.io/api/news?id=c6ec28f5fbb1f7a3ef497e759dd9b776417bc0c34eefb83c75e7eb3278476114
company,2022-10-20 01:19:00,Constellation Energy price target raised to $97 from $87 at KeyBanc,117821595,,CEG,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b5e67c7066598742feda0ee87be03f8710f6de6b32a1cf4808939ef939fad77a
company,2022-10-19 09:00:00,Constellation Appoints Nneka L. Rimmer to Its Board of Directors,116722732,https://s.yimg.com/uu/api/res/1.2/eZcae1n44xUEceR5S8c7oQ--~B/aD0xNjY7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/c84874aa32ef646b36e806592b5b61c1,CEG,Yahoo,"BALTIMORE, October 19, 2022--Constellation announced today the election of Nneka L. Rimmer to its Board of Directors effective Nov. 1, 2022.",https://finnhub.io/api/news?id=0d9a78d3fe2e3c35c588372b6a59367513c946bbcdbb587dcd869508bc457f4c
company,2022-10-24 21:33:00,"Artemis Investment Management LLP Buys 4, Sells 1 in 3rd Quarter",117821591,,CEG,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=4dd3d923bfc9b686e15534f71d1a82b97112df349d63db1679e1827b4a29607a
company,2022-10-24 21:33:00,Artemis Investment Management  - GuruFocus.com,116822436,https://static.gurufocus.com/images/logo_global.png,CEG,GuruFocus,GuruFocus Article or News written by insider and the topic is about: ,https://finnhub.io/api/news?id=d3b7f82748e0acabd1c2381f2126862eeb69f67791a27f1463ac1f3f503efdc1
company,2022-10-24 15:24:51,Cramer's lightning round: I can't recommend Icahn Enterprises,116812688,https://image.cnbcfm.com/api/v1/image/104548461-RTX1ILBY.jpg?v=1666653891&w=1920&h=1080,CEG,CNBC,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",https://finnhub.io/api/news?id=b264282fc4b2d94718f899b58e1d28dd950db81b3fd498efc621211c94d75099
company,2022-11-02 21:01:00,"Costello Asset Management, INC Buys 3, Sells 2 in 3rd Quarter",117821578,,CEG,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=66c1073f68c13435ea2921c027eab192e62f8b23e922e390efb1048f19d27f16
company,2022-11-02 21:01:00,"Costello Asset Management, INC - GuruFocus.com",116993735,https://static.gurufocus.com/images/logo_global.png,CEG,GuruFocus,GuruFocus Article or News written by insider and the topic is about: ,https://finnhub.io/api/news?id=b2e2c0604da5640b95957ffc396f879d83cdf927d19b3c872b0ac12263d05a27
