category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 18:00:08,Comcast offers grants to Oakland small businesses owned by women and people of color,116225166,https://s.yimg.com/ny/api/res/1.2/s3WJjvbIJgoQV7suGVRfzA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/bizjournals.com/be3d227344a4a9567b73e81211d1ae33,CMCSA,Yahoo,One Black entrepreneur said she views grants as her version of venture capital for her small business.,https://finnhub.io/api/news?id=9f10b49338143218f823f96f6a2ffd2afe777e337e1552cd2ad0f8b90fa54d11
company,2022-09-23 17:50:09,Comcast (CMCSA) Dips More Than Broader Markets: What You Should Know,116225167,https://s.yimg.com/uu/api/res/1.2/Fs_R4sd8jCoOMib958Znmg--~B/aD02MDM7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/zacks.com/432476d296d64c50172213c0415587c9,CMCSA,Yahoo,"Comcast (CMCSA) closed at $31.84 in the latest trading session, marking a -1.94% move from the prior day.",https://finnhub.io/api/news?id=b5ee0483e544ec2d7298464b0b076384cadb2270a1d6fb69f052fea3e1a342a4
company,2022-09-23 14:13:40,"Hulu Lost All 20 Seasons of ‘Keeping Up With the Kardashians’ and Other NBCU Shows, Which Are Now on Peacock",116219563,https://variety.com/wp-content/uploads/2019/04/keeping-up-with-the-kardashians.jpg?w=1000,CMCSA,Yahoo,Hulu’s loss is Peacock’s gain. NBCUniversal’s claw-back of programming rights from Disney’s Hulu has resulted in the removal this week of dozens of past seasons of popular shows on the streamer — including the entire run of “Keeping Up With the Kardashians” — as those have now flown over to NBCU’s own Peacock. Seasons 1-20 […],https://finnhub.io/api/news?id=361e652c95eb35d9da7156283fb0823eccfd5a44045499f1c4a690b6f0ed04d9
company,2022-09-23 12:44:00,"Comcast Corp. Cl A stock falls Friday, underperforms market",116242617,https://images.mktw.net/im-220105/social,CMCSA,MarketWatch,"Shares of Comcast Corp. Cl A slid 1.94% to $31.84 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=d6e980d6f3b6ef6e4ecd2e62f4503047c3804100e8c3fc94e2bc2b9ddc0b0b2e
company,2022-09-23 11:20:05,ESPN would help Disney and Comcast settle a score,116217833,https://static.reuters.com/resources/r/?m=02&d=20220923&t=2&i=1609645501&r=LYNXMPEI8M0PQ,CMCSA,Reuters,"When it comes to modern corporate sagas, few deliver the drama between Walt Disney and Comcast. Their rivalry adds intrigue to the desire of Disney boss Bob Chapek to acquire the rest of streaming service Hulu from the cable operator sooner rather than later. Comcast Chief...",https://finnhub.io/api/news?id=f3389c46bfb9963b00d1faf1a616cc73fb8f5b39009f072313f7999f58c39228
company,2022-09-23 09:22:38,Disney: Business Rebound Underway Making It A Buy,116217252,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/498795584/image_498795584.jpg?io=getty-c-w750,CMCSA,SeekingAlpha,"Since we first recommended Disney, the stock has been down some 32%, making the stock much more reasonably priced at the current levels. Read more here.",https://finnhub.io/api/news?id=29ea2cd66cb7130f0945a7b9f616b9a1245ca6f8d763ba68259b5332f5d51499
company,2022-09-23 09:00:00,Comcast to Host Third Quarter 2022 Earnings Conference Call,116219565,https://s.yimg.com/uu/api/res/1.2/Ezz0a12JM8924qQhKj5gcg--~B/aD0xNjg7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/4b617e4359391d1f4c812b1f6cafeedd,CMCSA,Yahoo,"PHILADELPHIA, September 23, 2022--Comcast Corporation will host a conference call with the financial community to discuss financial results for the third quarter on Thursday, October 27, 2022, at 8:30 a.m. Eastern Time (ET). Comcast will issue a press release reporting its results earlier that morning.",https://finnhub.io/api/news?id=8cbdf8d519eaaaa0eb63cd0beacb5ca3d88af30d0c8aa0060691247ea05f943d
company,2022-09-23 06:05:00,Comcast call volume above normal and directionally bullish,116216854,https://thefly.com/images/meta/options.jpg,CMCSA,Thefly.com,Bullish option flow detec... CMCSA,https://finnhub.io/api/news?id=dcc2758baf7434020e7928d7f4f7546ca12ff71c2fb06a2cb549872d425ae515
company,2022-09-23 03:29:22,Samsung Electronics Tapped To Support Comcast's 5G Connectivity Efforts,116210546,,CMCSA,Finnhub,"Samsung's 5G RAN solutions provide Comcast new ways to deliver a seamless connectivity experience wherever and whenever Xfinity Mobile and Comcast Business Mobile customers need it mostSamsung... | September 23, 2022",https://finnhub.io/api/news?id=edad6555944dd3e5220cedb034d7658f3bedeca39ae6ae58ee7052e037111ab4
company,2022-09-22 23:02:14,Philadelphia Flyers and Wells Fargo Center add Snickers manufacturer as corporate partner,116205578,,CMCSA,Yahoo,"Mars Inc., the Virginia-based maker of Snickers, M&M's and Milky Way candies, has signed a deal to be an official partner of the Philadelphia Flyers and the Wells Fargo Center.  Financial terms of the agreement were not disclosed.  Under the partnership, Mars will get ""several highly visible assets"" including a static in-ice logo placement; naming rights of the Flyers Community Ticket Grant Program, which will be presented by Snickers; and a game sponsorship which will include ""creative fan giveaways.""",https://finnhub.io/api/news?id=04e0ca04b1b8ee7131e8defa24e019ed128a0c79440c89648d3e4aae308b7351
company,2022-09-22 22:57:00,Bet On It: Sports betting put on backburner in Missouri,116223106,https://image.thefly.com/catalog/202005/img_819.jpg,CMCSA,Thefly.com,"BetMGM partners with NBC Sports on 2022 NFL season, Hong Kong announcement on reopening imminent and other notable stories in the sports betting and iGaming space. IGAC, ELYS, PENN, MGM, GMVHF, CMCSA, CMCSK, BRAG, BALY, LVS, MLCO, WYNN, PDYPY, BYD, ACEL, CZR, CHDN, GAN, GENI, RSI",https://finnhub.io/api/news?id=f4d893bab170ba7a1351893eec36ef2bb8303e6577f1a373957e48af82b32559
company,2022-09-28 19:56:00,Stocks And Sectors With The Biggest Declines,116317921,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/465483617/image_465483617.jpg?io=getty-c-w750,CMCSA,SeekingAlpha,"The average stock in the Russell 3000 was down 41.7% from its 52-week high as of the close on Monday. Across the entire Russell 3000, weâve seen more than $13 trillion in market cap erased.",https://finnhub.io/api/news?id=641d8f12d27821e3b0d2997f22440e252586142631474da8aebc1b2d4db92c73
company,2022-09-28 17:49:09,"Top Research Reports for Broadcom, Comcast & Equinor",116315054,https://s.yimg.com/uu/api/res/1.2/vgNGcqDwM4JS1qJBQ3iMlg--~B/aD00MTM7dz02MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/5df985592397b85aaf091b6205125458,CMCSA,Yahoo,"Today's Research Daily features new research reports on 16 major stocks, including Broadcom Inc. (AVGO), Comcast Corp. (CMCSA) and Equinor ASA (EQNR).",https://finnhub.io/api/news?id=62de5641694783dc922c305524fc8fc89c593e5b1b9eaf73171fcaf758106a01
company,2022-09-28 16:20:00,Meta Tops Morningstar List of Undervalued Stocks,116314282,https://s.yimg.com/ny/api/res/1.2/3WfS1BuYGp4ixrTRpLDDkA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/thestreet.com/0ca76f51d9c061b004a0e518fcbc8514,CMCSA,Yahoo,Morningstar created a roster of the most undervalued stocks among the ones to which it assigns a wide moat.,https://finnhub.io/api/news?id=f129d8838556c9a4e12d57b7f1d8f945e5bd3f0859dc985ddb77a09772e336be
company,2022-09-28 12:30:28,Exclusive-Brands blast Twitter for ads next to child pornography accounts,116307086,https://static.reuters.com/resources/r/?m=02&d=20220928&t=2&i=1610047582&r=LYNXMPEI8R0SP,CMCSA,Reuters,"Some major advertisers including Dyson, Mazda and chemicals company Ecolab have suspended their marketing campaigns or removed their ads from parts of Twitter because their promotions are appearing alongside tweets soliciting child pornography, the companies told Reuters.",https://finnhub.io/api/news?id=4c3238ff8490e799fda99932ca2222d26d49f1cf665501d43e8b17392dd3464a
company,2022-09-28 11:40:00,"Disney World: Sorry Folks, Park's Closed",116308521,https://s.yimg.com/ny/api/res/1.2/9X7z0gUcrfcgV.LLMXH7lQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzY-/https://media.zenfs.com/en/motleyfool.com/61ea2bd1e79f2ab96eddb5f32926aea9,CMCSA,Yahoo,"With Hurricane Ian intensifying and preparing to slice through the state of Florida, theme parks had no choice but to lock their turnstiles for the safety of their guests and employees.  Disney (NYSE: DIS) is closing all of its Florida theme parks on Wednesday and Thursday.  Nearby competitors SeaWorld Entertainment (NYSE: SEAS) and Comcast's (NASDAQ: CMCSA) Universal are also shuttering their gated attractions for both days.",https://finnhub.io/api/news?id=a25f940e331dc3afe340492932a1c7cc0753dacc259eb9f6bd1d73915f9ff69a
company,2022-09-28 09:40:01,Here's Why Comcast (CMCSA) is a Strong Value Stock,116314284,https://s.yimg.com/uu/api/res/1.2/M2z0wFqvnPw7eaLU0tPuyQ--~B/aD02MzY7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/0c6f98f4bf655bec3b199bc1a71b8b85,CMCSA,Yahoo,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",https://finnhub.io/api/news?id=fd9e9e6a2ad576d92c6c4e50a8715fe33cd4c106b27ad7e7bfc03f2ff9729e2b
company,2022-09-28 09:00:01,Want Better Returns? Don't Ignore These 2 Consumer Discretionary Stocks Set to Beat Earnings,116312256,https://s.yimg.com/uu/api/res/1.2/9naTdeJlVMX28sdlDpLdrQ--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/ac90b3d74679f6d01a122aa033d8a9a4,CMCSA,Yahoo,Why investors should use the Zacks Earnings ESP tool to help find stocks that are poised to top quarterly earnings estimates.,https://finnhub.io/api/news?id=d414f993ee690b8fb40e36e776f51f9070747fa7f3492087e6a49e2659acf3ec
company,2022-09-28 04:42:01,Lionsgate leaning toward spinning off its studio business instead of Starz,116307882,https://image.cnbcfm.com/api/v1/image/104032445-IMG_2236a.JPG?v=1664368921&w=1920&h=1080,CMCSA,CNBC,"Lionsgate hasn't given up on also selling a minority stake in Starz, but there's more investor interest in the studio business.",https://finnhub.io/api/news?id=1a63d231b6df69562d4e347798096672d5e6f92aef83670f2278314d6a0f75bd
company,2022-09-28 02:22:00,Comcast price target lowered to $46 from $60 at Benchmark,116317386,https://thefly.com/images/meta/streetresearch_recommendations.jpg,CMCSA,Thefly.com,Benchmark analyst Matthew... CMCSA,https://finnhub.io/api/news?id=e75ab73a0f57fc9d0168b73133cecf67cb852115f494609b47893e470a8b8a68
company,2022-09-27 22:49:00,#SocialStocks: Details of Musk's deposition by Twitter still being hammered out,116312050,https://image.thefly.com/catalog/201810/img_86.jpg,CMCSA,Thefly.com,"Meta tests one interface for Facebook and Instagram, Elliot calls for Pinterest sale, and other notable stories from this week. CAH, WDC, TWTR, TSLA, ECL, DIS, CMCSA, CMCSK, KO, META, DTEGY, ORAN, TEF, VOD, GOOGL, GOOG, NFLX, AAPL, PTON, SNAP, PYPL, PINS, SU, SWCH",https://finnhub.io/api/news?id=42495f69b5a4e87eb827a76608dca6c52e824f40c564d99e55baf16b82bb1afb
