category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 10:00:00,"A Stock's Price ""Tells You Almost Nothing""",116232883,,CPRT,Yahoo,"Last time we played The Market Cap Game Show, returning champions Motley Fool analyst Yasser El-Shimy and Motley Fool contributor Brian Stoffel had to be content with a tie at five points apiece.  To catch full episodes of all The Motley Fool's free podcasts, check out our podcast center.  David Gardner: A lot of people, when they first think about stocks, tend to lock in on the share price.",https://finnhub.io/api/news?id=f5d48df44c2701865ace09b109a40b404b5807f5c2c5d888293dff37ddb51362
company,2022-09-23 22:24:00,5 High-Quality S&P 500 Stocks  - GuruFocus.com,116236507,https://static.gurufocus.com/photos/companies/discount_sale_reduce_price_value_investing_out_of_favor.jpg,CPRT,GuruFocus,GuruFocus Article or News written by James Li and the topic is about: Stocks to consider as investors monitor aggressive Fed interest rate hikes,https://finnhub.io/api/news?id=be82c62f7c4aaf857c38930e28939bdfe6ce3e832fc4cbe698ab79ae7caf3181
company,2022-09-23 12:46:00,Copart Inc. stock outperforms market on strong trading day,116241723,https://images.mktw.net/im-220105/social,CPRT,MarketWatch,"Shares of Copart Inc. advanced 1.01% to $106.14 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=81c462906041d2d7a917fbcd6c4bcc9865b1131a04d803f65a6b47fbf2d369a4
company,2022-09-28 05:42:00,First Week of May 2023 Options Trading For Copart (CPRT),116337065,,CPRT,Stock Options Channel,"Staff article entitled First Week of May 2023 Options Trading For Copart (CPRT), about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=da2b41ea4e5ea995ba04e63631fdfe3795b6d59fab45e85badcee3854dcbd548
company,2022-09-27 12:30:06,COPART INC Management's Discussion and Analysis of Financial Condition andResults of Operations (form 10-K),116286158,,CPRT,Finnhub,"CAUTION REGARDING FORWARD-LOOKING STATEMENTSThis Annual Report on Form 10-K for the fiscal year ended July 31, 2022, or thisForm 10-K, including the information incorporated by reference herein,... | September 27, 2022",https://finnhub.io/api/news?id=6fa79fd7f359d7ff92e62ca66a2f6b790a08159ea33d82baa0b8fe3f0bf4d22b
company,2022-09-27 11:57:03,COPART INC : Change in Directors or Principal Officers (form 8-K),116285441,,CPRT,Finnhub,"Item 5.02 Departure of Directors or Certain Officers; Election of Directors;Appointment of Certain Officers; Compensatory Arrangements of Certain Officers.On September 23, 2022, the Board of... | September 27, 2022",https://finnhub.io/api/news?id=4cbd062fba92fae4b81079124880f36b9b6d65254147bc47540cfdd3c4be1346
company,2022-09-27 04:51:16,Tracking David Rolfe's Wedgewood Partners Portfolio - Q2 2022 Update,116278551,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1248262649/image_1248262649.jpg?io=getty-c-w750,CPRT,SeekingAlpha,Wedgewood Partnersâ 13F portfolio value decreased from $709M to $579M. Click here to read more about Wedgewood Partners Portfolio's holdings and trades for Q2 2022.,https://finnhub.io/api/news?id=771ee052ab62edfba3968697598d6335c0e2d0c1066ae0e165f6179aeff826bc
company,2022-09-29 16:10:31,Top Funds Rev Up Demand As This Large Cap Eyes Breakout,116339407,https://s.yimg.com/uu/api/res/1.2/rd4jxOdKOdP.yw_w0LHhAA--~B/aD01NjU7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/335ae58c996c3dd0c9b06a4c554fe161,CPRT,Yahoo,"With its relative strength line soaring in a bad market, O'Reilly Automotive nears buy point with strong demand by top funds.",https://finnhub.io/api/news?id=02188bb7a98ad5e7af5ea75daa6f202edb7f2a047830f7eae6febfcd587c3445
company,2022-09-29 09:10:00,Nasdaq Bear Market: 2 Unbelievable Stocks You'll Regret Not Buying on the Dip,116331662,https://s.yimg.com/ny/api/res/1.2/1.ej2G.IPibL2jR9.hsP8g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/32f9e927196a6d431174125d6ac0d68c,CPRT,Yahoo,Bear markets all have one thing in common. Here's how smart investors can navigate today's bear markets and avoid the regret of missing the recovery.,https://finnhub.io/api/news?id=09b0b7a31ed8afc0d5b0ee6b736cd32ff4521e6858c2fd20cae5e14009216b6b
company,2022-09-29 09:02:39,Compounders And Dividends: Building A Watchlist,116333865,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/477583982/image_477583982.jpg?io=getty-c-w750,CPRT,SeekingAlpha,I explain how I generate ideas and my methodology of adding companies to my watchlist. Read here to know the stocks in areas/sectors that I find interesting.,https://finnhub.io/api/news?id=8cab9cb15f70677d7d2889730140311e882a97b2f565dd47307b6781b383c6aa
company,2022-10-04 12:46:00,IN BRIEF: UK competitions watchdog looks into Copart acquisition,116470037,,CPRT,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=990862d9f0f102ab8b2e0c8b2e687d71055923c957bdf38b05304851763e2277
company,2022-10-03 20:23:00,BetterInvesting™ Magazine Update on Copart Inc. and Charter Communications Inc.,116406331,https://s.yimg.com/uu/api/res/1.2/tXuvGH2OoXOzqGvr97Mh2Q--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/ba4e1e6f56fc8d4e59b8ab0dc6a78f24,CPRT,Yahoo,"The Editorial Advisory and Securities Review Committee of BetterInvesting Magazine today announced Copart Inc. (NASDAQ: CPRT) as its ""Stock to Study"" and Charter Communications Inc. (NASDAQ: CHTR) as its ""Undervalued Stock"" in the December 2022 issue for investors' informational and educational use.",https://finnhub.io/api/news?id=c9b53268daceeae8b42e2e1991cac7607beb0a04b5296d740af1cb95e52083a7
company,2022-10-10 08:18:06,"Is Now An Opportune Moment To Examine Copart, Inc. (NASDAQ:CPRT)?",116574662,https://s.yimg.com/uu/api/res/1.2/ZOQCmyATlYtp8ZaAQnvOpA--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/3906216b8cfc9ed88e06b5e462760ad6,CPRT,Yahoo,"Let's talk about the popular Copart, Inc. ( NASDAQ:CPRT ). The company's shares received a lot of attention from a...",https://finnhub.io/api/news?id=985f5fa7a39dca8974e8ab68f9d87421dad51b3ff139ea413cda6aea6cd8ce85
company,2022-10-07 11:30:03,"Why Is Copart, Inc. (CPRT) Down 3.1% Since Last Earnings Report?",116535501,https://s.yimg.com/uu/api/res/1.2/UYup8AGIrn99rMsHiTllqA--~B/aD04NzY7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/d0d4ab152198da2f423d92da8a7d22ee,CPRT,Yahoo,"Copart, Inc. (CPRT) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.",https://finnhub.io/api/news?id=ee041ed9c36ba89731fb32112ae80dfb5f02566f8684748859133af367d56e94
company,2022-10-11 12:26:43,10 Best Hurricane and Natural Disaster Stocks to Buy Now,116597695,https://s.yimg.com/uu/api/res/1.2/QW5u0KY.XHozEcKX4Xd9Gw--~B/aD02MDA7dz01OTI7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/3324bb3c5aea9eb32784a7c380c57761,CPRT,Yahoo,"In this article, we discuss 10 best hurricane and natural disaster stocks to buy now. If you want to read about some more natural disaster stocks, go directly to 5 Best Hurricane and Natural Disaster Stocks to Buy Now. Climate change in general and global warming in particular have started to create new problems for […]",https://finnhub.io/api/news?id=30f11c78b2fe6ed5af480a8f4fefef4ff1ca86c9275197f4371637dff0c8f7b0
company,2022-10-17 11:53:16,Wedgewood Partners’ Top Q3 Contributor: Copart Inc. (CPRT),116691546,https://s.yimg.com/uu/api/res/1.2/fPBmdPYxrMf2EQwYzxDyeg--~B/aD00NTU7dz03NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/a0e24883eb4904540569966102a2b39f,CPRT,Yahoo,"Wedgewood Partners, an investment management company, released its “Large Cap Focused Growth Fund” third-quarter 2022 investor letter. A copy of the same can be downloaded here. In the third quarter, the fund returned -4.1% net, compared to a -4.9% return for the Standard & Poor’s Index. In addition, you can check the top 5 holdings of […]",https://finnhub.io/api/news?id=dcc1bfd5320ee727be4b44f216a16860881649a41a15c59a948f0d60128459e3
