category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 15:24:59,"F5 Could More Than Double As Solid Demand Trends Continue & Supply Constrains Start To Ease, Needham Says",116225467,https://s.yimg.com/uu/api/res/1.2/dbXw392m0vYVlm2bPc3MJA--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/8660368e490e3993e2ef4d3e561f0139,CSCO,Yahoo,"Needham analyst Alex Henderson reiterated a Buy and $303 price target on F5, Inc (NASDAQ: FFIV). F5 was careful not to update conditions post its last earnings call, but he sensed that demand was vital for Security and Systems. Supply remains a significant constraint and has not improved materially, but it seems there was improvement at the margin. F5 highlights solid redesign progress, which should start to help in the FY1Q/CY4Q quarter and ramp across FY23. Also Read: AI 'Transformed' This Net",https://finnhub.io/api/news?id=c822c76b677caeb13c7f90c7b0d08bbd6950b1067d16afc64c229fdd00c84307
company,2022-09-23 12:46:00,"Cisco Systems Inc. stock falls Friday, still outperforms market",116224050,https://images.mktw.net/im-220105/social,CSCO,MarketWatch,"Shares of Cisco Systems Inc. slipped 1.19% to $40.66 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=b6e2236d4d686f478dfbd61be4ec0b24c44e7ed93178890d0f51c1a191274582
company,2022-09-23 10:13:27,Apple: The Last Shoe To Drop In This Developing Bear Market,116218105,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1352467594/image_1352467594.jpg?io=getty-c-w750,CSCO,SeekingAlpha,"After turning bullish on Apple shares in May 2016, I turned bearish in December 2021. Read why Apple shares could see significant downside in a range of scenarios.",https://finnhub.io/api/news?id=52a961726bb222e347bd1dd5eeb0b552aea3a8fc2008d0ac323f2182d6220c0f
company,2022-09-23 09:00:00,More Than Two Million Women Rock-IT,116227810,https://s.yimg.com/uu/api/res/1.2/oBvm2KR6FjJoz4t1DqXeqw--~B/aD00Njk7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/accesswire.ca/ba54284903541ec04aa3374c1a39939b,CSCO,Yahoo,"Cisco Systems Inc. In the 25 years since it was founded, inclusiveness has been at the core of Cisco Networking Academy. Networking Academy's global reach is amazing, with students in 190 countries and nearly 12 thousand academies offering over 30 courses in up to 27 languages. But making the program available is only half the challenge: making the demand inclusive is another matter. This is why, in 2014, we introduced the Women Rock-IT initiative.",https://finnhub.io/api/news?id=5c5131eaa8beae5e1d099acadd39bcec1188775227ef96ec48a2755af9a846cd
company,2022-09-23 02:34:18,"Dow in danger of breaking below June low, as all Dow stocks trading premarket are falling",116224051,https://s.wsj.net/public/resources/MWimages/MW-GP644_MicroS_ZG_20180906154215.jpg,CSCO,MarketWatch,"The Dow Jones Industrial Average undefined is in danger of a fourth-straight selloff Friday, and is on track to break below the June closing low, as all of...",https://finnhub.io/api/news?id=d4d20fe8d39eb4f8b6a7eb000b7cad9766fbef4a3a71ebb87616630811c5ab17
company,2022-09-22 21:11:00,Cisco Systems Becomes Oversold,116244284,,CSCO,Dividend Channel,"dividend channel,CSCO,",https://finnhub.io/api/news?id=0899e4fc6ae7f383502d5f8f645f76fb1edbea511dbde5bdc8d98d46b3506420
company,2022-09-28 19:56:00,Stocks And Sectors With The Biggest Declines,116317921,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/465483617/image_465483617.jpg?io=getty-c-w750,CSCO,SeekingAlpha,"The average stock in the Russell 3000 was down 41.7% from its 52-week high as of the close on Monday. Across the entire Russell 3000, weâve seen more than $13 trillion in market cap erased.",https://finnhub.io/api/news?id=641d8f12d27821e3b0d2997f22440e252586142631474da8aebc1b2d4db92c73
company,2022-09-28 15:34:40,12 Biggest Computer Hardware Companies in the World,116309805,https://s.yimg.com/uu/api/res/1.2/HKq1nYWgE1hDvJJ5dAWXrg--~B/aD02MDA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/94f0761acba6d4c9bedcb25bd9ea929b,CSCO,Yahoo,"In this article, we discuss the 12 biggest computer hardware companies in the world. If you want to skip our comprehensive analysis of these stocks, go directly to 5 Biggest Computer Hardware Companies in the World. According to the Computer Hardware Global Market Report 2022, the global market for computer hardware is expected to grow […]",https://finnhub.io/api/news?id=34380b38f4f78acd66aa6d113869eb5ca4a869642d73f507264d1857e0db9327
company,2022-09-28 03:00:01,"Adobe’s Figma deal brings new users to open-source challenger Penpot, which just raised $8 million",116301393,https://image.cnbcfm.com/api/v1/image/107125374-1664314543036-gettyimages-1407405174-kd_15622_2ff01c46-cbf4-4e2a-8051-1e127bcd9958.jpeg?v=1664362801&w=1920&h=1080,CSCO,CNBC,"Penpot, a 2-year-old open-source project, is getting new deployments after larger rival Figma agreed to be bought by software giant Adobe. ",https://finnhub.io/api/news?id=ec7507b2ef863d792ce2adc3243249823a20b10098b2e8f550b0dfec01551bf8
company,2022-09-28 01:39:00,7 Tech Sleeper Stocks to Buy Before Wall Street Wakes Up,116308684,https://investorplace.com/wp-content/uploads/2019/07/wall-street-sign-broadway-sign.jpg,CSCO,InvestorPlace,"Sleeper tech stocks are ones that don't make headlines every day, but have potential to grow. Here are seven good ones for your portfolio.",https://finnhub.io/api/news?id=2eda96555e10d0762328a52279d9331031b210d2204401f6923c69111b9856e6
