category,datetime,headline,id,image,related,source,summary,url
company,2022-09-28 09:00:00,Andrew Florance Named Visionary of the Year and CEO of the Year at the 10th Annual CEO World Awards,116308294,https://s.yimg.com/uu/api/res/1.2/Bc4_kfwYDL3hzW97_.n7mA--~B/aD0xNTg7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/7489b08cdcd44fe1d52eb458781d3047,CSGP,Yahoo,"WASHINGTON, September 28, 2022--Andrew Florance, Founder and Chief Executive Officer of CoStar Group (NASDAQ: CSGP), a leading provider of online real estate marketplaces, information and analytics in the commercial and residential property markets, today was recognized with two winning nominations for Globee Awards’ 10th Annual CEO World Awards. Mr. Florance was named Globee Visionary Leader of the Year and Globee CEO of the Year (Technology).",https://finnhub.io/api/news?id=6e5975bb36e3f184ab8b6e63307b7ef49e2a2dcad5c60869c49d8eaf2949dbb9
company,2022-09-30 22:43:56,CoStar: Stagnant Growth And Higher Interest Rates Could Drive The Share Price Down,116368352,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1358927461/image_1358927461.jpg?io=getty-c-w750,CSGP,SeekingAlpha,CoStar has over 30 years of experience in their database of commercial real estate and is by far the best in the industry. Read why CSGP stock is overvalued.,https://finnhub.io/api/news?id=4ed61f617e84aef769631996b74da6bef9aaf4b5bf3668366c5ba7983dc25e1a
company,2022-09-30 10:51:54,Lakehouse Capital is Confident on the Growth Prospects of CoStar Group (CSGP),116406354,https://s.yimg.com/uu/api/res/1.2/ylrkqJbh1YSTxvZcNWuGBw--~B/aD01MTI7dz03Njg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/2bcdedba1d0217bdc171ea798064397c,CSGP,Yahoo,"Lakehouse Capital, an investment management company, released its “Lakehouse Global Growth Fund” July 2022 investor letter. A copy of the same can be downloaded here. July was an eventful month, and the fund returned 11.1% net of fees and expenses compared to 5.4% for its benchmark. In addition, please check the fund’s top five holdings […]",https://finnhub.io/api/news?id=ca84a1c36a1a4eeec2dbe933c27e85e724cbd8f5729ac80b3ec4441f0c8313c1
company,2022-09-30 10:04:04,CoStar : Latest Transaction Volume Pulls Back As Absorption Weakens; Price Indices Diverge,116361041,,CSGP,Finnhub,"Sep 30, 2022 Net Absorption Expected To Slide For The Forth Consecutive Quarter CCRSI RELEASE - September 2022 ... | September 30, 2022",https://finnhub.io/api/news?id=af9f56261c077df095cfbf3e85eb757618ee5c09acb9f5c89b44b427f6add00f
company,2022-09-30 08:48:40,STR: U.S. hotel results for week ending 24 September,116360323,,CSGP,Finnhub,"HENDERSONVILLE, Tennessee - U.S. hotel performance increased from the previous week and showed improved comparisons with 2019, according to STR's latest data through 24 September.18-24 September... | September 30, 2022",https://finnhub.io/api/news?id=556fcb250a884ecaddcc8e8711e48296a5c124e3637f87f38f1846497c8f3b0d
company,2022-09-29 05:51:37,CoStar Group - Andrew Florance Named Visionary of the Year and CEO of the Year at the 10th Annual CEO World Awards,116331225,,CSGP,Finnhub,"WASHINGTON - Andrew Florance, Founder and Chief Executive Officer of CoStar Group , a leading provider of online real estate marketplaces, information and analytics in the commercial and residential... | September 29, 2022",https://finnhub.io/api/news?id=696bad4f1cb69b1bcb4f330afaf8232c2e6bd0038cd9c12d6724f2d433106284
company,2022-10-05 04:06:00,CoStar Group price target raised to $85 from $80 at RBC Capital,116470809,https://thefly.com/images/meta/streetresearch_recommendations.jpg,CSGP,Thefly.com,RBC Capital analyst Ashis... CSGP,https://finnhub.io/api/news?id=6110357546a36412e80e2d69944b8ad08ae7bd008105a4de28c114f3816252c1
company,2022-10-05 03:39:00,CoStar Group (CSGP): New Buy Recommendation for This Technology Giant,116470810,,CSGP,TipRanks,"In a report released today, Ashish Sabadra from RBC Capital maintained a Buy rating on CoStar Group (CSGP &#8211; Research Report), with a price target of $85.00. T...",https://finnhub.io/api/news?id=764a076de7e46669bb9242bd62a424315472605c6bfcb36b7b48683fdf4f3c1a
company,2022-10-04 14:00:00,"CoStar Group to Report Financial Results for Third Quarter 2022 on October 25, 2022",116453325,https://s.yimg.com/uu/api/res/1.2/F87g2Z1JMDmtWra0pYQfsw--~B/aD04NDt3PTQ4MDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business-wire.com/c7c6e3b4202b31fe8d364852120a3399,CSGP,Yahoo,"WASHINGTON, October 04, 2022--CoStar Group, Inc. (NASDAQ: CSGP) will announce financial results for the third quarter 2022 following the market close on Tuesday, October 25, 2022. Management will conduct a conference call to discuss the third quarter results, as well as the Company’s outlook at 5:00 PM EDT that same day.",https://finnhub.io/api/news?id=4ccc7ce5ded188fcbdf5e4ac527bccc0d3eb133a21ae96651dc64ab953868830
company,2022-10-04 09:00:00,Apartments.com Publishes Q3 2022 Rent Growth Report,116453326,https://s.yimg.com/uu/api/res/1.2/epa_AUODmzvKuKq7xYRKsQ--~B/aD0yNzA7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/a9666af2e35c2ec36194d3bab71fde2a,CSGP,Yahoo,"WASHINGTON, October 04, 2022--Today, Apartments.com – a CoStar Group company – released an in-depth report of multifamily rent growth trends for Q3 2022 backed by analyst observations. The report highlights the stark reversal of fortune across the multifamily market, including rent decreases in the largest markets, major slowdowns across the Sunbelt and increased unit deliveries despite wavering demand.",https://finnhub.io/api/news?id=ac2381f62b3f33db6d742765e00e60385dde20a30c111f33dcc6078508e57f9e
