category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 05:17:32,New York is now the nation's busiest port in a historic tipping point for U.S.-bound trade,116234130,https://image.cnbcfm.com/api/v1/image/106860144-1616773597702-gettyimages-1309169058-mg_0865_ship04_03252021.jpeg?v=1664025452&w=1920&h=1080,CSX,CNBC,"A historic August for container volume pushed the Port of New York and New Jersey to the No. 1 spot in the U.S., outpacing Los Angeles and Long Beach cargo.",https://finnhub.io/api/news?id=55b5fd12cd03e5ecb0baca35611b84816783209726888c93201d5ee51d4fd41c
company,2022-09-24 05:00:00,The Retirees Dividend Portfolio: Recent Purchases And Limit Trades Through September 17th,116231828,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/184997245/image_184997245.jpg?io=getty-c-w750,CSX,SeekingAlpha,"The purpose of this article is to highlight recent trades made in the Taxable, Roth, and Traditional IRAs of my clients, John and Jane. Click to read more.",https://finnhub.io/api/news?id=aa22965c50dbc4f4fdf683f4a29717c76bbf26614488e1788a3be46d4b675437
company,2022-09-23 12:46:00,"CSX Corp. stock falls Friday, underperforms market",116222287,https://images.mktw.net/im-220105/social,CSX,MarketWatch,"Shares of CSX Corp. shed 3.12% to $27.68 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=0de0bbfad5fe2d396c9f7d927bcdaada7c04f1d67b102809566fbace55078270
company,2022-09-28 09:50:00,"After rail strike averted, chance for 'freight recession' should still spook investors, analysts say",116348133,https://images.mktw.net/im-632725/social,CSX,MarketWatch,"Railroad operators CSX Corp. and Norfolk Southern Corp. were hit a downgrade from Susquehanna on Wednesday, with analysts citing bigger profit risk to rails...",https://finnhub.io/api/news?id=ebfb9aca50aa907edfbe7557e89b05334821b8476e4d014f087df3ab95b63ae2
company,2022-09-28 09:35:01,"After Plunging 14.1% in 4 Weeks, Here's Why the Trend Might Reverse for CSX (CSX)",116323885,https://s.yimg.com/uu/api/res/1.2/9tpS8u8rAmiEoUItmUZeOA--~B/aD02MDE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/090f58c1efbe3555b861102525e50b39,CSX,Yahoo,"The heavy selling pressure might have exhausted for CSX (CSX) as it is technically in oversold territory now. In addition to this technical measure, strong agreement among Wall Street analysts in revising earnings estimates higher indicates that the stock is ripe for a trend reversal.",https://finnhub.io/api/news?id=8eed7844194d519b615575dce7ff12055261b2085abc09c0050432aa4ccfac76
company,2022-09-28 08:57:00,"Street Wrap: Today's Top 15 Upgrades, Downgrades, Initiations",116310136,https://image.thefly.com/catalog/201811/img_112.jpg,CSX,Thefly.com,"Netflix upgrade, Lockheed Martin downgrade and Sunrun initiation among today's top calls on Wall Street NFLX, BIIB, ILMN, SHOO, SSB, TFC, LMT, LHX, CSX, ETRN, AVNT, RUN, IE, GNRC, SABR, ENVX",https://finnhub.io/api/news?id=fc2c17c28dd66e868fbe48237d918d9debbc9dd12d75cc254bc7c6b64eb8c2b2
company,2022-09-28 08:20:00,North American rail traffic down 2.8% for the week ending September 24,116311801,https://thefly.com/images/meta/hotstocks.jpg,CSX,Thefly.com,"The Association of Americ... CNI, CP, CSX, KSU, NSC, UNP, TRN, GBX, RAIL, WAB",https://finnhub.io/api/news?id=dfc197f08deb364e2e0cadec54fdf3c96c0e8e43a0bdc5f9d65e488484398401
company,2022-09-28 07:23:00,What You Missed On Wall Street This Morning,116308347,https://image.thefly.com/catalog/201904/img_457.jpg,CSX,Thefly.com,"Five top five lists with the news and calls moving stocks, powered by The Fly. AAPL, BIIB, ESALY, BTRS, PATH, MSFT, MAN, NFLX, LMT, ILMN, ETRN, LYFT, TGI, BR, M, GM, FYBR, DOCU, ASTL, SAND, CTAS, BB, THO, VFC, PAYX, BCS, BAC, C, CS, DB, MS, UBS, JEF, NMR, CSX, NSC",https://finnhub.io/api/news?id=8f8468f75c3ce167fb239bbd85f1f6ade9416a611ac1ad6f5a02f2fc11c33a92
company,2022-09-28 01:59:00,"Susquehanna cautious on rails into 2023, downgrades CSX",116307688,https://thefly.com/images/meta/streetresearch_downgrade.jpg,CSX,Thefly.com,Susquehanna analyst Basco... CSX,https://finnhub.io/api/news?id=bb2386266939d02ba3d391c674f372faf36358ab3d56cc61c80b7990fb308a4f
company,2022-09-28 01:17:00,CSX downgraded to Neutral from Positive at Susquehanna,116307689,https://thefly.com/images/meta/streetresearch_downgrade.jpg,CSX,Thefly.com,Susquehanna analyst Basco... CSX,https://finnhub.io/api/news?id=c7763ddc243c9d58cc9460de556b19b48332a412f25b4fd53fc2af557462cb3b
