category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 12:47:00,"Cognizant Technology Solutions Corp. stock falls Friday, still outperforms market",116222248,https://images.mktw.net/im-220105/social,CTSH,MarketWatch,"Shares of Cognizant Technology Solutions Corp. shed 1.59% to $58.85 Friday, on what proved to be an all-around poor trading session for the stock market,...",https://finnhub.io/api/news?id=a0bb63857d20343b3f77cd046fcd78be1515d72f93d67dcf761d879c07753f9b
company,2022-09-23 11:21:03,Cognizant (CTSH) Expands Partner Base With a Global Law Firm,116220947,https://s.yimg.com/uu/api/res/1.2/as5m4_sYhwbum22y4k2zVQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/d43cb7b76527c97c59494165d3dffeae,CTSH,Yahoo,"Law firm Freshfields Bruckhaus Deringer selects Cognizant (CTSH) to manage its IT infrastructure, applications and service desk.",https://finnhub.io/api/news?id=f453197381d660c191fdea11f93ae34e9a7d437df5800159e720139ea56d1ba1
company,2022-09-27 04:00:00,Stitch Launches as Consultancy Focused on Twilio for Marketers,116316415,,CTSH,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d174907e394c03ac8b88809c0b5706edeb19e0bf1b755f536c8ed9045f7c41bf
company,2022-10-06 10:21:02,Cognizant (CTSH) Expands Partnership With Centrica in UK,116513776,https://s.yimg.com/uu/api/res/1.2/4m6Yrt5OGYQe0oZtN.CWGQ--~B/aD0zNDk7dz02MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/c35b98fa9bbd08ef2db417cae984bd68,CTSH,Yahoo,Cognizant Technology (CTSH) extends its partnership with Centrica to provide cloud infrastructure support.,https://finnhub.io/api/news?id=7841946cd5eee54e7d098e8150d99509c5f870a763c66a6062c2e0f3dd3ce58c
company,2022-10-05 04:00:00,Centrica Extends its Relationship with Cognizant to Manage its Application and IT Infrastructure Landscape,116473312,https://s.yimg.com/uu/api/res/1.2/pBFp_HtyRDUgYefMC0Ro1Q--~B/aD0xMjA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/c8de4a7538ab6b3d5d3fe951dc211baa,CTSH,Yahoo,"Cognizant today announced that it has extended its long-standing relationship with Centrica, the largest supplier of energy and energy services to the United Kingdom, to deliver business critical services encompassing application testing and management of its IT infrastructure landscape.",https://finnhub.io/api/news?id=609cdc3943bb8e728c0e60b37cde70f990017cb125d118769705ce5dd7f43faf
company,2022-10-05 00:10:00,Cognizant extends relationship with Centrica,116481778,https://thefly.com/images/meta/hotstocks.jpg,CTSH,Thefly.com,Cognizant announced that ... CTSH,https://finnhub.io/api/news?id=bee8a933b73b3f5f7ccca4dc001c49fad2bf0a2840b8eb18a8577cdc6f248aeb
company,2022-10-14 12:47:00,Cognizant Technology Solutions Corp. stock outperforms market despite losses on the day,116707944,https://images.mktw.net/im-220105/social,CTSH,MarketWatch,"Shares of Cognizant Technology Solutions Corp. slipped 0.59% to $58.60 Friday, on what proved to be an all-around rough trading session for the stock market,...",https://finnhub.io/api/news?id=fd2e52a9863f777346ac2881fbab7ab5abd89462f9454804db265d7c710b1dab
company,2022-10-14 09:40:01,Cognizant (CTSH) is a Top-Ranked Value Stock: Should You Buy?,116651395,https://s.yimg.com/uu/api/res/1.2/e0VWXB5.wUFiKGuJPPpLzg--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/a7cdcede0bb5a646be035f4a7e678781,CTSH,Yahoo,The Zacks Style Scores offers investors a way to easily find top-rated stocks based on their investing style. Here's why you should take advantage.,https://finnhub.io/api/news?id=dccb5b3a986ef519840e5ea87c73b873a710250f8f38cb90f45a04e636c092e3
company,2022-10-14 02:53:00,Cognizant price target lowered to $65 from $77 at JPMorgan,116649675,https://thefly.com/images/meta/streetresearch_recommendations.jpg,CTSH,Thefly.com,JPMorgan analyst Tien-tsi... CTSH,https://finnhub.io/api/news?id=317f78f8d3306a9e75bca9765c483d3cd640ae3b9b9d38f0c052d58d5ad870c6
company,2022-10-13 12:47:00,"Cognizant Technology Solutions Corp. stock rises Thursday, outperforms market",116707945,https://images.mktw.net/im-220105/social,CTSH,MarketWatch,"Shares of Cognizant Technology Solutions Corp. advanced 3.88% to $58.95 Thursday, on what proved to be an all-around great trading session for the stock...",https://finnhub.io/api/news?id=fa44faecd5cd8a20346d7c89ef785c8eedb2c5000b096276770d3f177f2778fb
