category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 09:46:44,"Stocks making the biggest moves midday: FedEx, Boeing, Ally, Domino's and more",116218920,https://image.cnbcfm.com/api/v1/image/107090057-1658145533460-gettyimages-1241973883-AFP_32ET4VC.jpeg?v=1663955204&w=1920&h=1080,DDOG,CNBC,These are the stocks posting the largest moves in midday trading. ,https://finnhub.io/api/news?id=b85a69880a3bffe4b9eeb8ed08333363d45f5ce3f034a57739fb9249823c5e1c
company,2022-09-23 06:04:00,Nasdaq Sell-Off: 2 High-Growth Tech Stocks You'll Regret Not Buying on the Dip,116214047,https://s.yimg.com/ny/api/res/1.2/1fx9lCGy_tcwvjGZdV49MQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/60e094a036504f72f0f20c7d0b565808,DDOG,Yahoo,"These stocks have been mauled by the bear market, but a look under the hood reveals impressive growth.",https://finnhub.io/api/news?id=60572cc05ba60e80fd26b7419be3281ea895bf49c36a0499dd5a72a392ef7a53
company,2022-09-23 05:55:00,3 Cloud Stocks That Could Go Parabolic,116210929,https://s.yimg.com/ny/api/res/1.2/b8kKPsA6GX_g1UEAM4i7aw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/45e2a45cd6909c941223359a5dd5db8c,DDOG,Yahoo,"Plenty of high-growth cloud stocks skyrocketed in value over the past two years, yet quickly surrendered all those gains this year as rising interest rates drove investors back toward more conservative investments.  Twilio's (NYSE: TWLO) cloud-based communication platform handles text messages, voice calls, videos, and other integrated features in mobile apps.  Instead of building those features from scratch -- which can be buggy, time-consuming, and difficult to scale as an app gains more users -- developers can outsource the work to Twilio with just a few lines of code.",https://finnhub.io/api/news?id=da3bd4523c06142b31de02d495f8aec4987046c533eceb6bbbfafbe0abdbdb09
company,2022-09-23 04:36:00,"Street Wrap: Today's Top 15 Upgrades, Downgrades, Initiations",116215685,https://image.thefly.com/catalog/201811/img_112.jpg,DDOG,Thefly.com,"FuboTV upgrade, Ally Financial downgrade, and Zoom Video initiation among today's top calls on Wall Street FUBO, ALLY, APO, DDOG, DPZ, EQIX, STE, SHC, EVR, ZM, CMG, PROK, W, CINF, SPRO, DLR",https://finnhub.io/api/news?id=7e5f550147ffb56663d23ea0e7150e7632095ddd6fc8e18789c436fa1610d967
company,2022-09-23 01:01:00,Datadog initiated with an Outperform at Credit Suisse,116224793,https://thefly.com/images/meta/streetresearch_initiate.jpg,DDOG,Thefly.com,Credit Suisse analyst Fre... DDOG,https://finnhub.io/api/news?id=11a00f9796f566d9496388c14724be6edfad0b23fd7ab0bc205598764979d161
company,2022-09-22 23:59:00,Datadog resumed with Neutral from Underweight at JPMorgan,116224794,https://thefly.com/images/meta/streetresearch_upgrade.jpg,DDOG,Thefly.com,JPMorgan analyst Mark Mur... DDOG,https://finnhub.io/api/news?id=9e220b1af52c289677bb618e11fd83a8f1b98d8ca8c22d55bf78195a46679124
company,2022-09-28 08:45:00,Datadog call volume above normal and directionally bullish,116311815,https://thefly.com/images/meta/options.jpg,DDOG,Thefly.com,Bullish option flow detec... DDOG,https://finnhub.io/api/news?id=824d84451811db98409e0167fcf35675a13f7688691c6220b9e723ab894944e9
company,2022-09-27 18:00:10,Datadog (DDOG) Gains As Market Dips: What You Should Know,116294580,https://s.yimg.com/uu/api/res/1.2/M2z0wFqvnPw7eaLU0tPuyQ--~B/aD02MzY7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/0c6f98f4bf655bec3b199bc1a71b8b85,DDOG,Yahoo,"In the latest trading session, Datadog (DDOG) closed at $87.74, marking a +1.54% move from the previous day.",https://finnhub.io/api/news?id=3cd7be13ec5fb55785098e5a719da884f9d8df7e4d6d0d8213eb6d2ca8106593
company,2022-09-27 06:14:00,2 Leading Tech Stocks to Buy in 2022 and Beyond,116275126,https://s.yimg.com/ny/api/res/1.2/rm63DYuvbnHpz_lhVilSvQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/e1eeba1456fb1181d47cd9772daf02af,DDOG,Yahoo,"Here are two that are worth buying right now and holding onto for years: The Trade Desk (NASDAQ: TTD) and Datadog (NASDAQ: DDOG) are both gaining ground in their respective markets.  The advertising industry is undergoing some big changes at the moment, and The Trade Desk is trying to tap into them.  The first trend it's tapping into is the shift from traditional advertising mediums to digital ones.",https://finnhub.io/api/news?id=d556672f211fc9c1198bc9868dff8dfb3f89541253feebbeddc4e83241f42379
company,2022-09-26 18:40:51,Growth may not be Enough: How Datadog (DDOG) Is Ahead of Competitors in both Good and Bad Metrics,116267199,https://s.yimg.com/uu/api/res/1.2/3wFOxca.gMo3EgB9BjBM9g--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/41bdd0c670f621394929d5266c5d6c72,DDOG,Yahoo,"Datadog (NASDAQ:DDOG) is captivating investors with its high 79% revenue growth rate, and an estimated total addressable market (TAM) value of $53b by 2025. However, the company has a forward price to sales ratio of 14.3x, which is ahead of the 7.9x industry average ratio. In order for this to work for investors, the company must keep up its high performance for more than 6 quarters to reach the average, when it can afford to have lower growth rates.",https://finnhub.io/api/news?id=8aee95079f788a668ec15a6cefa2b93f722e1828a71f1690399f1553b813c4eb
company,2022-09-26 13:32:32,Datadog: Top Tier Software Company Of The Present And Future,116265802,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1346698461/image_1346698461.jpg?io=getty-c-w750,DDOG,SeekingAlpha,Datadog is set to continue being among the top tier software companies of the future. Read why investors should look closer at this high-quality tech company.,https://finnhub.io/api/news?id=b0a8943ae14555059d04eb7d34b2b2c02c29bdd8e7b94563c2a1a04aa8257924
company,2022-09-26 13:01:18,Datadog : Statement of Changes in Beneficial Ownership - Form 4,116264375,,DDOG,Finnhub,"Ownership Submission FORM 4 Check this box if no longer... | September 26, 2022",https://finnhub.io/api/news?id=effed2d16b3667ce1ccf847aa30074bb4c45aaa5b1665c535ee46857039262ce
company,2022-09-26 09:39:23,"Datadog: Cash Flowing Tech Stock With 74% Growth, $1 Billion Net Cash",116259951,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1351830196/image_1351830196.jpg?io=getty-c-w750,DDOG,SeekingAlpha,"The macro-environment is affecting Datadog, but the company still posted 74% growth. Read why I think DDOG stock is currently a buy.",https://finnhub.io/api/news?id=de1d0e900c57567a3448cb7eef26cc7af06cfcfde97b9eb73f7f6e9e2ffed0b2
company,2022-09-26 07:31:51,"Datadog Could Follow Salesforce, What That Would Mean For Its Shareholders",116257848,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/480981612/image_480981612.jpg?io=getty-c-w750,DDOG,SeekingAlpha,Datadog is much ahead of Salesforce in terms of reaching GAAP profitability on the back of its own prospects. Find out if DDOG could become the next CRM.,https://finnhub.io/api/news?id=bb2fc2cb2e375ea69aa1d3d1b79503a8c086c30efd6aa89b9e017ca1894bb893
company,2022-09-26 07:06:04,Datadog: Still Too Expensive With A Decelerating Growth Profile,116257190,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1267049725/image_1267049725.jpg?io=getty-c-w750,DDOG,SeekingAlpha,"Datadog sustained decelerating growth profile into FY12/23, and valuations remain too rich. Click here to read why I have a sell rating on the DDOG stock.",https://finnhub.io/api/news?id=6687d494e3bfd26ae1ecf4af72b8305bed5c1199efdaea886b4d0806276b380e
company,2022-09-26 06:00:00,2022 Bear Market: 2 Monster Growth Stocks I'd Buy Now Without Hesitation,116256436,,DDOG,Yahoo,"Inflation came in hotter than expected in August, prompting the Federal Reserve to raise interest rates by 75 basis points for the third consecutive time.  While those losses are painful, patient investors know downturns are an opportunity to buy.  The stock market has never failed to recover in the past, and there is no reason to think this bear market is any different.",https://finnhub.io/api/news?id=755607842d277d8ff2e28574e6f695078abbe159bf62fde85af23c84587ed93b
company,2022-09-25 09:45:18,Why I'm Buying Datadog Stock Right Now,116247950,,DDOG,Yahoo,"With shares down substantially in 2022, Datadog (NASDAQ: DDOG) is looking more appealing to own now. In this video, Jamie explains how Datadog has continued to succeed during this challenging macroeconomic environment, and he breaks down why he recently bought shares of this growth stock.",https://finnhub.io/api/news?id=28e4921ce0ba38441bcf2e2eeb70efedf06467711d62c0b9d82e2c893c4fc0a0
company,2022-09-25 08:05:00,Nasdaq Bear Market: 1 Growth Stock You'll Wish You Bought on the Dip,116247951,,DDOG,Yahoo,"This high-growth industry leader is down significantly, which makes it an appealing stock to buy right now.",https://finnhub.io/api/news?id=660e91bf97bd0d40dae2dfec6616ca2a679bef5a13c661af7b1cfa5bde1b1a62
company,2022-10-01 06:45:00,3 Safe Tech Stocks You'll Regret Not Buying on the Dip,116370812,https://s.yimg.com/ny/api/res/1.2/ePzy1icJlDRxth6amwezUQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/e4558f327b269103c9949b9209d44530,DDOG,Yahoo,"Three Motley Fool contributors were asked which tech stocks are doing this.  Datadog (NASDAQ: DDOG), Veeva Systems (NYSE: VEEV), and PayPal Holdings (NASDAQ: PYPL) were their answers.  Anthony Di Pizio (Datadog): Cloud computing technology is playing an increasingly important role in the corporate sector.",https://finnhub.io/api/news?id=4c141415a5b0ffd5e813bca327c3bda24d5c98fad26aa60b78860d7b1470aac2
company,2022-09-30 17:50:09,Datadog (DDOG) Gains As Market Dips: What You Should Know,116368163,https://s.yimg.com/uu/api/res/1.2/gUf3JPAiwp3PVjuDKftvaA--~B/aD04NDU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/26a86d59f0e8f1e82a35a92ae5684cd9,DDOG,Yahoo,"Datadog (DDOG) closed at $88.78 in the latest trading session, marking a +1.52% move from the prior day.",https://finnhub.io/api/news?id=ae1a8bbc68dbc02bc288935bb1632260a08ec2f074aaff0b55d623f71c43a832
