category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 12:30:00,"Dollar Tree Inc. stock rises Friday, outperforms market",116222221,https://images.mktw.net/im-220105/social,DLTR,MarketWatch,"Shares of Dollar Tree Inc. rallied 1.41% to $141.29 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=bab33f7151aae4a4846543ca16bdaeb3e281c0b7d4aaf5b3674ae3dde36c8205
company,2022-09-23 12:19:06,"Boeing, Devon Energy fall; Guidewire, Dollar Tree rise",116220505,,DLTR,Finnhub,"NEW YORK — Stocks that traded heavily or had substantial price changes Friday: Boeing Co., down $7.45 to $131.26. The airplane maker will pay $200 million to... | September 23, 2022",https://finnhub.io/api/news?id=fe584e2c4a5c5d22b165900bce54b0275d2ceb60b8cb754081d0094dd5c11917
company,2022-09-28 17:45:09,Dollar Tree (DLTR) Gains But Lags Market: What You Should Know,116319935,https://s.yimg.com/uu/api/res/1.2/w.ILboV799eZj6zbyZJ3SQ--~B/aD02MDE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/5ecaf2a9bf082a5f3a554e6526b34be0,DLTR,Yahoo,"Dollar Tree (DLTR) closed at $137.97 in the latest trading session, marking a +1.42% move from the prior day.",https://finnhub.io/api/news?id=81c6aeb43a6abc8166ab7879ec0b48387c0ea48b2ebfdd56cb657bd22f0490fe
company,2022-09-28 07:30:00,"Dollar Tree, Inc. Names Pedro Voyer as Chief Development Officer",116306363,https://s.yimg.com/uu/api/res/1.2/7TpR.5Ayuo7phGDIYAKdsQ--~B/aD0yODQ7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/23d8b2cd81392c5a1ef2e1dce1fbbe32,DLTR,Yahoo,"CHESAPEAKE, Va., September 28, 2022--Dollar Tree, Inc. (NASDAQ: DLTR) today announced another key executive leadership addition, as Pedro Voyer will be joining the Company as Chief Development Officer.",https://finnhub.io/api/news?id=72ee4517ba584101e4fcfdc74e64d9f9403c892a251465257f99cc0e8e578823
company,2022-09-28 02:33:00,Dollar Tree appoints Pedro Voyer as chief development officer,116316538,https://thefly.com/images/meta/hotstocks.jpg,DLTR,Thefly.com,Dollar Tree announced ano... DLTR,https://finnhub.io/api/news?id=0c4f59d3efd30b5a2504eefd66add63d00f30e2c2849e7e0f5bf3e4937480874
company,2022-09-27 05:12:00,Analysts Offer Insights on Consumer Goods Companies: Dollar Tree (DLTR) and Freshpet (FRPT),116316259,,DLTR,TipRanks,Companies in the  Consumer Goods sector have received a lot of coverage today as analysts  weigh in on Dollar Tree (<span class='tr-stock-ticker' style='color:blue;...,https://finnhub.io/api/news?id=a71064c842eb07fb25dde8b5da99b6815432c7fcc145631168af1b7fca3c582e
company,2022-09-26 21:24:46,Advance Auto Parts exec leaves for C-suite with another Fortune 500 retailer,116269180,,DLTR,Yahoo,A Raleigh businessman has left his post as an executive with one Fortune 500 retailer for a C-suite spot in another.  Creedon will join Dollar Tree Inc. (Nasdaq: DLTR) as the discount retailer's chief operating officer.  Creedon joined Advance Auto in 2013 and has held positions including president of U.S stores and president of wholly owned subsidiary Autopart International.,https://finnhub.io/api/news?id=b1c7be224ea23369170d733300570d6725487e744764f73f91b8603e80007464
company,2022-09-26 09:03:11,Dollar Tree Appoints Michael Creedon As Operations Head,116258895,https://s.yimg.com/uu/api/res/1.2/UFBb8SzWT8.QPFDCn08SSw--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/3afbb1993588a366e4f7cdee39380d96,DLTR,Yahoo,"Dollar Tree Inc (NASDAQ: DLTR) has appointed Michael Creedon as its Chief Operating Officer. Creedon recently served as the Executive Vice President, U.S. Stores in Advance Auto Parts Inc (NYSE: AAP). He earned his bachelor's degree from Middlebury College and a Finance certificate from the Chicago Graduate School of Business. In June, Dollar Tree disclosed that four executive officers ceased employment with the company, including Thomas R. O'Boyle, Enterprise Chief Operating Officer. ""Mike will",https://finnhub.io/api/news?id=9cb20a8a3a49a19965587467af272cb73b3cf71ae4e1f7ff1016ca1fd7708fed
company,2022-09-26 07:43:28,Dollar Tree names Advance Auto Parts exec Michael Creedon as COO,116254956,,DLTR,Yahoo,"Dollar Tree Inc. on Monday named Michael Creedon as its new chief operating officer, coming to the job from Advance Auto Parts Inc. , where he served in a number of roles. Creedon joined Advance Auto in 2013 and was executive vice president for U.S. stores since March of 2021. Before that, he was president of U.S. stores from 2020 to 2021, as well as division president for the company's North Division, including Autopart International, from 2017 to 2020 and president, Autopart International, a w",https://finnhub.io/api/news?id=d989704bf3cc02e5cba2ca3744570492e00efae3768605c8138d003f81abf74f
company,2022-09-26 07:35:00,"Dollar Tree, Inc. Names Michael Creedon as Chief Operating Officer",116258897,https://s.yimg.com/uu/api/res/1.2/Thi81q8oizWl48kF7XATSA--~B/aD0yODQ7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/125e2e4eea0761c6f188be187ebec02f,DLTR,Yahoo,"CHESAPEAKE, Va., September 26, 2022--Dollar Tree, Inc. (NASDAQ: DLTR) today announced a key executive leadership addition, as Michael Creedon, Jr. will be joining the organization as Chief Operating Officer.",https://finnhub.io/api/news?id=5d6f95f45b0485731786cec1f4c9a2cf98f6567a9cc8cb5416f5290389a10647
