category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 12:50:00,DexCom Inc. stock underperforms Friday when compared to competitors,116223859,https://images.mktw.net/im-220105/social,DXCM,MarketWatch,"Shares of DexCom Inc. slid 0.37% to $80.66 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=5b3ad4ae965341ce3c0bdf1e07457f3bf42ea7484dc684c230d0135286826802
company,2022-09-28 10:15:00,Better Growth Stock: Intuitive Surgical vs. DexCom,116305796,https://s.yimg.com/ny/api/res/1.2/ntX8f1uCCiXEwZCnwzCipA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/2a2d277c20d12c828bbb1261dbb04650,DXCM,Yahoo,"Growth stocks have received much of investors' ire throughout the current market downturn.  Intuitive Surgical is the leader in the robotic-assisted surgery (RAS) market, thanks to its crown jewel, the da Vinci surgical system.  The great thing about Intuitive Surgical's business is the growth potential that the RAS market boasts.",https://finnhub.io/api/news?id=19070d80060c0f350388a5aa5b182536097f7171f4ca4f819b59eb273493ba96
company,2022-10-02 10:45:00,2 Evergreen Growth Stocks to Buy and Hold Forever,116386135,https://s.yimg.com/ny/api/res/1.2/FLvNNQaEthe03g80PVIZ5A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDI-/https://media.zenfs.com/en/motleyfool.com/f310df821529e805ebbe9f24f0ee69b8,DXCM,Yahoo,"Commonly enough, evergreens have staying power because they're getting a steady boost from ultra long-term trends in the population or the economy, and that's part of the secret sauce that can make them killer investments.  With that in mind, let's analyze a pair of evergreen growth stocks that have already made quite a few investors richer by smashing the market's returns over the last 10 years.  Medical device company DexCom's (NASDAQ: DXCM) makes wearable continuous glucose monitors (CGMs) that help people with diabetes get minute-by-minute data about their blood glucose levels, thereby giving them better control of their symptoms.",https://finnhub.io/api/news?id=f8412d508e80418c1ea9da12506c6df315c64e239ddf41628a1c3474111165ad
company,2022-09-30 11:25:03,3 Reasons to Hold DexCom (DXCM) Stock in Your Portfolio,116366201,https://s.yimg.com/uu/api/res/1.2/jXTaKQsqnU4rj7.RLav_Tw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/97ae87437ffe55623db14c7e7b4974b6,DXCM,Yahoo,Investors continue to be optimistic about DexCom (DXCM) owing to its strong product portfolio.,https://finnhub.io/api/news?id=c71422beb756422708be22847fbcb90a0ba52687a1a0474389ff8224a0f80de8
company,2022-09-29 09:00:00,"Dexcom Schedules Third Quarter 2022 Earnings Release and Conference Call for October 27, 2022 at 4:30 p.m. Eastern Time.",116356052,https://s.yimg.com/uu/api/res/1.2/uWSWeeTd2VA.ZvQXc82Itg--~B/aD02ODt3PTQ4MDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business-wire.com/2a784359ff4e23f5ceeff28f0df1300e,DXCM,Yahoo,"SAN DIEGO, September 29, 2022--DexCom, Inc. (NASDAQ:DXCM) today announced that it plans to release its third quarter 2022 financial results after market close on Thursday, October 27, 2022. Management will hold a conference call to review the company's third quarter 2022 performance starting at 4:30 p.m. (Eastern Time) on the same day. The conference call will be concurrently webcast. The link to the webcast will be available on the Dexcom investor relations website at investors.dexcom.com and w",https://finnhub.io/api/news?id=0c7e7ee20187b84ef71eb1b4836ce92cbbf9a8423a92f9c8b69702e7577bf8a0
company,2022-10-05 09:54:01,DexCom and Papa John's International have been highlighted as Zacks Bull and Bear of the Day,116472564,https://s.yimg.com/uu/api/res/1.2/_kVRiTM9CuiHeIOOc6h1EA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/0b8c96800166369416a71a4e0d1f58e5,DXCM,Yahoo,DexCom and Papa John's International are part of the Zacks Bull and Bear of the Day article.,https://finnhub.io/api/news?id=6ad7cd8ba731af89c5943a8db05203b976abcdc687d4eac22cf744ce3bcba6f6
company,2022-10-05 09:30:00,2 Beaten-Down Stocks That Could Be Great Long-Term Buys,116466329,https://s.yimg.com/ny/api/res/1.2/YjGiOTG_wz_phO870TibHA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/motleyfool.com/4b631103fcb56647fd6e41090fc91869,DXCM,Yahoo,"Investing in equities during a downturn can be challenging.  With that in mind, let's examine two stocks that have lagged the market this year but could be significant winners in the long run: HCA Healthcare (NYSE: HCA) and DexCom (NASDAQ: DXCM).  Here's the thing about healthcare stocks -- medical services are always in demand.",https://finnhub.io/api/news?id=b395812cccad7b631053ba81e5390631226aee2a72e145b86bba9cd4c480a8ed
company,2022-10-05 05:33:00,Nasdaq Bear Market: 2 Top Stocks You Can Buy With $200 Right Now,116466331,https://s.yimg.com/ny/api/res/1.2/tMvow2xd2yNa.IVrZSGMug--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/8d0f47c6032e0c3611a75cd26fcd3a17,DXCM,Yahoo,"The Nasdaq Composite has tumbled a frightening 31% since the beginning of 2022, and nobody knows when the carnage will end.  It's hyper-popular because physicians can use Doximity Dialer on their personal devices without sharing any personal contact information.",https://finnhub.io/api/news?id=824a006063601970487feba0f1670bdbf2e069c7cb3e75c02622bc71debab440
company,2022-10-05 04:03:00,"Bull of the Day: DexCom, Inc. (DXCM)",116473983,https://staticx-tuner.zacks.com/images/articles/charts/9c/29249.jpg?v=2007451153,DXCM,TalkMarkets,DexCom makes continuous glucose monitoring systems designed for people with diabetes.,https://finnhub.io/api/news?id=47307a4b19ab3d112ff1124a7c9d16e612bf734e01ea69ebd5696a95a49a630a
company,2022-10-05 02:00:00,"Citi ups DexCom target, opens 'positive catalyst watch'",116473984,https://thefly.com/images/meta/streetresearch_recommendations.jpg,DXCM,Thefly.com,Citi analyst Joanne Wuens... DXCM,https://finnhub.io/api/news?id=0e6d3dc615f84f8e0012ee5017796f6b8dd09760d1069bf975bb04dc9609abef
