category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 19:05:00,"CORRECTING and REPLACING Musqueam Art, Design, and Soccer Culture to Feature in EA SPORTS™ FIFA 23",116224980,https://s.yimg.com/uu/api/res/1.2/itcmha.jxQsnAo3Za8kHnQ--~B/aD0yNzA7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/29f05477fcea5218e872c26b88135bf1,EA,Yahoo,"VANCOUVER, British Columbia, September 23, 2022--Please replace the release with the following corrected version due to multiple revisions.",https://finnhub.io/api/news?id=99a06d4967b2df09d45876925f4a8c4a661ae9ab93b9eb4befc7217e1d019ad9
company,2022-09-23 12:50:00,Electronic Arts Inc. stock outperforms market despite losses on the day,116224073,https://images.mktw.net/im-220105/social,EA,MarketWatch,"Shares of Electronic Arts Inc. slipped 1.52% to $115.64 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=877f35a8e1d51437dea60bfef69f6214b3e6226b089da972f7d1ca376ab94cc7
company,2022-09-23 09:01:02,"Musqueam Art, Design, and Soccer Culture to Feature in EA SPORTS™ FIFA 23",116216776,,EA,Finnhub,"Musqueam Artwork will be Highlighted Within FIFA Ultimate Team and VOLTA FOOTBALL through Kits, Stadium Design, and Stadium Vanity... | September 23, 2022",https://finnhub.io/api/news?id=014c71c3f69a43b4e80f183426e2c0dd69c43e101d3fbe3fdac483f71fec729b
company,2022-09-23 08:37:00,Netflix chief accounting officer gives up $2.4 million position after just 4 months on the job,116217107,https://images.mktw.net/im-327907/social,EA,MarketWatch,Netflix Inc. is seeking a new chief accounting officer after its current one quit the role after less than four months.,https://finnhub.io/api/news?id=da17b4cd513c5852a54c202feb1a08056924f6619ab521d748332bab02a315fc
company,2022-09-23 08:02:39,UPDATE: Netflix says principal accounting officer Ken Barker is resigning effective Oct. 7 after less than four months,116220460,https://s.wsj.net/public/resources/MWimages/MW-GP644_MicroS_ZG_20180906154215.jpg,EA,MarketWatch,"Netflix Inc. undefined said Friday its principal accounting officer Ken Barker has submitted his resignation effective Oct. 7, meaning he is leaving his role...",https://finnhub.io/api/news?id=4178c52b479e53782efe184747d5a0f4d413310b4f8c87d9ea1e1e517a999762
company,2022-09-28 10:02:00,"EA and KOEI TECMO Reveal WILD HEARTS™, a New AAA Hunting Game Coming February 17, 2023",116322480,https://s.yimg.com/uu/api/res/1.2/bwdAuoX1.a.TIpNapxrFoA--~B/aD0yNzA7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/936a4aca18e808154c6ffcc8cfe44b02,EA,Yahoo,"REDWOOD CITY, Calif., September 28, 2022--EA and KOEI TECMO officially unveiled WILD HEARTS™, the first AAA hunting experience for a new generation, coming February 17, 2023.",https://finnhub.io/api/news?id=924e5dbab1f9497a2200fe0bbafa68d8a52f22b6e8e2a426f677a78fdc71143b
company,2022-09-27 16:55:08,Electronic Arts (EA) to Feature Musqueam Artwork in FIFA 23,116288116,https://s.yimg.com/uu/api/res/1.2/rmV2GFt7fvtQl5u2PVbeeg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/a1e23acf83fd7cc7593b81c5ee3aedbb,EA,Yahoo,"Electronic Arts (EA) recognizes the history, heritage and culture of the Musqueam Indian Band by including artwork and assets from Musqueam artists in FIFA 23",https://finnhub.io/api/news?id=74ff9089e8a6f7294fcb2523e06fb2ecc4a5909796983b84ad8a9e5cd69d4814
company,2022-09-27 10:30:56,"1 Popular Nasdaq Stock to Buy Hand Over Fist, and 1 to Avoid",116283568,,EA,Yahoo,One of these stocks has a durable business and a cheap valuation; the other is trading at a highly expensive earnings multiple.,https://finnhub.io/api/news?id=8595b502f670bddd856d50485bd3b7f4ab6e98e3cb9a6cd00bd05fa93dcbbead
company,2022-09-27 07:27:00,What You Missed This Week in Video Games,116306190,https://image.thefly.com/catalog/201810/img_76.jpeg,EA,Thefly.com,"New 'FIFA' out this week NTDOY, SONY, MSFT, GOOG, GOOGL, NFLX, TTWO, LOGI, NVDA, ATVI, EA, UBSFY, OTGLY, WMT, RBLX",https://finnhub.io/api/news?id=e115e2ebd18b6ad33649b8cc53b099035aa4b7ab484ebf6e6a112ae3264b49fc
company,2022-09-27 07:00:00,Better Gaming Stock: Take-Two vs. Electronic Arts,116283569,,EA,Yahoo,"Electronic Arts (NASDAQ: EA) and Take-Two Interactive Software (NASDAQ: TTWO) have both had immense success in the world of video game stocks.  The companies have released some of the world's most popular and lucrative game franchises, including Grand Theft Auto, Red Dead Redemption, FIFA, and Madden.  Consequently, investors looking to add a gaming stock to their portfolio might consider one of these companies.",https://finnhub.io/api/news?id=19222594e7d0b192483936b3b7f5b5c5333128a387ad119f560d53c26548fa7a
company,2022-09-27 06:10:04,EA SPORTS…It's In The Name.,116281844,,EA,Finnhub,"After three decades of collaboration with the Federation Internationale de Football Association , Electronic Arts Inc. , the company that owns EA Sports, has told fans that it will no longer produce... | September 27, 2022",https://finnhub.io/api/news?id=f90eb5e2174aa073c5548f1f809c5f2b3e8f217d6b1e25e6a87c7a2e73d9ce71
company,2022-09-26 23:40:00,"Electronic Arts Moves Up In Market Cap Rank, Passing Kroger",116308326,,EA,The Online Investor,"the online investor,EA,KR,",https://finnhub.io/api/news?id=530169ff479a99587e0b8eaf84f0eae235bf98c5682a10c4b54852c2ce87787d
company,2022-09-26 21:46:00,"Disney wants two 'Star Wars' games released each year, Insider Gaming says",116308327,https://thefly.com/images/meta/periodicals.jpg,EA,Thefly.com,"Disney (DIS) wants a new ... DIS, EA, TTWO, UBSFY, NTES",https://finnhub.io/api/news?id=1bdc41eced313e55f35c5786e48e6aa59d1665716d5ae5de005fc1fbc7283b60
company,2022-09-26 15:32:59,Netflix Sets Up First Internal Studio to Develop Video Games,116265800,https://s.yimg.com/ny/api/res/1.2/X6E6dyGN564gExvuPV.LlQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/bloomberg_technology_68/ccee65b1d09df33be8ae27e777560877,EA,Yahoo,"(Bloomberg) -- Netflix Inc. is creating its first in-house video games studio in a push to be less reliable on third-party creators and expand its gaming offerings.Most Read from BloombergJohn Paulson on Frothy US Housing Market: This Time Is DifferentUK Market Selloff Slams Gilts, Pound, Piling Pressure on BOEStocks, Commodities Drop; US Treasury Yields Surge: Markets WrapWall Street Banks Prep for Grim China Scenarios Over TaiwanInterpol Issues Red Notice for Terra’s Do Kwon, Korea SaysThe new",https://finnhub.io/api/news?id=50466e63618182762196ce090f09b2b048a3cb51091ba021f37b728f20a41c4e
company,2022-09-26 13:47:00,FIFA 23 Global Series to feature first EA Sports Cup,116268813,,EA,Reuters,"The first-ever EA SPORTS Cup will headline the EA SPORTS FIFA 23 Global Series, Electronic Arts Inc. announced Monday.",https://finnhub.io/api/news?id=1c74589c7b71442d95b32722d0d74db95fa425b66f233e58f0fd27a70e2d1945
company,2022-09-26 08:00:00,Electronic Arts Unveils Roadmap for EA SPORTS™ FIFA 23 Esports Ecosystem,116261944,https://s.yimg.com/uu/api/res/1.2/zfUbpzUaRs_uYaJEuDS1Yg--~B/aD0yNDA7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/2f75af093cabea4c65bd869566667403,EA,Yahoo,"REDWOOD CITY, Calif., September 26, 2022--Electronic Arts Inc. (NASDAQ: EA) today announced an enhanced, reimagined EA SPORTS™ FIFA 23 competitive gaming program showcasing the future of football esports.",https://finnhub.io/api/news?id=1d3a9f945cbff31faecae0c6fbb27a3c05208b56a7e8fda90178ae415a1e008c
company,2022-09-24 21:12:03,Electronic Arts: Stock Could See Short-Term Limbo,116239622,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg?io=getty-c-w750,EA,SeekingAlpha,Electronic Arts continued to see a boost in net bookings. See why EA stock appears to be too expensive at this point in time.,https://finnhub.io/api/news?id=3974ba3593d19342b2ba2993d20b3862bdf9ad23e3c2a0567c9b8ae30635b789
company,2022-09-30 10:57:00,"EA SPORTS™ FIFA 23 Delivers the Most Complete Interactive Football Experience Yet, with HyperMotion2, Generational Cross-Play, Women’s Club Football, and Both Men's and Women's FIFA World Cups™",116365170,https://s.yimg.com/uu/api/res/1.2/DiS4DGspwem.xLO43VF.3A--~B/aD0yNzA7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/bfbe1ffdf6bbd3eff37d489ed4f0939b,EA,Yahoo,"REDWOOD CITY, Calif., September 30, 2022--The Most Expansive EA SPORTS FIFA Ever Launches Worldwide Today",https://finnhub.io/api/news?id=aa0a3e1430e07e2bde027c9be52de8f7eefbf8df4605d1a57abe5feb5974dfa6
