category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 16:00:00,"eBay Awards $500,000 to 2022 Class of Up & Running Grant Recipients",116225564,https://s.yimg.com/uu/api/res/1.2/mbEPuuA6_2L4kz6rnQrk0A--~B/aD0yMzA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/8a7cac36a0d41eb22a80168f57a64028,EBAY,Yahoo,"eBay Inc. today announced the recipients of its third annual Up & Running Grant program, which was created in partnership with Hello Alice to support U.S. small businesses with the capital and resources they need to scale, grow and thrive online.",https://finnhub.io/api/news?id=46978b7e43b36ec6600841678d818fe6a972d95b998a1fdd5d9d31a2e41422e7
company,2022-09-23 12:50:00,"eBay Inc. stock falls Friday, still outperforms market",116241652,https://images.mktw.net/im-220105/social,EBAY,MarketWatch,"Shares of eBay Inc. slumped 0.29% to $38.19 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=5eb0e7bf9ebb6179511d5007528edcac263bf183c7527af32934353736c76f1f
company,2022-09-23 12:13:16,eBay : Management Change - Form 8-K/A,116220140,,EBAY,Finnhub,"UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 8-K/A CURRENT REPORT Pursuant to Section 13 or 15... | September 23, 2022",https://finnhub.io/api/news?id=6c8f90c98f9775a17b29511b50c25beaa318e55405d9274cdeaaa4f8c16f1d06
company,2022-09-23 12:08:10,EBAY INC Change in Directors or Principal Officers (form 8-K/A),116219820,,EBAY,Finnhub,"Item 5.02. Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Compensatory Arrangements of Certain Officers.On August... | September 23, 2022",https://finnhub.io/api/news?id=034f60765d4bdd6a6221126f283dc26c38b3a99f8fb54fb7411af808974de35d
company,2022-09-28 12:50:00,"eBay Inc. stock rises Wednesday, outperforms market",116347375,https://images.mktw.net/im-220105/social,EBAY,MarketWatch,"Shares of eBay Inc. rose 2.77% to $38.61 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=b3986ed56bd58104d264696038bbcb18d9fb4ac4f1c3e2db6287bc3f647cf562
company,2022-09-28 09:16:45,10 Dividend Paying Stocks You Should Avoid According to Morgan Stanley’s Quant Screen,116302457,https://s.yimg.com/uu/api/res/1.2/eIQztSn1JclI11nsnXIc.g--~B/aD0yNjc7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/32475f5201d0535f7a115a7eb970df1d,EBAY,Yahoo,"In this article, we will discuss the 10 dividend paying stocks you should avoid according to Morgan Stanley’s quant screen. If you want to read about similar stocks, you can also take a look at 5 Dividend Paying Stocks You Should Avoid According to Morgan Stanley’s Quant Screen. Morgan Stanley’s Sherry Paul: “It’s a Buying […]",https://finnhub.io/api/news?id=e83f6e9146ca1c7c1c862bf59c3a834da8a5fbb4844b7f13378c5b9b43940b61
company,2022-09-28 05:00:00,Last Chance for Antitrust Bill to Curb Big Tech Now Hangs on Lame Duck Vote,116303844,https://s.yimg.com/ny/api/res/1.2/zNyYMld4LWcaIzKsJeQtyA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD05MDA-/https://media.zenfs.com/en/bloomberg_technology_68/4da3f33fb15c35b8f19183d73c7aac8a,EBAY,Yahoo,(Bloomberg) -- Supporters of a landmark antitrust bill gathered over beer and soft pretzels at Cafe Berlin on Capitol Hill last week to muster energy for one last push to rein in the dominance of giant technology companies.Most Read from BloombergGermany Suspects Sabotage Hit Russia’s Nord Stream PipelinesApple Ditches iPhone Production Increase After Demand FaltersAlzheimer’s Progression Slowed by Drug in Major TrialPutin’s Mobilization Hits Russia’s Economy in Its Weak SpotsRussia Declares Vic,https://finnhub.io/api/news?id=007d357c8e6b6a3ed00d5862630374bbfd539aef58ca2b05bf1660d05d1c0377
company,2022-09-27 12:50:00,"eBay Inc. stock falls Tuesday, underperforms market",116347376,https://images.mktw.net/im-220105/social,EBAY,MarketWatch,"Shares of eBay Inc. slipped 1.47% to $37.57 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=8f99c17ac455d25212b9ad2119d3dd7b47226c1a05fc92bca4f9aaab23990ec3
company,2022-09-27 06:44:00,Analysts Offer Insights on Consumer Goods Companies: Ebay (EBAY) and Nike (NKE),116308498,,EBAY,TipRanks,There&#8217;s a lot to be optimistic about in the Consumer Goods sector as 2 analysts just weighed in on Ebay (<span class='tr-stock-ticker' style='color:blue; font...,https://finnhub.io/api/news?id=29d705738adb53feae0ae04c03aa7ddd71bae219e732c52e3b235eb6675c89a5
company,2022-09-27 03:00:00,Amazon Avoided $5.2 Billion in Taxes: Report. It Won’t Under New Law.,116273255,https://s.yimg.com/ny/api/res/1.2/9LliftGTEVyY0sagd6DGhw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/Barrons.com/6c9c7272b2272072712ff8a963ed9067,EBAY,Yahoo,The Inflation Reduction Act imposes a 15% minimum tax rate on income as reported in GAAP financial statements. It takes effect in 2023.,https://finnhub.io/api/news?id=f3c8b05a0cd48efafcd046d57cbd979df076f03419c3e09113f6882b0cf307d2
company,2022-09-26 16:33:00,Here Are the Designer Items That Resell the Best,116268130,,EBAY,Yahoo,"While the quote about having one's money in the closet right where one can see it comes from HBO's ""Sex and the City,"" the reality is that certain designer items do appreciate in value over the years.  Looking at resale numbers on online marketplace eBay  data, luxury watch company Chrono 24 found that Kering 's Gucci was by far the most popular designer brand to buy and sell second-hand.  In the last 90 days, 23,939 used Gucci items were purchased on eBay.",https://finnhub.io/api/news?id=b37c7b08eeb0a2bd44a987d61cbcd7a749bb5bd4686f36ad1b7f59caaf256d0c
company,2022-09-26 16:32:12,New corporate tax would have raised $30 billion from 'under a dozen companies' in 2021: Expert,116265262,https://s.yimg.com/ny/api/res/1.2/XCoXfDqlXe0vNnDTj7.c0Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2022-09/5368d450-3dd9-11ed-bede-d82e4494ce4a,EBAY,Yahoo,University of North Carolina Kenan-Flagler Business School Associate Professor Jeffrey Hoopes joins Yahoo Finance Live to explain why the new 15% minimum corporate tax rate would hit companies like Amazon and Berkshire Hathaway the hardest.,https://finnhub.io/api/news?id=913bd51ec313da72121ea5088f867485a37fc25422b16e7e35e4665c45579817
company,2022-09-26 12:50:00,eBay Inc. stock outperforms market despite losses on the day,116347378,https://images.mktw.net/im-220105/social,EBAY,MarketWatch,"Shares of eBay Inc. shed 0.16% to $38.13 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=a6416387e95027fed90b0ca74c877e929a1fb1c27a847ef9dfa10051cdab1210
