category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 12:53:00,"Exelon Corp. stock falls Friday, still outperforms market",116223848,https://images.mktw.net/im-220105/social,EXC,MarketWatch,"Shares of Exelon Corp. slid 0.02% to $41.67 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=61034a65bb7711361c6e7888cbad3929398bb6fda72e9dc43bca2ee08c4ab7d0
company,2022-09-28 12:52:00,"Exelon Corp. stock falls Wednesday, underperforms market",116348560,https://images.mktw.net/im-220105/social,EXC,MarketWatch,"Shares of Exelon Corp. shed 1.17% to $39.68 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=ddfd1639ef13c04bf5ca239fbdc90ddabdced832833c547dd4003312271af669
company,2022-09-28 06:00:00,Constellation Joins State and Federal Officials to Celebrate Progress on Nation’s First Nuclear-Powered Clean Hydrogen Facility,116313532,,EXC,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=45d9d0e780f0860c987928df50410c209258555324e33995429bf810ba3aa638
company,2022-09-27 21:33:00,"Wednesday Sector Laggards: Utilities, Consumer Products",116340231,,EXC,Market News Video,"The worst performing sector as of midday Wednesday is the Utilities sector, up 1.0% - Within the sector, Exelon Corp (EXC) and Edison International (EIX) are two large stocks that are lagging, showing a loss of 0.7% and 0.3%, respectively. - EXC,EIX,XLU,VFC,HAS.",https://finnhub.io/api/news?id=d51251533ec675e08cd8d230704594da7797a446f0d07e2d4d1e4375b7100fe1
company,2022-09-27 12:52:00,Exelon Corp. stock underperforms Tuesday when compared to competitors,116348561,https://images.mktw.net/im-220105/social,EXC,MarketWatch,"Shares of Exelon Corp. slipped 1.06% to $40.15 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=d713394be86b83aaf91ded81a1ea13e6113ef7a98f84dca48775fce52eb69ab6
company,2022-09-27 12:18:00,ComEd Piloting Herbicide Drone Program to Prevent Power Outages Through Vegetation Management,116292573,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,EXC,Yahoo,"CHICAGO, September 27, 2022--ComEd has begun piloting an innovative approach to vegetation management near powerlines with the help of specialized drones. The first deployment of drone-delivered herbicide took place on two-acres of ComEd right-of-way land in Forest View, Ill. in late August. The drone deployment process took 45 minutes and 0.75 gallons of herbicide to complete what would have taken a human crew approximately two days of work and 8 gallons of herbicide solution. Recent inspection",https://finnhub.io/api/news?id=78d729da8aa483f4ee039901fd3c7663662ece41dac19a508c7fc39c2e15fd44
company,2022-09-26 12:53:00,"Exelon Corp. stock falls Monday, underperforms market",116348562,https://images.mktw.net/im-220105/social,EXC,MarketWatch,"Shares of Exelon Corp. shed 2.62% to $40.58 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=d6c0340f9741087d0df8e5809c8123b61505fbd2591abba76711af244e7be48e
company,2022-09-26 06:25:00,EXC Stock Crowded With Sellers,116262224,,EXC,Energy Stock Channel,"energy stock channel,EXC,",https://finnhub.io/api/news?id=097f61b127a43cd0155459c11ecda4edbde486a79b68063848292d900273c3c1
company,2022-09-30 06:55:00,4 High-Yield Stocks for Divide - GuruFocus.com,116363162,https://static.gurufocus.com/photos/companies/yields_9.22.14.jpg,EXC,GuruFocus,GuruFocus Article or News written by Alberto Abaterusso and the topic is about: These stocks are yielding more than the S&P 500,https://finnhub.io/api/news?id=38382a52a0b3ae15fa08fe02b1bae5819212c70d619215a9e96b80d3edd2db39
company,2022-09-29 12:53:00,Exelon Corp. stock underperforms Thursday when compared to competitors,116348559,https://images.mktw.net/im-220105/social,EXC,MarketWatch,"Shares of Exelon Corp. slipped 4.86% to $37.75 Thursday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=c8716b6b0d434b41bbb9ad3624a468ec1bc719821af292253d06a0046620d430
