category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 16:27:11,"Top Energy Stock In Base Despite Drop, But Group Is Getting Beatdown",116229184,,FANG,Yahoo,Diamondback Energy stock is a leader in the energy group and in a base with a buy point on the chart. The company has strong EPS and sales growth.,https://finnhub.io/api/news?id=4e2ca0b060badffc9366743098208de764d1fe6d139c3c2dd29d8398e0384601
company,2022-09-23 12:53:00,Diamondback Energy Inc. stock underperforms Friday when compared to competitors,116224048,https://images.mktw.net/im-220105/social,FANG,MarketWatch,"Shares of Diamondback Energy Inc. slid 8.96% to $115.20 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=f8a453343e59dbab1024f0f198287640e3b60d2d3ef93aa5eb9eba0221432a69
company,2022-09-28 16:01:00,"Viper Energy Partners LP, a Subsidiary of Diamondback Energy, Inc., Schedules Third Quarter 2022 Conference Call for November 8, 2022",116311474,https://s.yimg.com/uu/api/res/1.2/a0og7sai5wMmV0fzRpk9Lw--~B/aD02Nzt3PTEwNzthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/globenewswire.com/96a9db2618223b384a975b6618760586,FANG,Yahoo,"MIDLAND, Texas, Sept. 28, 2022 (GLOBE NEWSWIRE) -- Viper Energy Partners LP (NASDAQ: VNOM) (“Viper”), a subsidiary of Diamondback Energy, Inc. (NASDAQ: FANG) (“Diamondback”), today announced that it plans to release third quarter 2022 financial results on November 7, 2022 after the market closes. In connection with the earnings release, Viper will host a conference call and webcast for investors and analysts to discuss its results for the third quarter of 2022 on Tuesday, November 8, 2022 at 10:",https://finnhub.io/api/news?id=aa961bfa48399a8aabf8ea0b6da98ac2df769d52fd2c52e5f350e09979c73bcd
company,2022-09-28 16:01:00,"Diamondback Energy, Inc. Schedules Third Quarter 2022 Conference Call for November 8, 2022",116317687,https://s.yimg.com/ny/api/res/1.2/e0AlOr6MdXg.EOXAetPMlw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD00Mzg-/https://media.zenfs.com/en/globenewswire.com/65079ff8af771091c3a6d0b503fecdcc,FANG,Yahoo,"MIDLAND, Texas, Sept. 28, 2022 (GLOBE NEWSWIRE) -- Diamondback Energy, Inc. (NASDAQ: FANG) (“Diamondback”), today announced that it plans to release third quarter 2022 financial results on November 7, 2022 after the market closes. In connection with the earnings release, Diamondback will host a conference call and webcast for investors and analysts to discuss its results for the third quarter of 2022 on Tuesday, November 8, 2022 at 8:00 a.m. CT. Access to the webcast, and replay which will be av",https://finnhub.io/api/news?id=0ae2f96875b7f1467ee55da77df51ef19c6d2e740da5a2cb6fd6b2aeaa713929
company,2022-09-28 09:32:01,Boost Your Portfolio With These 3 Permian Explorers,116307312,https://s.yimg.com/uu/api/res/1.2/FxOHhfn7g9SwD8lvGgdDJg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6748ef6d8de7d8aac0d3d17570ab8235,FANG,Yahoo,"Handsome oil price continues to aid Diamondback (FANG), Chevron (CVX) and ExxonMobil (XOM).",https://finnhub.io/api/news?id=d3313f121d890c75fc58a749cedda0a763864a8909359421d9a8de20b667a29e
company,2022-09-28 07:34:04,Realty Income Shares Have Gone Nowhere For 6 Plus Years,116304946,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1310768970/image_1310768970.jpg?io=getty-c-w750,FANG,SeekingAlpha,Realty Income has underperformed the overall market for 6 plus years and the underperformance could continue. Click here to read more about O stock.,https://finnhub.io/api/news?id=f4bbd59114b8eaa964c49f5a36367fd142e7832731e56ac1d2e1b461d6d7025d
company,2022-09-27 23:49:00,Diamondback Energy Takes Over #307 Spot From Hartford Financial Services Group,116314947,,FANG,The Online Investor,"the online investor,FANG,HIG,",https://finnhub.io/api/news?id=31434f52f2903e7ac4204723bc3563e083eb8285d6a44daa3c6a43e1479854a0
company,2022-09-27 09:45:01,Are You a Growth Investor? This 1 Stock Could Be the Perfect Pick,116288024,https://s.yimg.com/uu/api/res/1.2/eeFsK50..hTdRBoBNDEyoA--~B/aD03MTE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/d2f7ed3d1940141716bfd200f5c94c6b,FANG,Yahoo,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",https://finnhub.io/api/news?id=9edf2f26fe8382a923686bd6e26d4fb53f2d24d071676ab9dbae581fded5d181
company,2022-09-27 09:40:01,Should Value Investors Buy Diamondback Energy (FANG) Stock?,116288025,https://s.yimg.com/uu/api/res/1.2/nxwFIPS2ImeTQYZMYlnAgg--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/1a018a29aef5adbf5b4319f32058e209,FANG,Yahoo,"Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",https://finnhub.io/api/news?id=0c8923cd04f81119b2798a4591c182b6c1e5c3d0e9581a32159409cb48c2a324
company,2022-09-26 16:01:00,"Diamondback Energy, Inc. Releases 2022 Corporate Sustainability Report",116272273,https://s.yimg.com/ny/api/res/1.2/e0AlOr6MdXg.EOXAetPMlw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD00Mzg-/https://media.zenfs.com/en/globenewswire.com/65079ff8af771091c3a6d0b503fecdcc,FANG,Yahoo,"MIDLAND, Texas, Sept. 26, 2022 (GLOBE NEWSWIRE) -- Diamondback Energy, Inc. (NASDAQ: FANG) (“Diamondback” or “the Company”) today released its 2022 Corporate Sustainability Report. The online report outlines Diamondback’s approach to sustainability, commitment to environmental responsibility, managing and reducing risks, governance and business ethics, and our commitment to our people and communities. The report highlights Diamondback’s performance in these categories through December 31, 2021,",https://finnhub.io/api/news?id=5e2c660bf56b0826e1389d5aca855c2d12f9e540fe57dfe06c84d8dc790b7f3a
company,2022-10-02 06:48:31,Diamondback Energy: Ready For Whatever Happens,116382661,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1327982065/image_1327982065.jpg?io=getty-c-w750,FANG,SeekingAlpha,Diamondback Energy has the lowest costs and a better than average growth rate to go with a decent dividend policy. Click here for a full investment analysis.,https://finnhub.io/api/news?id=a8c78e19a6b882afb9838cd338ff020f536f165e9608a71f84e6ce2880f890d1
company,2022-09-30 10:13:02,"Zacks Value Trader Highlights: Centene, Diamondback  Energy, The Kroger, Wells Fargo and United Rentals",116364968,https://s.yimg.com/uu/api/res/1.2/WPsJyavAWuG62zKy2OJfPg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/1742c873e164807fdc15d34abf611170,FANG,Yahoo,"Centene, Diamondback, Energy, The Kroger, Wells Fargo and United Rentals are part of Zacks Value Trader blog.",https://finnhub.io/api/news?id=6951e4b31956102884eaad0d7b8a82e7c296632f577a3ba77d5b69cdce51a690
company,2022-09-30 09:46:01,Cracker Barrel Old Country Store and Mohawk Industries have been highlighted as Zacks Bull and Bear of the Day,116371390,https://s.yimg.com/uu/api/res/1.2/Q3pdFYgJq1m7Bm6A4P0kjA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/928c0bbf9345af7a89eb061e8dd82bdd,FANG,Yahoo,Cracker Barrel Old Country Store and Mohawk Industries are part of Zacks Bull and Bear of the Day article.,https://finnhub.io/api/news?id=0daaee9cacd8626acfdd9aa757baebe691d1fee758e6056ff44d694350bfdc73
company,2022-09-29 16:06:08,Make a Wish List of Value Stocks,116341762,https://s.yimg.com/uu/api/res/1.2/Z_5XRRivEqCrAMIUrRo0Dg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/d2c4e75532d5286fce198ce9e873d8d8,FANG,Yahoo,Screen with the Zacks Rank and Style Scores to find top companies.,https://finnhub.io/api/news?id=887fbf63b4e40f09c140545920657fd8799360e739e839256c4c9b958233466a
company,2022-09-29 08:14:12,Oxford Industries and KB Home have been highlighted as Zacks Bull and Bear of the Day,116331745,https://s.yimg.com/uu/api/res/1.2/51tLtP3zn1cfamzFZS4A9Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/47a5c91ee32230c2f83ce3b58ad1263c,FANG,Yahoo,Oxford Industries and KB Home are part of the Zacks Bull and Bear of the Day article.,https://finnhub.io/api/news?id=adc822e98003adfdbf7225d3577a71fb6cf9c74e9257077a4a98926217167a7e
company,2022-09-29 07:29:11,"3 Energy Stocks With Dividend Comfort: DINO, XOM & FANG",116330896,https://s.yimg.com/uu/api/res/1.2/dQjxaA1wGHBR4Ixv8a6Rmg--~B/aD00MTQ7dz02MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f825510b681d731112b8004f3d81ca7,FANG,Yahoo,"HF Sinclair (DINO), ExxonMobil (XOM) and Diamondback Energy (FANG) are three fundamentally and operationally strong energy companies that should enable you to live-off dividends through sector volatility.",https://finnhub.io/api/news?id=fd654094a04fbf4c814f5fae755cccbbb9615d110c2f44764508c5954cc552c4
company,2022-10-06 12:24:55,Top Stocks for October 2022,116511560,https://s.yimg.com/ny/api/res/1.2/DgyO12UZoLIKUYPmX9mZtg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD01MzM-/https://media.zenfs.com/en/investopedia.com/98f3b8465bb5b576f994a9382b182ead,FANG,Yahoo,"The Russell 1000 Index is a market-capitalization-weighted index of the 1,000 largest publicly traded companies in the U.S. It represents approximately 92% of the total market capitalization (market cap) of all listed stocks in the U.S. equity market.  The Federal Reserve on Oct. 21 raised short term rates another three-quarters of a point, which will further rein in the economy.  In addition, some Fed officials are calling for more interest rate hikes to combat inflation.",https://finnhub.io/api/news?id=5ed4ee0ed3411935d55d910c4a8939b34924558815e944b7e53009af01f03132
company,2022-10-06 06:45:00,These 3 Oil Stocks Are Wildly Undervalued as Crude Surges Toward $90 a Barrel,116518150,,FANG,Yahoo,"Oil prices have been all over the place this year.  WTI, the primary U.S. oil price benchmark, started 2022 at around $75 a barrel before rocketing over $120 a barrel following Russia's invasion of Ukraine.  The move could keep a floor under crude prices and potentially push them higher depending on demand and other supplies.",https://finnhub.io/api/news?id=4440f71ec215d47ea28e932bf71dfad86f3dcccb5958d5a4feb86fd0c0483ddc
company,2022-10-05 07:30:40,OPEC Drops The Bombshell,116467581,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1389845387/image_1389845387.jpg?io=getty-c-w750,FANG,SeekingAlpha,OPEC announced a much larger-than-expected production cut. Read why the organization is flexing its muscles and seeks to keep oil prices at a high level.,https://finnhub.io/api/news?id=7136968bee75a7b69a1d28993bebdaf29f1c6b4917092a52e5b86f9b9243ff54
