category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 05:00:00,The Near-Perfect Portfolio: Sleep Well During Turbulent Times,116231823,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1364371014/image_1364371014.jpg?io=getty-c-w750,FAST,SeekingAlpha,"The principles of NPP revolve around sustainable income, lower drawdowns, capital preservation, and reasonable growth over the long. Read more here.",https://finnhub.io/api/news?id=4522cd2cc75715b5451ec2c8878364322631d7968a1c8739c1915dca5865d4b4
company,2022-09-23 12:53:00,Fastenal Co. stock outperforms competitors on strong trading day,116224616,https://images.mktw.net/im-220105/social,FAST,MarketWatch,"Shares of Fastenal Co. inched 0.27% higher to $47.72 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=dd22f1dc629df5da3de1b73ecde25bc1580bb1f14a77b6edad258882cb5d4e36
company,2022-09-28 17:05:00,Fastenal Company Announces Conference Call to Review 2022 Third Quarter Earnings,116322254,https://s.yimg.com/uu/api/res/1.2/Hv_fs8V0WYBDqu_Y7N0MWg--~B/aD0xMjM7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/678d57c1a3e43dd47a946507b347c1ee,FAST,Yahoo,"WINONA, Minn., September 28, 2022--Fastenal Company (Nasdaq:FAST) announced the date and time for its conference call to review 2022 third quarter results, as well as current operations. The conference call will be broadcast live over the Internet on Thursday, October 13, 2022 at 9:00 a.m. central time.",https://finnhub.io/api/news?id=9a4bc8ade12a3ca13786954386fa27c23530a621e8089dd601668f9c0d9a762a
company,2022-09-26 12:58:04,10 Quality Stocks With Dividend Yields Over 2%,116260624,https://s.yimg.com/uu/api/res/1.2/zK.5Ita0p3QvP_V.K5MoaQ--~B/aD02MDA7dz00NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/9f2630333189fefb3496271aec776e70,FAST,Yahoo,"In this article, we discuss 10 quality stocks with dividend yields over 2%. You can skip our detailed analysis of dividend investments and the current market turmoil, go directly to read 5 Quality Stocks With Dividend Yields Over 2%. With rising inflation, investors are getting increasingly concerned about the possibility of a recession. This year has […]",https://finnhub.io/api/news?id=d1e76fd41c0e604eb04ad23b0b01d793bc0a6730d32566d8c02a8166ca77b62b
company,2022-10-02 09:12:09,Why You Should Care About Fastenal's (NASDAQ:FAST) Strong Returns On Capital,116382002,https://s.yimg.com/uu/api/res/1.2/DSVnwZKEypugE5XiS5bHWw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/7d457e118489e6e5357eb5fd232e46f8,FAST,Yahoo,"If we want to find a stock that could multiply over the long term, what are the underlying trends we should look for...",https://finnhub.io/api/news?id=e20f2a2cc2174315d750e676070e022119473001f780c2441a2838cd8362aabe
company,2022-10-01 05:00:00,How To Aim For A Million Dollar Portfolio And Retire At 62,116370903,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/465887840/image_465887840.jpg?io=getty-c-w750,FAST,SeekingAlpha,Click here to read more about several strategies and model portfolios that can help you retire with a one million dollar portfolio.,https://finnhub.io/api/news?id=d6f822de628c80c60b56e3abdfb8eff8cfec9f414890678618443e599dd0eec6
company,2022-09-30 13:08:14,"FASTENAL CO : Entry into a Material Definitive Agreement, Creation of a Direct Financial Obligation or an Obligation under an Off-Balance Sheet Arrangement of a Registrant (form 8-K)",116363477,,FAST,Finnhub,"Item 1.01. Entry into a Material Definitive Agreement.On September 28, 2022, Fastenal Company amended and restated itsexisting unsecured revolving Credit Agreement dated May 1, 2015, as... | September 30, 2022",https://finnhub.io/api/news?id=f0c9a7e9f558165901a2d49add93f69d02e5d229b6fa1157ac35e48d8317d866
company,2022-10-06 10:00:02,Fastenal (FAST) Reports Next Week: Wall Street Expects Earnings Growth,116518813,https://s.yimg.com/uu/api/res/1.2/OL7xfT5pzuzwP2wxb1pcSw--~B/aD02MjU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/7ea641b46fe75c0a913349e5e610d6a2,FAST,Yahoo,Fastenal (FAST) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,https://finnhub.io/api/news?id=b8190d210d5fc27458eeb85d4eedaa0d448b80149fabee387664a94d9abb0492
company,2022-10-06 07:26:50,7 Dividend Stocks That Are Too Cheap to Ignore,116571621,https://s.yimg.com/uu/api/res/1.2/9ky_VSN8WQ8_HQzt3R4KYw--~B/aD00MDA7dz03Mjg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/investorplace_417/c629d87ba712e1e4c4587f715bd9fcc5,FAST,Yahoo,"With the massive paradigm shifts that erupted this year, more investors look toward cheap dividend stocks to buy. As inflationary forces diminished the dollar’s purchasing power in the first half of this year, many sought to arrest this trajectory through passive income. And while the Federal Reserve intends to effectively introduce deflationary forces by raising the benchmark interest rate, the underlying chaos still makes dividend payers look good. Another reason to consider cheap dividend sto",https://finnhub.io/api/news?id=2d47cd9b6df755ab6d9a094049db01f73000b74a7dbf9966a6e1e89e4d34da27
company,2022-10-10 17:46:09,Insiders Have Bought These 3 Stocks in 2022,116585326,https://s.yimg.com/uu/api/res/1.2/UuRTC4BXBJyYG5RWhArt2w--~B/aD0zNDk7dz02MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/92df50a013c4dbda3cc928f04e6b041a,FAST,Yahoo,"Insider buys are widely followed by investors and for valid reasons. If an insider buys, it could only mean one thing - they expect shares to move upwards.",https://finnhub.io/api/news?id=fa940ac2c8e06334c60f2ca1c420cf34adc9e08972883dd3d6af83d06d4fd4f5
