category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 12:55:00,"Fortinet Inc. stock falls Friday, still outperforms market",116241802,https://images.mktw.net/im-220105/social,FTNT,MarketWatch,"Shares of Fortinet Inc. slumped 0.31% to $48.59 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=8b00d75d7d257523afc9d7e2d36fba3552a9b424bc8a2d1900620d727a885571
company,2022-09-28 08:30:12,Beat the Market Swings With 4 Blue-Chip Picks From Tech Sector,116305540,https://s.yimg.com/uu/api/res/1.2/xl0BaCLkhZZHK_B7kBAZJQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/57b04c7d2045e30707e0179045b0da10,FTNT,Yahoo,"Here's a sneak peek into four blue-chip stocks with solid investment prospects from the technology sector -- Fortinet (FTNT), Zscaler, Synopsys and STMicroelectronics.",https://finnhub.io/api/news?id=58c112031094690d09af300824b8b953bad0b678132ebecf00d13d1503aa6682
company,2022-09-27 09:00:00,"Fortinet Introduces Enhanced AIOps Capabilities Across its SD-WAN, Wired/Wireless, and 5G/LTE Gateway Portfolio",116280599,https://s.yimg.com/uu/api/res/1.2/JVKdfpnR8W88VqXQ_Sm2xA--~B/aD0zODY7dz00NDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/globenewswire.com/2c4490e60858282b5eb94e6047ce7712,FTNT,Yahoo,"FortiAIOps builds on Fortinet's rich history of developing artificial intelligence to deliver actionable network insights for self-optimizing managementSUNNYVALE, Calif., Sept. 27, 2022 (GLOBE NEWSWIRE) -- John Maddison, EVP of Products and CMO at Fortinet“Fortinet has spent the past decade maturing its AI and ML technology to analyze over 100 billion global security events a day covering all types of threats and attack techniques, which in turn informs over 1 billion daily security updates to F",https://finnhub.io/api/news?id=68b7e54f718a581f026660d7e58bdebfb642e3422ac6456d2f8daac992c97ba8
company,2022-09-27 04:02:00,Fortinet announces enhanced AIOps capabilities across networking portfolio,116315365,https://thefly.com/images/meta/hotstocks.jpg,FTNT,Thefly.com,Fortinet announced enhanc... FTNT,https://finnhub.io/api/news?id=f0a25df60d62edba4aaa22829384e64469e033ef726f9f2ef0350e3434f9c035
company,2022-09-30 10:52:02,"The Zacks Analyst Blog Highlights Airbnb, Fortinet, VeriSign, CDW and Zscaler",116365707,https://s.yimg.com/uu/api/res/1.2/mvhw1wpQHk5aes1cbDKHzg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/66f47457aa052e50b0bba1c49570ef2b,FTNT,Yahoo,"Airbnb, Fortinet, VeriSign, CDW and Zscaler are part of The Zacks top Analyst Blog.",https://finnhub.io/api/news?id=643f4e40d669d29ce07ac3205a56e7f462d8224ccf762490c9de6221497ae81a
company,2022-09-29 13:04:02,Fortinet : Progress on Sustainable Product Innovation,116339166,,FTNT,Finnhub,"A Q&A with Fortinet's Michael Xie, Co-founder & CTO, and Barbara Maigret, Fortinet's Global Head of Sustainability and CSR Environmental considerations such as climate... | September 29, 2022",https://finnhub.io/api/news?id=1181745a00a9a4cf37250909f09b3aa9ce18f19591c3b5d93e25ed9467e444af
company,2022-09-29 08:00:12,"Top 5 Beaten-Down, Nasdaq-Listed Tech Stocks With Solid Upside",116331810,https://s.yimg.com/uu/api/res/1.2/tDSex2eXNjL2X16tOrv62w--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/d10d4428c213ff155c9fa3853df90e24,FTNT,Yahoo,"We have narrowed our search to five Nasdaq- listed technology stocks currently trading at a deep discount to their 52-week highs. These are: ABNB, FTNT, VRSN, CDW and ZS.",https://finnhub.io/api/news?id=65a51ec553cdf2a54dc0f5d589b85804b0a043f56f47ed5d5d9a94420115b693
company,2022-10-06 09:56:01,5 Cloud Security Stocks That Could Enhance Returns in 2022,116513519,https://s.yimg.com/uu/api/res/1.2/tDSex2eXNjL2X16tOrv62w--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/d10d4428c213ff155c9fa3853df90e24,FTNT,Yahoo,"Here we present five cloud security stocks, FTNT, VMW, IBM, INFY and PANW, which are poised to gain from the heightening need for secure networks and cloud-based applications.",https://finnhub.io/api/news?id=7fca8a1aa89241028d718e0c0d20625b04eacde823ab193c20df73911415ca77
company,2022-10-06 09:00:00,Chandler Unified School District Deploys Fortinet’s Security Awareness and Training Service,116514732,https://s.yimg.com/uu/api/res/1.2/JVKdfpnR8W88VqXQ_Sm2xA--~B/aD0zODY7dz00NDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/globenewswire.com/2c4490e60858282b5eb94e6047ce7712,FTNT,Yahoo,"Second Largest Arizona School District to Provide its Faculty and Staff Cyber Awareness Training and Improve Security Posture with Fortinet’s Free Service for K-12 Schools in the U.S.SUNNYVALE, Calif., Oct. 06, 2022 (GLOBE NEWSWIRE) -- News SummaryFortinet® (NASDAQ: FTNT), a global leader in broad, integrated and automated cybersecurity solutions, today announced that Chandler Unified School District is providing its more than 5,200 faculty and staff with Fortinet’s information Security Awarenes",https://finnhub.io/api/news?id=d89ad5438e74ce6f71714cfd1f9689ecb4d84081107a2233e5267a80af706f59
company,2022-10-06 04:03:00,Fortinet Security Awareness service selected by Chandler Unified School District,116507325,https://thefly.com/images/meta/hotstocks.jpg,FTNT,Thefly.com,Fortinet announced that C... FTNT,https://finnhub.io/api/news?id=f38fd753ab3e66f67fc867c209e14d25838df4ed0894b7d57389efc41aa2521d
company,2022-10-05 23:52:00,Fortinet initiated with an Outperform at SMBC Nikko,116507326,https://thefly.com/images/meta/streetresearch_initiate.jpg,FTNT,Thefly.com,SMBC Nikko analyst Carson... FTNT,https://finnhub.io/api/news?id=9681b72f09dc0a5cdbb0f15c3aa223fa40096df95e60c8a6479c6cca7b40400b
company,2022-10-05 05:30:00,"Got $3,000? 3 Top Growth Stocks to Buy That Could Double Your Money",116456839,https://s.yimg.com/ny/api/res/1.2/MD3sBUcHjs0034FXpJf_vQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03NDY-/https://media.zenfs.com/en/motleyfool.com/224c545319522bbf96df000826ef9bc4,FTNT,Yahoo,"It might seem difficult to get started in the stock market with just $3,000. But given enough time, even a modest $3,000 investment in the right growth stock can blossom into enough cash to buy a car, or even a house.",https://finnhub.io/api/news?id=42b41a03afcb87afaef5b3460afd536cdb753824b633373b40294a15d48de03d
company,2022-10-05 05:22:00,SecurityWeek to Host 2022 ICS Cybersecurity Conference October 24-27 in Atlanta,116471929,,FTNT,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=f918a4be599e902fae17b0227dedcc8d3841344bec5c199cfcc9bcf31edab130
