category,datetime,headline,id,image,related,source,summary,url
company,2022-09-27 23:47:00,Globalfoundries Larger Than S&P 500 Component Idexx Laboratories,116335973,,GFS,The Online Investor,,https://finnhub.io/api/news?id=516327090aa67e38e5c84c6ef2dcd52f23cf3cf4749c6009b2b016edee1c3187
company,2022-09-30 16:20:00,Bank of America Likes These Beaten Down Chip Stocks,116366838,https://s.yimg.com/ny/api/res/1.2/bJ20JiB7T5cd7GGl62FOzA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/thestreet.com/19728e3bae5ad4986a7eaec6e9eee27d,GFS,Yahoo,"Semiconductor stocks have tumbled in recent months amid flagging demand, with the S&P Semiconductors Select Industry Index dropping 36% year to date.  Bank of America analysts recently discussed their favorite choices in the sector.",https://finnhub.io/api/news?id=9f7dc9ea0fa0356267acc60dbdb66b0cedd07253860d1d83a7aed90f8f08d72f
company,2022-09-29 12:28:19,7 Semiconductor Stocks to Buy Before the Bull Market Returns,116385633,https://s.yimg.com/uu/api/res/1.2/K4imarpHtBid54jBkqdApw--~B/aD00MDA7dz03Mjg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/investorplace_417/abc7f008e6b4726600a49cf362e8f7b6,GFS,Yahoo,"While listing semiconductor stocks to buy typically generates a positive response, this year provides a contrasting case. Though the major indices all printed red ink since the start of 2022, technology-centric market ideas suffered disproportionately. Nevertheless, bold contrarians may enjoy an upside opportunity in the long run. Firstly, semiconductor stocks to buy trade cyclically. With the Federal Reserve committed to raising the benchmark interest rate, risk-on sentiment faded due to higher",https://finnhub.io/api/news?id=9e00e935c9f0aebf281b726fbab2618774ca60a2f55f8ef2e3fd725f8f92a022
company,2022-10-06 18:15:10,GlobalFoundries Inc. (GFS) Gains As Market Dips: What You Should Know,116516295,https://s.yimg.com/uu/api/res/1.2/CorpxfcSD3xaruoFanouDg--~B/aD00NzY7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/ace7df31c7fcb10255abe7c990ea373a,GFS,Yahoo,"GlobalFoundries Inc. (GFS) closed the most recent trading day at $53.53, moving +0.96% from the previous trading session.",https://finnhub.io/api/news?id=4a561e3063def3dee4ec7794014c8753b1811bf93ceb1c159fdad8ffe8b5d287
company,2022-10-04 05:20:55,Micron to spend up to $100 billion to build a computer chip factory in New York,116456024,https://image.cnbcfm.com/api/v1/image/106242939-15736620570943l8a0284r.jpg?v=1664889655&w=1920&h=1080,GFS,CNBC,"The announcement comes after the passage of the CHIPS and Science Act of 2022, a $52 billion federal law encouraging more domestic semiconductor production.",https://finnhub.io/api/news?id=bd1c7cfecd0bf42dd5e7c9dca4446bd968345761db5688d27ca292bc64f30369
company,2022-10-03 08:00:00,GlobalFoundries Announces Conference Call to Review Third Quarter 2022 Financial Results,116414058,https://s.yimg.com/ny/api/res/1.2/mYRXlFbcTH8iY6btmtUybw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD0zMzg-/https://media.zenfs.com/en/globenewswire.com/f3c8a83a8b6c0008a5243b42a9a1e7f9,GFS,Yahoo,"MALTA, New York, Oct. 03, 2022 (GLOBE NEWSWIRE) -- GlobalFoundries (NASDAQ: GFS) today announced that it will host a conference call on Tuesday, November 8, 2022 at 8:30 a.m. ET following the release of the company’s third quarter 2022 financial results. Conference Call and Webcast Information The company will host a conference call with the financial community on Tuesday, November 8, 2022 at 8:30 a.m. ET. Interested parties may join the scheduled conference call by registering here. The company",https://finnhub.io/api/news?id=066faa2d3ac74a124139202d2173fbf35d2a64c3a128ce1ba7575c274a852a6e
company,2022-10-07 12:00:04,GlobalFoundries Inc. (GFS) Upgraded to Buy: What Does It Mean for the Stock?,116526841,https://s.yimg.com/uu/api/res/1.2/xMhOxlfdhVA7Ts3pP3IHyA--~B/aD02MzM7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/b369e357aa3d42cc28ac674490d4ae83,GFS,Yahoo,"GlobalFoundries Inc. (GFS) might move higher on growing optimism about its earnings prospects, which is reflected by its upgrade to a Zacks Rank #2 (Buy).",https://finnhub.io/api/news?id=176e2170e035aa7fb060b627a14fa0d5e4e589dd305b89385b6249a5d9d67141
company,2022-10-13 01:01:00,Top 5 3rd Quarter Trades of JA - GuruFocus.com,116641241,https://static.gurufocus.com/images/logo_global.png,GFS,GuruFocus,GuruFocus Article or News written by insider and the topic is about: ,https://finnhub.io/api/news?id=c87d17a72b19608479f55ec4e2988ffaefd693fc2c1de81bbf7e340d5678d227
company,2022-10-11 07:41:11,New Strong Buy Stocks for October 11th,116585437,https://s.yimg.com/uu/api/res/1.2/ULjt1eArNx2pycScaXPjpw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/0f3182eccd855711cff4fbf09b861730,GFS,Yahoo,"YPF, GFS, PBF, VIPS and MPC have been added to the Zacks Rank #1 (Strong Buy) List on October 11, 2022.",https://finnhub.io/api/news?id=cf7c4c5fb8e5e334aa1400110e57e06d3841fbeda8521cadef52dfc9f5caa86d
company,2022-10-18 01:54:00,GlobalFoundries price target lowered to $60 from $65 at Deutsche Bank,117720592,,GFS,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=8e4860551eb661fa4fdc2932beed5a6c9d05b5bfa8f06d517cc1e5cbc655273e
company,2022-10-17 10:30:00,$30 Million in Federal Funding to Advance Innovation and Production of Next-Generation GaN Chips at GlobalFoundries Fab in Vermont,116691649,https://s.yimg.com/uu/api/res/1.2/Zj8CIR1L3nCiEIyStrXZEw--~B/aD0xMTM7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/f6c048e7c18e8db7ae10722f569431d8,GFS,Yahoo,"U.S. Senator Patrick Leahy and GlobalFoundries (Nasdaq: GFS) (GF), a global leader in feature-rich semiconductor manufacturing, today announced the award of $30 million in federal funding to advance the development and production of next-generation gallium nitride (GaN) on silicon semiconductors at GF's facility in Essex Junction, Vermont. With their unique ability to handle significant heat and power levels, GaN semiconductors are positioned to enable game-changing performance and efficiency in",https://finnhub.io/api/news?id=3dd87bf7c8bccd94bc66e409b3baf5ef551c7a92b4862d2601a9e06a370ef4f3
company,2022-10-17 05:35:00,GlobalFoundries announces $30M in federal funding for GaN chips at Vermont fab,116727666,https://thefly.com/images/meta/hotstocks.jpg,GFS,Thefly.com,U.S. Senator Patrick Leah... GFS,https://finnhub.io/api/news?id=688bafb537339780a587b9f448064337b1908a1995ac0bc54fd356536e0d4365
company,2022-10-21 08:54:00,"With Intel Q3 earnings on tap, semiconductors look to end week higher",117720587,,GFS,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=661dbad1c3cf7744bccd5f5232f901a2c5dc6a20290a3ece0dfabff8f5841821
company,2022-10-20 23:08:00,"With Intel Q3 earnings on tap, semiconductors end week sharply higher",117720589,,GFS,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d36f6ee1009244f4421cb93082f63028a8b8e27eaf380dec033b94a17ebf05fd
company,2022-10-19 23:46:00,GFS Crosses Above Key Moving Average Level,117720590,,GFS,Market News Video,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c3be76c8405e1e9ded08b93f9ae814df2163c42654289b461b9ff0ab664ae4b4
company,2022-10-19 08:45:00,Chips mostly lower as yields rise; ASML guidance buoys semiconductor equipment stocks,117720591,,GFS,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=cc1e239d55bcd8953878332e18bce6306a2f3ea336efde863fa9185a6a307e7a
company,2022-10-26 11:40:03,GFS vs. AMBA: Which Stock Should Value Investors Buy Now?,116840467,https://s.yimg.com/uu/api/res/1.2/wbCMwMtKIoXj_iQA0ego4g--~B/aD01MDY7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/1154d43aaeb65735a640003549116295,GFS,Yahoo,GFS vs. AMBA: Which Stock Is the Better Value Option?,https://finnhub.io/api/news?id=82176a216857de6198a67e38621a152ae6a890cedecfc6710feb05a4dbfb7b42
company,2022-10-25 03:15:00,GlobalFoundries price target lowered to $68 from $70 at Needham,117720586,,GFS,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=41305e742d4f843d02aae78d73ad25b51486fb6b58fc8fe86f6493d108770e6a
company,2022-10-28 07:22:03,Returns Are Gaining Momentum At GLOBALFOUNDRIES (NASDAQ:GFS),116865343,https://media.zenfs.com/en/simply_wall_st__316/1d618ff9ab875bb9b8cc70f749d1f2d0,GFS,Yahoo,"To find a multi-bagger stock, what are the underlying trends we should look for in a business? Firstly, we'll want to...",https://finnhub.io/api/news?id=32bc266f6ee8b43e2687b0ca19ef077096ea2d97ab71d7c18d9c0f0fdd5c3e22
company,2022-11-03 08:13:50,ASML Holding: What Price Excellence?,116935207,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1397047877/image_1397047877.jpg?io=getty-c-w750,GFS,SeekingAlpha,"ASML is the dominant player in the semiconductor sector that will shape every industry. Check here to see its growth catalysts, risk factors and my takeaways for investors.",https://finnhub.io/api/news?id=dd0af15b5f94f915a97e5d6e9bf82cd51fb9618011daa7d5f0752b7c83320b94
company,2022-11-03 03:55:00,GlobalFoundries: Positives Starting To Add Up,116930900,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1397353290/image_1397353290.jpg?io=getty-c-w750,GFS,SeekingAlpha,GlobalFoundries beat expectations last quarter and guiding above estimates for the next quarter. See why GFS stock is positioned well for sustainable growth.,https://finnhub.io/api/news?id=8741bec4343c9dd6d8dd1176687e036639914e7b696fb4e518705792f02f0b39
