category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 05:05:29,"The Inflation Reduction Act, Occidental, 45Q, And You: A Carbon Capture Investing Guide",116231822,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1386672256/image_1386672256.jpg?io=getty-c-w750,HON,SeekingAlpha,Carbon capture will become an exponentially expanding market in the next decade. Click here to see a detailed synopsis of carbon capture technologies from Occidental.,https://finnhub.io/api/news?id=2883803ddddbf847a9fcc5221316025e64817b387d5c33bb95fc85b0b8b530c5
company,2022-09-23 08:32:12,"Honeywell (HON) Unveils Integrated Smoke, IAQ Detection System",116219804,https://s.yimg.com/uu/api/res/1.2/pMcKbQHwP7R5Q0isLlxtrg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/35bb427ea1feef0da07a74969f06c57e,HON,Yahoo,"Honeywell (HON) launches VESDA Air solution, a single system combining smoke detection and indoor air quality monitoring, to enhance building safety.",https://finnhub.io/api/news?id=3250fd0cad22b7cf97fd42bc5084de7e1777f7023986ed426c6b31884db54e26
company,2022-09-23 07:50:00,"How Duke Energy, Honeywell and other corporate giants in Charlotte are remaking office experience",116212587,https://s.yimg.com/ny/api/res/1.2/HNp6V2eyXVx1dLYKmWicRA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/bizjournals.com/cc57c164d6d94c1ab18713be63f814a1,HON,Yahoo,"When Duke Energy announced plans for a new uptown tower in late 2018, it was already planning for a move to hybrid work schedules for office employees. Honeywell, too, says remote work and flex time were already before the pandemic.",https://finnhub.io/api/news?id=41498fc8de85d5bec8dc2ae3513ca4be3c658bdb433ed157a759ba3a293c97ca
company,2022-09-23 05:53:00,Cathie Wood Is Doubling Down on Velo3D (VLD) Stock,116216476,https://investorplace.com/wp-content/uploads/2021/02/3dprintingmsn3-1600.jpg,HON,InvestorPlace,"Yesterday, Cathie Wood purchased 96,623 shares of VLD stock through the 3D Printing ETF. The ETF has also received a management change.",https://finnhub.io/api/news?id=f4a3b110a0f832f1811fc4f829ca250933cf60b4e95980f633eff9364141236a
company,2022-09-23 04:26:00,The Best Battery Gigafactory Stock You’ve Never Heard Of,116233752,https://images.unsplash.com/photo-1607197109166-3ab4ee4b468f?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1000&q=80,HON,TalkMarkets,FREYR Battery is a Norwegian company with the goal to produce green battery cells to accelerate the decarbonization of both energy and transportation systems globally.,https://finnhub.io/api/news?id=295af29f2b80414763dcda5bd308d237451a23c928f79643048a87fdbdbc0263
company,2022-09-28 07:21:10,"Honeywell's Corporate Headquarters Earns LEED Gold; Company's own ready now AI-powered energy performance monitoring, air quality sensors, demand-controlled ventilation and smart lighting helped contribute to the Charlotte HQ's Gold rating",116304599,,HON,Finnhub,"CHARLOTTE, N.C.- Honeywell today announced that its Charlotte, N.C., corporate headquarters building has earned the coveted Leadership in Energy and Environmental Design Gold certification from the... | September 28, 2022",https://finnhub.io/api/news?id=e53c329d4d4c1c1563bdfec3ccb80357f9610f9d0f65dbc2a2d54a15ff4ff6c1
company,2022-09-28 02:22:14,Honeywell's Corporate Headquarters Earns LEED Gold,116296166,,HON,Finnhub,"Honeywell today announced that its Charlotte, N.C., corporate headquarters building has earned the coveted Leadership in Energy and Environmental Design Gold certification from the U.S. Green... | September 28, 2022",https://finnhub.io/api/news?id=bdfc814efa75787f4dcb3fdca1ea0fff4026bb1cfe2822cd964d3444869e8635
company,2022-09-27 09:15:50,10 Stocks to Sell Now According to Javier Velazquez’s Albar Capital,116280956,https://s.yimg.com/uu/api/res/1.2/3ptjRuF9zFogdBLg9qy2FA--~B/aD02MDA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/8b8e863ce8af6e05c43253e2178f03a9,HON,Yahoo,"In this piece, we will take a look at the ten stocks to sell now according to Javier Velazquez’s Albar Capital. If you want to skip our introduction of the hedge fund and jump ahead to the top five stocks in this list, then take a look at 5 Stocks to Sell Now According to […]",https://finnhub.io/api/news?id=f436ff51604f3d6fc24a2c8e27fcee5e39cad2c2f3225705d7dbb07cf3be0dee
company,2022-09-27 09:00:00,HONEYWELL'S CORPORATE HEADQUARTERS EARNS LEED® GOLD,116283017,https://s.yimg.com/uu/api/res/1.2/z0OQSBZdEO6FnahK6uvzIw--~B/aD03NTt3PTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/430a23b30c8033a692ebf015c8ec0163,HON,Yahoo,"Honeywell (Nasdaq: HON) today announced that its Charlotte, N.C., corporate headquarters building has earned the coveted Leadership in Energy and Environmental Design (LEED) Gold certification from the U.S. Green Buildings Council (USGBC) for its building envelope and tenant upfit. The most widely used green building rating system worldwide, LEED is a globally recognized symbol of sustainability achievement and leadership.",https://finnhub.io/api/news?id=86bd1e8e0484809fbed427c8b9626a3d3dcf0034fdcf4425a43286fe53684c46
company,2022-09-27 01:06:42,Investing In Secular Trends: Reshoring And The Reversal Of Globalization,116273820,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1341262391/image_1341262391.jpg?io=getty-c-w750,HON,SeekingAlpha,"Recent legislation in US provides initial catalyst, financial incentives for many companies. Check out direct, indirect long-term beneficiaries of this catalyst.",https://finnhub.io/api/news?id=4bab68ab52f1059e8affc065b218e5875865a170ff2c153995ac537949d0ae02
