category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 13:00:00,"IDEXX Laboratories Inc. stock rises Friday, outperforms market",116241669,https://images.mktw.net/im-220105/social,IDXX,MarketWatch,"Shares of IDEXX Laboratories Inc. rose 2.49% to $334.20 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=765e2a1d214951387503128737554b8997d4dd00592b4e7fc3645a9cf525f896
company,2022-10-04 17:52:59,Don’t Miss the Turnaround in These 3 Stocks,116536552,https://s.yimg.com/uu/api/res/1.2/kIiEQDTkGKk.k6tlBe4i2A--~B/aD00MDA7dz03Mjg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/investorplace_417/b14c0b3566b1d18eb1f42ab3f6304021,IDXX,Yahoo,"I’m on the hunt for stocks to buy that are primed for a turnaround in the final quarter of 2022 and into 2023. But what constitutes a turnaround? The S&P 500 is down more than 23% year-to-date through Oct. 3. Is that the place to start? Or do we look for an even more significant recovery? According to Finviz.com, there are currently 48 companies with a YTD return of -46% (double the index) or worse through the first nine months of 2022. I’ll find the three stocks to buy whose turnarounds you don",https://finnhub.io/api/news?id=684fd3657efd3db24d4f70680ed4756bfa70952eb6b5d7327ed76dafb81ceb40
company,2022-10-04 00:57:00,Don't Miss the Turnaround in These 3 Stocks,116470986,https://investorplace.com/wp-content/uploads/2017/12/turnaround.png,IDXX,InvestorPlace,"Of the 48 companies down more than double the S&P 500 year-to-date, these are the three stocks to buy for a turnaround in 2023.",https://finnhub.io/api/news?id=2ff280899871b1af7e0a66479169967f761ed10d3b908821b0d87ac7779a4956
company,2022-10-02 20:53:50,Tracking Ron Baron's BAMCO Portfolio - Q2 2022 Update,116387354,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1056792912/image_1056792912.jpg?io=getty-c-w750,IDXX,SeekingAlpha,Ron Baron's 13F portfolio value decreased from $40.75B to $31.14B this quarter. Click here to read more about BAMCO's holdings and trades for Q2 2022.,https://finnhub.io/api/news?id=d83acfffcda6fa374209e342d1bb7e8ac006603067846102e39d22bd5774aabc
company,2022-10-14 13:00:00,"IDEXX Laboratories Inc. stock falls Friday, underperforms market",116726848,https://images.mktw.net/im-220105/social,IDXX,MarketWatch,"Shares of IDEXX Laboratories Inc. slid 3.16% to $324.64 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=ede3883ceb8b6dfc736b2265a0af5bb1daa5ad264b7d768eaff8e4b4a5b782b8
company,2022-10-13 13:00:00,"IDEXX Laboratories Inc. stock rises Thursday, still underperforms market",116726849,https://images.mktw.net/im-220105/social,IDXX,MarketWatch,"Shares of IDEXX Laboratories Inc. rose 2.16% to $335.22 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=6acae433c681dd07806c9684be38bb94dc77f2a8201efc773604e78d8139c48b
company,2022-10-13 08:01:00,Elanco: Great Potential - GuruFocus.com,116640660,https://static.gurufocus.com/photos/others/dog_medicine_veterinary.jpg,IDXX,GuruFocus,GuruFocus Article or News written by Praveen Chawla and the topic is about: Elanco is the second-largest company in animal health pharmaceuticals.  It is under-earning and undervalued.,https://finnhub.io/api/news?id=46a0138500d67778fad73fcaf116affbd596b2f514806ae4ed362a913ec929af
company,2022-10-11 15:15:00,IDEXX Laboratories to Release 2022 Third Quarter Financial Results,116600772,https://s.yimg.com/uu/api/res/1.2/hcqiZnrsr_F3iC3G8kvL6Q--~B/aD03Mzt3PTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/18caf23f360388b5cb7f9be233a8d1b2,IDXX,Yahoo,"IDEXX Laboratories, Inc. (NASDAQ: IDXX), a global leader in pet healthcare innovation, has scheduled the release of its 2022 third quarter results for Tuesday, November 1, 2022 before the market opens. The Company will conduct an analyst conference call beginning at 8:30 a.m. ET on that day.",https://finnhub.io/api/news?id=3dc2c0bbc4f378aea4e7140397df216f0b39969c15e178e8e2277e8e1367efc5
company,2022-10-11 12:55:39,"Is Now An Opportune Moment To Examine IDEXX Laboratories, Inc. (NASDAQ:IDXX)?",116600773,https://s.yimg.com/uu/api/res/1.2/qrnhoA9Y9l_fYJBd0ck5WA--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/983f2bdfe32b19227b1d118c45bf4f09,IDXX,Yahoo,"Today we're going to take a look at the well-established IDEXX Laboratories, Inc. ( NASDAQ:IDXX ). The company's stock...",https://finnhub.io/api/news?id=0d9177b9d82237de3738814eec8ed872cc83b55cf9e3b5f959a7e1319de600fb
company,2022-10-18 13:00:00,"IDEXX Laboratories Inc. stock rises Tuesday, still underperforms market",116726846,https://images.mktw.net/im-220105/social,IDXX,MarketWatch,"Shares of IDEXX Laboratories Inc. inched 0.79% higher to $342.16 Tuesday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=204e29d38f545a1e22132c9b1af83d61637e1b01ffe45e7393b04f62d40c8550
