category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 17:45:09,Intuit (INTU) Stock Moves -0.69%: What You Should Know,116225056,https://s.yimg.com/uu/api/res/1.2/YliGu3uiWo7T6YkWQuaEpA--~B/aD02MDE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/62d8c8e05376a18ba1420a1733ffdda4,INTU,Yahoo,"In the latest trading session, Intuit (INTU) closed at $393.97, marking a -0.69% move from the previous day.",https://finnhub.io/api/news?id=886c2a5287977e891d83684abe60d334bd404eac645c6e7c7b89ee5aa1df6b80
company,2022-09-23 13:00:00,"Intuit Inc. stock falls Friday, still outperforms market",116223277,https://images.mktw.net/im-220105/social,INTU,MarketWatch,"Shares of Intuit Inc. dropped 0.69% to $393.97 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=fca4e89e139a3bd53a83b4aed9590b90e82bb8f6a0611b13e6a63e8051cbc14b
company,2022-09-23 07:00:16,Is Intuit Inc. (NASDAQ:INTU) Trading At A 39% Discount?,116217426,https://s.yimg.com/uu/api/res/1.2/gnGTQ_q9KCdl7Xvx_ppB0g--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/0fe4d5d105492213ce106a92b49639d4,INTU,Yahoo,Today we will run through one way of estimating the intrinsic value of Intuit Inc. ( NASDAQ:INTU ) by estimating the...,https://finnhub.io/api/news?id=8116e403c6ad8fa90f43fc5c4d049e25c98471f5c70755434d2f8269fda4f75b
company,2022-09-28 07:15:00,Intuit Opens New Canadian Headquarters in Toronto as Part of Global Growth Plan,116298276,https://s.yimg.com/uu/api/res/1.2/Jwb1Y0dqPNpBAw5t5a2yJg--~B/aD03NTt3PTM1MzthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business-wire.com/0bc2b95a6210450286df732653c44b89,INTU,Yahoo,"TORONTO, September 28, 2022--Intuit Opens New Canadian Headquarters in Toronto as Part of Global Growth Plan",https://finnhub.io/api/news?id=19216213232d1c17fd9e002f70e5b55b07f4f75dc64fea4059e17bf61c870889
company,2022-09-28 04:00:00,Launch of 'QuickBooks Online Advanced' aims to empower accountants and accelerate small business growth,116298277,https://s.yimg.com/uu/api/res/1.2/TQm1H6RTWQD47lnLf.hICw--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/1525fd69e7bf214f28cbf271777d9168,INTU,Yahoo,"Global technology platform Intuit (NASDAQ: INTU) today celebrates the launch of QuickBooks® Online Advanced in the UK, an innovative new cloud-based offering for accounting professionals and small businesses.",https://finnhub.io/api/news?id=ad4c8ec047524538cec9398662276e26c6d8ceff07d7cfce49fac02d4bc7ad09
company,2022-09-28 02:17:00,Intuit opens new Canadian headquarters in Toronto,116316582,https://thefly.com/images/meta/hotstocks.jpg,INTU,Thefly.com,Intuit announced the offi... INTU,https://finnhub.io/api/news?id=2fe9d4728af84fd9f8ba6db7e6b923fb65dbc4060e126464ad6dd1ede02bd923
company,2022-09-27 07:01:04,Intuit Inc.'s (NASDAQ:INTU)) market cap declines to US$112b but insiders who sold US$22m stock were able to hedge their losses,116291668,https://s.yimg.com/uu/api/res/1.2/gnGTQ_q9KCdl7Xvx_ppB0g--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/0fe4d5d105492213ce106a92b49639d4,INTU,Yahoo,Insiders at Intuit Inc. ( NASDAQ:INTU ) sold US$22m worth of stock at an average price of US$519 a share over the past...,https://finnhub.io/api/news?id=5b014acf4b5bd9da2d993cac04aa9240809be7f7ef645ecec464cf1757f81854
company,2022-09-26 18:27:10,Blue Chip Stocks to Buy for Long-Term Gains as Market Hits Fresh Lows,116267830,https://s.yimg.com/uu/api/res/1.2/H_HNSfeEpt0iNEHfSCOTCA--~B/aD00MTM7dz02MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/7193b8f70970f3aff67998ec50d79711,INTU,Yahoo,Here are two blue-chip stocks that investors might want to consider adding to their long-term portfolios as the market hits new 52-week lows.,https://finnhub.io/api/news?id=5e2dae3adf9ad301822821015bbb200da1f4a4ed585ce2001cac23df5f806970
company,2022-09-26 14:26:33,"Credit Karma Owner A 'Top Pick' With Its Ecosystem Focus, Citibank Says Ahead Of Investor Day",116265985,https://s.yimg.com/uu/api/res/1.2/Tl90tm3Mkc0MpugC6DtXXw--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/f918968e727659a0bf73fd2060ec4e3e,INTU,Yahoo,"Intuit Inc (NASDAQ: INTU) remains a top pick into its upcoming Investor Day, Citi analyst Steven Enders said. He expects a core focus on Credit Karma, Payments, and broader ecosystem opportunities with critical questions surrounding the macro. While Intuit offered critical long-term updates like QuickBooks growth on 4Q22 earnings, he expects a somewhat lighter model update versus prior events. He reiterated his Buy rating and $538 price target into the event and sees Intuit as well positioned in",https://finnhub.io/api/news?id=fb55fbc2e0ee4d84f0c9109e9584aabfc6982deb19ab6c55da82050ef12d5645
company,2022-09-26 10:19:29,Intuit stock remains a top pick: Citi analyst,116262015,https://s.yimg.com/ny/api/res/1.2/_IaIufpEDJ.NLnczYnTbOA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/hd/cp-video-transcode/production/e75628ba-ff1e-37e9-8ffc-b9013ef1c70f/2022-09-26/14-21-50/e1d2e313-6507-56f2-b3ba-1702c71c8ac5/stream_1280x720x0_v2_3_0.jpg,INTU,Yahoo,Yahoo Finance Live’s Brian Sozzi discusses Intuit stock performance amid one Citi analyst’s Buy rating on the TurboTax parent company.,https://finnhub.io/api/news?id=67608e3c1f081090011bc3f0f72efb0db665becd371157511965a7455f7b1871
company,2022-09-26 05:52:00,Buy the SoFi Stock Dip for 25X Gains in 10 Years,116258419,https://investorplace.com/wp-content/uploads/2022/05/sofi-1600-1.png,INTU,InvestorPlace,"SoFi stock has been absolutely crushed this year. But with 25X upside potential, it remains among the best stocks to buy today.",https://finnhub.io/api/news?id=2177119678a58128f0d3092fb1b735e811e4bf1b9d8d5df56b02d84a3ab36abd
company,2022-09-26 01:42:00,Intuit remains a top pick into investor day at Citi,116266384,https://thefly.com/images/meta/streetresearch_recommendations.jpg,INTU,Thefly.com,Citi analyst Steven Ender... INTU,https://finnhub.io/api/news?id=70d9e36cc35d6928d944e489f3144b5d14c2c89f1a448b0cc3a3c2ea516d5c38
company,2022-10-02 06:38:00,Page Not Found :(,116428899,,INTU,TipRanks,,https://finnhub.io/api/news?id=aa411c2e2cd528f0e4c84dcf83c3432875b28ba49f2c85db0fb195e0f2ef2734
company,2022-10-02 05:11:00,Jefferies technology analysts to hold an analyst/industry conference call,116429356,https://thefly.com/images/meta/converenceevents.jpg,INTU,Thefly.com,"Technology Analysts Saman... BILL, INTU",https://finnhub.io/api/news?id=88d3da66a11a5c912ed8d936ef72c2463aa2d92b5122ec019695541e586579bb
company,2022-10-01 21:33:19,"Dividend Champion, Contender, And Challenger Highlights: Week Of October 2",116376722,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg?io=getty-c-w750,INTU,SeekingAlpha,"Weekly summary of dividend activity for Dividend Champions, Contenders, Challengers. Click here to see companies with upcoming ex-dividend dates and upcoming pay dates.",https://finnhub.io/api/news?id=a187539e63690e2a7f5a92d27f2674bd502fa4081f2817039e0ff86593fdc407
company,2022-10-01 07:01:09,"With 85% institutional ownership, Intuit Inc. (NASDAQ:INTU) is a favorite amongst the big guns",116376498,https://s.yimg.com/uu/api/res/1.2/gnGTQ_q9KCdl7Xvx_ppB0g--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/0fe4d5d105492213ce106a92b49639d4,INTU,Yahoo,Every investor in Intuit Inc. ( NASDAQ:INTU ) should be aware of the most powerful shareholder groups. The group...,https://finnhub.io/api/news?id=5b31b9a5d4751d33f334f307336b080d1d6cbdb11b762727ad2ed22da89a6f62
company,2022-09-30 09:30:00,A Bull Market Is Coming: 3 Beaten-Down Stocks to Buy Before the Recovery,116366126,https://s.yimg.com/ny/api/res/1.2/2ekDuiCowbkIutnKp7NOUw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03ODg-/https://media.zenfs.com/en/motleyfool.com/189fbaae04ea8ac3741dea21133081eb,INTU,Yahoo,"The S&P 500 has been in a bear market since June  13.  Smart investors know that every bear market has ended with the same result -- a recovery rally.  For instance, the bear market in 1949 reached its lowest level on June 13.",https://finnhub.io/api/news?id=f1d091c6902e436caddd0e6e0a4c72ae88078e2b5f52f37260327008216802a3
company,2022-09-30 03:45:00,Intuit price target lowered to $505 from $601 at Evercore ISI,116360695,https://thefly.com/images/meta/streetresearch_recommendations.jpg,INTU,Thefly.com,Evercore ISI analyst Kirk... INTU,https://finnhub.io/api/news?id=0378651b9f821cf2bae5cf6a10ec9b515526e3a3f0afaf266763546b18f4ac0e
company,2022-09-30 02:05:00,Bill.com price target lowered to $120 from $140 at Susquehanna,116360696,https://thefly.com/images/meta/streetresearch_recommendations.jpg,INTU,Thefly.com,"Susquehanna analyst James... BILL, INTU",https://finnhub.io/api/news?id=df013bcf3a1c8402ed743c5a5b1ca10b6b2b801a4d693c077b3a226273ae2f57
company,2022-09-30 01:47:00,Intuit price target lowered to $475 from $525 at Stifel,116360697,https://thefly.com/images/meta/streetresearch_recommendations.jpg,INTU,Thefly.com,Stifel analyst Brad Rebac... INTU,https://finnhub.io/api/news?id=66371450ca463076d3a2ea8c951848f9b9aff02c3ef73f5188a34fec07a1d882
