category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 01:18:36,Luna Secures $14 Million Contract With Robotic Megacap Intuitive Surgical,116625849,,ISRG,Fintel,,https://finnhub.io/api/news?id=641d9546896cda3708461e3e739156421c1de5675e429fc540d28845269c94e8
company,2022-09-23 13:01:00,Intuitive Surgical Inc. stock outperforms market despite losses on the day,116242613,https://images.mktw.net/im-220105/social,ISRG,MarketWatch,"Shares of Intuitive Surgical Inc. shed 0.29% to $190.52 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=94ed5f16c84ece31eb98d99b674921084aa84b048234803054166fa6ccab5ab1
company,2022-09-23 08:41:53,"Intuitive Surgical: Fundamentally Fairly Valued, Technically Risky (Technical Analysis)",116216614,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1251725821/image_1251725821.jpg?io=getty-c-w750,ISRG,SeekingAlpha,Intuitive Surgical bottomed on June 16 and has since rallied over 30% in a breakout attempt that failed and led the stock back down. Find out what's next for ISRG stock.,https://finnhub.io/api/news?id=18b07c1e0601b6c031b7c8cad06a0f483a4f225bb81d2e902e713545eb336ea1
company,2022-09-23 02:05:00,"7 Robotics Stocks to Buy Before the ""Nearshoring"" Trend Takes Off in the U.S.",116216486,https://investorplace.com/wp-content/uploads/2020/06/robotics-stocks-1600.jpg,ISRG,InvestorPlace,These are the best robotics stocks to buy to take advantage of the rising nearshoring trend that's sweeping the U.S.,https://finnhub.io/api/news?id=cd136c2fc7703731dfa08961b139fc74fe822b2a8db947985b5c8aa957580bc3
company,2022-09-28 16:00:46,"ETFs: Investing in automation has become the latest 'mega-trend,' expert explains",116313109,https://s.yimg.com/ny/api/res/1.2/.zh_6ejjZdpgn5aMYGMXFw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2022-09/d7ccd4a0-3f67-11ed-a773-2f36868c0f49,ISRG,Yahoo,ROBO Global Head of Advisor Relations Lauren Hein joins Yahoo Finance Live to explain how more investors are shifting towards robotics and how increased automation could affect the job market.,https://finnhub.io/api/news?id=b3c24c82929589573d1f4a7cdaca534fca21bac8ebb458cbdcd2f87c4543eada
company,2022-09-28 10:15:00,Better Growth Stock: Intuitive Surgical vs. DexCom,116305796,https://s.yimg.com/ny/api/res/1.2/ntX8f1uCCiXEwZCnwzCipA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/2a2d277c20d12c828bbb1261dbb04650,ISRG,Yahoo,"Growth stocks have received much of investors' ire throughout the current market downturn.  Intuitive Surgical is the leader in the robotic-assisted surgery (RAS) market, thanks to its crown jewel, the da Vinci surgical system.  The great thing about Intuitive Surgical's business is the growth potential that the RAS market boasts.",https://finnhub.io/api/news?id=19070d80060c0f350388a5aa5b182536097f7171f4ca4f819b59eb273493ba96
company,2022-09-28 06:00:00,Want to Get Richer? 3 Top Stocks to Buy Now and Hold Forever,116296357,,ISRG,Yahoo,Let's talk about two leaders in their markets and a well-diversified healthcare company with a track record of success.  Vertex Pharmaceuticals (NASDAQ: VRTX) has been generating returns for investors for quite a while.  Vertex is the global market leader in the treatment of cystic fibrosis (CF).,https://finnhub.io/api/news?id=1da1c1e05e2a00093895726747b7cc8e39753bb1af90614d548278310e4f60e8
company,2022-09-28 01:29:00,Illumina upgraded to Outperform at Evercore ISI ahead of analyst day,116311012,https://thefly.com/images/meta/streetresearch_upgrade.jpg,ISRG,Thefly.com,"As previously reported, E... ILMN, EW, ISRG",https://finnhub.io/api/news?id=6fbd86e127745f05c8015d9d7c9dab2075be3bcf16b25124619bfc9349c3fd01
company,2022-09-27 03:01:00,"Optellum, AI Lung Cancer Diagnosis Innovator, Secures $14M Series A Funding to Accelerate Expansion",116274028,https://s.yimg.com/uu/api/res/1.2/ciFJzaNTsLEzvCsTwo.NQw--~B/aD0xMDg7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/8f62ca8decc92a206772df9d8a339d78,ISRG,Yahoo,"Optellum, an Oxford-based medtech company that provides a breakthrough AI platform to diagnose and treat early-stage lung cancer, has raised $14 million in a Series A funding round. The investment will enable Optellum to scale its base, operations, and commercial launches in the UK and USA; accelerate research and development; and expand its platform into personalized therapy decisions by integrating imaging data with molecular data, robotics, and liquid biopsies.",https://finnhub.io/api/news?id=89525cd92c1304745b61cf0bf67d975759c87a02e034a18657ab1fd194f7773a
company,2022-09-26 18:15:10,"Intuitive Surgical, Inc. (ISRG) Dips More Than Broader Markets: What You Should Know",116268601,https://s.yimg.com/uu/api/res/1.2/gUf3JPAiwp3PVjuDKftvaA--~B/aD04NDU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/26a86d59f0e8f1e82a35a92ae5684cd9,ISRG,Yahoo,"Intuitive Surgical, Inc. (ISRG) closed at $187.93 in the latest trading session, marking a -1.36% move from the prior day.",https://finnhub.io/api/news?id=a6c8fda2d367ef89efd8796a19aa7507dcf151248d2c50aa5a4f63a11e2737eb
