category,datetime,headline,id,image,related,source,summary,url
company,2022-09-27 15:32:41,Keurig Dr. Pepper stock downgraded by Goldman Sachs over margin risks,116288698,https://s.yimg.com/ny/api/res/1.2/wsJaNTo6a4GtTLzwYEDDpw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzQ-/https://s.yimg.com/os/creatr-uploaded-images/2022-09/1cdb71f0-3e9b-11ed-97dd-15ea7edb8bb4,KDP,Yahoo,Yahoo Finance Live looks at soft drink manufacturer Keurig Dr. Pepper's following a downgrade by Goldman Sachs analysts.,https://finnhub.io/api/news?id=efecda9fd5291bf4f09a01b114a666339ab0df10fe9f3fc3ae0232a04c2fad72
company,2022-09-27 09:12:30,"Stocks making the biggest moves midday: Hertz, Ford, Keurig Dr Pepper and more ",116286193,https://image.cnbcfm.com/api/v1/image/107052564-16510907482022-04-27t195908z_108342038_rc27dt97gzjl_rtrmadp_0_hertz-results.jpeg?v=1664298750&w=1920&h=1080,KDP,CNBC,These are the stocks posting the largest moves midday.,https://finnhub.io/api/news?id=55560dd708ce770a5866bd530da22a8d91cbf5f8a9aba775d0f343cefec7609d
company,2022-09-27 08:42:00,"Street Wrap: Today's Top 15 Upgrades, Downgrades, Initiations",116305503,https://image.thefly.com/catalog/201811/img_112.jpg,KDP,Thefly.com,"Hyatt upgrade, Keurig Dr Pepper downgrade and Lucid Group initiation among today's top calls on Wall Street H, PLD, FSV, PRFT, CCOI, KDP, CSX, NSC, DEI, CIGI, LAW, LCID, DVAX, LEV, XPEL, CINF",https://finnhub.io/api/news?id=240b5bf9bd696b39e54a52465b7d78564578faa8b52d46ac9d644f807b09b6d1
company,2022-09-27 07:17:00,What You Missed On Wall Street This Morning,116306720,https://image.thefly.com/catalog/201904/img_457.jpg,KDP,Thefly.com,"Five top five lists with the news and calls moving stocks, powered by The Fly. HTZ, BP, CBRL, PFS, LBAI, JBL, UNFI, KDP, H, LCID, CSX, NSC, LEV, TSLA, IHG, TSM, GS, DWAC, SKIN, NVAX, PENN, RNA, OCUL, AVNT, SNX, SPLK, FLT, NEOG",https://finnhub.io/api/news?id=64be2eb900fb54d3fe0b829ce54b9178559a5824a1efeacc008fa9bead28d69f
company,2022-09-27 05:39:00,"Video: Nasdaq 100 Movers: KDP, LCID",116309222,,KDP,Market News Video,"In early trading on Tuesday, shares of Lucid Group topped the list of the day's best performing components of the Nasdaq 100 index, trading up 5.2% - Year to date, Lucid Group has lost about 61.1% of its value - KDP,LCID,EBAY,PDD.",https://finnhub.io/api/news?id=b798aea6ba74c63118487158074c5f768a6865ac08d4d0c523ab0abf05c3fe49
company,2022-09-27 04:33:00,Insiders Buy the Holdings of AIVL ETF,116309224,,KDP,ETF Channel,"Staff article entitled Insiders Buy the Holdings of AIVL ETF, about ETFs, from ETF Channel.",https://finnhub.io/api/news?id=997e14f3919e75e0ebfff70f049135b6fa31c9efa68558a6e36fff8d02ff9d1a
company,2022-09-27 03:56:24,"Twitter, JetBlue, Lucid Group Rise Premarket; Avidity, Ferguson Fall",116283884,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,KDP,Yahoo,By Peter Nurse,https://finnhub.io/api/news?id=2e2530feaa9dd9754bfee608fa12f44ec848084ba5e3032924e1af8a8058701c
company,2022-09-27 03:01:27,"Stocks making the biggest moves premarket: Keurig Dr Pepper, CSX, Li Auto and more",116275643,https://image.cnbcfm.com/api/v1/image/103108451-GettyImages-465276004.jpg?v=1664276487&w=1920&h=1080,KDP,CNBC,Check out the companies making headlines before the bell.,https://finnhub.io/api/news?id=ca5c0bcb0e6b06e51d6ec09d927b1c659984b87b50dee484d38f66bc22965562
company,2022-09-26 23:38:00,Keurig Dr Pepper downgraded to Neutral from Buy at Goldman Sachs,116309225,https://thefly.com/images/meta/streetresearch_downgrade.jpg,KDP,Thefly.com,Goldman Sachs analyst Bon... KDP,https://finnhub.io/api/news?id=9bab698f59433e777079b33c84cd0baf5799e03315755421843a3ed99f401213
company,2022-09-26 23:37:00,What You Missed On Wall Street On Tuesday,116306724,https://image.thefly.com/catalog/201810/img_66.png,KDP,Thefly.com,"Five top five lists with the news and calls moving stocks, powered by The Fly. HTZ, BP, PFS, LBAI, JBL, BIIB, F, KDP, H, LCID, CSX, NSC, LEV, TSLA, IHG, TSM, GS, APO, SKIN, NVAX, HROW, RNA, OCUL, CBRL, UNFI, AVNT, SNX, SPLK, R",https://finnhub.io/api/news?id=929d6391f3488cbbeca3bb184678e593e02ebfc3ada0462fe15dd1fa5ad8dfaa
company,2022-09-25 01:39:48,Coca-Cola: The Problem With The Bearish Thesis,116241979,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/166756036/image_166756036.jpg?io=getty-c-w750,KDP,SeekingAlpha,Coca-Cola significantly outperformed the market and its peers since I first covered. Read why KO stock is in excellent position to continue to beat the market.,https://finnhub.io/api/news?id=7795c030f6ce559d622fe11e8b0fea23bbfb56924b351a9aa2ef54a98409a610
