category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 00:12:00,EVs Wonât Save the World; Climate Change a Complex Problem,116233746,https://blog.tipranks.com/wp-content/uploads/2022/09/EVS-750x406.png,LCID,TipRanks,Climate change is an indisputable reality; it is also a scientific consensus that human emissions of carbon dioxide and other greenhouse gasses are a primary driver...,https://finnhub.io/api/news?id=945f48c67a44ffab55e2000ab043617daeaec76bbc76b59e3bcbd5b80e03568a
company,2022-09-22 23:41:00,"Lucid, Rivian, Fisker: Hereâs Why American EV Makers Dropped Yesterday",116219814,https://blog.tipranks.com/wp-content/uploads/2022/09/shutterstock_2052983342-750x406.jpg,LCID,TipRanks,"American electric vehicle (EV) makers witnessed a sharp decline in stock prices yesterday as a few unfavorable events developed. In particular, the newly founded co...",https://finnhub.io/api/news?id=f53fb5e9e4a17f13362032aa5ec97d99bfde1a44d5b5aebc6eb48d0976767131
company,2022-09-22 22:29:00,"Noteworthy Friday Option Activity: LCID, RIVN, CMPR",116223118,,LCID,Stock Options Channel,"Staff article entitled Noteworthy Friday Option Activity: LCID, RIVN, CMPR, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=571f7b378d44cadf212864fee47de65da6c4706c52c22bd1ae1f3415ca15baac
company,2022-09-28 19:56:00,Stocks And Sectors With The Biggest Declines,116317921,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/465483617/image_465483617.jpg?io=getty-c-w750,LCID,SeekingAlpha,"The average stock in the Russell 3000 was down 41.7% from its 52-week high as of the close on Monday. Across the entire Russell 3000, weâve seen more than $13 trillion in market cap erased.",https://finnhub.io/api/news?id=641d8f12d27821e3b0d2997f22440e252586142631474da8aebc1b2d4db92c73
company,2022-09-28 02:35:00,Unusual call flow in option market yesterday,116336827,https://thefly.com/images/meta/options.jpg,LCID,Thefly.com,Notable call activity was... LCID,https://finnhub.io/api/news?id=f26c18549fd4d99913d08e43164238bc2b67142ecc749f51a222d6e54e07b843
company,2022-09-27 11:13:06,"Stocks: The biggest analyst calls on FedEx, McDonald's, Lucid",116283755,https://s.yimg.com/ny/api/res/1.2/Xlu1dCMLLYCQCOLsFLosYQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/hd/cp-video-transcode/production/18352db0-940f-31f4-a7f9-91bb69961636/2022-09-27/15-13-21/bb89d0df-5615-5589-9161-c267b2e73c8b/stream_1280x720x0_v2_3_0.jpg,LCID,Yahoo,"Yahoo Finance Live anchors discuss Morgan Stanley halving its price target on FedEx, Citi lowering its forecast on McDonald's, and Cantor Fitzgerald initiating coverage of Lucid.",https://finnhub.io/api/news?id=ebf46cc32baaff67de13beda3aeeb524fb3e721fd7ea4aec2395f1f88613c0c8
company,2022-09-27 11:00:00,Lucid Picks Up New Buy Rating. Stock Can Rise 60%.,116283756,,LCID,Yahoo,Cantor Fitzgerald analyst Andres Sheppard launched coverage of the electric vehicle. He has a $23 price target for shares.,https://finnhub.io/api/news?id=0548147b3782dda9b86496b26edfc26b317dd62eda0a781ddb192c4b7de0c1a2
company,2022-09-27 09:12:30,"Stocks making the biggest moves midday: Hertz, Ford, Keurig Dr Pepper and more ",116286193,https://image.cnbcfm.com/api/v1/image/107052564-16510907482022-04-27t195908z_108342038_rc27dt97gzjl_rtrmadp_0_hertz-results.jpeg?v=1664298750&w=1920&h=1080,LCID,CNBC,These are the stocks posting the largest moves midday.,https://finnhub.io/api/news?id=55560dd708ce770a5866bd530da22a8d91cbf5f8a9aba775d0f343cefec7609d
company,2022-09-27 08:42:00,"Street Wrap: Today's Top 15 Upgrades, Downgrades, Initiations",116305503,https://image.thefly.com/catalog/201811/img_112.jpg,LCID,Thefly.com,"Hyatt upgrade, Keurig Dr Pepper downgrade and Lucid Group initiation among today's top calls on Wall Street H, PLD, FSV, PRFT, CCOI, KDP, CSX, NSC, DEI, CIGI, LAW, LCID, DVAX, LEV, XPEL, CINF",https://finnhub.io/api/news?id=240b5bf9bd696b39e54a52465b7d78564578faa8b52d46ac9d644f807b09b6d1
company,2022-09-27 07:17:00,What You Missed On Wall Street This Morning,116306720,https://image.thefly.com/catalog/201904/img_457.jpg,LCID,Thefly.com,"Five top five lists with the news and calls moving stocks, powered by The Fly. HTZ, BP, CBRL, PFS, LBAI, JBL, UNFI, KDP, H, LCID, CSX, NSC, LEV, TSLA, IHG, TSM, GS, DWAC, SKIN, NVAX, PENN, RNA, OCUL, AVNT, SNX, SPLK, FLT, NEOG",https://finnhub.io/api/news?id=64be2eb900fb54d3fe0b829ce54b9178559a5824a1efeacc008fa9bead28d69f
company,2022-09-27 06:53:00,,116336830,,LCID,TipRanks,,https://finnhub.io/api/news?id=99746134e8ce0810fdbc4e1f30bec1da438e17159881d38bdadcef63ae04621e
company,2022-09-27 05:47:00,One Analyst Says Lucid (LCID) Stock Could Surge 60% From Here,116336831,https://investorplace.com/wp-content/uploads/2022/05/lcid-1600-1.png,LCID,InvestorPlace,LCID stock is catching a bid as traders contemplate Lucid potentially taking a bite out of the fast-growing global EV market.,https://finnhub.io/api/news?id=7fde79d2b29d87ffe9057dbf507f47f952329d36ba1ca9d4c6c3baee067f7828
