category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 17:50:09,Lam Research (LRCX) Stock Moves -1.62%: What You Should Know,116226568,https://s.yimg.com/uu/api/res/1.2/t6.OdXEVKQihFo9otNenfg--~B/aD01NjU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/4f1a8d86cead9f96536efb147945dcc9,LRCX,Yahoo,"Lam Research (LRCX) closed the most recent trading day at $380.56, moving -1.62% from the previous trading session.",https://finnhub.io/api/news?id=4d9c3561d1018e1c4e5ed740b29be5ead260dfdaa22b4669fcc662380cab23d3
company,2022-09-23 13:06:00,Lam Research Corp. stock outperforms market despite losses on the day,116224056,https://images.mktw.net/im-220105/social,LRCX,MarketWatch,"Shares of Lam Research Corp. shed 1.62% to $380.56 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=7cd5f4ecd0501d7ebdd63acd78a5d56f02321d032d828eb34df27e0183aa228f
company,2022-09-23 09:00:01,Is Trending Stock Lam Research Corporation (LRCX) a Buy Now?,116223001,https://s.yimg.com/uu/api/res/1.2/d6hN0_BhikrNdWTnix6fng--~B/aD03NDE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/7853de8d69faeccb7d1ad6ebba40b8a2,LRCX,Yahoo,"Recently, Zacks.com users have been paying close attention to Lam Research (LRCX). This makes it worthwhile to examine what the stock has in store.",https://finnhub.io/api/news?id=200eb00b0ec8452737dc4d8dd029e1a2523d4cee9a30a4293020e9a765c70abd
company,2022-09-23 05:53:00,Cathie Wood Is Doubling Down on Velo3D (VLD) Stock,116216476,https://investorplace.com/wp-content/uploads/2021/02/3dprintingmsn3-1600.jpg,LRCX,InvestorPlace,"Yesterday, Cathie Wood purchased 96,623 shares of VLD stock through the 3D Printing ETF. The ETF has also received a management change.",https://finnhub.io/api/news?id=f4a3b110a0f832f1811fc4f829ca250933cf60b4e95980f633eff9364141236a
company,2022-09-28 16:05:00,Lam Research Corporation Announces September 2022 Quarter Financial Conference Call,116312522,https://s.yimg.com/uu/api/res/1.2/FaPP4DEF_dKbWQHiS8vC2w--~B/aD04MDA7dz04MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/globenewswire.com/3ab7c848403b0336386e48df39558233,LRCX,Yahoo,"FREMONT, Calif., Sept. 28, 2022 (GLOBE NEWSWIRE) -- Lam Research Corp. (NASDAQ: LRCX) today announced that the company will host its quarterly financial conference call and webcast on Wednesday, October 19, 2022, beginning at 2:00 p.m. Pacific Time (5:00 p.m. Eastern Time). Webcast:To access the webcast, visit the Investors section of Lam’s web site at http://www.lamresearch.com and click on the Investors/Investors Overview/Events & Presentations section to view the details. Replay Information:A",https://finnhub.io/api/news?id=c63cdfeb46a1e8087cd9ff99172615e3de6e91fd66e32a2a887d680e45528741
company,2022-09-28 13:03:44,Back To The Future: Review Of Our Semis Work,116312002,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363604124/image_1363604124.jpg?io=getty-c-w750,LRCX,SeekingAlpha,"We end the July quarter having written about 20 of our favorite semiconductor names, and this article studies how our ratings played out. Click to read more.",https://finnhub.io/api/news?id=480d41a1abe2bccb8c51a9082bfc12a2e6e04961d18ed028106c0d8c15b49ac3
company,2022-09-28 01:10:00,Lam Research price target lowered to $405 from $450 at Barclays,116308492,https://thefly.com/images/meta/streetresearch_recommendations.jpg,LRCX,Thefly.com,Barclays analyst Blayne C... LRCX,https://finnhub.io/api/news?id=8a83ed2070737d3f0e5e5c06c91f5ff6766df0ca21a2203a460c3a9706da888b
company,2022-09-27 10:16:24,Declining Stock and Solid Fundamentals: Is The Market Wrong About Lam Research Corporation (NASDAQ:LRCX)?,116284083,https://s.yimg.com/uu/api/res/1.2/l41e42VQ5mYbp9QbJWqBjA--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/6d8b2b39a15494b5ec639cfd33d24b53,LRCX,Yahoo,"Lam Research (NASDAQ:LRCX) has had a rough month with its share price down 18%. However, stock prices are usually...",https://finnhub.io/api/news?id=3a4278d2d1d2aaa5eac7c1cf129ecae3485573dbdc02fea91a917e86f14f63ad
company,2022-09-27 08:30:00,"Notable Tuesday Option Activity: LRCX, BIO, CHRW",116308493,,LRCX,Stock Options Channel,"Staff article entitled Notable Tuesday Option Activity: LRCX, BIO, CHRW, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=5ce8149d4aab4be33ab438041f6fa40554d89e413b529fdc0a596e891aedfd43
company,2022-09-27 06:44:00,3 Cheap Chip Stocks to Buy Now,116275024,https://s.yimg.com/ny/api/res/1.2/Lc1ct.Sbll.k4O5r.ddSSg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MzM-/https://media.zenfs.com/en/motleyfool.com/265213eceaf2440bcdee5ce0c7cc40f7,LRCX,Yahoo,"Semiconductor stocks have been beaten down in 2022, but these top names look like no-brainer buys for long-term investors.",https://finnhub.io/api/news?id=9ac90311619711a829eaa7f4581aa47c9327762660fa30bb866bb1c6212f9393
