category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 13:07:00,"Marriott International Inc. stock falls Friday, underperforms market",116242563,https://images.mktw.net/im-220105/social,MAR,MarketWatch,"Shares of Marriott International Inc. slipped 1.88% to $137.48 Friday, on what proved to be an all-around rough trading session for the stock market, with...",https://finnhub.io/api/news?id=8570d162c055ca5a8948dc65938a9eb9beff57323edd4a42d1482cfb09ef1bb4
company,2022-09-23 08:24:37,Marriott Bonvoy Brilliant Card relaunches with a large welcome bonus and a slew of new benefits — and a higher annual fee,116223407,https://image.cnbcfm.com/api/v1/image/107122619-1663832568601-w-costa-navarino-wet-deck.jpeg?v=1663950277&w=1920&h=1080,MAR,CNBC,Marriott is enhancing benefits on the premium Marriott Bonvoy Brilliant Amex Card.,https://finnhub.io/api/news?id=45d75f6b956554b9e10ac755a0b9ae7a3376263580d2044e55cbb6d1f4054ab9
company,2022-09-23 07:46:26,Marriott International Luxury Brands Sweeps the 2022 MUSE Creative Awards With 12 Platinum Honors,116215362,,MAR,Finnhub,"Marriott International Luxury Brands Sweeps the 2022 MUSE Creative Awards With 12 Platinum Honors.BETHESDA, MD -The Ritz-Carlton, W Hotels, The Luxury Collection, JW Marriott, and St. Regis among... | September 23, 2022",https://finnhub.io/api/news?id=03e40e19b81659883a51d9012a65ac27151c33b3ecc598d4bdaa547ee02a7ce4
company,2022-09-28 12:31:17,"Courtyard by Marriott and Marriott Bonvoy Celebrate Traveling NFL Fans, Launching 'This is Where We Fan'",116304820,,MAR,Finnhub,"BETHESDA, MD -The Official Hotel of the NFL will host the first-ever 'Fansgiving' dinner and the return of the Super Bowl Sleepover, plus exclusive experiences for Marriott Bonvoy membersCourtyard... | September 28, 2022",https://finnhub.io/api/news?id=aaae6771e77d00a6e692e9ff30ee83eea3fadef68f4e9a3fd1be9739d0bb6cc1
company,2022-09-28 06:00:00,Is Marriott A Buy After Its Pandemic Recovery?,116303783,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1171626005/image_1171626005.jpg?io=getty-c-w750,MAR,SeekingAlpha,Marriott is finishing its recovery from the pandemic. Top line returned to prepandemic levels in the last quarter. Read more to see if MAR stock is a buy.,https://finnhub.io/api/news?id=70f5edcc65e487e286cee0909f3297b33bf5f1d48133009441cd285a8fe94afc
company,2022-09-27 16:46:57,Denver hotel company hires new president as it launches significant growth phase,116289706,https://s.yimg.com/ny/api/res/1.2/Jn.XjwicwhzjWZYA1MUx1Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03OTk-/https://media.zenfs.com/en/bizjournals.com/23d40baa58a0f32253d6cc3b22f81133,MAR,Yahoo,"The 32-year veteran of Marriott International will be responsible for executing the company's growth strategy, among other duties.",https://finnhub.io/api/news?id=649c203d6a28d9b1fae291efbd86525e8fa6f67ff58a74ffd7224583218e6dff
company,2022-09-27 16:25:06,Top Hotel Stocks for Q4 2022,116287740,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,MAR,Yahoo,"The hotel industry is focused on the provision of short-term lodging, including hotels and motels, as well as accommodation-related services.  The hotel industry is split into two main categories of companies: C-corporation hotels such as Marriott International Inc. and Hilton Worldwide Holdings Inc.; and hotel real estate investment trusts (REITs) such as DiamondRock Hospitality Co. and Park Hotels & Resorts Inc.",https://finnhub.io/api/news?id=fdbdc85099b5f515e5300155772cea5cd8b7730b0ec66206f478b3b51a42225d
company,2022-09-27 10:18:43,GM delays return-to-work plans to 2023,116284986,,MAR,Finnhub,"General Motors Co on Tuesday said it will not mandate workers return to offices before 2023 after it had told them on Friday that they would be expected to work three days on-campus each week... | September 27, 2022",https://finnhub.io/api/news?id=fa83befedc68c9c571a2edbf859d276420c7cbcb0a74724ca28c3de60aed711d
company,2022-09-26 22:30:00,Hotel Stocks May Be the Best Way to Play Business Travel,116347401,https://images.barrons.com/im-630893/social,MAR,MarketWatch,"The flagging tech sector has been a drag. Still, the fall looks strong. And the long-term outlook isn't as bad as it could be.",https://finnhub.io/api/news?id=7414d2920f22c768fa7131d7377b352e39c08011be85de2f4b8e5e894103dfbc
company,2022-09-26 08:58:12,Carnival (CCL) Gears Up for Q3 Earnings: What's in the Cards?,116258086,https://s.yimg.com/uu/api/res/1.2/hHslDyhLZUS9uP4tHjqdPQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/ca499fb5b056c82f5e3bfe1e3294f115,MAR,Yahoo,Carnival's (CCL) third-quarter fiscal 2022 results are likely to reflect benefits from the resumption of operations and encouraging bookings.,https://finnhub.io/api/news?id=34071c57cf5f0fee8524991ad368f22a104c6956046591ead1d4345333f219bb
