category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 13:07:00,Microchip Technology Inc. stock underperforms Friday when compared to competitors,116223350,https://images.mktw.net/im-220105/social,MCHP,MarketWatch,"Shares of Microchip Technology Inc. shed 1.78% to $62.18 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=440e0589422ae2393e284173432b87d77569a091055ea36c51cbb4456ec68f25
company,2022-09-28 10:57:22,Apple falls on fears of slowing iPhone 14 demand,116307090,https://static.reuters.com/resources/r/?m=02&d=20220928&t=2&i=1610037994&r=LYNXMPEI8R0QS,MCHP,Reuters,Apple Inc shares fell more than 4% on Wednesday after a report that the tech giant was ditching its plans to boost production of the latest iPhone fueled demand worries.,https://finnhub.io/api/news?id=8f24b634f37ac4d20d3d543008de5d8a43bc159eb2e8ce3d386924f96bc5c002
company,2022-09-28 09:40:01,Why This 1 Value Stock Could Be a Great Addition to Your Portfolio,116310834,https://s.yimg.com/uu/api/res/1.2/xopQugjeNyS1VO21qlHkcQ--~B/aD02NzU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/3cb5117fc22f5e37890d1860dcd61f9f,MCHP,Yahoo,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",https://finnhub.io/api/news?id=3ad7d47aa7242bc14ed753187bbe57d5c01bcd5f1052a3217e6afcf0493ce16f
company,2022-09-28 06:51:59,Apple worsens selloff in beleaguered growth stocks,116307101,,MCHP,Reuters,Apple Inc shares fell 4% in premarket trading on Wednesday and piled pressure on other growth stocks following a report that the tech giant was dropping its plans to boost production of the latest model of its flagship iPhone.,https://finnhub.io/api/news?id=f5728b289de499546669b4266004f00fc417621d584211508ec0f77a47a9daae
company,2022-09-28 04:12:45,Chip stocks and Apple supplier shares fall after report of disappointing iPhone demand,116346634,https://s.wsj.net/public/resources/MWimages/MW-GP644_MicroS_ZG_20180906154215.jpg,MCHP,MarketWatch,"Shares of semiconductor companies and Apple Inc. undefined suppliers were broadly lower in premarket trading Wednesday, after Bloomberg reported overnight...",https://finnhub.io/api/news?id=f984f1f57358d8c4e6ba0d61d314cbb0de24c28b56494b5126962c74f64df136
company,2022-09-27 21:15:00,The 10 Hottest Stocks for the Long Haul,116348108,https://images.barrons.com/im-632246/social,MCHP,MarketWatch,"Amazon.com, Nvidia, and Netflix are the top three. They have struggled, but show short-term challenges can be overcome.",https://finnhub.io/api/news?id=44f071628ca71a04053ad2a6a665c8a049e8bc327adbfcd3760564f5e9b27a1a
company,2022-09-30 18:15:10,Microchip Technology (MCHP) Dips More Than Broader Markets: What You Should Know,116367131,https://s.yimg.com/uu/api/res/1.2/XFzKRSTb2_xUaLSOCP9.Bg--~B/aD02MDI7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/a41b81fe729c761f3f94f42ff348f70c,MCHP,Yahoo,"In the latest trading session, Microchip Technology (MCHP) closed at $61.03, marking a -1.55% move from the previous day.",https://finnhub.io/api/news?id=c5b94f853e57890217914813ca1cad8e1d3802209c978005e307ffd29b1919fb
company,2022-09-30 09:54:01,onsemi's (ON) New Lighting Solutions to Augment Top Line,116367132,https://s.yimg.com/uu/api/res/1.2/4m6Yrt5OGYQe0oZtN.CWGQ--~B/aD0zNDk7dz02MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/c35b98fa9bbd08ef2db417cae984bd68,MCHP,Yahoo,"onsemi (ON) to launch new lighting solutions, which reflects its strategy to invest heavily in building its intelligent power and sensing products to help address key high-growth megatrends.",https://finnhub.io/api/news?id=00c182528b028ea0ee683862ef9634d42cacffa078d18d52304a3fdb342b0eed
company,2022-10-06 00:29:00,"Restrictions on China chipmakers won't target SK Hynix and Samsung, Reuters says",116522681,https://thefly.com/images/meta/periodicals.jpg,MCHP,Thefly.com,"The Biden administration ... SSNLF, AMD, INTC, MCHP, MU, QCOM, TXN, NVDA, MRVL",https://finnhub.io/api/news?id=07098a46741facaf95e6d3b719c886983c8c71c7718d6c194c7e34ee48001e6c
company,2022-10-05 17:28:22,Microchip Technology adding hundreds of jobs in Gresham investment,116483031,,MCHP,Yahoo,A report that Arizona semiconductor company Microchip Technology is looking at expanding in Gresham comes as Oregon officials look to make the state more attractive.,https://finnhub.io/api/news?id=d1cefebda687ea02161442de1cf2ccba9709268b9a13b29a7a3ad759b662be5f
