category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 09:38:00,A Bull Market Is Coming: 2 High-Conviction Growth Stocks to Buy Now and Hold,116233103,,MELI,Yahoo,"The stock market is currently clouded by bearish sentiment.  Every past bear market has ended in a new bull market, and the S&P 500 has always recouped its losses.  Better yet, the ongoing bear market is a great time to buy stocks, and Wall Street appears to have high conviction in MercadoLibre (NASDAQ: MELI) and Block (NYSE: SQ).",https://finnhub.io/api/news?id=bb6c4f663797461d88701695bab9bf9090c9b80142848ed8728da4090e0f4389
company,2022-09-23 05:15:00,2 Growth Stocks Down 53% and 65% to Buy for the Next Bull Market,116215228,https://s.yimg.com/ny/api/res/1.2/6rBAdroMld3qRdRBqazDzQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03OTg-/https://media.zenfs.com/en/motleyfool.com/e1049ef30afe780e4651cecd3ee1bf16,MELI,Yahoo,"Over the past century, the U.S. stock market has recovered from every bear market.  There's a high chance this will continue and the current bear market will end.  Here's why it might be wise to get a few shares of MercadoLibre (NASDAQ: MELI) and Semrush Holdings (NYSE: SEMR) before the next bull market kicks in.",https://finnhub.io/api/news?id=5e4f8630f937815e2f4c696ab4e07dd4c06ab1c74649188f55d2d9cddee33af9
company,2022-09-28 18:01:59,"Why Shopify, PayPal, and MercadoLibre Stocks Rallied on Wednesday",116314541,https://s.yimg.com/ny/api/res/1.2/l4sroay07jUxrf0NYS4d0w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/6e152ad0d18c72b732846784256fe223,MELI,Yahoo,"A broad cross-section of stocks charged sharply higher on Wednesday, as Wall Street focused on Treasury yields and foreign government moves to settle unrest in the financial markets.  Shares of e-commerce kingpin Shopify (NYSE: SHOP) rose as much as 5.5%, digital payments denizen PayPal (NASDAQ: PYPL) jumped as much as 6.9%, and Latin American e-commerce and fintech leader MercadoLibre (NASDAQ: MELI) surged as much as 8.3%.  Positive developments in the unfolding saga involving the British pound and a spike in U.S. Treasury yields provided the catalyst.",https://finnhub.io/api/news?id=87acc834c3f6de0b4316e5a93008989768b3a3698aacc979d73750de76f446ce
company,2022-09-28 10:30:00,Better Buy: Sea Limited or MercadoLibre?,116304497,https://s.yimg.com/ny/api/res/1.2/xTQucl6geImp2KfQY_RgZA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/motleyfool.com/98ff903015ff8b44320d52ad7fd34657,MELI,Yahoo,"In this video, we'll take a look at MercadoLibre (NASDAQ: MELI) and Sea Limited (NYSE: SE) and see which is the better buy right now and which is in a worse position. The former is down 40% this year while the latter is down 75%.",https://finnhub.io/api/news?id=e76368450f902e6ac08e5d25fde944d6c7abe8ec07027420f7c2242773605b42
company,2022-09-27 10:45:00,3 Stocks I'm Buying During the NASDAQ Bear Market,116283816,,MELI,Yahoo,"It's been a rough year for the NASDAQ Composite Index (NASDAQINDEX: ^IXIC), plunging nearly 30% this year.  Here are three stocks I'm looking at buying as their long-term opportunities are still intact while their share prices are well off their highs: Alphabet (NASDAQ: GOOG), MercadoLibre (NASDAQ: MELI), and CrowdStrike (NASDAQ: CRWD).  Alphabet (formerly known as Google) is a huge conglomerate of businesses, but its primary focus is advertising.",https://finnhub.io/api/news?id=bfbf0a1d830a52c34ff9279a60e796d04a3a0f1b928aa1295ee948528c870ee5
company,2022-09-27 10:30:00,1 Unstoppable Stock for the Stock Market Sell-Off,116292689,https://s.yimg.com/ny/api/res/1.2/2K5aByqjEKZGiADydr3_Kg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04NDI-/https://media.zenfs.com/en/motleyfool.com/673529fbba19c95e4f1b40fa5367abb3,MELI,Yahoo,"The Federal Reserve just raised interest rates by 75 basis points for the third consecutive time and promised to continue raising them for the foreseeable future.  It also intends to continue selling the trillions of dollars in U.S. Treasuries it has accumulated over the last 15 years during its period of ""quantitative easing,"" so the stock market is anticipating the Fed will knock the economy into an official recession.  Investors rightly get nervous from the uncertainty these market conditions create, yet those who are savvy enough understand just what a stock market sell-off represents.",https://finnhub.io/api/news?id=a6fe792c0d584b2e2c1891cb7401b1966e6d609582819113b50d422ecd1181d7
company,2022-09-27 08:05:00,3 Top E-Commerce Stocks to Buy Right Now,116288522,https://s.yimg.com/ny/api/res/1.2/DBMvF9d13vhsVGZTYd_tnQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/a7910bc249b5a57ed29d2e12e0fccbae,MELI,Yahoo,"MercadoLibre is the largest player in the Latin American e-commerce market.  MercadoLibre's commerce sales increased 23% to $1.4 billion in the second quarter (ended June 30), accounting for more than half of the company's $2.6 billion revenue in that period.  Total quarterly revenue climbed 53%, proving that MercadoLibre has more to offer than just a booming e-commerce business.",https://finnhub.io/api/news?id=b56b0b81b196f81b890c53007fbc859ea4c1fea78dfa1df154db85a645450587
company,2022-09-27 05:00:00,AOTG Offers a Growth Strategy with a Different Twist,118403762,https://www.nasdaq.com/sites/acquia.prod/files/2022/08/02/trading-terminal-abstract.jpg?2114232194,MELI,Nasdaq,"AOT Growth and Innovation ETF is a high-growth portfolio focusing on valuation metrics & a unique marginal cost target for companies that the fund invests in. John Tinsman, AOT Invest’s Founder & Portfolio Manager, explains what sets AOTG apart from other large-cap growth funds.",https://finnhub.io/api/news?id=60392f8d79b21242436cdd9f7718b26c6f3dc782bf57db9f7e67b2cc940cb037
company,2022-09-26 17:50:09,MercadoLibre (MELI) Dips More Than Broader Markets: What You Should Know,116267919,https://s.yimg.com/uu/api/res/1.2/apbC75v0joJeGGZArvqIvw--~B/aD02NzU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/105b2acef7bf0873f24b78932b1fdc3c,MELI,Yahoo,"MercadoLibre (MELI) closed at $799.58 in the latest trading session, marking a -1.89% move from the prior day.",https://finnhub.io/api/news?id=d0fcd21775238c80af289c108f5f5776cea86b50306739776a260a86d5f61464
company,2022-09-26 13:41:38,MercadoLibre: Institutions Love This Under-Followed And Undervalued Stock,116265943,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1350856632/image_1350856632.jpg?io=getty-c-w750,MELI,SeekingAlpha,MercadoLibre has a cheaper price-to-sales ratio than its original IPO 15 years ago. Click here to read my analysis as to why I think MELI stock is a buy.,https://finnhub.io/api/news?id=f88ad63c4cddf9f8feb44ac908778e4c4b0bf3cac71486f324f42be8c9937515
company,2022-09-26 10:37:00,These 3 Stocks Are the Best Bear Market Buys,116257302,,MELI,Yahoo,"The bear market in tech stocks has changed perceptions on many levels, especially concerning valuations. Stockholders who routinely tolerated P/E ratios above 100 last year have sold off their more expensive stocks.",https://finnhub.io/api/news?id=c0cbecfe4e5d52f9de0b23dada706c9b785c39ab73d689eb35c567e086fc932a
company,2022-09-25 10:45:00,2 Beaten-Down Cathie Wood Growth Stocks to Buy and Hold For 10 Years,116248161,,MELI,Yahoo,"Cathie Wood is the CEO of ARK Invest, whose ETFs substantially outperformed the broader market in the early stages of the pandemic.  Should investors avoid Cathie Wood's stock picks?  Veeva Systems operates in the highly competitive cloud computing industry, but it has become successful by specializing in providing cloud-based software solutions to companies in the life sciences sector.",https://finnhub.io/api/news?id=3acca733d2ce107e692fadec8b09d967cf2b191cde4f3a1ae4267e3517721ff1
company,2022-10-01 05:52:00,"3 Stocks to Buy In October That Could Soar 47% to 84%, According to Wall Street",116370785,https://s.yimg.com/ny/api/res/1.2/kCLUHozX2yYBi1wLoQIccg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDE-/https://media.zenfs.com/en/motleyfool.com/ebe01150d1b41a01f05e8f95b0a1fa9b,MELI,Yahoo,"The bears are running rampant on Wall Street.  Of the 43 analysts surveyed by Refinitiv that cover Alphabet (NASDAQ: GOOG) (NASDAQ: GOOGL), 38 of them rate the tech stock as a buy or strong buy.  It's not surprising, therefore, that Wall Street's consensus 12-month price target reflects a 47% upside potential.",https://finnhub.io/api/news?id=5811050aa4601d427f3fcd013ab80d9b8908c35728602ecf9810f620786f8351
company,2022-09-30 10:53:21,Is MercadoLibre (MELI) A Good Stock To Buy Despite the Macro Environment?,116411762,https://s.yimg.com/uu/api/res/1.2/2VOLoqdiD8W39EAsboMRvQ--~B/aD00OTk7dz03NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/4757146fde6a6ad2a66dc2fba8df26a5,MELI,Yahoo,"Lakehouse Capital, an investment management company, released its “Lakehouse Global Growth Fund” August 2022 investor letter. A copy of the same can be downloaded here. August was a quiet month, and the fund returned -1.9% net of fees and expenses compared to -2.0% for its benchmark. In addition, please check the fund’s top five holdings […]",https://finnhub.io/api/news?id=04c1138dcf2a44de85797d8441c535c5b84d0cef8060632568554e4f4c209fa9
company,2022-09-30 07:42:22,MercadoLibre: A Long-Term Winner Set To Continue Outperforming The Market,116360495,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1324669103/image_1324669103.jpg?io=getty-c-w750,MELI,SeekingAlpha,MercadoLibre has significantly outperformed the market since its IPO. Click here to see why MELI provides an attractive entry point for long-term investors.,https://finnhub.io/api/news?id=da7c832c67759b086c48a95db54a77531d20ef1b4c7f98fd10869dfd8223b5c3
company,2022-09-30 06:20:00,Have $500? 2 Absurdly Cheap Stocks Long-Term Investors Should Buy Right Now,116371857,https://s.yimg.com/uu/api/res/1.2/cPRDgKQiMu3CEOx7UQp3fg--~B/aD00NDM7dz03ODc7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/motleyfool.com/aa1fd14cac317d206534040f41ad7782,MELI,Yahoo,"If you're looking to take advantage of the market crash, look no further than MercadoLibre and Figs.",https://finnhub.io/api/news?id=9862c28c0c6a0885e78507a99e961f2b0fe80a81455367a4f4c222378e8c54fe
company,2022-09-29 16:38:06,"Why Shares of MercadoLibre, StoneCo, and Nu Holdings Fell Today",116343840,,MELI,Yahoo,"Shares of several Latin American tech stocks struggled today along with the broader market, as investors continued to fret about volatility and the potential for a more severe recession in the near future.  Shares of the Uruguayan online marketplace MercadoLibre (NASDAQ: MELI) fell more than 4% today, shares of the Brazilian e-commerce tech company StoneCo (NASDAQ: STNE) fell roughly 7.5%, and shares of the Brazilian digital bank Nu Holdings (NYSE: NU) fell 7.4%.  Tech stocks continued their recent struggles, with the Nasdaq Composite falling roughly 2.85%.",https://finnhub.io/api/news?id=e0f2ba8d9be1c8e327240d1aafa2099980c4e560a30190146b0ae5547512d16c
company,2022-09-29 06:40:00,3 Stocks You'll Be Glad You Bought at These Prices,116334616,https://s.yimg.com/ny/api/res/1.2/zUPWXlFEV2RlbUTrSrL0TA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/88832ac7b579e8ec29877ef82660bb16,MELI,Yahoo,"Here's why: The stock market has always recovered after a downturn.  Alphabet (NASDAQ: GOOG) (NASDAQ: GOOGL) is square in the crosshairs of a recession.  With more than 80% of its business coming from advertisement sources, revenue growth will be challenging in a recession.",https://finnhub.io/api/news?id=f80a3cc456cc0a99ae5e8fbbc8055b218f59318a7cb36b51809cd195f68ecb23
company,2022-09-29 04:18:00,5 Retail Stocks to Consider amid High Inflation,116361556,https://blog.tipranks.com/wp-content/uploads/2022/09/shutterstock_373602469-750x406.jpg,MELI,TipRanks,"U.S. stocks have been presenting major headwinds for investors throughout much of the year, as inflation and skyrocketing interest rates push many traders to from t...",https://finnhub.io/api/news?id=12d068da0dd0becb9d296f39afb25cf2c322d80b455dd5c3f8a81455998bae0d
company,2022-09-28 20:07:25,These 2 Nasdaq Stocks Led Markets Higher Wednesday,116315722,https://s.yimg.com/ny/api/res/1.2/oDAGc_LVjoy1TJZixiFdVg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/ea296bcf184d76c0a1f8e314de72d46d,MELI,Yahoo,"Instead, it was the Bank of England that decided to intervene in the bond market, offering to buy sovereign debt to stem the plunge in the value of the British pound.  The Nasdaq led the way higher, and the best performer there was Biogen, which announced a game-breaking study in its candidate treatment for Alzheimer's.  Below, you'll learn why Netflix (NASDAQ: NFLX) and MercadoLibre (NASDAQ: MELI) moved higher Wednesday, along with whether their gains look likely to hold up over the long run.",https://finnhub.io/api/news?id=99ea0a816d14cd0d23c34e2de3aa07291cacd56a25c279e06e46b325fbb0a9cf
company,2022-10-06 14:32:34,"Why Shares of MercadoLibre, Nu Holdings, and XP Are Rising This Week",116513935,https://s.yimg.com/ny/api/res/1.2/FoTxwCUwQyRK1XlTeksH1g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDE-/https://media.zenfs.com/en/motleyfool.com/a9890bdfde439fbaaf2be2517f55658f,MELI,Yahoo,The results from the first round of Brazil's presidential election seemed to boost Brazilian stocks.,https://finnhub.io/api/news?id=70a835d34b1a27a3a81805634df6d5ff6b31fa9611b65aee1c6bb8740a99586e
company,2022-10-06 12:10:37,Polen Capital on MercadoLibre (MELI): “We Expect the Business to Continue Growing”,116513936,https://s.yimg.com/uu/api/res/1.2/DUk_eSSRByav5bUhcsl_aA--~B/aD00MzM7dz02NjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/736e86620e57ffcc7e4504bae2bfb636,MELI,Yahoo,"Polen Capital, an investment management firm, published its “Polen Global Emerging Markets Growth Fund” second quarter 2022 investor letter – a copy of which can be downloaded here. During the second quarter of 2022, the Polen Global Emerging Markets Growth Composite Portfolio (the “Portfolio”) returned -8.94% gross and -9.27% net of fees, respectively, versus the […]",https://finnhub.io/api/news?id=d160296cf00bc190568e6259dc3cdece0946a946151f8b0596e192fc171107f4
company,2022-10-06 09:10:00,This E-Commerce Stock Is Dominating Latin America,116513937,https://s.yimg.com/ny/api/res/1.2/EJq9ZW_1bx5WVdoZkkSizg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/f38852c80ac5344183e2772820dcc8e3,MELI,Yahoo,"Latin America is one of the world's emerging markets, where technology isn't quite as established as in places like the U.S. However, e-commerce company MercadoLibre (NASDAQ: MELI) has been steadily building its business throughout the region since 1999.  It faced increased competition over the past couple of years, but MercadoLibre could now strengthen its competitive position.  Here is why MercadoLibre could be one of the best buys you can make today.",https://finnhub.io/api/news?id=9e433323968b0fabd6ded6cc244e63db1ba4164cbce4479e53fda1d50f7f99b4
company,2022-10-06 06:00:00,3 Things About MercadoLibre Stock That Smart Investors Know,116498756,,MELI,Yahoo,"Latin American e-commerce leader MercadoLibre (NASDAQ: MELI) is no different as it has fallen 32%.  While challenges in the U.S. and Europe take a toll on the global economy, e-commerce adoption in Latin America hasn't skipped a beat.  This helped MercadoLibre see expansion rates this year that U.S. e-commerce companies could only dream of, and its second-quarter revenue soared 52% to $2.6 billion.",https://finnhub.io/api/news?id=643af2593b0107a3026465220b4ef6069efc831f02c163c0404ed2ebece7a451
company,2022-10-06 03:04:00,MercadoLibre price target lowered to $970 from $990 at Jefferies,116505720,https://thefly.com/images/meta/streetresearch_recommendations.jpg,MELI,Thefly.com,Jefferies analyst John Co... MELI,https://finnhub.io/api/news?id=d75dd5297bc82b6b0489264fd589aa02ebdedbea992be73c3a9dc3ee439c2b3a
company,2022-10-05 17:50:09,MercadoLibre (MELI) Dips More Than Broader Markets: What You Should Know,116480525,https://s.yimg.com/uu/api/res/1.2/auhFPLcthJM50UYepXcODg--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/2f0d6efdd8740952a371c97ddea6e926,MELI,Yahoo,"MercadoLibre (MELI) closed the most recent trading day at $933.76, moving -1.53% from the previous trading session.",https://finnhub.io/api/news?id=fb6013b46241cb881bbc898d28f488956001799a5f37ee14fcd144a05a07bd5f
