category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 16:50:52,UPDATE 1-Pfizer CEO tests positive for COVID for a second time,116235965,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,MRNA,Yahoo,"Pfizer Inc Chief Executive Officer Albert Bourla said on Saturday he had tested positive for COVID-19.  ""I’m feeling well and symptom free,"" Bourla said in a statement.  Bourla, 60, back in August had contacted COVID and had started a course of the company's oral COVID-19 antiviral treatment, Paxlovid.",https://finnhub.io/api/news?id=42aa149b78ab5f7789e103ff64015c560113cb218efcd474b4e00c686750bca0
company,2022-09-24 06:30:00,Better Growth Stock: Moderna vs. Teladoc,116230168,https://s.yimg.com/ny/api/res/1.2/6z358QfPfTr.ZbGIWZ25kg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/a1ba85edc7faf6b18302fa41ba4628c1,MRNA,Yahoo,It may be a bit early to establish Moderna's (NASDAQ: MRNA) and Teladoc Health's (NYSE: TDOC) lasting growth stock status by looking at the past couple of years.  Moderna launched the coronavirus vaccine as its first product in 2020 -- and vaccinated a good share of the population.  Teladoc saw revenue and virtual medical visits soar in the triple digits as people opted to stick close to home.,https://finnhub.io/api/news?id=e715f6047315b55fb9608376045b7c3c5c3177c7948bfd737031be48e3441f99
company,2022-09-23 17:08:29,"Moderna seeks FDA nod for Omicron-targeted COVID shot for adolescents, younger kids",116225448,https://static.reuters.com/resources/r/?m=02&d=20220923&t=2&i=1609667516&r=LYNXMPEI8M0XP,MRNA,Reuters,Moderna Inc said on Friday it has requested U.S. authorization for use of its Omicron-targeting COVID vaccine in adolescents and children.,https://finnhub.io/api/news?id=971e82b4464c8e07d2fd1dceac2918b98824c42a6fe98632daa64b96d55b90dd
company,2022-09-23 16:56:30,Moderna's COVID booster faces supply limitations after manufacturing issues,116225396,https://s.yimg.com/ny/api/res/1.2/RJLPEP.S8JxcWWVi9NMAOA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzQ-/https://s.yimg.com/os/creatr-uploaded-images/2022-09/305111c0-3b82-11ed-97be-b7ddffb27153,MRNA,Yahoo,"Health reporter Anjalee Khemlani examines the shortages Moderna is experiencing in its latest COVID-19 booster shot, while also discussing vaccination options ahead of this year's flu season",https://finnhub.io/api/news?id=25b438d5e295fa7f1b24c56af71b1bcca923f8d7b704e339ccc85a7ac7527569
company,2022-09-23 16:54:29,"Stocks moving in after hours: Ford, FedEx, Moderna",116225397,https://s.yimg.com/ny/api/res/1.2/k70ixJ49KFvM614.wEClhg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzQ-/https://s.yimg.com/os/creatr-uploaded-images/2022-09/daba5d20-3b81-11ed-b3cf-12a966768d9a,MRNA,Yahoo,"Yahoo Finance Live anchor Seana Smith highlights stocks moving in after-hours trading, including Ford, FedEx, and Moderna.",https://finnhub.io/api/news?id=3e9fee8c5e1d237bcc198e30e949f410e3444a28453a67b53cd5ef4ccc71ed1e
company,2022-09-23 12:55:09,Moderna : Statement of Changes in Beneficial Ownership - Form 4,116221333,,MRNA,Finnhub,"Ownership Submission FORM 4 Check this box if no longer... | September 23, 2022",https://finnhub.io/api/news?id=7d0db283b8fe993a7fad179ee54ff21fe50bb0fb46b1d1dbec22b1d0e4c242d4
company,2022-09-23 12:31:00,"Moderna Inc. stock falls Friday, still outperforms market",116241662,https://images.mktw.net/im-228778/social,MRNA,MarketWatch,"Shares of Moderna Inc. dropped 0.55% to $123.64 Friday, on what proved to be an all-around dismal trading session for the stock market, with the NASDAQ...",https://finnhub.io/api/news?id=a3673ec89dd3b02eebd8cf18394ba9e04b0d806ab00a350eb3167930a968cd3c
company,2022-09-23 11:36:10,UPDATE 1-U.S. rollout of new COVID boosters off to slow start,116219484,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,MRNA,Yahoo,"Updated COVID-19 boosters have gone into 4.4 million arms in the United States since a new revaccination campaign began three weeks ago, government data shows, a slower pace for the shots targeting the Omicron variant of the coronavirus than the rollout of the first boosters last year.  Last year, when the United States initially authorized COVID boosters just for older and immunocompromised people, nearly 10 million received their third shot in the first three weeks.  The latest data, released late on Thursday by the U.S. Centers for Disease Control and Prevention (CDC), did show increased interest in the Omicron shots over demand for the older boosters during the previous three weeks.",https://finnhub.io/api/news?id=5a8cfd4ae311eeeeca018689ab94ab63a0a0c941742c004c25cf68652b410e30
company,2022-09-23 10:51:02,Why Novavax (NVAX) Stock Was Down 13% on Thursday,116219485,https://s.yimg.com/uu/api/res/1.2/41D0IKqXpOevA73jRCvjig--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/5ef34b229359328ddb52bd15cfa3b6b2,MRNA,Yahoo,Novavax (NVAX) sinks to a new record level 52-week low after analysts at JP Morgan cut the 12-month target price on the stock by more than $100.,https://finnhub.io/api/news?id=192c9e4e9a2a9f662163fbba346cfe9394c473d4ebce7e3259f3f092c41745fe
company,2022-09-23 06:14:00,Moderna Covid-19 Booster Shortage Leads to Fewer Appointments at Pharmacies,116213110,https://s.yimg.com/ny/api/res/1.2/ZNmBJZbzfCQJ4QuPupl8Rg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/wsj.com/db22529ce85af8e707332858b6364ccb,MRNA,Yahoo,A manufacturing-quality problem has led to some vaccine providers only offering the Pfizer-BioNTech booster shot.,https://finnhub.io/api/news?id=f0895436da2d63be4c3a5e5d3425c833ac7b8c7e800eea1833dfa97fe30ac85e
