category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 16:05:00,"Marvell Technology, Inc. Declares Quarterly Dividend Payment",116228692,https://s.yimg.com/uu/api/res/1.2/xQRy_yJeYEJ_wqYkovOTKg--~B/aD0yMDk7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/55195f9cfdbb0e4f1631b7c35e2839d5,MRVL,Yahoo,"Marvell Technology, Inc. (NASDAQ: MRVL), today announced a quarterly dividend of $0.06 per share of common stock payable on October 26, 2022 to shareholders of record as of October 7, 2022.",https://finnhub.io/api/news?id=8da39dc29f135d22334f4a3c5e95d06d3d88c3b366723dab9584bfa5ed658069
company,2022-09-23 12:20:11,"MARVELL TECHNOLOGY, INC. : Other Events, Financial Statements and Exhibits (form 8-K)",116220569,,MRVL,Finnhub,"Item 8.01 Other Events.On September 23, 2022, Marvell Technology, Inc. announced thatits Board of Directors had declared the payment of its quarterly dividend of$0.06 per share to be paid on... | September 23, 2022",https://finnhub.io/api/news?id=80b9cb813cff9c91f8226c923fecb6c9fbe766fc18d3b0ca39e22694b8af7321
company,2022-09-28 05:24:03,Marvell: Bull Run After The Market Recovers From Fed's Hangover,116301839,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/909851808/image_909851808.jpg?io=getty-c-w750,MRVL,SeekingAlpha,"Marvell Technology has been absolutely destroyed in the past year, with it falling by -51.47%. See why we expect MRVL stock recovering from current levels.",https://finnhub.io/api/news?id=f397f2f9ae25919c37645bdd419af2bc30ea3c368a102a80526d7edfe3bcc8f6
company,2022-09-26 07:59:00,"Video: Daily Dividend Report: MRVL, GGG, ASA, GBLI",116313763,,MRVL,Market News Video,"Marvell Technology (MRVL) announced a quarterly dividend of $0.06 per share of common stock payable on October 26, 2022 to shareholders of record as of October 7, 2022 - raco (GGG) has declared a regular quarterly dividend of 21 cents per common share, payable on Nov - MRVL,GGG,ASA,GBLI.",https://finnhub.io/api/news?id=ac628b6f242f655ad88e9c1184cf70b2079c9d5551db9d3ed411d3fd6ef7a422
company,2022-09-25 21:02:33,Credo Technology: The Future Is Bright,116246696,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1346508441/image_1346508441.jpg?io=getty-c-w750,MRVL,SeekingAlpha,"Credo has a promising customer base, having 5 out of the top 7 hyperscalers talking to it. See why I feel there is upside to CRDO stock with a PT of $19.5.",https://finnhub.io/api/news?id=dcb308132b5638c436280a132597e6edde14e825900be9884d673feaa230c0bf
company,2022-10-02 09:42:10,"With 83% ownership of the shares, Marvell Technology, Inc. (NASDAQ:MRVL) is heavily dominated by institutional owners",116387109,https://s.yimg.com/uu/api/res/1.2/5Tyy8Oun7d69.ebTzNgpXA--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/ce85212c51bd88fd1fdcd0febb642a4a,MRVL,Yahoo,"A look at the shareholders of Marvell Technology, Inc. ( NASDAQ:MRVL ) can tell us which group is most powerful. We can...",https://finnhub.io/api/news?id=1f05da8729ebe94b72d6eadaca353c70f63a8ddd6ab2a6a112f7fd94ff2f6b46
company,2022-09-30 11:45:00,Marvell Is the ‘Relative Winner’ in Rough Market for Chip Stocks,116368079,https://s.yimg.com/ny/api/res/1.2/v5S9imLDndjUP6eH5OQHXA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/Barrons.com/92ef727cb620ec502685c01e3ba4831b,MRVL,Yahoo,"Barclays analyst Blayne Curtis reaffirmed his Overweight rating and $60 price target for the shares, citing the company's robust product pipeline.",https://finnhub.io/api/news?id=5e7e6caedbf176a9f1edabfd966bf9da72b3c978860cb5bbd8fcdd9fb4c15501
company,2022-09-29 12:28:19,7 Semiconductor Stocks to Buy Before the Bull Market Returns,116385633,https://s.yimg.com/uu/api/res/1.2/K4imarpHtBid54jBkqdApw--~B/aD00MDA7dz03Mjg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/investorplace_417/abc7f008e6b4726600a49cf362e8f7b6,MRVL,Yahoo,"While listing semiconductor stocks to buy typically generates a positive response, this year provides a contrasting case. Though the major indices all printed red ink since the start of 2022, technology-centric market ideas suffered disproportionately. Nevertheless, bold contrarians may enjoy an upside opportunity in the long run. Firstly, semiconductor stocks to buy trade cyclically. With the Federal Reserve committed to raising the benchmark interest rate, risk-on sentiment faded due to higher",https://finnhub.io/api/news?id=9e00e935c9f0aebf281b726fbab2618774ca60a2f55f8ef2e3fd725f8f92a022
company,2022-09-29 02:30:00,Marvell price target lowered to $70 from $78 at Stifel,116339010,https://thefly.com/images/meta/streetresearch_recommendations.jpg,MRVL,Thefly.com,Stifel analyst Tore Svanb... MRVL,https://finnhub.io/api/news?id=00d0b1edc8d71756b9da00ca13458170b18752a34560b62a1475cfa1dc3473b5
company,2022-10-06 06:53:00,November 25th Options Now Available For Marvell Technology (MRVL),116506021,,MRVL,Stock Options Channel,"Staff article entitled November 25th Options Now Available For Marvell Technology (MRVL), about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=8838363fdc9c19c42e9e1d3f9f44ba235b1b32567b3e139c3af8559afc336f09
