category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 20:18:00,How Long Can S&P 500 Earnings Hold Up?,116226535,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1369905974/image_1369905974.jpg?io=getty-c-w750,MU,SeekingAlpha,The S&P 500 has fallen 8.5%â9% the last two weeks. So far this year â in 2022 â rising interest rates have caused nothing more than P/E compression for the S&P 500.,https://finnhub.io/api/news?id=23a5666cd4fa1bf380ccd27f715c72546a05ad26d1958bb74696abcb87b72584
company,2022-09-23 18:11:00,Micron forecast expected to shed light on how two years of unprecedented supply problems may resolve,116225832,https://s.yimg.com/ny/api/res/1.2/qbWJ9TKI_6gipDzgMF.1Gw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/marketwatch.com/bfa5bfc964b748362c2cf1c5dcac23ce,MU,Yahoo,Micron Technology Inc. investors are hoping the memory-chip maker's forecast will provide more color into the unprecedented supply-and-demand dynamics created by two years of COVID-19-related disruption.,https://finnhub.io/api/news?id=f2e926a9c1b290a2187abc16a78ecd7d4c643f68c947420e24a4e02b9ae4ce20
company,2022-09-23 17:08:31,"Stocks To Watch: Big Events For Tesla, Amazon And Intel",116225225,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,MU,SeekingAlpha,"Get ahead of the market by subscribing to Seeking Alpha's Stocks to Watch, a preview of key events scheduled for the coming week",https://finnhub.io/api/news?id=534935763d18928bbe62ad44c9e157531334acaf5e4257ee7631f74259333514
company,2022-09-23 16:48:33,Economic data and earnings expected next week,116221771,https://s.yimg.com/ny/api/res/1.2/8Gq4jnuhXd.C1N3n3xpgtQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2022-09/e9c3cf50-3b80-11ed-b56e-e8bbba4491df,MU,Yahoo,Yahoo Finance Live anchor Dave Briggs highlights the economic data and company earnings report to watch out for next week.,https://finnhub.io/api/news?id=e9e5962ad7d881642ae12a905bc9f3c977694ee03aac07508fdcadb381ac2da9
company,2022-09-23 15:57:00,September Was Bad for Investors. October Could Be Worse.,116240387,https://images.barrons.com/im-629804/social,MU,MarketWatch,"Reports on employment, inflation, and earnings could add to the markets’ angst, as the midterm elections loom. Also, why Costco shares look good.",https://finnhub.io/api/news?id=cedfeca19b6a627d50dae80a5440b46be385457d34237bbc3d1ad54cf69a20ee
company,2022-09-23 13:10:00,Micron Technology Inc. stock outperforms market on strong trading day,116240407,https://images.mktw.net/im-220105/social,MU,MarketWatch,"Shares of Micron Technology Inc. inched 0.89% higher to $50.10 Friday, on what proved to be an all-around grim trading session for the stock market, with the...",https://finnhub.io/api/news?id=858fb2502b3488b3044711b30f1bd9eb2b70c32aa0dd69289187223a2bfe90f0
company,2022-09-23 10:45:50,"Nike Stock, Micron In Bearish Downtrends Ahead Of Results; Earnings Leaders Cintas, Paychex Also Set To Report",116217298,https://s.yimg.com/uu/api/res/1.2/q6MvSdjaqVl4rb5WQH2KIA--~B/aD02MDA7dz0xMDY1O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/66e8341a8b2283cf9887c600569a1901,MU,Yahoo,Nike stock and Micron stock have been under relentless selling pressure ahead of upcoming earnings reports. Both firms report on Sept. 29.,https://finnhub.io/api/news?id=a22a77e63da8962b7c34373ea4737695014c4ab96e2bccf64bd91611d323fc15
company,2022-09-23 09:52:17,Silicon Motion And MaxLinear: Caught In Limbo With A Merger Less Likely,116217779,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/672439470/image_672439470.jpg?io=getty-c-w750,MU,SeekingAlpha,"Shareholders gave their blessing, but a merger between SIMO and MXL has nonetheless become less likely due to pushback in China. Read more here.",https://finnhub.io/api/news?id=e35d431629901f2aa46c4a64779155f17ee45e47e7985943d3f8362563ed91a0
company,2022-09-23 07:28:27,Is Micron Stock A Buy Before Earnings? Consider Valuations And Long-Term Outlook,116215039,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1150565928/image_1150565928.jpg?io=getty-c-w750,MU,SeekingAlpha,"Micron's risk-reward is attractive, based on a comparison of its current valuations with its long-term outlook. Read what to know about MU stock here.",https://finnhub.io/api/news?id=26b2926973f170d66098c20f7e29603f8711f44bb0b3a11fd17a73a345c05e17
company,2022-09-23 05:19:00,"Why Are Chip Stocks NVDA, AMD, INTC Down Today?",116216479,https://investorplace.com/wp-content/uploads/2020/02/computerchip1600.jpg,MU,InvestorPlace,"Chip stocks are declining sharply as the sector is experiencing multiple challenges, including lower-than-expected PC sales.",https://finnhub.io/api/news?id=486e2c3b2cd581aee7162bb47cbf44d285ce5b00f061028b234b300a7e077a40
