category,datetime,headline,id,image,related,source,summary,url
company,2022-10-01 21:33:19,"Dividend Champion, Contender, And Challenger Highlights: Week Of October 2",116376722,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg?io=getty-c-w750,NXPI,SeekingAlpha,"Weekly summary of dividend activity for Dividend Champions, Contenders, Challengers. Click here to see companies with upcoming ex-dividend dates and upcoming pay dates.",https://finnhub.io/api/news?id=a187539e63690e2a7f5a92d27f2674bd502fa4081f2817039e0ff86593fdc407
company,2022-09-30 04:00:52,NXP Semiconductors: Betting On The Automotive Industry's Digital Revolution,116354211,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1397047877/image_1397047877.jpg?io=getty-c-w750,NXPI,SeekingAlpha,NXP Semiconductor is a European chip maker with 50% revenue exposure to automotive industry. See why current weakness in NXPI stock is a buying opportunity.,https://finnhub.io/api/news?id=6d8543a7110761931628797199af1267a4ef7f719fe14cdc21027c0afa344bdd
company,2022-09-29 14:46:21,10 companies at risk from an Apple iPhone slowdown,116336070,https://s.yimg.com/ny/api/res/1.2/Ut7iXM_7xF3qltpN9dQ65w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2022-09/41cf3370-4021-11ed-adbb-305b874913a1,NXPI,Yahoo,"These Apple suppliers are at risk if the tech giant pulls back on iPhone production, warns Bank of America.",https://finnhub.io/api/news?id=1e9599c29e0ca097f3b6c3a96759ea12d3ced6100a5aaac75c17234f246a1d30
company,2022-10-06 15:16:30,7 Tech Stocks That Are Too Cheap to Ignore,116571695,https://s.yimg.com/uu/api/res/1.2/u6SzOg8HjKKfSn0hWS5B5g--~B/aD00MDA7dz03Mjg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/investorplace_417/49446f9f8136e8118dbbe95e94730c1d,NXPI,Yahoo,"With the ugliness in the equities sector, astute investors may want to shift their focus to cheap tech stocks. Granted, among the major indices, the technology-centric Nasdaq Composite suffered the most thus far. On a year-to-date basis, it’s down nearly 30%. However, it also opens the door to significant discounts for patient market participants. That’s one angle. The other is that tech-driven companies offer some of the most groundbreaking innovations. Again, it’s not to take away from the pai",https://finnhub.io/api/news?id=91bcdc5178a5d039761e1e6dca2662f0acf52037dc127af7544043362abb8733
company,2022-10-06 05:14:00,1 Monster Opportunity in the Global Chip Shortage,116497850,,NXPI,Yahoo,"The semiconductor industry is facing a challenging time in 2022, as a slump in demand for smartphones and personal computers led to a sharp decline in the sales of some major chipmakers.  Several automakers have pointed out of late that the chip crunch in the industry is here to stay.  Volkswagen, for instance, estimates that the auto industry could continue witnessing a chip crunch into 2023 and beyond.",https://finnhub.io/api/news?id=22150fa39ab911a5361ee3c8e729026c8791456f7e387bfba1327137753169bf
company,2022-10-05 22:17:00,7 Cheap Tech Stocks to Buy for Smart Contrarians,116506059,https://investorplace.com/wp-content/uploads/2022/08/shutterstock_1421446100-scaled.jpg,NXPI,InvestorPlace,"At some point, innovation will rise again, making these discounted ideas incredibly enticing.",https://finnhub.io/api/news?id=f47bf4eae28968963eee0e7641633fd5afb5747cdc634a374120c68e1d699618
company,2022-10-04 11:25:13,Semiconductor Winners And Losers At The Start Of Q4 2022 (Technical Analysis),116431397,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/135190153/image_135190153.jpg?io=getty-c-w750,NXPI,SeekingAlpha,"Semiconductor stocks remain in a downtrend heading into Q4, but that does not mean some did not do much better than others. Read more here.",https://finnhub.io/api/news?id=edd40f892e86212cfcf98000530e28f43e27eff66f9614b28de643cbd24649fd
company,2022-10-03 03:38:12,Infineon Vs. NXPI: Assessing Growth Prospects Amid Energy And Slowdown Concerns,116395011,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1313381980/image_1313381980.jpg?io=getty-c-w750,NXPI,SeekingAlpha,Infineon and NXPI have seen their share price plummet due to high energy prices affecting Europe and concerns about demand slumping. Click here to read more.,https://finnhub.io/api/news?id=1ed1bca3e31d3fc998c6708c0786a14ec7d98ca3d0fad09d71161d63b78d559a
company,2022-10-07 08:14:00,Future of Smart Homes: Here's What You Need to Know,118406382,https://www.nasdaq.com/sites/acquia.prod/files/2022/10/07/r-architecture-wDDfbanbhl8-unsplash.jpg?116167983,NXPI,Nasdaq,"The future of smart homes is changing from geopolitical, social, and economic challenges disrupting the market. But, new technology is pushing back. Learn more.",https://finnhub.io/api/news?id=44c515e218e680b383c08ea9869dc71070c69bae97a73908c810e2f087fca636
company,2022-10-13 13:37:16,10 Most Anticipated Tech Earnings to Watch,116626446,https://s.yimg.com/uu/api/res/1.2/Qay05qKCwxImTKGXzA4Wrg--~B/aD01MTI7dz03Njg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/16ffbe7997a7fb28370fbaa4079afd40,NXPI,Yahoo,"In this article, we will take a look at the 10 most anticipated tech earnings to watch. If you want to see some more earnings on the list, go directly to 5 Most Anticipated Tech Earnings to Watch. Analysts have mixed expectations for the third-quarter earnings season. On average, they expect S&P 500 stocks to […]",https://finnhub.io/api/news?id=6194dd0136a021a457483964c311459f23c76fcfac41849ed5daf401336426d4
