category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 22:24:00,5 High-Quality S&P 500 Stocks  - GuruFocus.com,116236507,https://static.gurufocus.com/photos/companies/discount_sale_reduce_price_value_investing_out_of_favor.jpg,ODFL,GuruFocus,GuruFocus Article or News written by James Li and the topic is about: Stocks to consider as investors monitor aggressive Fed interest rate hikes,https://finnhub.io/api/news?id=be82c62f7c4aaf857c38930e28939bdfe6ce3e832fc4cbe698ab79ae7caf3181
company,2022-09-23 13:13:00,Old Dominion Freight Line Inc. stock outperforms market on strong trading day,116242756,https://images.mktw.net/im-220105/social,ODFL,MarketWatch,"Shares of Old Dominion Freight Line Inc. rose 1.49% to $248.03 Friday, on what proved to be an all-around grim trading session for the stock market, with the...",https://finnhub.io/api/news?id=2d6484f9cdd06c268de90ec495aaac734d488bd6ef8664042ea399e183421815
company,2022-09-28 11:00:00,Old Dominion Freight Line to Webcast Third Quarter 2022 Conference Call,116306610,https://s.yimg.com/uu/api/res/1.2/wyn0SAKoV3dk8HzKFBnt8A--~B/aD0zNjQ7dz0zNjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/7e7fd14fb9719deb2cd52ce65ee2c00a,ODFL,Yahoo,"THOMASVILLE, N.C., September 28, 2022--Old Dominion Freight Line, Inc. (Nasdaq: ODFL) announced today that it plans to release its third quarter 2022 financial results before opening of trading on Wednesday, October 26, 2022. The Company will also hold a conference call to discuss its financial results and outlook at 10:00 a.m. (Eastern Time) on Wednesday, October 26, 2022.",https://finnhub.io/api/news?id=a85eef9a21d0e6b9abdf7eaf360576733cedf372d22d239d271d8f30f1559b5b
company,2022-09-27 04:51:16,Tracking David Rolfe's Wedgewood Partners Portfolio - Q2 2022 Update,116278551,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1248262649/image_1248262649.jpg?io=getty-c-w750,ODFL,SeekingAlpha,Wedgewood Partnersâ 13F portfolio value decreased from $709M to $579M. Click here to read more about Wedgewood Partners Portfolio's holdings and trades for Q2 2022.,https://finnhub.io/api/news?id=771ee052ab62edfba3968697598d6335c0e2d0c1066ae0e165f6179aeff826bc
company,2022-09-26 03:27:23,Compounders And Dividends: A Portfolio,116251832,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/913434770/image_913434770.jpg?io=getty-c-w750,ODFL,SeekingAlpha,I have a strong focus on filling my portfolio with a large quantity of high-quality companies. Click here to read more.,https://finnhub.io/api/news?id=c03b10e63f439b1e13ac13e28444969ce64cd4d3cf1d7e534ab89a696593b83e
company,2022-09-25 09:50:26,"Calculating The Fair Value Of Old Dominion Freight Line, Inc. (NASDAQ:ODFL)",116249280,https://s.yimg.com/uu/api/res/1.2/SYyLLE_TGxESmxaHD10fMQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/976387f9691d9e9c613091b5dddac717,ODFL,Yahoo,Today we'll do a simple run through of a valuation method used to estimate the attractiveness of Old Dominion Freight...,https://finnhub.io/api/news?id=c8435776af37bf1e1677fe7eea9babef5e3816fbdabfd1234b6b89b4c1c15c2b
company,2022-10-04 10:30:41,Compounders And Dividends: September 2022 Portfolio Update,116430716,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1335036303/image_1335036303.jpg?io=getty-c-w750,ODFL,SeekingAlpha,My portfolio continues to grow its monthly dividends. I will continue to be fully invested into equities in the market. Read more here.,https://finnhub.io/api/news?id=bb730ee001b8cd9b3098d24927087f79337b4e7ae51990b250d0ca05512155cb
company,2022-10-09 22:25:00,"Notable Monday Option Activity: ODFL, MRK, EBIX",116591633,,ODFL,Stock Options Channel,"Staff article entitled Notable Monday Option Activity: ODFL, MRK, EBIX, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=4f81adca6a835ac2aff1e52a2d97936f76289be00365a745111122169ff43dc2
company,2022-10-08 06:23:00,"Down by 24% to 38%, These 3 S&P 500 Stocks Offer Discounted Passive Income Potential",116548038,https://s.yimg.com/ny/api/res/1.2/SWEotSzVJhu.q2tB5TUhxw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/motleyfool.com/4cafea239be7fc5dea82b9a71e4652a5,ODFL,Yahoo,"When share prices drop, dividend yields rise, which make these companies worth a long look for income investors.",https://finnhub.io/api/news?id=4720b9a135dc829ab26c0198b5b3b21283842408f73b2fef8a93046ac4b93d77
company,2022-10-07 03:40:00,"Analysts Offer Insights on Industrial Goods Companies: Cheniere Energy (LNG), Old Dominion Freight (ODFL) and ZIM Integrated Shipping Services (ZIM)",116531250,,ODFL,TipRanks,Companies in the  Industrial Goods sector have received a lot of coverage today as analysts  weigh in on Cheniere Energy (<span class='tr-stock-ticker' style='color...,https://finnhub.io/api/news?id=3fbedd072a57db72c5e2492a57298491c9285eb1af28dbdbebcb5a4f96c1d448
