category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 10:56:14,O'Reilly Automotive's (NASDAQ:ORLY) investors will be pleased with their solid 220% return over the last five years,116237417,https://s.yimg.com/uu/api/res/1.2/cPZIfz2UAIoxQVfVuqVWjg--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/c81cd85cb4b7d3ca5825dd1ac04873a7,ORLY,Yahoo,"The most you can lose on any stock (assuming you don't use leverage) is 100% of your money. But on the bright side, if...",https://finnhub.io/api/news?id=54575207652cae50bc6984130a0463e7f78811f5dacb2d1a1912db60d399ca3b
company,2022-09-23 13:14:00,O'Reilly Automotive Inc. stock outperforms market despite losses on the day,116242568,https://images.mktw.net/im-220105/social,ORLY,MarketWatch,"Shares of O'Reilly Automotive Inc. slid 0.77% to $688.23 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=16f53c7bce7fad82429e31830658db4ebb60160c26ddcd75222c002004b5f5bb
company,2022-09-28 06:59:00,Hurricane Ian: These stocks could feel the storm’s impact,116347537,https://images.mktw.net/im-632592/social,ORLY,MarketWatch,"A range of companies, from the home-improvement sector to food retailers and insurers, will likely feel the impact of Hurricane Ian.",https://finnhub.io/api/news?id=b6beddf7387fe7c26634560514de422ca4f0514db719735885854a5022510d96
company,2022-09-28 03:00:00,Gabelli Funds to Host 46th Annual Auto Symposium October 31st and November 1st,116306331,,ORLY,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=97b4068be805107ade3ff07dc4ea2528b586c7bda7f5cd437d031710eb6f9ff2
company,2022-09-28 02:04:00,Hurricane Ian Nears Category 5 as It Heads to Florida. Watch These Stocks.,116346668,https://images.barrons.com/im-632435/social,ORLY,MarketWatch,"Airlines have canceled flights, Disney has closed theme parks and utilities are readying repair crews as the Category 4 storm approaches Florida.",https://finnhub.io/api/news?id=a9d2bbfe3342e9501859bb3980b9981deb683ac2e606ec80ae6716432cf98a31
company,2022-09-27 21:15:00,The 10 Hottest Stocks for the Long Haul,116348108,https://images.barrons.com/im-632246/social,ORLY,MarketWatch,"Amazon.com, Nvidia, and Netflix are the top three. They have struggled, but show short-term challenges can be overcome.",https://finnhub.io/api/news?id=44f071628ca71a04053ad2a6a665c8a049e8bc327adbfcd3760564f5e9b27a1a
company,2022-09-29 16:10:31,Top Funds Rev Up Demand As This Large Cap Eyes Breakout,116339407,https://s.yimg.com/uu/api/res/1.2/rd4jxOdKOdP.yw_w0LHhAA--~B/aD01NjU7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/335ae58c996c3dd0c9b06a4c554fe161,ORLY,Yahoo,"With its relative strength line soaring in a bad market, O'Reilly Automotive nears buy point with strong demand by top funds.",https://finnhub.io/api/news?id=02188bb7a98ad5e7af5ea75daa6f202edb7f2a047830f7eae6febfcd587c3445
company,2022-09-29 09:02:39,Compounders And Dividends: Building A Watchlist,116333865,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/477583982/image_477583982.jpg?io=getty-c-w750,ORLY,SeekingAlpha,I explain how I generate ideas and my methodology of adding companies to my watchlist. Read here to know the stocks in areas/sectors that I find interesting.,https://finnhub.io/api/news?id=8cab9cb15f70677d7d2889730140311e882a97b2f565dd47307b6781b383c6aa
company,2022-10-06 13:14:00,O'Reilly Automotive Inc. stock outperforms market on strong trading day,116576531,https://images.mktw.net/im-220105/social,ORLY,MarketWatch,"Shares of O'Reilly Automotive Inc. inched 0.04% higher to $732.41 Thursday, on what proved to be an all-around poor trading session for the stock market,...",https://finnhub.io/api/news?id=b6c70e90cd1770afe7fb90c8867c2ee79379eb09cf09162d9dab8269f56efdfe
company,2022-10-05 13:14:00,O'Reilly Automotive Inc. stock underperforms Wednesday when compared to competitors despite daily gains,116576532,https://images.mktw.net/im-220105/social,ORLY,MarketWatch,"Shares of O'Reilly Automotive Inc. inched 0.33% higher to $732.09 Wednesday, on what proved to be an all-around poor trading session for the stock market,...",https://finnhub.io/api/news?id=432cb800f6d50476a68c6a8e3dfed5659ea3efc8d0798e7171e01e45ed8020ea
