category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 09:39:00,Palo Alto Networks Stock Split: The Real Reason It Matters,116232301,,PANW,Yahoo,"Palo Alto Networks (NASDAQ: PANW) recently completed its three-for-one stock split.  Tech stock splits have been hot in 2022, even amid a vicious bear market.  Companies with high stock prices might be announcing these splits to try and attract investor attention and attract investors who are not as willing to spend large amounts of capital per share.",https://finnhub.io/api/news?id=eb619807436d60fb58ac7a880c3637a749a06b3c3d333ec73254cc090900c708
company,2022-09-24 05:06:00,Nasdaq Bear Market: 5 Electrifying Growth Stocks You'll Regret Not Buying on the Dip,116230897,https://s.yimg.com/ny/api/res/1.2/EkBJ4Y5tvaxP7ToyRVI3nw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/d78aa42aa87e0fc2db832c983fb64dbd,PANW,Yahoo,These highly innovative and differentiated companies are ripe for the picking following a peak plunge of 34% in the Nasdaq Composite.,https://finnhub.io/api/news?id=d5ef4890d655746d9632a07c75ec55b8135585b26b5c5d9e71d137931217a3f0
company,2022-09-28 08:15:00,Palo Alto Networks Selected to Secure Cloud-Native 5G Networks in Canada,116308436,https://s.yimg.com/uu/api/res/1.2/emt4OkVX_Q0m7us0IsVc2g--~B/aD03Mzt3PTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/cnwgroup.com/2adb5d13fcd0a96bf7e12bbf0f56f9ae,PANW,Yahoo,Palo Alto Networks (NASDAQ: PANW) today announced that it has been selected by communications technology company TELUS to assist with securing one of the largest and fastest 5G networks in Canada.,https://finnhub.io/api/news?id=2d02494a63a007468a9aa6a4df8f2f7e213be118c60f7744fd073d3d57413219
company,2022-09-28 03:46:00,Largest borrow rate increases among liquid names,116306183,https://thefly.com/images/meta/options.jpg,PANW,Thefly.com,"Latest data shows the lar... PGY, RIOT, TNP, AVCT, PANW, AGQ, SIMO, SKYT, AKLI, MARA",https://finnhub.io/api/news?id=c15597c8b710e0ce37a02759d22f0910098ad3294eec49c322c7c85e6fc12576
company,2022-09-27 18:52:55,Why Stock Split Stock Palo Alto Networks Crept Higher Today,116288302,https://s.yimg.com/ny/api/res/1.2/3AvTVX0Sfr1PYWIAEWjetg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD05MDA-/https://media.zenfs.com/en/motleyfool.com/96b1f8f6bac798e2aa5d9089c4a60514,PANW,Yahoo,"The prospects for tech infrastructure stocks continue to improve, according to a new analysis.  One beneficiary of this current take on the industry is Palo Alto Networks (NASDAQ: PANW).  While many stocks tumbled on Tuesday, Palo Alto Networks was one of the few and the brave to land in positive territory.",https://finnhub.io/api/news?id=7496d6c319a2ad2074bd43a417136e20bc2ddaabeff03c9ce05c6ba1f068cd63
company,2022-09-27 11:46:31,Is Palo Alto Networks Stock the Best Cybersecurity Play?,116288303,https://s.yimg.com/ny/api/res/1.2/FubXWd6f5CWJuxhMKlBzbw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/motleyfool.com/9e70f5b7fd12900cb496af0a719853c7,PANW,Yahoo,Motley Fool contributor Nick Rossolillo talks about why he owns Palo Alto Networks (NASDAQ: PANW) stock. This cybersecurity company recently took on a bold acquisition strategy. Is it working? Check out the video to find out and hear Nick's full thoughts! *Stock prices used were the midday prices of Sep.,https://finnhub.io/api/news?id=15ee6a70b2f0f8f82a8a4881fbbbd156e09c4d8690f916b16a2e7ae581e481a5
company,2022-09-27 05:21:08,Palo Alto : and Deutsche Telekom Offer Secure Service Edge,116280400,,PANW,Finnhub,"We're delighted to announce that Palo Alto Networks is partnering with Deutsche Telekom to provide a managed Secure Service Edge offering with Palo Alto Networks Prisma® Access. The move... | September 27, 2022",https://finnhub.io/api/news?id=ff214a66135bc6fca158580e96d71e6e9c84d858de0ab7351d295eeae1243262
company,2022-09-26 17:45:09,Palo Alto Networks (PANW) Gains As Market Dips: What You Should Know,116275953,https://s.yimg.com/uu/api/res/1.2/F3nzpi36wi9juoO_v9PrEA--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/2a50596f066181e48e4ae0ad6be00462,PANW,Yahoo,"Palo Alto Networks (PANW) closed the most recent trading day at $163.17, moving +0.99% from the previous trading session.",https://finnhub.io/api/news?id=66cf1fc561cf46058a7033057c649382f29a92a0ab73b9bd8ffa427a349f9034
company,2022-09-26 11:23:36,"$20 billion in free cash flow gives Meta lots of financial flexibility, says Hightower's Stephanie Link",116268524,https://image.cnbcfm.com/api/v1/image/107124537-16642187761664218773-25674904831-1080pnbcnews.jpg?v=1664220216&w=1920&h=1080,PANW,CNBC,"Stephanie Link joins 'Power Lunch' to discuss market winners and losers and focuses on the free-cash flow of Meta, Chevron, and Palo Alto Networks.",https://finnhub.io/api/news?id=5fd0948781129bb724f31390f50fd6bc8de4acbaaad19af57bd0cf73b48c07d8
company,2022-09-26 10:07:00,Forget the Stock Split: 3 Reasons to Buy Palo Alto Networks,116257303,,PANW,Yahoo,"Palo Alto Networks (NASDAQ: PANW) shareholders might have noticed some odd movements in their portfolios lately.  A split has no economic impact on the value of a business, even though stocks often rise in the wake of a split announcement.  Many software-as-a-service companies have disappointed investors with slowing growth in the wake of pandemic-related gains in 2020 and 2021.",https://finnhub.io/api/news?id=9f74f62e7854d41be6fbaf4367c5a63d6170af1ecccbb7126056b1b06ff1aa40
