category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 13:14:00,Paccar Inc. stock outperforms market despite losses on the day,116222285,https://images.mktw.net/im-220105/social,PCAR,MarketWatch,"Shares of Paccar Inc. shed 1.28% to $83.81 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=638980ade48bfc763b137cee0b724e4f1ec16509bc78e4f92c1d01160d7de668
company,2022-09-23 09:45:01,Here's Why Paccar (PCAR) is a Strong Growth Stock,116219049,https://s.yimg.com/uu/api/res/1.2/T44Iwg7RbRrkaTIYz_liyQ--~B/aD00Njk7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/737ffb82e07dc8bffb77e72d153c91f2,PCAR,Yahoo,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",https://finnhub.io/api/news?id=7dfe77cae1e65a22e8944974950a7668557370e976e44c35a993b9a09e3c3e4a
company,2022-09-23 09:40:01,Should Value Investors Buy PACCAR (PCAR) Stock?,116219051,https://s.yimg.com/uu/api/res/1.2/6Ex_CnpNXcMseRWMhPXBow--~B/aD01ODg7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/3496571a811465d910e99bd171c71a94,PCAR,Yahoo,"Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",https://finnhub.io/api/news?id=16d08ea87b1072bd98fb58e60555f247fc09dedcbc877870097c7a53659f471e
company,2022-09-23 01:50:00,"EU commercial vehicle registrations down 17.4% in July, down 8.0% in August",116219857,https://thefly.com/images/meta/hotstocks.jpg,PCAR,Thefly.com,"Commercial vehicle regist... DDAIF, PCAR, CNHI, NAV, CMI, ALSN",https://finnhub.io/api/news?id=7951c2f5837dbcd994477427a0ab4e6e62607d8a6e4b70a7563090d5d2c8c06e
company,2022-09-30 06:29:09,When Should You Buy PACCAR Inc (NASDAQ:PCAR)?,116357050,https://s.yimg.com/uu/api/res/1.2/mqaCD_DrobKctOYqFSvIjA--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/82ea93c44dd1756f029dd9bebc1126fc,PCAR,Yahoo,Today we're going to take a look at the well-established PACCAR Inc ( NASDAQ:PCAR ). The company's stock received a lot...,https://finnhub.io/api/news?id=5f7f06afcffd69bfcc8111066a7d200d40e0e7ff844bb2bf514abbed4b3c0d91
company,2022-10-04 07:04:00,PACCAR Breaks Above 200-Day Moving Average - Bullish for PCAR,116482456,,PCAR,Dividend Channel,"dividend channel,PCAR,",https://finnhub.io/api/news?id=71d33fe9ae89a94db9b0a674997fb29860f6ac280d20f54e778c56c504fdecf1
company,2022-10-10 13:15:00,Paccar Inc. stock outperforms competitors on strong trading day,116676311,https://images.mktw.net/im-220105/social,PCAR,MarketWatch,"Shares of Paccar Inc. inched 0.23% higher to $87.88 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=0990e00bfcf59615ed805f0364eccd6bb1fa3106d3f5a4d71b78b9addf021e71
company,2022-10-14 13:15:00,Paccar Inc. stock outperforms market despite losses on the day,116676305,https://images.mktw.net/im-220105/social,PCAR,MarketWatch,"Shares of Paccar Inc. shed 2.18% to $88.27 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=113951e8223c5e0faddd61677eb9c8093746502eb98773ed89e816dd4375c5ec
company,2022-10-14 09:40:01,Why This 1 Value Stock Could Be a Great Addition to Your Portfolio,116653315,https://s.yimg.com/uu/api/res/1.2/nxwFIPS2ImeTQYZMYlnAgg--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/1a018a29aef5adbf5b4319f32058e209,PCAR,Yahoo,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",https://finnhub.io/api/news?id=abe940f1faa4b08e67fc9a0472a56f033d4af8b6c3250c48105201e624cfbf2e
company,2022-10-13 13:15:00,"Paccar Inc. stock rises Thursday, still underperforms market",116676307,https://images.mktw.net/im-220105/social,PCAR,MarketWatch,"Shares of Paccar Inc. rallied 1.91% to $90.24 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=7b994893edcf1995059d70809bf9d2bb974955c848d531e90046a94f16ce032d
company,2022-10-13 01:13:00,Paccar price target lowered to $95 from $98 at Deutsche Bank,116653437,https://thefly.com/images/meta/streetresearch_recommendations.jpg,PCAR,Thefly.com,Deutsche Bank analyst Nic... PCAR,https://finnhub.io/api/news?id=8a1bb12575d13bb0f47d6f19ce2913432f057dbb6907421e0db908e49f0584fe
company,2022-10-12 13:15:00,Paccar Inc. stock underperforms Wednesday when compared to competitors,116676308,https://images.mktw.net/im-220105/social,PCAR,MarketWatch,"Shares of Paccar Inc. shed 0.58% to $88.55 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=3d8ed2d055aa88fa3793713173b96697313b102d9a354ed200f238fbfa5dbf4b
company,2022-10-12 01:29:17,Paccar: Slightly Undervalued And Well Prepared For An Electric Future,116601915,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/483290531/image_483290531.jpg?io=getty-c-w750,PCAR,SeekingAlpha,PACCAR is a very good quality company that is well prepared for an electric future. But see why I would wait for PCAR stock's price to drop.,https://finnhub.io/api/news?id=3afbbe529ec824f7348dd47c939f59130d3b5155207316a4373db53894627201
company,2022-10-11 22:30:03,Paccar: More Cautious On Economic Uncertainty,116599484,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1419923964/image_1419923964.jpg?io=getty-c-w750,PCAR,SeekingAlpha,"PACCAR has done well recently, with fundamental robustness pushing shares higher in a down market. Read why a more cautious approach is reasonable to take.",https://finnhub.io/api/news?id=320c3f7e0b175210454c7ed218c5bb34ddfe9c032ea005b15b06c399e243af7b
company,2022-10-11 13:15:00,"Paccar Inc. stock rises Tuesday, outperforms market",116676310,https://images.mktw.net/im-220105/social,PCAR,MarketWatch,"Shares of Paccar Inc. rallied 1.35% to $89.07 Tuesday, on what proved to be an all-around mixed trading session for the stock market, with the Dow Jones...",https://finnhub.io/api/news?id=ed01bd8947c814424ae9f7694de862919898dc3e816adbd2c3a6c2ad4f829210
company,2022-10-18 13:15:00,"Paccar Inc. stock rises Tuesday, outperforms market",116716905,https://images.mktw.net/im-220105/social,PCAR,MarketWatch,"Shares of Paccar Inc. advanced 2.08% to $90.70 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=ff4bd0fdd28392dd3ea6df4afbfa9c80d2c49c6542a61d06ed89a5193a03875c
company,2022-10-18 12:10:04,Why Paccar (PCAR) Could Beat Earnings Estimates Again,116706754,https://s.yimg.com/uu/api/res/1.2/OL7xfT5pzuzwP2wxb1pcSw--~B/aD02MjU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/7ea641b46fe75c0a913349e5e610d6a2,PCAR,Yahoo,Paccar (PCAR) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,https://finnhub.io/api/news?id=939d307549aa7d5cb7fc1fc1e4fbffde9adb72c4cc7c570a68271f9ffd8fe36c
company,2022-10-18 10:01:02,Paccar (PCAR) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,116701041,https://s.yimg.com/uu/api/res/1.2/ZVGBNd2_.kAicju5mLde7g--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/71afbbc0512eb3c471136d93f39079c9,PCAR,Yahoo,Paccar (PCAR) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,https://finnhub.io/api/news?id=7c3e67abcf1fc1dace75c10d53bf0cfe0d266de021e50753625392e94c182ab9
company,2022-10-17 13:16:00,"Paccar Inc. stock rises Monday, still underperforms market",116716908,https://images.mktw.net/im-220105/social,PCAR,MarketWatch,"Shares of Paccar Inc. inched 0.66% higher to $88.85 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=42ec98fab570ba7ad433abce4d91e9cf634ebe2004246d6ae2d07f674079e402
company,2022-10-17 10:35:02,What's in the Cards for PACCAR (PCAR) This Earnings Season?,116690059,https://s.yimg.com/uu/api/res/1.2/7Ss_ahxI1JL8QmgBDBvOrg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/b722e658bf812e4a58e158c041871ac6,PCAR,Yahoo,"The Zacks Consensus Estimate for PACCAR's (PCAR) Q3 earnings per share and revenues is pegged at $2 and $6.75 billion, respectively.",https://finnhub.io/api/news?id=e887121dda11951dc9e1f59725e8b4aa15b7936bd0f5e337677ea3fb1f9d2acd
company,2022-10-17 09:00:01,Why Investors Need to Take Advantage of These 2 Auto-Tires-Trucks Stocks Now,116690587,https://s.yimg.com/uu/api/res/1.2/hYDVEF34jJNULlluFRTwjg--~B/aD05MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/39dfb058875b6e691de9136bc97a47b4,PCAR,Yahoo,Why investors should use the Zacks Earnings ESP tool to help find stocks that are poised to top quarterly earnings estimates.,https://finnhub.io/api/news?id=6adc2dc392c7fe25ef3240b01bb3a840d8584492bdc293c995ad28c438f345c3
company,2022-10-22 04:32:00,"Paccar can ride out a recession, time to buy the stock, Barron's says",116790470,https://thefly.com/images/meta/periodicals.jpg,PCAR,Thefly.com,"These days, Paccar, which... PCAR",https://finnhub.io/api/news?id=a8329ef6c8ccc029b311a75f0c9b3c4cf713b7122b32446c3fe6f980d66ee684
