category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 09:00:54,"Possible bearish signals as PepsiCo, Inc. (NASDAQ:PEP) insiders disposed of US$11m worth of stock",116232049,https://s.yimg.com/uu/api/res/1.2/Fwn0xQgxkAPjn3I8WUkOwQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/f5f63fcfe0f65dedb8ace242e070a4dc,PEP,Yahoo,"The fact that multiple PepsiCo, Inc. ( NASDAQ:PEP ) insiders offloaded a considerable amount of shares over the past...",https://finnhub.io/api/news?id=26d6f0ebcdcfa89b358f67ff0e5cc7eecc3366e265cc330e6456322fe3668a76
company,2022-09-23 17:45:09,PepsiCo (PEP) Stock Moves -0.05%: What You Should Know,116229099,https://s.yimg.com/uu/api/res/1.2/auhFPLcthJM50UYepXcODg--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/2f0d6efdd8740952a371c97ddea6e926,PEP,Yahoo,"PepsiCo (PEP) closed at $168.52 in the latest trading session, marking a -0.05% move from the prior day.",https://finnhub.io/api/news?id=fe46a271024675e58ed21e5edebc082bee9af485c71969e0b7cb7274b7f44ada
company,2022-09-23 16:25:51,Record Bearish Bets Hit Bilibili Even After 90% Dive,116245444,https://s.yimg.com/uu/api/res/1.2/9_wpbGP4GENpsBQc45DD0w--~B/aD02NzU7dz0xMjAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/bloomberg_technology_68/e0ab3e42cd00c82075b7c867dbf50488,PEP,Yahoo,"(Bloomberg) -- A Chinese technology company has emerged as a prime target for short sellers in the US even after the stock tumbled almost 90% over the past 18 months, a sign of how pessimistic some investors are about the economic outlook. Most Read from BloombergBank of England Says Paper Banknotes Only Good for One More WeekJohn Paulson on Frothy US Housing Market: This Time Is DifferentThe Great Bond Bubble Is ‘Poof, Gone’ in Worst Year Since 1949‘Read Putin More Often and Carefully,’ Lavrov",https://finnhub.io/api/news?id=0018729f2dbc73d8cc337c5f7005cd2900fa9d08b59b11b4aeb3affebcf6cb74
company,2022-09-23 15:14:21,Apple Music Super Bowl Halftime Show 'another sign that Cupertino will be aggressive' in sports: Wedbush's Ives,116221011,https://s.yimg.com/ny/api/res/1.2/i.Q8NdD2NL9Hf42fibT71w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2022-09/af6dcd40-3b73-11ed-bfff-e4a3b56af518,PEP,Yahoo,Apple’s push into live sports continues as the tech giant announced it will sponsor the Super Bowl halftime show.,https://finnhub.io/api/news?id=02f5aa1163b51bf792bfb5262794a4e9ab8cb4f9ff7b6d62cf3e7e346c48d5cc
company,2022-09-23 13:15:00,"PepsiCo Inc. stock falls Friday, still outperforms market",116223337,https://images.mktw.net/im-220105/social,PEP,MarketWatch,"Shares of PepsiCo Inc. dropped 0.05% to $168.52 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=ee1f7ace5bcc08cb31783126a5803d632e543a2afb5890e44165f68385e86332
company,2022-09-23 12:59:00,Apple Music replaces Pepsi as new sponsor of Super Bowl halftime show,116223340,https://images.mktw.net/im-630316/social,PEP,MarketWatch,"Apple Music will be the new sponsor of the Super Bowl halftime show, the NFL announced early Friday morning.",https://finnhub.io/api/news?id=d1a609c0dc4eaa6cb7a42840969dcaa26cfdab40d41dd04776ee8a88287d8a24
company,2022-09-23 11:10:00,Apple Music to Replace Pepsi as Sponsor of NFL’s Super Bowl Halftime Show,116216863,https://s.yimg.com/ny/api/res/1.2/A_VpGxnoqeZFLn2kfRsUzg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/wsj.com/c24162eb894903501a611d6b4b1565f6,PEP,Yahoo,Tech company signed a multiyear deal with the NFL; the league hasn’t announced who will perform at the next halftime show,https://finnhub.io/api/news?id=b1b0c07745ab708c423c4ad01232f1f8be300681541b0f7c85fe4287dc124a8f
company,2022-09-23 11:05:51,Food: Campbell's introduces a new brand,116216864,https://s.yimg.com/uu/api/res/1.2/vb66OmiMJ0gVytXhbd6yOA--~B/aD04MDA7dz0xMjAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/bizjournals.com/0c3a5ce43fcc351336072c8b77f479e7,PEP,Yahoo,"The Campbell Soup Co. is launching a flavorful addition to its lineup.  FlavorUp is a cooking concentrate to add to meat, grain or vegetables, and is the first major brand launch since 2016, Food Dive reports.  Linda Lee, chief marketing officer of Campbell Soup’s U.S. Meals and Beverage division, told Food Dive that FlavorUp “is the newest way to cook up concentrated flavor with just a squeeze, while elevating meals quickly and affordably.”",https://finnhub.io/api/news?id=718c5e405a06d8b133a360048ebd324e341ddf990903b186c92adc47ad0cf146
company,2022-09-23 10:48:35,Apple replaces Pepsi as NFL Super Bowl Halftime sponsor,116216865,https://s.yimg.com/ny/api/res/1.2/oU9IzXG9cUzf3zBi4fLfRQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzQ-/https://s.yimg.com/os/creatr-uploaded-images/2022-09/c03e4e30-3b4e-11ed-b6ff-3d34dffba5de,PEP,Yahoo,Yahoo Finance's Julie Hyman discusses Apple sponsoring the NFL Super Bowl Halftime show.,https://finnhub.io/api/news?id=e43437994689712fd935c38cf05d1d7a361b6564fbeac5792b9c1c9ba606fcc8
company,2022-09-23 07:45:25,2 All-Weather Dividend Stocks You Should Own,116215372,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1128492098/image_1128492098.jpg?io=getty-c-w750,PEP,SeekingAlpha,"In this article, I present two dividend stocks that go well together in a low-volatility dividend (growth) portfolio. Read my analysis of PEP and ADM here.",https://finnhub.io/api/news?id=632bb5358e4a6a3ecd4b151aed08cde5600c5d24d4e9df3fa7e43d44c7b69224
