category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 15:33:14,"Qualcomm CEO on Automotive Design, Chips, Supply Chain",116225819,https://s.yimg.com/ny/api/res/1.2/5S2eJZpQZcw4itdlmFGGSQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/bloomberg_markets_video_2/2af61ace0b013f8ddd79f785c35b4163,QCOM,Yahoo,"Cristiano Amon, Qualcomm CEO, talks about its automotive strategy, supply chain issues, chip production and its product roadmap. He speaks on ""Bloomberg Markets: The Close.""",https://finnhub.io/api/news?id=4ab8902ac358720810dddfb7a4f1832596ad2690cacee099ec3d987a25eeb267
company,2022-09-23 13:56:14,Cars Become Mobile Payments Points of Sale and Drive Demand for New Partnerships,116297493,https://s.yimg.com/uu/api/res/1.2/a17vpM.cPzq1Zbzvkifdcg--~B/aD03MjA7dz0xMjAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/pymnts_649/ca599d3c2971cc8f14f78f17104a3dc6,QCOM,Yahoo,"The connected economy has hit the road, transforming what happens and is turning all manner of vehicles into mobile commerce endpoints. At the center of it all lies the technology to underpin that transformation — and the partnerships, too, between FIs, providers and OEMs in the bid to disrupt everything from paying at the pump […]",https://finnhub.io/api/news?id=91f2a27ff4df7bbcc56c06cb4d5f9e57045633b61473615559e62789c9160d99
company,2022-09-23 13:18:00,Qualcomm Inc. stock underperforms Friday when compared to competitors,116223223,https://images.mktw.net/im-220105/social,QCOM,MarketWatch,"Shares of Qualcomm Inc. shed 2.01% to $121.19 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=633fc00b510fbaecf14bec1f7cc77c78670e7794b50b200d820a7995a08bb4b3
company,2022-09-23 13:12:19,Analysts Hail Qualcomm's Auto Design Pipeline Due To Market Prospects,116225821,https://s.yimg.com/uu/api/res/1.2/6aF84VAk65VGgXNcEQGelA--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/131a8caf64af89a116ae524ebe4813e7,QCOM,Yahoo,"Qualcomm Inc (NASDAQ: QCOM) hosted its first-ever Automotive Investor Day in New York City. The key data point is that the lifetime automotive design pipeline has increased by $11 billion in the past month and a half to $30 billion. For more near-term metrics, FY26 automotive revenue target is now $4 billion+ in FY26, up from $3.5 billion previously, and $9 billion+ in FY31, up from $8 billion previously. Automotive will likely be $1.3 billion in FY22. Qualcomm moved its Snapdragon Platform from",https://finnhub.io/api/news?id=2125aff600813cce6ba193424a5249da1f4106125333b7ed084e034d8841a1bb
company,2022-09-23 10:58:31,Qualcomm SVP: Automakers making ‘direct bets’ on technology partners,116225823,https://s.yimg.com/os/creatr-uploaded-images/2022-09/2e88e7a0-3b50-11ed-b7da-125dfd1ea164,QCOM,Yahoo,"Nakul Duggal, Qualcomm Automotive Senior Vice President & General Manager, joins Yahoo Finance Live to discuss the company's Snapdragon platform and how automakers are investing in technology and chips.",https://finnhub.io/api/news?id=d73f94ad09f5968b000ef5a29a06feb60278b6804dcb56d66b5fd58a3f5d8c53
company,2022-09-23 09:46:44,"Stocks making the biggest moves midday: FedEx, Boeing, Ally, Domino's and more",116218920,https://image.cnbcfm.com/api/v1/image/107090057-1658145533460-gettyimages-1241973883-AFP_32ET4VC.jpeg?v=1663955204&w=1920&h=1080,QCOM,CNBC,These are the stocks posting the largest moves in midday trading. ,https://finnhub.io/api/news?id=b85a69880a3bffe4b9eeb8ed08333363d45f5ce3f034a57739fb9249823c5e1c
company,2022-09-23 08:46:30,Qualcomm: New Era,116216717,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1362791159/image_1362791159.jpg?io=getty-c-w750,QCOM,SeekingAlpha,Qualcomm hosted an Auto Investor Day to highlight the booming business in the auto sector. See why we believe that QCOM is shifting into the Autotech sector.,https://finnhub.io/api/news?id=ca6bc318e647d8e5770cf3d672e3d66723ceb1c7834338ec03a7d64dd4533d0e
company,2022-09-23 08:15:12,Qualcomm (QCOM) Automotive Design-Win Pipeline Swells to $30B,116225824,https://s.yimg.com/uu/api/res/1.2/V_Z_WdKKn2PHUKr0cMsAfQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/ad0f0c04ae9359bffdf4413c49fc5236,QCOM,Yahoo,"Driven by increasing adoption of Snapdragon Digital Chassis solutions across the auto industry, Qualcomm's (QCOM) design win portfolio has improved by more than $10 billion from third-quarter fiscal 2022 tally.",https://finnhub.io/api/news?id=8a55717b40d01dc79ee261ad651481291f3584a56f783a6fe07dfbd841f53e7b
company,2022-09-23 07:05:00,Qualcomm Stock (NASDAQ:QCOM) Falls despite Massive Orders Placed,116236927,https://blog.tipranks.com/wp-content/uploads/2022/07/shutterstock_1182421108-750x406.jpg,QCOM,TipRanks,"Chipmaker Qualcomm (NASDAQ:QCOM) revealed a big jump in orders on one of its major product lines, yet the stock is down in today&#8217;s session. It was indeed a pu...",https://finnhub.io/api/news?id=8122a4bf4d004871e3ad09d7a31bdd935893978783d4ca404a5e5d426b7f5729
company,2022-09-23 07:00:42,"With 73% ownership, QUALCOMM Incorporated (NASDAQ:QCOM) boasts of strong institutional backing",116214328,https://s.yimg.com/uu/api/res/1.2/RXZR3o99rcuSk9M6zRGekQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/6009a6b2f5a72e13a703a126bc2007b2,QCOM,Yahoo,Every investor in QUALCOMM Incorporated ( NASDAQ:QCOM ) should be aware of the most powerful shareholder groups. And...,https://finnhub.io/api/news?id=a160a1909455ba12fb2cb81a387ed9cf5aece3acc72b109654d0a0b247b04590
company,2022-09-23 05:19:00,"Why Are Chip Stocks NVDA, AMD, INTC Down Today?",116216479,https://investorplace.com/wp-content/uploads/2020/02/computerchip1600.jpg,QCOM,InvestorPlace,"Chip stocks are declining sharply as the sector is experiencing multiple challenges, including lower-than-expected PC sales.",https://finnhub.io/api/news?id=486e2c3b2cd581aee7162bb47cbf44d285ce5b00f061028b234b300a7e077a40
company,2022-09-23 03:43:05,"Stocks making the biggest moves premarket: FedEx, Costco, Boeing and more",116210882,https://image.cnbcfm.com/api/v1/image/105447054-1536776642303gettyimages-969773972.jpeg?v=1663933385&w=1920&h=1080,QCOM,CNBC,These are the stocks posting the largest moves before the bell.,https://finnhub.io/api/news?id=be533db5536f828ad703f2781dc25c37dae0cb164eff67985d202c9bfef864ce
company,2022-09-23 00:33:00,"Qualcomm diversification 'remains under appreciated,' says Deutsche Bank",116216481,https://thefly.com/images/meta/streetresearch_recommendations.jpg,QCOM,Thefly.com,Deutsche Bank analyst Ros... QCOM,https://finnhub.io/api/news?id=87324312954ca2112671336eb31f21c6c04dc06b91b6ef3d67a6117d2597c083
company,2022-09-28 15:34:40,12 Biggest Computer Hardware Companies in the World,116309805,https://s.yimg.com/uu/api/res/1.2/HKq1nYWgE1hDvJJ5dAWXrg--~B/aD02MDA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/94f0761acba6d4c9bedcb25bd9ea929b,QCOM,Yahoo,"In this article, we discuss the 12 biggest computer hardware companies in the world. If you want to skip our comprehensive analysis of these stocks, go directly to 5 Biggest Computer Hardware Companies in the World. According to the Computer Hardware Global Market Report 2022, the global market for computer hardware is expected to grow […]",https://finnhub.io/api/news?id=34380b38f4f78acd66aa6d113869eb5ca4a869642d73f507264d1857e0db9327
company,2022-09-28 06:12:00,1 Big Reason Qualcomm No Longer Fears Losing Its Largest Customer,116297475,https://s.yimg.com/ny/api/res/1.2/BlqpOQ0WfxduDAop4_L0rg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03NzI-/https://media.zenfs.com/en/motleyfool.com/5cfe15333a419d7be6cb235dea9282cb,QCOM,Yahoo,This semiconductor and wireless communication tech company is rapidly diversifying its revenue streams.,https://finnhub.io/api/news?id=b3200bbb18d1562a45e0ff4d84a85b6326f1c2643204aa55976e84b43d283255
company,2022-09-28 05:45:00,7 Semiconductor Stocks to Buy Before the Bull Market Returns,116309645,https://investorplace.com/wp-content/uploads/2019/07/semiconductor1600c.jpg,QCOM,InvestorPlace,"If you are a fan of chip companies, these are the top semiconductor stocks to buy before the bull market returns.",https://finnhub.io/api/news?id=9662508353dde648fb73d4a740e2e6be80aad1d21bb113208e3dc3f7fe26e252
company,2022-09-28 04:02:33,"Apple, Qualcomm, Lyft Fall Premarket; Biogen, Netflix Rise",116304069,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,QCOM,Yahoo,By Peter Nurse,https://finnhub.io/api/news?id=66f69b764540be78b29f296d0935632f80761d6a5dcddf1c6f5213a52490d804
company,2022-09-28 00:56:54,"Facing talent shortage, Taiwanese chip test firm ASE boosts automation",116295903,https://static.reuters.com/resources/r/?m=02&d=20220928&t=2&i=1609988064&r=LYNXMPEI8R05Q,QCOM,Reuters,"Taiwan's ASE Technology Holding Co Ltd, one of the world's largest semiconductor testing and packaging firms, said on Wednesday that it would build a more advanced smart factory, as the industry continues to grapple with a labour shortage.",https://finnhub.io/api/news?id=b2182b980043b67b14109a2382f0e2535c44d5712d796165b166a97786482813
