category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 13:37:33,10 Best ETFs to Diversify Your Portfolio and Avoid Risks,116219473,https://s.yimg.com/uu/api/res/1.2/QDj5nOtqGBZzyMfKHFL_eA--~B/aD02MDA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/fa0b8bb863ca7cb691d99a09ad4c4ed6,REGN,Yahoo,"In this article, we discuss 10 best ETFs to diversify your portfolio and avoid risks. If you want to see more exchange traded funds in this list, click 5 Best ETFs to Diversify Your Portfolio and Avoid Risks. The importance of ETFs has redoubled in 2022 as the stock market takes a beating amid volatility, […]",https://finnhub.io/api/news?id=d25a8f660037bbd3fd6c8f714b7eff7a8e0cd102983175cf3ca810fa0e9a1c88
company,2022-09-23 13:19:00,"Regeneron Pharmaceuticals Inc. stock rises Friday, outperforms market",116240394,https://images.mktw.net/im-220105/social,REGN,MarketWatch,"Shares of Regeneron Pharmaceuticals Inc. advanced 1.32% to $697.33 Friday, on what proved to be an all-around rough trading session for the stock market,...",https://finnhub.io/api/news?id=0fb05f4e80926605a014b14e7b9f017f42713c9b0993cec05439dcbd6eae6d52
company,2022-09-23 08:01:00,"Possible bearish signals as Regeneron Pharmaceuticals, Inc. (NASDAQ:REGN) insiders disposed of US$16m worth of stock",116217139,https://s.yimg.com/uu/api/res/1.2/fZxxC7WFAddugsI0.C6IZw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/2b615bb0216a492e754128412857f305,REGN,Yahoo,"In the last year, many Regeneron Pharmaceuticals, Inc. ( NASDAQ:REGN ) insiders sold a substantial stake in the company...",https://finnhub.io/api/news?id=e8f5b609d90ca543cf8876239cfe2b9f0e0d56b291ce28406885b393bc2d6b7a
company,2022-09-22 23:44:00,The Top 5 Stocks Cathie Wood Is Buying This Week,116223442,https://investorplace.com/wp-content/uploads/2022/03/cathie-wood-stocks-1600.png,REGN,InvestorPlace,Cathie Wood announced that she would step down as portfolio manager for PRNT and IZRL. That hasn't stopped her from making her usual buys.,https://finnhub.io/api/news?id=87eedfb10ba6e9d19f7ed661425a8c2df4100df88f60d5a1fc7d0137c63ee839
company,2022-09-22 21:32:00,"Friday Sector Leaders: Healthcare, Utilities",116223610,,REGN,Market News Video,"The best performing sector as of midday Friday is the Healthcare sector, losing just 1.4% - Within that group, Regeneron Pharmaceuticals, Inc. - REGN,IDXX,XLV,EXC,WEC.",https://finnhub.io/api/news?id=5a5c75533f2e40d46ff2a8230ccebb5875cf4b4dfd0a73078fb538fd3717029b
company,2022-09-28 17:44:00,Dupixent® (dupilumab) Approved by FDA as the First and Only Treatment Indicated for Prurigo Nodularis,116312819,https://s.yimg.com/uu/api/res/1.2/DSP9dtJln7_yznmNwJAl.w--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/6afc92702ae63dff1677767295cc8228,REGN,Yahoo,"Regeneron Pharmaceuticals, Inc. (NASDAQ: REGN) and Sanofi today announced that the U.S. Food and Drug Administration (FDA) has approved Dupixent® (dupilumab) for the treatment of adult patients with prurigo nodularis. With this approval, Dupixent becomes the first and only medicine specifically indicated to treat prurigo nodularis in the U.S. Prurigo nodularis is a chronic, debilitating skin disease with underlying type 2 inflammation and its impact on quality of life is one of the highest among",https://finnhub.io/api/news?id=9e72238fbedcb6a7eb9f0bbb038cb4e0d565978574115b5e3fc48b80e56093a5
company,2022-09-28 14:39:00,Regeneron Stock Is Attempting an Upside Breakout,116310560,https://s.yimg.com/ny/api/res/1.2/EA00bG1LEEE8uCVyjwL5zQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/thestreet.com/051bf1e72c5b2fbc37dba13f312ad017,REGN,Yahoo,"Regeneron Pharmaceuticals  soared sharply higher earlier this month and made a ""normal"" correction as prices pulled back to unwind overbought conditions.  The On-Balance-Volume (OBV) line shows gains in September and that is a positive development.  The weekly OBV line is pointed lower and suggests that sellers of REGN are more aggressive.",https://finnhub.io/api/news?id=f038905ac8b86d3d465edb61c84a320f62a91528a535ba525c7fe56f80b643e6
company,2022-09-28 00:46:00,"Regeneron, Sanofi announce FDA approval of Dupixent",116315463,https://thefly.com/images/meta/hotstocks.jpg,REGN,Thefly.com,"Regeneron (REGN) and Sano... REGN, SNY",https://finnhub.io/api/news?id=189a59bad98e807914313fa19006aa8e49837bf831d29b83874961c77c86bf82
company,2022-09-27 09:00:52,"Insiders who sold Regeneron Pharmaceuticals, Inc.'s (NASDAQ:REGN) earlier year may find some solace in the 4.1% drop",116289562,https://s.yimg.com/uu/api/res/1.2/fZxxC7WFAddugsI0.C6IZw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/2b615bb0216a492e754128412857f305,REGN,Yahoo,"Regeneron Pharmaceuticals, Inc.'s (NASDAQ:REGN) stock price has dropped 4.1% in the previous week, but insiders who...",https://finnhub.io/api/news?id=c1f5398cf4d11b572fda9daae0b750afa9a8b378a7b9748fe63e952d658b4a31
company,2022-09-27 02:20:00,The 7 Best Stocks to Buy to Tap Into a Hidden Bull Market,116283880,https://investorplace.com/wp-content/uploads/2022/08/hidden-bull-market.png,REGN,InvestorPlace,"Despite the ongoing worries on Wall Street, these are the best stocks to buy to play the hidden bull market.",https://finnhub.io/api/news?id=ccc1b727bde4a72205d89981df541b60c99d71a5b442550ed973da6cf3feb072
