category,datetime,headline,id,image,related,source,summary,url
company,2022-09-28 16:51:16,Tracking Baker Brothers Portfolio - Q2 2022 Update,116315881,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1160060870/image_1160060870.jpg?io=getty-c-w750,SGEN,SeekingAlpha,Baker Brothersâ 13F portfolio value increased from $17.40B to $17.63B in Q2. Click here to read the portfolio's Q2 2022 Update.,https://finnhub.io/api/news?id=334a2a0aab175ea189608f041a541a1797c32d5e47a8402b491dc2805a634cf7
company,2022-09-28 05:27:37,Seagen and Zai Lab Announce Regional Strategic Collaboration and License Agreement for TIVDAK,116301606,,SGEN,Finnhub,"BOTHELL - Seagen Inc. , a world leader and pioneer in antibody-drug conjugate therapies, and Zai Lab Limited , a patient-focused, innovative, commercial-stage global biopharmaceutical company, today... | September 28, 2022",https://finnhub.io/api/news?id=b4f1e61b2da482a540feb50f9403edea082a9a9ff787cc9e62ca5eae16c621a2
company,2022-09-28 05:25:23,Seagen and Zai Lab Announce Regional Strategic Collaboration and License Agreement for TIVDAK (tisotumab vedotin-tftv),116301513,,SGEN,Finnhub,"BOTHELL, Wash. & SHANGHAI & CAMBRIDGE, Mass. - Seagen Inc. , a world leader and pioneer in antibody-drug conjugate therapies, and Zai Lab Limited , a patient-focused, innovative,... | September 28, 2022",https://finnhub.io/api/news?id=5a0dc4c0ee366247ab9213e403c081f8634ed540bfd42eed9ec800971323cb94
company,2022-09-27 08:00:00,Seagen and Zai Lab Announce Regional Strategic Collaboration and License Agreement for TIVDAK® (tisotumab vedotin-tftv),116278169,https://s.yimg.com/uu/api/res/1.2/EOZB3eidDq3.9sxyf3zt7A--~B/aD02Mjt3PTE2MzthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/globenewswire.com/8df59a7cd736678117889cb731093cce,SGEN,Yahoo,"-- Zai Lab Obtains Exclusive Rights to Develop and Commercialize TIVDAK, an FDA-approved First-in-Class Antibody-Drug Conjugate (ADC), in Mainland China, Hong Kong, Macau, and Taiwan -- -- Zai Lab will Leverage its Leadership in Women’s Cancer in China to Commercialize and Expand Patient Access to TIVDAK -- -- Collaboration Supports Regional Patient Enrollment for InnovaTV 301, a Global Phase 3 Trial of TIVDAK in Patients with Recurrent or Metastatic Cervical Cancer -- SHANGHAI and CAMBRIDGE, Ma",https://finnhub.io/api/news?id=40951c3bd2dd22984772938dc303be31e6d1aa5c37b983bc8e5ecf491b66694f
company,2022-09-27 04:55:00,IN BRIEF: Seagen to license Tivdak in China with help of Zai Lab,116308556,,SGEN,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=cc8337f833fea91bebfcf64e4e16e0a134889129dae3e6d65b09137e2f88491c
company,2022-09-27 03:17:00,"Seagen, Zai Lab enter regional collaboration, license agreement for TIVDAK",116308559,https://thefly.com/images/meta/hotstocks.jpg,SGEN,Thefly.com,"Zai Lab (ZLAB) and Seagen... ZLAB, SGEN, GMAB",https://finnhub.io/api/news?id=63f71d58ce6e2d2ca940e9d5caa3f3e140d90869bdb4e1ee86c766caa9defac7
company,2022-09-27 03:10:00,Seagen to be paid $30M up-front in Zai Lab deal for Tivdak development in China,116308560,https://thefly.com/images/meta/hotstocks.jpg,SGEN,Thefly.com,"Zai Lab Limited  (ZLAB) a... ZLAB, SGEN, GMAB",https://finnhub.io/api/news?id=9b651d86601920c354ce5c6c665d41d381990b8f2fec2e803066879443ab2b2c
company,2022-09-26 08:47:36,"Stocks making the biggest moves midday: Wynn Resorts, Planet Fitness, AMC, Lyft and more",116259978,https://image.cnbcfm.com/api/v1/image/106445439-1584358672656gettyimages-1212643110.jpeg?v=1664210856&w=1920&h=1080,SGEN,CNBC,These are the stocks posting the largest moves in midday trading. ,https://finnhub.io/api/news?id=a384a58ba275bdf777e046335d4dc583f7112bd1058e0f83d461f0384565a4fd
company,2022-09-26 08:00:00,"Seagen and LAVA Therapeutics Announce Exclusive Worldwide License Agreement to Advance LAVA-1223, a Preclinical Gamma Delta Bispecific T Cell Engager for EGFR-Expressing Solid Tumors",116255423,https://s.yimg.com/ny/api/res/1.2/mdXX0cbYf6bNRR7YEmOoVg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD01MjI-/https://media.zenfs.com/en/globenewswire.com/53faa91c585f5daba42df95ab18fcc41,SGEN,Yahoo,"– Seagen to Develop and Commercialize LAVA-1223, a Bispecific T Cell Engager Designed to Target and Activate Vγ9Vδ2 (Gamma Delta) T Cells in the Presence of EGFR-Expressing Solid Tumors – – LAVA to Receive Upfront Payment of $50 Million, With Potential for Milestones of up to Approximately $650 Million and Royalties – – Seagen also has an Option to Nominate up to Two Additional Tumor Targets for Bispecifics using LAVA’s Proprietary Gammabody™ Platform – BOTHELL, Wash. and UTRECHT, The Netherland",https://finnhub.io/api/news?id=87627b52e6c710e31509f4b37dc6381fc8a8f34ceb45fe3a45d86d9710efafe8
company,2022-09-26 06:30:00,What Is Going on With Lava Therapeutics (LVTX) Stock Today?,116264084,https://investorplace.com/wp-content/uploads/2019/09/deal-handshake.jpg,SGEN,InvestorPlace,Lava Therapeutics (LVTX) stock is rocketing higher on Monday as investors react to an exclusive global license agreement with Seagen (SGEN).,https://finnhub.io/api/news?id=77c701a1509815a2219e6796f3befd8b40abaf52e0e698bf86b70722672b7ac2
