category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 13:21:00,Synopsys Inc. stock outperforms competitors despite losses on the day,116223262,https://images.mktw.net/im-220105/social,SNPS,MarketWatch,"Shares of Synopsys Inc. shed 1.20% to $303.28 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=a1abe6f2cf336b421a30f477d6472e1fbbf18b0ab9e2af0fd9d68bb41731d95d
company,2022-09-23 05:00:09,"Zacks Industry Outlook Highlights Synopsys, Cadence Design Systems and DecisionPoint Systems",116211279,https://s.yimg.com/uu/api/res/1.2/_UZhnrWxZJ1XiwdkcazjcA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/5dcd790012cf43a97b1b8987189f433e,SNPS,Yahoo,"Synopsys, Cadence Design Systems and DecisionPoint Systems have been highlighted in this Industry Outlook article.",https://finnhub.io/api/news?id=308101064d8a16612a520942342443f5c8c7a0cfdf7679ac17cf22f5b9456b4d
company,2022-09-28 13:03:44,Back To The Future: Review Of Our Semis Work,116312002,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363604124/image_1363604124.jpg?io=getty-c-w750,SNPS,SeekingAlpha,"We end the July quarter having written about 20 of our favorite semiconductor names, and this article studies how our ratings played out. Click to read more.",https://finnhub.io/api/news?id=480d41a1abe2bccb8c51a9082bfc12a2e6e04961d18ed028106c0d8c15b49ac3
company,2022-09-28 09:50:01,"BlackBerry (BB) Swings to Loss in Q2, Revenues Fall Y/Y",116309237,https://s.yimg.com/uu/api/res/1.2/irNHutLpApSPaMUgcPaq5Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/306e94007e8260e95ff74a73f05e6f54,SNPS,Yahoo,BlackBerry (BB) second-quarter fiscal 2023 revenues decrease year over year despite healthy demand trends,https://finnhub.io/api/news?id=68cc8aff53ccb12eed3eb9a3c00cfdf299bb7d3230b3e70fdd1ea5759144ca71
company,2022-09-28 08:30:12,Beat the Market Swings With 4 Blue-Chip Picks From Tech Sector,116305540,https://s.yimg.com/uu/api/res/1.2/xl0BaCLkhZZHK_B7kBAZJQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/57b04c7d2045e30707e0179045b0da10,SNPS,Yahoo,"Here's a sneak peek into four blue-chip stocks with solid investment prospects from the technology sector -- Fortinet (FTNT), Zscaler, Synopsys and STMicroelectronics.",https://finnhub.io/api/news?id=58c112031094690d09af300824b8b953bad0b678132ebecf00d13d1503aa6682
company,2022-09-28 00:31:00,Home - The Fly,116333456,https://thefly.com/images/meta/metatags.jpg,SNPS,Thefly.com,The Fly is a leading digital publisher of real-time financial news. The Fly team scours all sources of company news and delivers short-form stories consisting of only market moving content.,https://finnhub.io/api/news?id=5154f6abd12fc13ab7583aec344b9ff2e3a947c5148ae58f6d400592db660d3e
company,2022-09-27 17:25:00,Synopsys to Host Investor Spotlight on Software Integrity Webcast,116290972,https://s.yimg.com/uu/api/res/1.2/tj2zgeb_kkiMRFkhbOrMvQ--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/2f92b23e9809fc05ab7a1176b4c9adf8,SNPS,Yahoo,"Synopsys, Inc. (Nasdaq: SNPS) today announced that it will host a Synopsys Spotlight webcast for investors on Tuesday, October 4, 2022. Jason Schmitt, Synopsys' GM, Software Integrity Group will provide education and insight into market and customer dynamics, solutions portfolio, and go-to-market efforts, followed by a Q&A session.",https://finnhub.io/api/news?id=a9c5989e234370b57550c4c9a1f8316483c3475e215b4febcaf8cf00d1d5828b
company,2022-09-27 09:05:00,Synopsys Advances Silicon Lifecycle Management to Accelerate Data Transport and Significantly Reduce Test Time,116284069,https://s.yimg.com/uu/api/res/1.2/p2BuUdKPufX7M2Ki5xr0fQ--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/4ec229bec849eb6e905f8147a79689d6,SNPS,Yahoo,"Enabling real-time analytics for silicon health monitoring of increasingly large, complex designs, Synopsys, Inc. (Nasdaq: SNPS) today announced an innovative streaming fabric technology that shortens both silicon data access and test time by up to 80% while also minimizing excessive power. Generated by Synopsys TestMAX® DFT design-for-test tool and part of Synopsys' cohesive silicon lifecycle management flow, the new streaming fabric is a unique on-chip network that quickly transports silicon d",https://finnhub.io/api/news?id=3ac055956ae0a79f26fa3f8f5e740af12152b0469be38cfa9f7f734e362c909f
company,2022-09-26 09:00:01,"Investors Heavily Search Synopsys, Inc. (SNPS): Here is What You Need to Know",116260072,https://s.yimg.com/uu/api/res/1.2/XFzKRSTb2_xUaLSOCP9.Bg--~B/aD02MDI7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/a41b81fe729c761f3f94f42ff348f70c,SNPS,Yahoo,"Zacks.com users have recently been watching Synopsys (SNPS) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.",https://finnhub.io/api/news?id=248bb58c134d32e3f30079527793bb015c5c27cdd49084235e480ae296d8e3a7
company,2022-09-29 16:01:45,Why These Chip Design Stocks Just Got Fresh Buy Ratings,116341044,https://s.yimg.com/uu/api/res/1.2/zltmyIWwVOpfExXz6eeO1Q--~B/aD01NjM7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/cd18fab3163e3b192c520078669ec5ae,SNPS,Yahoo,"Cadence Design Systems and Synopsys should benefit from continued strong demand for their chip design tools for years to come, an analyst says.",https://finnhub.io/api/news?id=200f6eca9634a54d93a8ad58fe5499c1f754984ce97639cda8eb1616471794d6
