category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 10:57:49,Software Growth Stocks: How 2023 Guidance Plays Out Will Be Key,116234234,,TEAM,Yahoo,Software growth stocks are still looking for a catalyst as the sector lags the S&P 500. Guidance for 2023 will be key for software stocks.,https://finnhub.io/api/news?id=632e4ded8593a03e3ddf79fb9b875815ddfed271e4433623313f3f899cb524f3
company,2022-09-24 07:20:00,"If You Invested $3,000 in Atlassian Stock in 2015, This Is How Much You Would Have Today",116231460,,TEAM,Yahoo,"Atlassian (NASDAQ: TEAM) has generated massive gains for its early investors since its initial public offering (IPO) on Dec. 10, 2015.  The Australian software company listed its shares at $21, which popped 32% to $27.67 on the very first trade.  Atlassian's stock eventually closed at an all-time high of $458.13 last October, which means a modest $3,000 investment in its IPO would have blossomed to more than $65,000 in less than six years.",https://finnhub.io/api/news?id=730055b241d8876bcd68c5ac96f3a4152ca096431ea83fdff13c4912c8ae1a34
company,2022-09-28 18:15:10,Atlassian (TEAM) Gains But Lags Market: What You Should Know,116317730,https://s.yimg.com/uu/api/res/1.2/xMhOxlfdhVA7Ts3pP3IHyA--~B/aD02MzM7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/b369e357aa3d42cc28ac674490d4ae83,TEAM,Yahoo,"Atlassian (TEAM) closed the most recent trading day at $218.14, moving +1.65% from the previous trading session.",https://finnhub.io/api/news?id=c2280304731912a234090a002050b9afce2c102212bbb8a50cf8d0059c3afd30
company,2022-09-28 13:36:12,Atlassian : 2022 Annual Report and Accounts (UK),116312636,,TEAM,Finnhub,"Annual Report and Financial Statements Atlassian Corporation Plc Year Ended June 30, 2022 Registered No. 8776021 ... | September 28, 2022",https://finnhub.io/api/news?id=64afa7f74271e30c2dce9c5740a255a94032d7e8d5dd93e44a3f5f44b630df29
company,2022-09-28 01:39:00,7 Tech Sleeper Stocks to Buy Before Wall Street Wakes Up,116308684,https://investorplace.com/wp-content/uploads/2019/07/wall-street-sign-broadway-sign.jpg,TEAM,InvestorPlace,"Sleeper tech stocks are ones that don't make headlines every day, but have potential to grow. Here are seven good ones for your portfolio.",https://finnhub.io/api/news?id=2eda96555e10d0762328a52279d9331031b210d2204401f6923c69111b9856e6
company,2022-09-26 10:42:36,Tech Sell-Off: 1 Growth Stock to Buy Hand Over Fist and 1 to Avoid,116258386,,TEAM,Yahoo,"The stock market rout this year presents plenty of opportunities, but they're not all created equally.",https://finnhub.io/api/news?id=39511109ce42d38c7ba838df94ad684620f2873c3dd887041fc03c42818304ce
company,2022-10-02 06:38:00,Page Not Found :(,116428899,,TEAM,TipRanks,,https://finnhub.io/api/news?id=aa411c2e2cd528f0e4c84dcf83c3432875b28ba49f2c85db0fb195e0f2ef2734
company,2022-10-02 02:00:00,What To Expect In The Fourth Quarter ,116383995,https://zachscheidt.com/wp-content/uploads/2022/10/iStock-186281544-Q4-aspect-750x420.jpg,TEAM,TalkMarkets,"As we head into the final quarter of 2022, I wanted to take a few minutes to review where things stand in the economy, in the stock market, and with our trading models.",https://finnhub.io/api/news?id=dec420d6861b0b6fdb0d5ce116648851be294ea71a05ec482cd340bf3aad391c
company,2022-09-30 13:26:37,"Atlassian Analyst Sees It Driving Better Cloud Adoption, Monetization; Maintains As Top Pick",116368106,https://s.yimg.com/uu/api/res/1.2/MuJSEASg3Q_O77RfX8Ohsw--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/2f07b33bcb854c9c27488c584d774c59,TEAM,Yahoo,"Mizuho analyst Gregg Moskowitz reiterated a Buy on Atlassian Corporation Plc (NASDAQ: TEAM) and a $360 price target with the company remaining a top pick. He attended TEAM's inaugural work management event in SF, called Work Life. Work management represents a growing source of investment for TEAM. At the event, management emphasized a high degree of integration and collaboration among the four products contained within this group. Management also announced Atlassian Together, a new suite of work",https://finnhub.io/api/news?id=8f6f7850db54ca099aa3e69b8adeca79568572464fbf167cbb4bbc55b2d0c6db
company,2022-10-06 00:17:00,Atlassian co-CEO's each sell $2.05M in common stock,116536235,https://thefly.com/images/meta/hotstocks.jpg,TEAM,Thefly.com,"In regulatory filings, At... TEAM",https://finnhub.io/api/news?id=220e8641cc1fdfa8a9fa72c5b92c2fcbb9f60d364a47e1c8afc02365f418854d
company,2022-10-05 09:01:19,Is There An Opportunity With Atlassian Corporation Plc's (NASDAQ:TEAM) 36% Undervaluation?,116466486,https://s.yimg.com/uu/api/res/1.2/QGLovWAwWCv8nrG8MWbT.g--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/f154d96e707b72662bb943262df39179,TEAM,Yahoo,In this article we are going to estimate the intrinsic value of Atlassian Corporation Plc ( NASDAQ:TEAM ) by taking the...,https://finnhub.io/api/news?id=329d80f5c277c258ab8915b3bc58865b6292e55dc5655a9f90ac8e417d5fe1bb
company,2022-10-05 04:30:59,Atlassian: A New Reality,116463465,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1355064626/image_1355064626.jpg?io=getty-c-w750,TEAM,SeekingAlpha,Atlassian has a strong following of investors. See why I don't believe that investors will be positively rewarded from buying this dip in TEAM stock.,https://finnhub.io/api/news?id=c3baca3169abdc38f37a572cb8581b431585e70d31846b488c1c5785cb323a50
