category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 04:00:00,It’s Hard to Find a Good Tech Stock These Days. These 12 Have Held Up Best.,116231208,https://s.yimg.com/ny/api/res/1.2/qAuybgrZ6NC0Idbrxiu6Ug--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/Barrons.com/cc450360e45a99046e55947931c1333d,TMUS,Yahoo,"In a turbulent market for tech, a few stocks, including Activision Blizzard and T-Mobile, have managed to limit their losses to less than 15%.",https://finnhub.io/api/news?id=6a79b0df8581610f70c18b11871ece128ac120db55a69e995555d44f348ade0b
company,2022-09-23 13:25:00,T-Mobile US Inc. stock underperforms Friday when compared to competitors,116223228,https://images.mktw.net/im-220105/social,TMUS,MarketWatch,"Shares of T-Mobile US Inc. shed 2.01% to $132.33 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=e95f1aec8184762b97d199a6bd366d5e9bd793d258876307dfc0797b657200f6
company,2022-09-23 10:00:19,"With T-Mobile US, Inc.'s (NASDAQ:TMUS)) price down 4.2% this week, insiders might find some solace having sold US$4.6m worth of shares earlier this year.",116221422,https://s.yimg.com/uu/api/res/1.2/ZNIgIyed.oyZqDcrY_yApg--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/6008364ab7a4bfa5cc53e4098a01b3b0,TMUS,Yahoo,"By selling US$4.6m worth of T-Mobile US, Inc. ( NASDAQ:TMUS ) stock at an average sell price of US$145 over the last...",https://finnhub.io/api/news?id=a87f0a77b778dd4719811e671bf437b93e10d12d8aee37a2cbe55b55c5970993
company,2022-09-23 09:55:00,T-Mobile Grants Another $1 Million To Champion Small Towns,116221423,https://s.yimg.com/uu/api/res/1.2/Bv3ABGmgzzlBrpWqGvBtkw--~B/aD0zMjA7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/accesswire.ca/09533bcd80eadf2dffbb294fd80d25d8,TMUS,Yahoo,"BELLEVUE, WA / ACCESSWIRE / September 23, 2022 / T-Mobile What do a high school STEM program in Burley, Idaho, a town-wide mural restoration in Toppenish, Wash. and a satellite pediatric clinic in Excelsior Springs, Mo. all have in common? They're ...",https://finnhub.io/api/news?id=b4da54fab55cecd2c8b434a1d315775ac16572d19af70872e36ccf41389dc5c6
company,2022-09-23 09:46:00,T-Mobile Expands In-flight Coverage to United Airlines,116221424,https://s.yimg.com/uu/api/res/1.2/zfQvfhHSqfDIJHpY8.9mPg--~B/aD0xMTc7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/9da7c86c15583e112487e73922a441f9,TMUS,Yahoo,"BELLEVUE, Wash., September 23, 2022--Airplane mode has a whole new meaning for T-Mobile customers flying United. Starting today, eligible T-Mobile (NASDAQ: TMUS) customers now get free in-flight Wi-Fi and streaming, where available, on select domestic and short-haul international United flights. As the newest addition to Coverage Beyond — T-Mobile’s latest Un-carrier move — United joins American, Alaska and Delta airlines in providing Un-carrier customers with the ability to text, email, search",https://finnhub.io/api/news?id=59f934fc624789b6c937f247c1d561f1af0ce3f113baf15b6697c1659863e83d
company,2022-09-23 06:51:21,Verizon: Beware Of Execution Risks,116214589,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1132277615/image_1132277615.jpg?io=getty-c-w750,TMUS,SeekingAlpha,"Although Verizon is not a growth stock, maintaining sustained top- and bottom-line expansion remains crucial to safeguarding its dividend payout. Click here to read more about VZ stock.",https://finnhub.io/api/news?id=6f07b5d430f37bda24398afd6ca4980859a57af6c92998c033e6281025c5d646
company,2022-09-23 05:47:00,First Week of TMUS May 2023 Options Trading,116224805,,TMUS,Stock Options Channel,"Staff article entitled First Week of TMUS May 2023 Options Trading, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=ae18a3cf6656a3d79d7f4bbbbb9d78e8d05de8ebce20576a4fc354009cbba499
company,2022-09-23 04:48:00,T-Mobile customers now get free in-flight Wi-Fi on select United flights,116219020,https://thefly.com/images/meta/hotstocks.jpg,TMUS,Thefly.com,"Starting today, eligible ... TMUS, UAL",https://finnhub.io/api/news?id=c6a55dbfacf28fe01dfd370b2f256717e09eb236f02cfc5163d8ac909676f018
company,2022-09-28 13:43:00,T-Mobile Launches Advanced Industry Solutions,116322071,https://s.yimg.com/uu/api/res/1.2/fOehE6mc7dQ456P6c0CBWA--~B/aD0yODg7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/d0c88efde1da8e6ffc39947b77d6936a,TMUS,Yahoo,"BELLEVUE, Wash., September 28, 2022--Today, T-Mobile (NASDAQ: TMUS) unveiled Advanced Industry Solutions, an end-to-end suite of connectivity, compute, devices, and applications needed to make smart cities, autonomous factories, and more, possible. Businesses and municipalities no longer have to wade through endless options of technology vendors because the Un-carrier is bringing it all together.",https://finnhub.io/api/news?id=da7c7d42196b60a1cb082b13364f6ea395632dd949528b9471c8b788c8abcf83
company,2022-09-28 08:52:00,T-Mobile rolls out Advanced Industry Solutions,116333420,https://thefly.com/images/meta/hotstocks.jpg,TMUS,Thefly.com,T-Mobile unveiled Advance... TMUS,https://finnhub.io/api/news?id=5b10581f11feb76bd8188367fca7666f72e09af02d2f3849fd953385c9b73404
company,2022-09-28 06:13:44,Papa John's is the latest employer to offer free college for frontline workers,116305388,https://image.cnbcfm.com/api/v1/image/101040624-101040624-150054593r-1.jpg?v=1379523428&w=1920&h=1080,TMUS,CNBC,"Free college as a workplace benefit is increasingly popular. Papa John's expanded this offering to 12,000 full- and part-time staff.",https://finnhub.io/api/news?id=b5675d73ae451684558f4a8bffa8e580b02d2bbe79a471ef49f3b709587ae612
company,2022-09-28 04:02:00,Scotiabank ups target on top U.S. pick T-Mobile to $169,116309139,https://thefly.com/images/meta/streetresearch_recommendations.jpg,TMUS,Thefly.com,Scotiabank analyst Maher ... TMUS,https://finnhub.io/api/news?id=4c86789a9feffa88c3550adf3364c80bd3ec40548ff402859bdfda944209fa21
company,2022-09-28 02:22:14,Fitch Expects to Rate T-Mobile US Trust 2022-1; Issues Presale,116296170,,TMUS,Finnhub,"Fitch Ratings expects to rate the asset-backed securities issued by T-Mobile US Trust 2022-1 .TMUST 2022-1 is a discrete trust, representing T-Mobile US, Inc.'s first asset backed securitization of... | September 28, 2022",https://finnhub.io/api/news?id=abcda55616d2a6a4ceed51934b15ab50d9c688829da6bbf73a085faf20b7db7c
company,2022-09-27 22:15:41,Apple's Direct-To-Satellite iPhone 14 Could Boost Sales,116291204,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1339097795/image_1339097795.jpg?io=getty-c-w750,TMUS,SeekingAlpha,Apple's new innovation creates a new direct-to-satellite iPhone market. See how the new iPhone 14 could boost sales for AAPL.,https://finnhub.io/api/news?id=8ee2f465bf1d3963bee9365ef1426984f8ea010ef79763d79395b25d846137d7
company,2022-09-27 09:15:14,12 Best Communication Stocks To Invest In,116281634,https://s.yimg.com/uu/api/res/1.2/f1KxDhSIqlsx83O6QkpuFg--~B/aD01MDA7dz03NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/949a0ee685ca14983c179d006906b504,TMUS,Yahoo,"In this article, we discuss 12 best communication stocks to invest in. If you want to read about some more communication stocks, go directly to 5 Best Communication Stocks To Invest In. The communications sector has been boosted by a macro environment of rising rates and soaring inflation since it is generally one of the […]",https://finnhub.io/api/news?id=bdbee2304d8506523a7cc81d2f1ba3e66ac78347b58f0797885391504bb0a2df
company,2022-09-27 09:09:00,"OnePlus 10T Launches Exclusively at T-Mobile, America’s 5G Leader",116287640,https://s.yimg.com/uu/api/res/1.2/Xo5_fw4W_EwnHKUGWkYMXA--~B/aD00ODA7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/b89dad3ef1ca2bc870b9ac11a4a50585,TMUS,Yahoo,"BELLEVUE, Wash., September 27, 2022--Hold the phone! T-Mobile (NASDAQ: TMUS) today announced the OnePlus 10T is coming to T-Mobile. The Un-carrier is the ONLY wireless provider in the U.S. to land the latest 5G smartphone from OnePlus. And new and existing T-Mobile and Sprint customers can pick it up at half off when they either add a line on most plans or trade in an eligible device. The OnePlus 10T will be available online and in T-Mobile stores on September 29.",https://finnhub.io/api/news?id=800c0d9ed8d97459f7de380560f03d591db45266fa425f7e8d2405fc1de1df0e
company,2022-09-27 09:00:22,"Is T-Mobile US, Inc.'s (NASDAQ:TMUS) ROE Of 2.5% Concerning?",116287641,https://s.yimg.com/uu/api/res/1.2/ZNIgIyed.oyZqDcrY_yApg--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/6008364ab7a4bfa5cc53e4098a01b3b0,TMUS,Yahoo,Many investors are still learning about the various metrics that can be useful when analysing a stock. This article is...,https://finnhub.io/api/news?id=2c49715ac020c42249a07f86b10f36a9df37f6457d9a607007a8660a0094eeb8
company,2022-09-27 05:22:02,"OnePlus 10T Launches Exclusively at T-Mobile, America's 5G Leader",116280242,,TMUS,Finnhub,"Get half off when adding a line or with eligible trade-in... | September 27, 2022",https://finnhub.io/api/news?id=e4823b79c8b99d28885ea8a9dbb1ee58a007d189b819f145df8daf4528066bb7
company,2022-09-26 21:13:20,AT&T: The Best Is Yet To Come,116270962,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1318505074/image_1318505074.jpg?io=getty-c-w750,TMUS,SeekingAlpha,AT&T has been struggling to find its place in a saturated market. Find out why I reinstate my highly Bullish stance on T stock's long-term prospects.,https://finnhub.io/api/news?id=79817bd7b43c08d670951b6c1f8e5aa9aea8369c0ce575b7a0d0d4e7bca12e28
company,2022-09-26 14:44:08,AT&T: A Buy At All-Time Low Investor Sentiment,116266811,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/610932560/image_610932560.jpg?io=getty-c-w750,TMUS,SeekingAlpha,"Recently refocused strategy, high dividend yield, and significant margin of safety make AT&T a buy at this all-time low investor sentiment. Click here to read more.",https://finnhub.io/api/news?id=7a0f72f9e7a4259109a69d802939921022c29387f51c22c6e569f973469d689a
company,2022-09-26 09:06:00,T-Mobile 5G Powers Inspection Robot from InDro Robotics,116256591,https://s.yimg.com/uu/api/res/1.2/97VAkK0YdOuopI8TMODB_w--~B/aD00ODA7dz0zNjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/2fa389a0ab9b34106d41cb661f540395,TMUS,Yahoo,"LENOX, Mass., September 26, 2022--NASA might have rovers on Mars, but T-Mobile is working on something closer to home. T-Mobile (NASDAQ: TMUS) today announced the Un-carrier is working with InDro Robotics, the leading Canadian air and ground robotics research and development company, to make the world safer. The companies have successfully completed trials using T-Mobile 5G to remotely connect and operate Indro Robotics’ ground-based industrial inspection robots, testing security and inspection",https://finnhub.io/api/news?id=d99c987434a14f837f96cf343a99b8ae73723c72942c3d30db7074a3de010e8d
company,2022-09-26 08:34:00,Assurant announces multiyear extension of T-Mobile device protection partnership,116266380,https://thefly.com/images/meta/hotstocks.jpg,TMUS,Thefly.com,"Assurant (AIZ) announced ... AIZ, TMUS",https://finnhub.io/api/news?id=0d2ae40706338b7d3e15f7e2c72813677c6a4671a3ccec1d548b18d63519f9f3
company,2022-10-01 10:00:11,"Read This Before Judging T-Mobile US, Inc.'s (NASDAQ:TMUS) ROE",116380306,https://s.yimg.com/uu/api/res/1.2/ZNIgIyed.oyZqDcrY_yApg--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/6008364ab7a4bfa5cc53e4098a01b3b0,TMUS,Yahoo,Many investors are still learning about the various metrics that can be useful when analysing a stock. This article is...,https://finnhub.io/api/news?id=c5d214b06956155f7f53fecb8a4e9f3421bdb85329fa9309585ef6c1963794ba
company,2022-10-01 05:45:00,"Helium's Latest Announcement Is the First of Its Kind, But I'm Not Buying Just Yet",116380307,https://s.yimg.com/ny/api/res/1.2/3blvUGGgJ8bg3RAubYYPEQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03NDc-/https://media.zenfs.com/en/motleyfool.com/dca455e94d95b06ac9549fb5ff898935,TMUS,Yahoo,The cryptocurrency network has inked a partnership deal with one of America's largest wireless network operators.,https://finnhub.io/api/news?id=66b6af5fd3d8157eaaa31d0257350c8974b1d7602012c579c5582340fb13baff
company,2022-09-30 17:05:00,"AT&T, Verizon and Comcast stocks just had their worst quarter in two decades",116365105,https://s.yimg.com/ny/api/res/1.2/xECeR4UCCUtvn5evh5lCug--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/marketwatch.com/13e47d0d6a1b24d1e2db020412c3c7e6,TMUS,Yahoo,Some of the biggest telecommunications stocks just posted their steepest quarterly declines in two decades amid pressures new and old on the cable and wireless industries.,https://finnhub.io/api/news?id=9ea12cb75463fbe9dfed198d610f8e68ac3415549bc95a69e15dfab07e5e0729
company,2022-09-30 10:20:00,"Equity in Action: T-Mobile's Commitment to Diversity, Equity & Inclusion",116365106,https://s.yimg.com/uu/api/res/1.2/SaMxz79oWe01q_MlW31oCA--~B/aD00NjE7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/accesswire.ca/79468ed1d3d512b0b26d2263ee981204,TMUS,Yahoo,"Our diverse workforce reflects the communities we serve and positions us to deliver incredible experiences for our customers. It's not enough to say we support DE&I-we have a responsibility to put our words into action every day. Following our merger with Sprint, we deepened our commitment by launching our five-year Equity In Action (EIA) plan. This bold plan puts DE&I at the center of everything we do for our employees, our customers, and our communities.",https://finnhub.io/api/news?id=54cee88795104b5a6de2759d8270b6733001074c4b087bda035230698642d917
company,2022-09-30 09:06:04,10 Best Telecom Stocks to Buy Right Now,116356077,https://s.yimg.com/uu/api/res/1.2/F_NysmOCPusDyAcjOLiQIA--~B/aD00MjI7dz03NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/fc993885cde16719fa19aca2b4c219b8,TMUS,Yahoo,"In this article, we discuss 10 best telecom stocks to buy right now. If you want to read about some more telecom stocks to buy right now, go directly to 5 Best Telecom Stocks to Buy Right Now. Although cable broadband providers continue to control over 66% of the market share in the telecommunications business, […]",https://finnhub.io/api/news?id=366caeeb6e885af75d6990af159334c49a530b24c5f2789f3ab81a6aa8acc25e
company,2022-09-29 22:16:00,"T-Mobile Honors Top Innovators at Inaugural ""Unconventional"" Awards",116349649,https://s.yimg.com/uu/api/res/1.2/KhP6edgAo0VyjgSv6ZBG0w--~B/aD0zMDU7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/fbb16d26f9916fe545e41adaa2ffcfc1,TMUS,Yahoo,"BELLEVUE, Wash., September 30, 2022--The Un-carrier is Un-conventional. So, it’s no surprise that T-Mobile (NASDAQ: TMUS) created an award to recognize and celebrate T-Mobile for Business customers who dare to innovate. The first-ever Unconventional Awards took place on September 29 at Mobile World Congress in Las Vegas, NV, honoring customers in three categories: Innovation in Customer Experience, Innovation in Employee Enablement and Innovation in Industry. T-Mobile awarded the first-place fin",https://finnhub.io/api/news?id=7629aa81fad73605f84419a82b2c6ca5aecdd11d5f8f65d5ce4e57c33d2e892b
