category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 08:00:00,Why I Own Texas Instruments Stock,116231408,,TXN,Yahoo,The company's analog semiconductors are how digital semiconductors interface with the real world.,https://finnhub.io/api/news?id=ff653ab65f53148d7d466ec02524d8ff508b2451b87c9b163e2e775e93dfd8d5
company,2022-09-24 05:00:00,The Near-Perfect Portfolio: Sleep Well During Turbulent Times,116231823,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1364371014/image_1364371014.jpg?io=getty-c-w750,TXN,SeekingAlpha,"The principles of NPP revolve around sustainable income, lower drawdowns, capital preservation, and reasonable growth over the long. Read more here.",https://finnhub.io/api/news?id=4522cd2cc75715b5451ec2c8878364322631d7968a1c8739c1915dca5865d4b4
company,2022-09-23 17:45:09,Texas Instruments (TXN) Stock Moves -0.82%: What You Should Know,116227820,https://s.yimg.com/uu/api/res/1.2/hYDVEF34jJNULlluFRTwjg--~B/aD05MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/39dfb058875b6e691de9136bc97a47b4,TXN,Yahoo,"Texas Instruments (TXN) closed at $161.29 in the latest trading session, marking a -0.82% move from the prior day.",https://finnhub.io/api/news?id=65d5be8fa126a371cc666a2e71f51667da803eb8a2f95a3f2f5d638ffc7216ae
company,2022-09-23 13:26:00,Texas Instruments Inc. stock underperforms Friday when compared to competitors,116242576,https://images.mktw.net/im-220105/social,TXN,MarketWatch,"Shares of Texas Instruments Inc. slumped 0.82% to $161.29 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=2f732aa5f5f6353a18590f2f3461f3736137bc2e06bfad594f1fbef10f7f5414
company,2022-09-28 15:34:40,12 Biggest Computer Hardware Companies in the World,116309805,https://s.yimg.com/uu/api/res/1.2/HKq1nYWgE1hDvJJ5dAWXrg--~B/aD02MDA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/94f0761acba6d4c9bedcb25bd9ea929b,TXN,Yahoo,"In this article, we discuss the 12 biggest computer hardware companies in the world. If you want to skip our comprehensive analysis of these stocks, go directly to 5 Biggest Computer Hardware Companies in the World. According to the Computer Hardware Global Market Report 2022, the global market for computer hardware is expected to grow […]",https://finnhub.io/api/news?id=34380b38f4f78acd66aa6d113869eb5ca4a869642d73f507264d1857e0db9327
company,2022-09-28 13:26:00,"Texas Instruments Inc. stock rises Wednesday, still underperforms market",116374127,https://images.mktw.net/im-220105/social,TXN,MarketWatch,"Shares of Texas Instruments Inc. rallied 1.30% to $162.80 Wednesday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=daa0da31d410cc76534593ec006ff21432b8cca802e8d07eaf9617fe5815453c
company,2022-09-28 10:23:00,Why I'm avoiding Bed Bath & Beyond Like the Plague,116309463,https://s.yimg.com/ny/api/res/1.2/_QX04pEGBmLdsA15kIxFzw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDE-/https://media.zenfs.com/en/motleyfool.com/591b4e5f00dc2cb29329f189d95c21ab,TXN,Yahoo,"Many of the market's blue-chip stocks are trading at huge discounts to their 52-week high, making the present a golden opportunity to add some of these names to your portfolio on the cheap.  The understated danger of investing in Bed Bath & Beyond here is simply the opportunity cost to your portfolio.  Zoom out to a one-year, five-year, or even 10-year time horizon, and Bed Bath & Beyond shareholders have lost money over all of those periods.",https://finnhub.io/api/news?id=b9eb011993ac2fbafe2348f1eb58cd52de0c51d5c67869b2384d3def08d55e4f
company,2022-09-28 09:24:00,2 Chip Stocks for Passive Income in an Uncertain Market,116309464,https://s.yimg.com/ny/api/res/1.2/nKN8mqRey8Zpuihh.Q2JgA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/3c1c3e47529ed0335cf5f335879e059e,TXN,Yahoo,"Collecting dividends means profits don't depend on the latest Federal Reserve meeting or speech by Fed Chairman Jerome Powell.  A steady income stream is essential to new investors building a portfolio, to retirees, and to everyone in between.  For some investors, this is their first chance to wrestle with a bear market, while investing veterans have seen several.",https://finnhub.io/api/news?id=eb876f4f1969d292649f4867b471c8e71f9d9158f234f88ff76a7fc7a487a322
company,2022-09-28 08:04:12,5 Stocks in Focus on Recent Dividend Hike Amid Market Mayhem,116306604,https://s.yimg.com/uu/api/res/1.2/vRU08yrIyVtAnSzIWhNfGg--~B/aD00MTM7dz02MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/ed06f7d117b7b2f375a96c370edcd813,TXN,Yahoo,"At this juncture, one should consider stocks that have recently raised their dividend payments. Five such stocks are: ACN, CVBF, ISTR, MSFT and TXN.",https://finnhub.io/api/news?id=fa3717b8538bbc121cf8ff1ed6d63f7a83fb34974e4d506535d077615cb88e88
company,2022-09-28 07:07:00,Here's Why You Can Buy and Hold Texas Instruments Forever,116309466,https://s.yimg.com/ny/api/res/1.2/xWDrXXXunoyN8eFtygdHlA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/817d2ea76b4440f9ac63d070f97df58e,TXN,Yahoo,"It would feature an unwavering commitment to building shareholder value and returning capital to shareholders, occupy a leading position in a growing industry, and serve a wide variety of customers and end markets to eliminate single-customer risk.  Fortunately, there is a blue-chip stock that checks all of these boxes: Texas Instruments (NASDAQ: TXN).  Here are five reasons that Texas Instruments looks like the type of stock that you can buy now and hold forever.",https://finnhub.io/api/news?id=89dcae705fefbe20980dcb185fc8e3f240a1055469bad4879d1a63af491aa70e
