category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 13:28:00,"Verisk Analytics Inc. stock rises Friday, outperforms market",116240381,https://images.mktw.net/im-220105/social,VRSK,MarketWatch,"Shares of Verisk Analytics Inc. inched 0.08% higher to $175.20 Friday, on what proved to be an all-around grim trading session for the stock market, with the...",https://finnhub.io/api/news?id=7c0e97fa836593e1f77a2bb398bd5eb0e37392dcb5e68cf6af00cadd2f1fadd8
company,2022-09-28 09:03:00,"Global Average Annual Insured Losses from Extreme Events in Excess of $120 Billion, New Report from Verisk Finds",116310441,https://s.yimg.com/uu/api/res/1.2/msII5ljq9JUu4oyahVLLUw--~B/aD0zMDE7dz0xMDU5O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/6bb9c3db09c252ee565915357379d14e,VRSK,Yahoo,"Analysis highlights key factors that contribute to increase in insured losses: the number and value of properties exposed to risk, natural variability when losses occur, climate change, and man-made loss driversBOSTON, Sept. 28, 2022 (GLOBE NEWSWIRE) -- Today, Verisk Extreme Event Solutions released its 2022 Global Modeled Catastrophe Losses Report detailing key global financial loss metrics based on its latest suite of catastrophe models. Verisk (Nasdaq:VRSK) estimates that on an annual average",https://finnhub.io/api/news?id=b8e8fec1be823025d00f0e434c700dcf402878c46570c76f1576c425fa21761b
company,2022-10-01 12:21:00,"Verisk’s Geospatial Data, AI-Enhanced Analytics and Vexcel’s Aerial Imagery Combine to Help Accelerate Insurance Response to Historic Hurricane Damage",116372072,https://s.yimg.com/uu/api/res/1.2/25PLB_zYVbgaOVyIvJxAGQ--~B/aD0zMDE7dz0xMDU5O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/3687848fbd6eaee8a14716379cf62de5,VRSK,Yahoo,"JERSEY CITY, N.J., Oct. 01, 2022 (GLOBE NEWSWIRE) -- Verisk (Nasdaq: VRSK), a leading global data analytics provider, is working with Vexcel Data Program, the world’s largest aerial imagery program, to help insurers accelerate their response to the widespread property damage wrought by Hurricane Ian. Vexcel, on behalf of its partner Geospatial Insurance Consortium (GIC), is deploying multiple fixed-wing aircraft with market-leading cameras to collect high-resolution aerial imagery. Vexcel’s disa",https://finnhub.io/api/news?id=ac9f4a934f8dddb7ddc858dddc05dcfbcfd1c568d8b5b6d9a2cbfb5a5cb46a17
company,2022-10-01 08:22:02,"Verisk's Geospatial Data, AI-Enhanced Analytics and Vexcel's Aerial Imagery Combine to Help Accelerate Insurance Response to Historic Hurricane Damage",116372059,,VRSK,Finnhub,"JERSEY CITY, N.J., Oct. 01, 2022 -- Verisk , a leading global data analytics provider, is working with Vexcel Data Program, the world’s largest aerial imagery program, to help insurers... | October 1, 2022",https://finnhub.io/api/news?id=3acef1c505561ed7743826259023d0c48d39ed3fc93c247cc64f0f48ed90a405
company,2022-10-06 14:57:34,Shareholders Are Optimistic That Verisk Analytics (NASDAQ:VRSK) Will Multiply In Value,116518699,https://s.yimg.com/uu/api/res/1.2/tBaSnVjf_e_xG_Ru362rkw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/51efc4c16661a09e764445427d52ecc6,VRSK,Yahoo,"To find a multi-bagger stock, what are the underlying trends we should look for in a business? Ideally, a business will...",https://finnhub.io/api/news?id=21b95ab2667143571d08b0c08a5f30a7b63422d7ba2b5bac0f5219f287ae55c0
company,2022-10-06 11:13:40,Trade Like Alan Lowenthal,116505160,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1200173343/image_1200173343.jpg?io=getty-c-w750,VRSK,SeekingAlpha,Congressional insider trading is a rare topic in politics which led to bipartisan support to limit the ability of lawmakers in securities trading. Read more here.,https://finnhub.io/api/news?id=6489406d4c24fe6e535e9f9fb39476dfc1193cdac5c03aa10b76eda8f9b54060
company,2022-10-03 17:22:24,Insurers may face up to $57 billion in Hurricane Ian bills,116407555,https://static.reuters.com/resources/r/?m=02&d=20221003&t=2&i=1610505368&r=LYNXMPEI920ID,VRSK,Reuters,"Insurers are bracing for a hit of up to $57 billion as they try to assess the damage from Hurricane Ian in Florida and South Carolina, risk modeling firm Verisk said on Monday.",https://finnhub.io/api/news?id=71cfcc58a3e47b7c6e0a71dc6abdc325161a7e26b3a3ff071a4f572991c3ff78
company,2022-10-03 07:04:39,Insurers may face up to $57 bln in Hurricane Ian bills- Verisk,116407556,,VRSK,Reuters,"Insurers are bracing for a hit of up to $57 billion as they assess the damage to onshore property from Hurricane Ian, risk modeling firm Verisk said on Monday.",https://finnhub.io/api/news?id=975a7869296c84af9ed8142cd575242b837a3bdc294b57b25abe374f44647abf
company,2022-10-03 06:05:00,Verisk Estimates Industry Insured Losses to Onshore Property for Hurricane Ian Will Range from USD 42 Billion to USD 57 Billion,116409019,https://s.yimg.com/uu/api/res/1.2/msII5ljq9JUu4oyahVLLUw--~B/aD0zMDE7dz0xMDU5O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/6bb9c3db09c252ee565915357379d14e,VRSK,Yahoo,"The industry loss estimate includes estimated wind, storm surge, and inland flood losses resulting from Ian’s landfalls in both Florida and South Carolina; Majority of insured losses in estimate caused by wind damage in FloridaBOSTON, Oct. 03, 2022 (GLOBE NEWSWIRE) -- Verisk (Nasdaq:VRSK) estimates that insured losses to onshore property for Hurricane Ian will range from USD 42 billion to USD 57 billion. The industry loss estimate from Verisk Extreme Event Solutions includes estimated wind, stor",https://finnhub.io/api/news?id=407131f1e4f679d762d137cdc95d5cadd5608ba2aea2a462ff6e46419f9ca17b
company,2022-10-03 04:49:00,RBC Capital Remains a Buy on Verisk Analytics (VRSK),116433275,,VRSK,TipRanks,RBC Capital analyst Ashish Sabadra maintained a Buy rating on Verisk Analytics (VRSK &#8211; Research Report) on September 30 and set a price target of $210.00. The...,https://finnhub.io/api/news?id=07a52fe50bbe48a8d7298455ec465b3858d3acda22aaccdae61eac1c6e1171cb
