category,datetime,headline,id,image,related,source,summary,url
company,2022-09-24 08:00:00,S&P 500 Giant Leads 5 Stocks Showing Strength In Bear Market,116232016,,VRTX,Yahoo,S&P 500 giant Eli Lilly leads five medical stocks setting up and showing relative strength in the ongoing bear market.,https://finnhub.io/api/news?id=c32f9d898336f2e582c5eb29b76aa17eb9086476992cff3f2dac7cf34608813a
company,2022-09-24 05:52:00,Recession Fears Increasing: Here's the Best Stock to Buy Right Now,116232124,,VRTX,Yahoo,"Here's my pick for the best stock to buy right now with recession fears rising.  Vertex Pharmaceuticals (NASDAQ: VRTX) has soared close to 30%, absolutely trouncing the S&P 500.  How has Vertex seemingly defied gravity?",https://finnhub.io/api/news?id=2d7a2a32afa4033429dddd478592efe844603140f5740d996111e7061cd84d11
company,2022-09-23 17:50:09,Vertex Pharmaceuticals (VRTX) Stock Moves -1.01%: What You Should Know,116225284,https://s.yimg.com/uu/api/res/1.2/eeFsK50..hTdRBoBNDEyoA--~B/aD03MTE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/d2f7ed3d1940141716bfd200f5c94c6b,VRTX,Yahoo,"Vertex Pharmaceuticals (VRTX) closed at $283.45 in the latest trading session, marking a -1.01% move from the prior day.",https://finnhub.io/api/news?id=bb0e14e363d0d46e5d710b8720967b561a842ca5b08511b24684f15eed189c13
company,2022-09-23 09:58:28,Dow Jones Sells Off Ahead Of Powell Comments As Recession Fears Mount,116214630,https://s.yimg.com/uu/api/res/1.2/rgtb1UVBxvi6TstQZZC7yQ--~B/aD01NjM7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/8044a9bba79173e86da34bc94023ad37,VRTX,Yahoo,The Dow Jones Industrial Average sold off Friday ahead of Fed chief Powell's comments at a Federal Reserve event in Washington D.C.,https://finnhub.io/api/news?id=56b68586bafc876c6416aae46e4a00f51b1fc4894c7a4bb32573d56792895fb5
company,2022-09-23 05:58:00,7 Growth Stocks to Buy During a Stock Market Crash,116216837,https://investorplace.com/wp-content/uploads/2022/07/growth-stocks-imagery.png,VRTX,InvestorPlace,"A stock market crash will only strengthen the outlook of these companies, making them good growth stocks to buy.",https://finnhub.io/api/news?id=5e37fc4da2e3fe99cac6df056feec54be3417a939dc88b0b8f194568dab8d471
company,2022-09-28 17:33:13,"Vertex Nears Buy, Joins Crispr To Advance A Gene-Editing First",116322926,,VRTX,Yahoo,"As biotech leaders Vertex and Crispr shoot for a gene-editing first, VRTX stock takes aim at a new breakout.",https://finnhub.io/api/news?id=b60f06707161938b39b9687c8f2fcbba6fc60260dc9bb78f5fca4b29f02148cb
company,2022-09-28 13:28:00,"Vertex Pharmaceuticals Inc. stock rises Wednesday, outperforms market",116373750,https://images.mktw.net/im-220105/social,VRTX,MarketWatch,"Shares of Vertex Pharmaceuticals Inc. rallied 2.69% to $292.41 Wednesday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=55d9f39eb30ec6f227a1c6e3f788c61016a81c66b0d54cd72a63715974108abc
company,2022-09-28 13:17:05,"Vertex (VRTX), CRISPR to Seek FDA Nod for Hemoglobinopathy Therapy",116312960,https://s.yimg.com/uu/api/res/1.2/UgiI07ytew_hNcL7MgLFiA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/5c26ab1f8b890434759145296588998c,VRTX,Yahoo,Vertex (VRTX) and partner CRISPR intend to start a rolling BLA submission with the FDA for their gene therapy in thalassemia and sickle cell disease indications by November 2022.,https://finnhub.io/api/news?id=3ac8315405a86d28fc0299e9a5c968053baf071f45d18c3be59a1859e5ec16bd
company,2022-09-28 09:35:21,Dow Jones Rises Ahead Of Powell Speech; 10-Year Treasury Yield Briefly Tops 4%,116302444,https://s.yimg.com/uu/api/res/1.2/.bZtsgnchEamZO3REAT9sQ--~B/aD01NjM7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/f507e9a69bd7ba001d8325d21822e555,VRTX,Yahoo,"The Dow Jones Industrial Average rose Wednesday, ahead of Fed chief Powell's speech, struggling to avoid a seventh straight decline.",https://finnhub.io/api/news?id=108758efc90429026a2d88fb00bb3f4119dc1346b624a39aefd3483b638e8da5
company,2022-09-28 08:00:00,3 Biotech Stocks to Buy and Hold for the Next 10 Years,116299144,,VRTX,Yahoo,"Several biotech stocks have outperformed the struggling market this year.  This list includes Vertex Pharmaceuticals (NASDAQ: VRTX), Exelixis (NASDAQ: EXEL), and Amgen (NASDAQ: AMGN).  Let's consider why these three biotechs are solid buys for the next decade.",https://finnhub.io/api/news?id=437c36148542a4bc937677843877f3eceef8f3a643035e2840ad188c2839451b
