category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 13:29:00,Walgreens Boots Alliance Inc. stock outperforms competitors despite losses on the day,116241788,https://images.mktw.net/im-220105/social,WBA,MarketWatch,"Shares of Walgreens Boots Alliance Inc. slid 1.47% to $32.83 Friday, on what proved to be an all-around grim trading session for the stock market, with the...",https://finnhub.io/api/news?id=a657981ca31c33c8dfa51dd075ac2e3a8d0a2e9eae42cbdaf8d3747eaab72a29
company,2022-09-23 11:20:03,Walgreens Boots' (WBA) Product Expansion Aids Amid Rivalry,116218091,https://s.yimg.com/uu/api/res/1.2/9s2jExajgJ47C7Iwp_xCDg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/d03a17bd79ce8d7f20dad2f635fce375,WBA,Yahoo,Sales contributions from Walgreens Boots' (WBA) newly-formed Walgreens Health segment instill investors' optimism.,https://finnhub.io/api/news?id=0a39f3a997771ea60225a5d896f810f02e1092433e2368993f94a293089cb87e
company,2022-09-28 15:16:50,7 Consumer Stocks to Sell Before They Die,116374371,https://s.yimg.com/uu/api/res/1.2/30o7o.U4dqWwYt6Cm5uFgA--~B/aD00MDA7dz03Mjg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/investorplace_417/dbe9a89da277f1c40682b6aa3789490d,WBA,Yahoo,"This year, consumer stocks have been hammered as inflation lingers at 40-year highs and interest rates rise. The Dow Jones U.S. Consumer Goods Index is down 20% this year as consumers pull back on their spending. However, some consumer-focused companies have performed worse than others. Much worse. Whether it is due to poor management, failure to adapt to a changing marketplace, or doomed deals, some consumer-oriented stocks have suffered 50% or more declines through the first nine months of the",https://finnhub.io/api/news?id=f0f6374b8e765995f4f5737cbe4d6556051e5275766b3a7a1a18df0c730f14aa
company,2022-09-28 13:29:00,"Walgreens Boots Alliance Inc. stock rises Wednesday, outperforms market",116373724,https://images.mktw.net/im-220105/social,WBA,MarketWatch,"Shares of Walgreens Boots Alliance Inc. rose 2.37% to $33.20 Wednesday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=69dda2c3aee398ce42183a4c8a834db65099918daae6a023c6f5a318dced517a
company,2022-09-28 08:00:00,Walgreens Mobilizes in Advance of Hurricane Ian with Guidance for Florida’s Communities in Storm’s Path,116309350,https://s.yimg.com/uu/api/res/1.2/luB2468gMfx7NVhOkKnWFg--~B/aD0xMDA7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/cd801ad2392f42dd576c5f0fc7b6cf66,WBA,Yahoo,"DEERFIELD, Ill., September 28, 2022--Walgreens is taking proactive measures to assist patients, customers and team members in the Florida communities that are in the projected path of Hurricane Ian. Preparations and services to support impacted regions include:",https://finnhub.io/api/news?id=239672958fc72dd235cd18c145f7cc6aacf2bff3e5d7f9dabde7912a1269c098
company,2022-09-28 04:11:02,Walgreens Mobilizes in Advance of Hurricane Ian with Guidance for Florida's Communities in Storm's Path,116299190,,WBA,Finnhub,"Company focused on safety and preparedness for patients, customers, and Walgreens team members amid Florida’s State of Emergency... | September 28, 2022",https://finnhub.io/api/news?id=0e872073f4abb8885911e5dbcbb1a68d0f7faf17e2cdce2256116435ec64b0bb
company,2022-09-27 17:50:09,Walgreens Boots Alliance (WBA) Dips More Than Broader Markets: What You Should Know,116288678,https://s.yimg.com/uu/api/res/1.2/HIalcDlt7JZPKSITVlxPuw--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/c2fdcaac033e049c74f38d188afcc9f9,WBA,Yahoo,"Walgreens Boots Alliance (WBA) closed the most recent trading day at $32.43, moving -0.8% from the previous trading session.",https://finnhub.io/api/news?id=abc8d76bfaa7221e59e366af0f8e13e06843fb875b4ae4b209d95dadedadd3d1
company,2022-09-27 13:29:00,Walgreens Boots Alliance Inc. stock underperforms Tuesday when compared to competitors,116373725,https://images.mktw.net/im-220105/social,WBA,MarketWatch,"Shares of Walgreens Boots Alliance Inc. shed 0.80% to $32.43 Tuesday, on what proved to be an all-around grim trading session for the stock market, with the...",https://finnhub.io/api/news?id=6945ce396be548c09ed93a9c65e36af358704c2730381b93718b952c45012eaf
company,2022-09-26 16:22:33,7 Dow Sleeper Stocks to Buy Before Wall Street Wakes Up,116339211,https://s.yimg.com/uu/api/res/1.2/llhNB9UpNljMwLELZzXECQ--~B/aD00MDA7dz03Mjg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/investorplace_417/7577d33ddcd34a87348e3b5ecd9f2335,WBA,Yahoo,"While investors might not desire anything less than the most exciting investment opportunities following the wild ride last year, 2022 may be the moment for Dow sleeper stocks to buy. After all, the companies listed in the Dow 30 didn’t get there as part of a fly-by-night operation. Though not commanding the most heart-pounding storylines, these blue chips have the potential to help keep your portfolio afloat in times of stress. Fundamentally, the Federal Reserve changed the broader monetary and",https://finnhub.io/api/news?id=71111d0874966c43e2f9f6c0a8a104e5269e994718884bfd2cda5be65864f385
company,2022-09-26 14:47:18,My Best Dividend Aristocrats For October 2022,116266920,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1353290150/image_1353290150.jpg?io=getty-c-w750,WBA,SeekingAlpha,I want to present 3 strategies that theoretically could identify winning aristocrats and lead to better performance than the dividend aristocrat index.,https://finnhub.io/api/news?id=62217aa11f213c83e85814169c1c83309efb31f92c84752e6e860d93386f723c
