category,datetime,headline,id,image,related,source,summary,url
company,2022-09-23 13:31:00,"Xcel Energy Inc. stock falls Friday, still outperforms market",116241660,https://images.mktw.net/im-220105/social,XEL,MarketWatch,"Shares of Xcel Energy Inc. shed 1.23% to $71.56 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=3401ca63af5bc31d4a7c3ef3ba273f3ab4d94008440e4d966351e4c45c830b25
company,2022-09-26 22:59:00,Xcel Energy (XEL) Shares Enter Oversold Territory,116306939,,XEL,Energy Stock Channel,"energy stock channel,XEL,",https://finnhub.io/api/news?id=ee3a2acf8540bada0211b0e18151f5c40bb6af760215d01bbc9716e571e15090
company,2022-09-30 15:52:00,This Dividend Stock Just Crossed a Potentially Bullish Level,116378998,https://s.yimg.com/ny/api/res/1.2/DolAY1jYKa500OW_O4XEnQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/thestreet.com/793941431fbd92da4daa1ee899a81670,XEL,Yahoo,Xcel Energy is a reliable electric utility stock. The market valuation just slipped below an important metric that's not obvious on stock screeners.,https://finnhub.io/api/news?id=6cd7ccdfa98232467a5af1c20514baa0aa3eb1fba5249d1dc039eb672bf8d188
company,2022-09-30 10:19:02,FirstEnergy's (FE) Unit Uses Aerial Crew for Tree Trimming,116365925,https://s.yimg.com/uu/api/res/1.2/CskxMdPzOYYSFOwqIB4FAg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/778e585f4fad99ed3508d02f63bda192,XEL,Yahoo,"FirstEnergy's (FE) subsidiary, Potomac Edison, uses helicopter services to trim trees and maintain transmission lines, reducing the frequency of tree-related power outages.",https://finnhub.io/api/news?id=cd931b67e60717d82de99f24b74eebc3aa29c9f5d3c5a354522a1dd0c589bcc7
company,2022-09-29 22:10:00,Xcel Energy (XEL) Shares Cross 3% Yield Mark,116365263,,XEL,Dividend Channel,"dividend channel,XEL,",https://finnhub.io/api/news?id=b966189a61cb2af92295377f87f490e9306a33880a80d94469d1b7c4b1d52bc8
company,2022-09-29 12:04:21,"Climate pay links for CEOs do little to cut emissions, study finds",116334999,https://static.reuters.com/resources/r/?m=02&d=20220929&t=2&i=1610160417&r=LYNXMPEI8S0JV,XEL,Reuters,"More big U.S. companies have tied their CEO pay to climate goals but few give executives much incentive to make significant emissions cuts, a new study shows.",https://finnhub.io/api/news?id=0dcb8eff7e90678b558769c6a772a7a7b5e453f8e0c02bb6db60b3c23bd3524a
company,2022-09-29 10:00:26,10 Energy Stocks to Buy According to Billionaire David Harding,116331744,https://s.yimg.com/uu/api/res/1.2/GiTp2aUM_Z3ZCmduWkm41Q--~B/aD02MDA7dz00NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/d4b6d884c60c264975137f5a3204f42b,XEL,Yahoo,"In this piece, we will take a look at the ten energy stocks to buy according to billionaire David Harding. If you want to skip our introduction to the hedge fund investor and jump ahead to the top five stocks in this list then take a look at 5 Energy Stocks to Buy According to […]",https://finnhub.io/api/news?id=fe1bcde49137be1d98d5f626cf26ff410b9fe74c85e6be2f2291cbfbed21e94a
company,2022-10-05 01:59:00,Xcel Energy price target lowered to $71 from $80 at BMO Capital,116477059,https://thefly.com/images/meta/streetresearch_recommendations.jpg,XEL,Thefly.com,BMO Capital analyst James... XEL,https://finnhub.io/api/news?id=038982454c982de1af53641c3fd83cd0d33a744eb46a0d369e1dc964f7f28a30
company,2022-10-08 23:48:17,Duke And Xcel Energy: 2 Safe And Cheap High-Yielders In Times Of Mayhem,116560931,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/188027740/image_188027740.jpg?io=getty-c-w750,XEL,SeekingAlpha,"Both Duke Energy and Xcel Energy offer very attractive yields. See why I like XEL and DUK stocks a lot, as both companies are attractively valued.",https://finnhub.io/api/news?id=e5b5438f48afe25f96b3c6010044c588f2d58be224d73da9569b2e0b7f014c65
company,2022-10-14 13:32:00,Xcel Energy Inc. stock underperforms Friday when compared to competitors,116726684,https://images.mktw.net/im-220105/social,XEL,MarketWatch,"Shares of Xcel Energy Inc. shed 1.47% to $58.86 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=3c2849d4411703e7a98b134c1f9dc1a272f9c7bc86edf6c233d799f6488dbb24
