category,datetime,headline,id,image,related,source,summary,url
company,2022-09-28 08:30:12,Beat the Market Swings With 4 Blue-Chip Picks From Tech Sector,116305540,https://s.yimg.com/uu/api/res/1.2/xl0BaCLkhZZHK_B7kBAZJQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/57b04c7d2045e30707e0179045b0da10,ZS,Yahoo,"Here's a sneak peek into four blue-chip stocks with solid investment prospects from the technology sector -- Fortinet (FTNT), Zscaler, Synopsys and STMicroelectronics.",https://finnhub.io/api/news?id=58c112031094690d09af300824b8b953bad0b678132ebecf00d13d1503aa6682
company,2022-09-26 13:03:01,Here's Why Wells Fargo Continues To Recommend Zscaler As A 'Top Pick',116265785,https://s.yimg.com/uu/api/res/1.2/4tZUGDtctQ7kvjaA8FW1ng--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/48628e265fbc4403c9fb62bda0135df8,ZS,Yahoo,"Wells Fargo analyst Andrew Nowinski recently had the opportunity to travel with Zscaler, Inc (NASDAQ: ZS) management and came away with a better understanding of the importance of improving channel dynamics. Traditional resellers like Optiv and system integrators like Accenture plc (NYSE: ACN) were more engaged with the company and were originating more deals than just fulfilling orders. He believes these changes will drive long-term growth. Also Read: Analysts Slash Accenture's Price Targets Ov",https://finnhub.io/api/news?id=a7cedbbcb8fef640be93c18cf30fc3424a7522b791f1f0773aa0222906bd389f
company,2022-09-26 09:04:57,11 Best Cloud Stocks To Buy Now,116255032,https://s.yimg.com/uu/api/res/1.2/cEyrRLPEpW95RmTyxnP8zQ--~B/aD02MDA7dz03MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/4ae19e1c3d0e2c6fda283498ee5f2ec6,ZS,Yahoo,"In this article, we discuss 11 best cloud stocks to buy now. If you want to see more stocks in this selection, check out 5 Best Cloud Stocks To Buy Now. The global cloud computing market is anticipated to reach $1,554.94 billion by 2030, representing a compound annual growth rate of 15.7%. Cloud computing offers […]",https://finnhub.io/api/news?id=4371b4cf2c2f1d0c33c5d9257e770cb4b87a07ac7ed261aa174cd0bc14c3f144
company,2022-09-26 08:00:00,"Zscaler's 2022 VPN Report: As VPN Exploits Grow, 80 Percent of Organizations Shift Towards Zero Trust Security",116261500,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,ZS,Yahoo,"Organizations should be mindful of Firewall/VPN solutions marketed as Zero Trust Cloud SecurityKey Findings: 68% of executives surveyed say their focus on remote work accelerated the priority of Zero Trust Security projects, up from 59% in 2021Nearly half of all IT professionals surveyed witnessed an increase in exploits targeting their VPNs since adopting remote work65% of companies are considering adopting VPN alternatives; organizations should be warned of misleading legacy cloud-based VPN of",https://finnhub.io/api/news?id=48a5a2fc69cc636afa4ad578a30978a6da96b3b6cc7548402cd4bb484790e6b4
company,2022-09-26 05:56:09,"The Zacks Analyst Blog Highlights Zscaler, Pure Storage, Coupa Software and RingCentral",116255380,https://s.yimg.com/uu/api/res/1.2/mvhw1wpQHk5aes1cbDKHzg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/66f47457aa052e50b0bba1c49570ef2b,ZS,Yahoo,"Zscaler, Pure Storage, Coupa Software and RingCentral are included in this Analyst Blog.",https://finnhub.io/api/news?id=37cdbe63a930144f0627728f889a804cc280a672bef354b0de0db215e7a14afc
company,2022-09-30 16:12:49,13 Best Cybersecurity Stocks to Buy Now,116404386,https://s.yimg.com/uu/api/res/1.2/LFkTX2P67uODll_JMMsG5w--~B/aD01MTI7dz03Njg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/b3ccd7c7b0a348c4a16fe044416668a2,ZS,Yahoo,"In this article, we discuss 13 best cybersecurity stocks to buy now. If you want to see more stocks in this selection, check out 5 Best Cybersecurity Stocks to Buy Now. Gartner expects end-user spending for the information security and risk management market to increase from $172.5 billion in 2022 to $267.3 billion in 2026, […]",https://finnhub.io/api/news?id=0c6c0e98ffa34a461da6c13f21943e0772caa5dad435081f1cfad4218570055d
company,2022-09-30 10:52:02,"The Zacks Analyst Blog Highlights Airbnb, Fortinet, VeriSign, CDW and Zscaler",116365707,https://s.yimg.com/uu/api/res/1.2/mvhw1wpQHk5aes1cbDKHzg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/66f47457aa052e50b0bba1c49570ef2b,ZS,Yahoo,"Airbnb, Fortinet, VeriSign, CDW and Zscaler are part of The Zacks top Analyst Blog.",https://finnhub.io/api/news?id=643f4e40d669d29ce07ac3205a56e7f462d8224ccf762490c9de6221497ae81a
company,2022-09-30 09:55:01,Wall Street Analysts Think Zscaler (ZS) Could Surge 38%: Read This Before Placing a Bet,116367959,https://s.yimg.com/uu/api/res/1.2/7h8ntzJXcDOdVmDKQ08gRg--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/e8e4b0344809eaac6d73c9fd25fd180a,ZS,Yahoo,"The average of price targets set by Wall Street analysts indicates a potential upside of 38.5% in Zscaler (ZS). While the effectiveness of this highly sought-after metric is questionable, the positive trend in earnings estimate revisions might translate into an upside in the stock.",https://finnhub.io/api/news?id=a888f1ebdf8fc4a15255cf83f0a41cb1c849511364c33f8ca6737d03a5f5f84f
company,2022-09-29 08:00:12,"Top 5 Beaten-Down, Nasdaq-Listed Tech Stocks With Solid Upside",116331810,https://s.yimg.com/uu/api/res/1.2/tDSex2eXNjL2X16tOrv62w--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/d10d4428c213ff155c9fa3853df90e24,ZS,Yahoo,"We have narrowed our search to five Nasdaq- listed technology stocks currently trading at a deep discount to their 52-week highs. These are: ABNB, FTNT, VRSN, CDW and ZS.",https://finnhub.io/api/news?id=65a51ec553cdf2a54dc0f5d589b85804b0a043f56f47ed5d5d9a94420115b693
company,2022-09-29 08:00:00,Zscaler Acquires ShiftRight to Integrate Security Workflow Automation Technology into the Zero Trust Exchange Platform,116331844,https://s.yimg.com/ny/api/res/1.2/N1AbaIr_ihFNeurfwQ45HA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD00MjA-/https://media.zenfs.com/en/globenewswire.com/b87328aa464d15006b0901e10eacda04,ZS,Yahoo,"ShiftRight’s Security Workflow Automation Strengthens Zscaler’s Cloud Security Platform by Simplifying Security Operations and Enabling Visibility into Security PostureSAN JOSE, Calif., Sept. 29, 2022 (GLOBE NEWSWIRE) -- Zscaler, Inc. (NASDAQ: ZS), the leader in cloud security, today announced it has completed its acquisition of ShiftRight, a leader in closed loop security workflow automation. ShiftRight’s workflow automation technology is currently being integrated into the Zscaler Zero Trust E",https://finnhub.io/api/news?id=0bb439578213165065c2e008f57fac78e6f681014f7dd4748bd4f88a40f686eb
company,2022-09-29 03:02:00,Zscaler acquires ShiftRight to integrate security workflow into its platform,116338577,https://thefly.com/images/meta/hotstocks.jpg,ZS,Thefly.com,Zscaler announced it has ... ZS,https://finnhub.io/api/news?id=495c653e82529a6797769fa271a6b34b9819dbacfeb97a0bf15e220afc000192
company,2022-10-06 18:15:10,Zscaler (ZS) Gains As Market Dips: What You Should Know,116513897,https://s.yimg.com/uu/api/res/1.2/64vRzkiY9LXGPrpW4r2GRQ--~B/aD00Njc7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/b95cfdd8768bc3c4620e666dbcb0b248,ZS,Yahoo,"In the latest trading session, Zscaler (ZS) closed at $182.92, marking a +1.54% move from the previous day.",https://finnhub.io/api/news?id=6005dd2ad3762be4aa203f959a28fb853d42371c6157f26568ac4a0f4c95af9b
company,2022-10-06 13:19:00,Security Software Stocks Should Thrive Even In a Downturn,116513898,https://s.yimg.com/ny/api/res/1.2/rv70DV_P0lH8_5HeAk9Q4A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/Barrons.com/faf6843f592186c75877d5f329df0ade,ZS,Yahoo,"Evercore advises investors to buy CrowdStrike, Zscaler, and Palo Alto Networks, but sees downside risk for Okta.",https://finnhub.io/api/news?id=17f4bc20421c1e2a79e1f6667a66cad5b3065134637917b9ba1a67eb89fcc185
company,2022-10-06 09:54:32,Evercore's bullish call on cybersecurity,116523645,https://image.cnbcfm.com/api/v1/image/107130467-16650774765ED3-FMHR-EVERCORE-100622.jpg?v=1665078872&w=1920&h=1080,ZS,CNBC,"The ""Halftime Report"" traders debate the biggest analyst calls of the day.",https://finnhub.io/api/news?id=ea2c66f033d312efc3e975194468a70b1d6c7cbe78781d9e524967503378f198
company,2022-10-06 05:05:00,"Street Wrap: Today's Top 15 Upgrades, Downgrades, Initiations",116504055,https://image.thefly.com/catalog/201811/img_112.jpg,ZS,Thefly.com,"Verizon Communications upgrade, Splunk downgrade and DraftKings initiation among today's top calls on Wall Street VZ, FOXA, PINS, NDAQ, TTWO, SPLK, TM, AN, SI, FICO, DKNG, PENN, ZS, CRWD, PANW, OKTA",https://finnhub.io/api/news?id=6847fc38ade829debffd18a00810333c43c0b3410aab6fefdcc8424f3ab84176
company,2022-10-06 01:33:00,Evercore starts 'true disruptor' Zscaler at Outperform,116507700,https://thefly.com/images/meta/streetresearch_initiate.jpg,ZS,Thefly.com,"As previously reported, E... ZS",https://finnhub.io/api/news?id=e2815531bb1c52d2d24522500c0aff6066762f1b965d1b266ad47a9504b5e7dc
company,2022-10-06 01:18:00,Zscaler initiated with an Outperform at Evercore ISI,116507701,https://thefly.com/images/meta/streetresearch_initiate.jpg,ZS,Thefly.com,Evercore ISI analyst Pete... ZS,https://finnhub.io/api/news?id=aba2437e8f5e15cf243d3b4ccb052443778287d3f69eef50994bc714a7a330e0
company,2022-10-05 23:49:00,Zscaler initiated with an Outperform at SMBC Nikko,116507702,https://thefly.com/images/meta/streetresearch_initiate.jpg,ZS,Thefly.com,SMBC Nikko analyst Carson... ZS,https://finnhub.io/api/news?id=f63bb80fe6ad8b1ab4828d3a53fc4bbdc8d308b92f8080420ece8592945c811f
