date,open,high,low,close,volume
1984-09-07,26.5,26.87,26.25,26.5,2981600.0
1984-09-10,26.5,26.62,25.87,26.37,2346400.0
1984-09-11,26.62,27.37,26.62,26.87,5444000.0
1984-09-12,26.87,27.0,26.12,26.12,4773600.0
1984-09-13,27.5,27.62,27.5,27.5,7429600.0
1984-09-14,27.62,28.5,27.62,27.87,8826400.0
1984-09-17,28.62,29.0,28.62,28.62,6886400.0
1984-09-18,28.62,28.87,27.62,27.62,3495200.0
1984-09-19,27.62,27.87,27.0,27.0,3816000.0
1984-09-20,27.12,27.37,27.12,27.12,2387200.0
1984-09-21,27.12,27.87,26.5,26.87,3591200.0
1984-09-24,26.87,27.0,26.62,26.62,2833600.0
1984-09-25,26.5,26.5,26.12,26.12,5977600.0
1984-09-26,26.12,27.25,25.75,25.75,3987200.0
1984-09-27,25.75,25.87,25.75,25.75,3796000.0
1984-09-28,25.75,25.75,24.62,25.12,8344800.0
1984-10-01,25.0,25.0,24.5,24.5,3521600.0
1984-10-02,24.75,25.62,24.75,24.75,4258400.0
1984-10-03,25.12,25.5,25.12,25.12,4335200.0
1984-10-04,25.37,25.62,25.37,25.37,4482400.0
1984-10-05,25.37,25.37,24.75,24.87,3510400.0
1984-10-08,24.87,25.0,24.87,24.87,1721600.0
1984-10-09,24.87,25.0,24.62,24.62,4515200.0
1984-10-10,24.62,24.62,23.87,23.87,13070400.0
1984-10-11,23.87,24.5,23.75,23.75,6553600.0
1984-10-12,23.75,23.87,22.5,22.75,9522400.0
1984-10-15,24.0,24.25,24.0,24.0,8715200.0
1984-10-16,24.0,24.12,23.87,23.87,4246400.0
1984-10-17,24.87,25.0,24.87,24.87,5636000.0
1984-10-18,25.62,25.75,25.62,25.62,8842400.0
1984-10-19,25.62,27.37,25.5,25.62,11673600.0
1984-10-22,25.62,26.0,25.37,25.37,4108800.0
1984-10-23,26.0,26.25,26.0,26.0,6668800.0
1984-10-24,26.25,26.5,26.25,26.25,5989600.0
1984-10-25,26.25,26.25,25.25,25.25,5676000.0
1984-10-26,25.25,25.25,24.5,24.62,4113600.0
1984-10-29,24.75,24.87,24.75,24.75,1836000.0
1984-10-30,25.0,25.25,25.0,25.0,2677600.0
1984-10-31,25.0,25.25,24.87,24.87,2191200.0
1984-11-01,25.0,25.25,25.0,25.0,1680000.0
1984-11-02,25.0,25.12,24.75,24.87,1004800.0
1984-11-05,24.87,25.37,24.75,24.75,3764800.0
1984-11-06,26.25,26.37,26.25,26.25,8073600.0
1984-11-07,26.25,26.37,25.75,25.75,8286400.0
1984-11-08,25.75,25.75,24.75,24.75,3162400.0
1984-11-09,24.75,24.87,23.0,23.25,10518400.0
1984-11-12,24.12,24.25,24.12,24.12,4070400.0
1984-11-13,24.12,24.62,23.5,23.5,4548800.0
1984-11-14,23.75,24.0,23.75,23.75,3752800.0
1984-11-15,23.75,24.0,23.75,23.75,3833600.0
1984-11-16,23.75,24.12,23.12,23.25,5920000.0
1984-11-19,23.25,23.37,21.87,21.87,8321600.0
1984-11-20,22.62,22.75,22.62,22.62,9424800.0
1984-11-21,23.12,23.25,23.12,23.12,6418400.0
1984-11-23,23.37,24.12,23.37,23.75,4904800.0
1984-11-26,24.0,24.0,24.0,24.0,3636000.0
1984-11-27,24.62,24.87,24.62,24.62,4590400.0
1984-11-28,25.87,26.5,25.87,25.87,14673600.0
1984-11-29,25.87,25.87,25.37,25.37,6248800.0
1984-11-30,25.37,25.62,24.62,24.75,3906400.0
1984-12-03,24.75,24.87,24.37,24.37,3533600.0
1984-12-04,24.87,25.37,24.87,24.87,4332800.0
1984-12-05,26.12,26.12,26.12,26.12,9406400.0
1984-12-06,27.37,27.5,27.37,27.37,11360000.0
1984-12-07,27.37,28.37,27.12,27.25,17696000.0
1984-12-10,27.25,27.25,26.75,26.75,4016000.0
1984-12-11,26.75,27.12,26.37,26.37,4432800.0
1984-12-12,26.37,26.37,25.5,25.5,3937600.0
1984-12-13,25.75,26.25,25.75,25.75,2424800.0
1984-12-14,25.75,26.62,25.75,26.37,3475200.0
1984-12-17,27.0,27.25,27.0,27.0,4513600.0
1984-12-18,28.62,28.75,28.62,28.62,12164800.0
1984-12-19,28.62,28.75,27.5,27.5,11372800.0
1984-12-20,27.5,28.0,27.37,27.37,5013600.0
1984-12-21,27.37,27.5,26.75,27.0,4438400.0
1984-12-24,27.5,27.62,27.5,27.5,2418400.0
1984-12-26,27.62,27.87,27.62,27.62,2444000.0
1984-12-27,27.75,27.87,27.75,27.75,3531200.0
1984-12-28,27.75,28.87,27.62,28.75,5941600.0
1984-12-31,29.12,29.25,29.12,29.12,7453600.0
1985-01-02,29.12,29.12,27.87,27.87,6272800.0
1985-01-03,28.37,29.12,28.37,28.37,5967200.0
1985-01-04,28.37,28.5,28.0,28.37,4915200.0
1985-01-07,28.37,28.5,28.25,28.25,6117600.0
1985-01-08,28.25,28.5,28.0,28.0,5040000.0
1985-01-09,28.75,29.12,28.75,28.75,5973600.0
1985-01-10,30.0,30.12,30.0,30.0,9926400.0
1985-01-11,30.0,30.25,29.5,29.75,7347200.0
1985-01-14,30.62,30.87,30.62,30.62,9691200.0
1985-01-15,30.62,31.12,30.0,30.0,9476000.0
1985-01-16,30.25,30.75,30.25,30.25,6816000.0
1985-01-17,30.25,30.75,28.12,28.12,19573600.0
1985-01-18,28.12,29.25,28.0,28.62,12615200.0
1985-01-21,29.25,29.5,29.25,29.25,11635200.0
1985-01-22,30.12,30.25,30.12,30.12,15202400.0
1985-01-23,30.12,30.25,29.62,29.62,15384000.0
1985-01-24,29.62,29.62,29.0,29.0,14192800.0
1985-01-25,29.0,29.62,28.37,29.62,11381600.0
1985-01-28,30.25,30.62,30.25,30.25,14721600.0
1985-01-29,30.25,30.5,29.87,29.87,8029600.0
1985-01-30,29.87,30.5,29.87,29.87,17624800.0
1985-01-31,29.87,30.0,29.0,29.0,9880000.0
1985-02-01,29.0,29.12,28.37,28.62,4941600.0
1985-02-04,29.25,29.37,29.25,29.25,7801600.0
1985-02-05,29.5,30.0,29.5,29.5,6824800.0
1985-02-06,30.0,30.0,30.0,30.0,6980000.0
1985-02-07,30.0,30.37,29.87,29.87,8793600.0
1985-02-08,29.87,30.0,29.5,29.87,4757600.0
1985-02-11,30.5,30.75,30.5,30.5,12431200.0
1985-02-12,30.5,30.62,29.75,29.75,8095200.0
1985-02-13,29.75,29.75,28.37,28.37,18835200.0
1985-02-14,28.37,28.62,27.62,27.62,15268800.0
1985-02-15,27.62,28.12,27.37,28.0,6224000.0
1985-02-19,27.87,27.87,27.62,27.62,5391200.0
1985-02-20,27.62,27.75,26.37,26.37,7864800.0
