date,open,high,low,close,volume
2011-01-26,49.64,49.7,48.43,48.47,4401343.0
2011-01-27,47.71,48.77,47.67,48.66,3294742.0
2011-01-28,48.79,49.12,47.76,47.89,2671183.0
2011-01-31,48.09,48.14,47.53,47.9,2601402.0
2011-02-01,48.07,49.03,48.07,48.91,2055251.0
2011-02-02,48.66,49.07,48.46,48.91,2203579.0
2011-02-03,48.67,49.1,48.37,49.08,1698571.0
2011-02-04,49.07,49.4,48.72,49.34,1966130.0
2011-02-07,49.33,49.57,49.08,49.49,2234753.0
2011-02-08,49.43,49.57,49.1,49.52,1625030.0
2011-02-09,49.25,49.36,48.99,49.18,1568570.0
2011-02-10,49.2,49.59,48.64,49.58,2155563.0
2011-02-11,49.37,49.75,49.13,49.73,1829318.0
2011-02-14,49.63,49.85,49.35,49.76,1787711.0
2011-03-25,50.5,50.9,50.35,50.37,1656959.0
2011-03-28,50.35,50.71,50.21,50.35,1625540.0
2011-03-29,50.26,50.74,50.0,50.64,1448370.0
2011-03-30,50.71,51.2,50.53,51.15,2451290.0
2011-03-31,51.14,51.5,51.09,51.31,2447395.0
2011-04-01,51.37,51.94,51.36,51.68,2282283.0
2011-04-04,51.89,52.01,51.58,52.01,1932609.0
2011-04-05,51.9,52.2,51.75,51.79,1558891.0
2011-04-06,52.13,52.97,51.85,52.77,2992907.0
2011-04-07,52.64,52.99,52.39,52.93,2394264.0
2011-04-08,53.0,53.0,52.18,52.45,1639023.0
2011-04-11,52.7,52.83,52.37,52.42,1876731.0
2011-04-12,52.25,52.33,51.87,52.04,1668118.0
2011-04-13,52.02,52.22,51.55,52.06,2545822.0
2011-04-14,51.86,52.28,51.38,52.04,1886232.0
2011-04-15,52.05,52.35,51.66,52.12,2542285.0
2011-04-18,51.42,51.88,51.42,51.72,1736707.0
2011-04-19,51.89,51.95,51.6,51.87,2244445.0
2011-04-20,52.3,52.87,52.27,52.76,1993074.0
2011-04-21,52.83,53.0,52.54,53.0,1494850.0
2011-04-25,52.8,53.29,52.77,53.17,1783767.0
2011-04-26,53.25,53.96,53.25,53.82,1803295.0
2011-04-27,53.65,54.33,53.6,54.28,1680420.0
2011-04-28,54.18,54.27,53.83,54.21,1864870.0
2011-04-29,54.11,54.46,54.08,54.36,2793872.0
2011-05-02,54.55,54.89,54.32,54.7,2637646.0
2011-05-03,54.6,54.96,54.03,54.41,2925184.0
2011-05-04,54.49,54.89,53.96,54.31,3470855.0
2011-05-05,54.14,54.14,53.23,53.54,3318041.0
2011-05-06,54.15,54.23,53.36,53.59,3776057.0
2011-05-09,53.42,54.12,53.42,53.92,3012718.0
2011-05-10,53.94,54.42,53.9,54.16,2987715.0
2011-05-11,54.15,54.2,53.36,53.79,3081325.0
2011-05-12,53.82,54.61,53.68,54.58,3131318.0
2011-05-13,54.47,54.73,53.85,54.01,2927752.0
2011-05-16,53.91,54.09,53.42,53.58,2846865.0
2011-05-17,53.36,53.78,53.19,53.68,2600378.0
2011-05-18,53.64,54.3,53.3,54.24,2133430.0
2011-05-19,54.46,54.86,54.16,54.25,2868916.0
2011-05-20,54.22,54.43,53.84,54.17,2434147.0
2011-05-23,53.43,53.62,53.23,53.42,2768776.0
2011-05-24,53.48,53.58,53.1,53.24,2727654.0
2011-05-25,53.21,53.47,53.06,53.33,3176167.0
2011-05-26,53.23,53.8,52.95,53.63,2428408.0
