date,open,high,low,close,volume
1984-09-07,34.75,35.0,34.5,34.63,4006400.0
1984-09-10,34.63,35.0,34.5,34.5,7744000.0
1984-09-11,35.13,35.5,35.13,35.13,12659200.0
1984-09-12,35.5,35.5,35.5,35.5,21593600.0
1984-09-13,35.75,36.0,35.75,35.75,3942400.0
1984-09-14,35.75,36.0,35.13,35.13,1356800.0
1984-09-17,35.13,35.13,35.0,35.0,1382400.0
1984-09-18,35.0,35.5,34.75,34.75,11763200.0
1984-09-19,34.63,34.63,32.0,32.0,3200000.0
1984-09-20,32.0,32.25,31.75,31.75,12902400.0
1984-09-21,31.5,31.5,31.0,31.0,3520000.0
1984-09-24,31.0,31.0,30.0,30.0,2240000.0
1984-09-25,30.0,30.0,29.12,29.12,2944000.0
1984-09-26,29.12,29.12,29.12,29.12,7155200.0
1984-09-27,29.12,29.5,29.12,29.12,1958400.0
1984-09-28,29.12,29.12,29.0,29.12,1625600.0
1984-10-01,29.12,29.12,27.75,27.75,3264000.0
1984-10-02,27.75,28.0,27.0,27.0,2585600.0
1984-10-03,27.12,27.5,27.12,27.12,7795200.0
1984-10-04,27.5,28.0,27.5,27.5,3942400.0
1984-10-05,27.5,27.75,27.12,27.5,358400.0
1984-10-08,27.5,27.75,27.0,27.0,819200.0
1984-10-09,27.0,27.62,27.0,27.0,2905600.0
1984-10-10,27.0,27.12,26.75,26.75,20876800.0
1984-10-11,26.75,26.75,26.75,26.75,4134400.0
1984-10-12,27.0,27.75,27.0,27.75,6195200.0
1984-10-15,27.75,27.75,27.75,27.75,2726400.0
1984-10-16,27.75,27.75,27.5,27.5,985600.0
1984-10-17,27.5,27.5,27.5,27.5,1203200.0
1984-10-18,27.75,28.0,27.75,27.75,7040000.0
1984-10-19,28.0,29.0,28.0,28.5,14425600.0
1984-10-22,29.5,29.5,29.5,29.5,19302400.0
1984-10-23,29.0,29.0,29.0,29.0,2764800.0
1984-10-24,28.87,28.87,27.75,27.75,2854400.0
1984-10-25,27.5,27.5,24.75,24.75,9395200.0
1984-10-26,24.75,25.0,22.87,23.0,16896000.0
1984-10-29,23.12,23.12,23.12,23.12,6937600.0
1984-10-30,24.25,24.25,24.25,24.25,8960000.0
1984-10-31,24.25,24.5,24.0,24.0,13235200.0
1984-11-01,24.0,24.0,23.75,23.75,8614400.0
1984-11-02,23.75,23.75,22.25,22.75,14361600.0
1984-11-05,22.75,22.75,22.75,22.75,7065600.0
1984-11-06,23.12,23.12,23.12,23.12,21836800.0
1984-11-07,23.5,23.75,23.5,23.5,19686400.0
1984-11-08,24.5,24.75,24.5,24.5,13017600.0
1984-11-09,24.5,25.5,24.25,25.12,7078400.0
1984-11-12,25.12,25.5,25.12,25.12,2521600.0
1984-11-13,25.12,25.12,23.75,23.75,2726400.0
1984-11-14,24.0,24.0,24.0,24.0,1600000.0
1984-11-15,24.0,24.25,23.5,23.5,3020800.0
1984-11-16,23.5,24.0,22.75,22.75,3302400.0
1984-11-19,22.87,23.12,22.87,22.87,7206400.0
1984-11-20,22.87,23.12,22.75,22.75,8460800.0
1984-11-21,23.12,23.12,23.12,23.12,524800.0
1984-11-23,23.12,24.0,22.75,23.5,14515200.0
1984-11-26,23.5,24.0,23.5,23.5,9715200.0
1984-11-27,23.5,24.0,23.5,23.5,6425600.0
1984-11-28,23.75,24.0,23.75,23.75,4544000.0
1984-11-29,24.0,24.0,24.0,24.0,2636800.0
1984-11-30,24.0,24.0,23.75,24.0,3340800.0
1984-12-03,24.25,24.75,24.25,24.25,23078400.0
1984-12-04,24.25,24.75,24.25,24.25,6937600.0
1984-12-05,24.25,24.5,24.25,24.25,5760000.0
1984-12-06,24.25,24.25,24.0,24.0,14105600.0
1984-12-07,24.0,24.25,23.75,24.0,6604800.0
1984-12-10,24.0,24.0,23.75,23.75,3596800.0
1984-12-11,24.0,24.5,24.0,24.0,9523200.0
1984-12-12,24.25,24.25,24.25,24.25,5145600.0
1984-12-13,24.25,24.25,24.0,24.0,1843200.0
1984-12-14,24.0,24.0,23.75,23.75,1344000.0
1984-12-17,23.75,23.75,23.0,23.0,2764800.0
1984-12-18,24.0,24.25,24.0,24.0,15539200.0
1984-12-19,25.0,25.87,25.0,25.0,17177600.0
1984-12-20,25.0,25.12,25.0,25.0,3225600.0
1984-12-21,25.0,25.12,24.75,25.12,5721600.0
1984-12-24,25.12,25.5,25.0,25.0,2880000.0
1984-12-26,25.25,25.62,25.25,25.25,3814400.0
1984-12-27,25.5,25.75,25.5,25.5,755200.0
1984-12-28,25.5,25.75,25.12,25.75,2598400.0
1984-12-31,27.0,27.0,27.0,27.0,2854400.0
1985-01-02,27.0,27.0,26.25,26.25,7424000.0
1985-01-03,26.25,26.5,26.25,26.25,793600.0
1985-01-04,26.25,26.5,25.75,26.0,665600.0
1985-01-07,25.5,25.5,25.5,25.5,4723200.0
1985-01-08,25.5,25.75,25.5,25.5,1804800.0
1985-01-09,26.0,26.5,26.0,26.0,6464000.0
1985-01-10,26.75,26.75,26.75,26.75,1216000.0
1985-01-11,26.75,27.75,26.5,27.12,3865600.0
1985-01-14,27.75,28.0,27.75,27.75,11545600.0
1985-01-15,28.5,29.0,28.5,28.5,5721600.0
1985-01-16,29.5,30.0,29.5,29.5,11763200.0
1985-01-17,29.75,30.0,29.75,29.75,2214400.0
1985-01-18,29.75,30.75,29.75,30.25,3763200.0
1985-01-21,30.5,30.75,30.5,30.5,3020800.0
1985-01-22,30.5,30.62,30.5,30.5,5286400.0
1985-01-23,31.0,31.5,31.0,31.0,11046400.0
1985-01-24,32.0,32.0,32.0,32.0,6720000.0
1985-01-25,32.0,32.25,31.75,32.25,2700800.0
1985-01-28,32.25,32.5,32.25,32.25,8140800.0
1985-01-29,32.5,32.75,32.5,32.5,9100800.0
1985-01-30,34.0,34.0,34.0,34.0,8883200.0
1985-01-31,35.0,35.13,35.0,35.0,25574400.0
1985-02-01,35.0,35.0,34.5,34.75,8204800.0
1985-02-04,34.75,34.75,34.0,34.0,2355200.0
1985-02-05,35.0,35.13,35.0,35.0,13260800.0
1985-02-06,35.5,35.5,35.5,35.5,14297600.0
1985-02-07,35.5,35.75,35.13,35.13,45401600.0
1985-02-08,35.13,36.0,35.0,35.75,17241600.0
1985-02-11,35.75,35.75,35.0,35.0,6860800.0
1985-02-12,35.0,35.0,34.0,34.0,13376000.0
1985-02-13,34.0,34.0,33.13,33.13,6400000.0
1985-02-14,33.75,34.0,33.75,33.75,12224000.0
1985-02-15,33.75,33.75,31.75,31.75,6540800.0
1985-02-19,31.75,32.0,31.75,31.75,4006400.0
1985-02-20,31.75,32.25,31.75,31.75,7219200.0
1985-02-21,31.75,32.25,30.5,30.5,14246400.0
1985-02-22,30.5,31.12,30.25,30.75,16704000.0
1985-02-25,30.75,30.75,30.0,30.0,4403200.0
1985-02-26,30.0,30.0,29.75,29.75,9164800.0
1985-02-27,29.75,30.0,29.62,29.62,4083200.0
1985-02-28,29.62,30.0,29.5,29.5,3123200.0
1985-03-01,29.5,29.5,28.5,29.0,6745600.0
1985-03-04,29.0,29.12,28.75,28.75,5286400.0
1985-03-05,28.75,29.12,28.25,28.25,5414400.0
1985-03-06,28.25,28.5,27.0,27.0,9024000.0
1985-03-07,27.0,27.12,26.75,26.75,11942400.0
1985-03-08,26.75,28.5,26.75,28.5,14003200.0
1985-03-11,28.5,29.0,27.75,27.75,10560000.0
1985-03-12,28.5,28.5,28.5,28.5,5465600.0
1985-03-13,28.5,28.5,26.5,26.5,18662400.0
1985-03-14,27.0,27.5,27.0,27.0,8115200.0
1985-03-15,27.0,27.5,26.87,27.5,5440000.0
1985-03-18,28.25,28.25,28.25,28.25,5286400.0
1985-03-19,29.12,29.75,29.12,29.12,14156800.0
1985-03-20,29.12,29.5,28.5,28.5,5478400.0
1985-03-21,29.0,29.0,29.0,29.0,2880000.0
1985-03-22,29.0,29.12,29.0,29.0,5824000.0
1985-03-25,29.0,29.12,27.5,27.5,9484800.0
1985-03-26,27.5,27.75,26.75,26.75,6720000.0
1985-03-27,27.0,27.12,27.0,27.0,2777600.0
1985-03-28,27.12,27.12,27.12,27.12,3763200.0
1985-03-29,27.12,27.75,27.0,27.5,1804800.0
1985-04-01,27.5,27.5,27.5,27.5,793600.0
1985-04-02,27.5,28.0,27.5,27.5,2560000.0
1985-04-03,27.5,28.0,26.75,26.75,2099200.0
1985-04-04,26.75,27.0,26.62,27.0,2201600.0
1985-04-08,27.0,27.12,26.75,26.75,1920000.0
1985-04-09,26.75,27.12,26.75,26.75,2304000.0
1985-04-10,26.75,27.0,26.5,26.5,1740800.0
1985-04-11,26.5,26.75,26.5,26.5,4019200.0
1985-04-12,26.5,27.0,26.5,26.5,3264000.0
1985-04-15,26.5,26.75,25.75,25.75,6297600.0
1985-04-16,25.75,25.75,25.75,25.75,3801600.0
1985-04-17,26.0,26.0,26.0,26.0,13440000.0
1985-04-18,26.5,27.0,26.5,26.5,5504000.0
1985-04-19,26.5,26.75,26.25,26.25,1600000.0
1985-04-22,26.25,26.5,26.0,26.0,2905600.0
1985-04-23,26.0,26.25,25.0,25.0,6502400.0
1985-04-24,25.12,25.12,25.12,25.12,3084800.0
1985-04-25,25.0,25.0,24.5,24.5,10534400.0
1985-04-26,24.5,25.0,24.25,24.5,6835200.0
1985-04-29,24.0,24.0,22.75,22.75,2739200.0
1985-04-30,23.0,23.0,23.0,23.0,3200000.0
1985-05-01,23.75,24.0,23.75,23.75,7680000.0
1985-05-02,23.75,24.0,23.12,23.12,4134400.0
1985-05-03,23.12,24.0,23.12,24.0,3916800.0
1985-05-06,24.0,24.0,23.0,23.0,3046400.0
1985-05-07,23.5,23.75,23.5,23.5,13184000.0
1985-05-08,23.5,24.0,23.25,23.25,1600000.0
1985-05-09,24.25,24.5,24.25,24.25,4121600.0
1985-05-10,24.25,25.12,24.25,25.12,9036800.0
1985-05-13,25.5,25.5,25.5,25.5,9574400.0
1985-05-14,25.75,26.0,25.75,25.75,8076800.0
1985-05-15,25.75,26.0,25.75,25.75,1996800.0
1985-05-16,25.75,26.25,25.75,25.75,1164800.0
1985-05-17,25.75,27.0,25.75,26.75,6796800.0
1985-05-20,28.25,28.75,28.25,28.25,16320000.0
1985-05-21,28.25,28.25,27.0,27.0,4236800.0
1985-05-22,27.0,27.0,26.25,26.25,15078400.0
1985-05-23,26.25,26.5,26.25,26.25,5657600.0
1985-05-24,26.5,26.5,26.5,26.5,1753600.0
1985-05-28,26.5,26.5,26.5,26.5,7078400.0
1985-05-29,26.5,26.5,26.25,26.25,1881600.0
1985-05-30,26.25,26.75,25.75,25.75,17318400.0
1985-05-31,25.75,26.0,25.5,25.5,12096000.0
1985-06-03,25.5,25.5,24.75,24.75,7756800.0
1985-06-04,24.75,24.75,24.0,24.0,7705600.0
1985-06-05,24.0,24.0,23.75,23.75,39014400.0
1985-06-06,23.75,24.0,23.0,23.0,8345600.0
1985-06-07,23.0,23.12,23.0,23.0,3059200.0
1985-06-10,23.0,23.0,23.0,23.0,8179200.0
1985-06-11,23.0,23.0,22.75,22.75,2137600.0
